# file	amplitude / V
202608071230_1Dx1D_13328f_2_5mW	4.841579e-07
202608071238_1Dx1D_7402bf_7_5mW	9.497253e-07
202608071242_1Dx1D_55356a_temp_7_5mW	9.200480e-07
202608071249_1Dx1D_0ea1ab_genauer_7_5mW	1.971967e-06
202608071258_1Dx1D_c13a88_10_4mW	2.848287e-06
202608071302_1Dx1D_0d08b5_13_8mW	3.807769e-06
202608071307_1Dx1D_fbec8a_17_3mW	4.945280e-06
202608071357_1Dx1D_e13e8c_20_9mW	1.223450e-05
202608071406_1Dx1D_cdb631_24_2mW	7.466722e-06
202608071410_1Dx1D_f483c1_27_2mW	9.182788e-06
202608071415_1Dx1D_dd746b_31mW	1.058508e-05
202608071419_1Dx1D_cd0cc8_34_8mW	1.203818e-05
202608071423_1Dx1D_ba9b93_38mW	1.357510e-05
202608071428_1Dx1D_9da45c_42mW	1.526820e-05
202608071431_1Dx1D_ea467c_46mW	1.800651e-05
202608071435_1Dx1D_7ae52c_50mW	2.008527e-05
202608071439_1Dx1D_4b0836_54mW	2.234653e-05
202608071442_1Dx1D_98b5a5_58mW	2.524485e-05
202608071446_1Dx1D_8323e4_62mW	2.865728e-05
202608071449_1Dx1D_ebda55_66mW	3.117521e-05
202608071453_1Dx1D_1cb4de_70mW	3.412086e-05
202608071457_1Dx1D_cb6c3e_74mW	3.826780e-05
202608071500_1Dx1D_ead399_78mW	4.208078e-05
202608071504_1Dx1D_eb50d9_82mW	4.685815e-05
202608071603_1Dx1D_a24beb_230mW	5.166327e-05
202608071607_1Dx1D_6a4fac_250mW	5.511626e-05
202608071611_1Dx1D_5b6618_270mW	5.944393e-05
202608071614_1Dx1D_b99aa8_290mW	6.261685e-05
202608071616_1Dx1D_596aba_310mW	6.730129e-05
202608071618_1Dx1D_5df87f_330mW	7.124965e-05
202608071620_1Dx1D_fbfb6b_350mW	7.521842e-05
202608071622_1Dx1D_11a981_370mW	7.954793e-05
202608071625_1Dx1D_8c803c_390mW	8.258446e-05
202608071632_1Dx1D_834e88_410mW	8.733923e-05
202608071635_1Dx1D_eeb5d0_430mW	8.951887e-05
202608071637_1Dx1D_c13750_450mW	9.522099e-05
202608071639_1Dx1D_655e35_470mW	9.561195e-05
202608071709_1Dx1D_40e4a3_470mW_naeher_am_Fokus2	2.420262e-04
202608071724_1Dx1D_756ed8_470mW_naha_am_fokuspunkt_lange_Messung	4.959608e-04
