# file	amplitude / V	peak_to_peak / V
202608061240_1Dx1D_57e216_98mW	5.306926e-05	8.120772e-05
202608061249_1Dx1D_6d8b61_98mW	2.593466e-04	3.867351e-04
202608061258_1Dx1D_cca694_90mW	2.367279e-04	3.538185e-04
202608061307_1Dx1D_b749db_80mW	2.052783e-04	3.062070e-04
202608061316_1Dx1D_220277_70mW	1.744040e-04	2.612830e-04
202608061324_1Dx1D_df1113_70mW_mit_batterie	5.393600e-05	9.834646e-05
202608061333_1Dx1D_c49f7a__70mW_mit_batterie_2	9.386529e-05	1.414284e-04
202608061454_1Dx1D_ea600a_70mW_mitFrischenBatterien	1.177804e-04	1.774481e-04
202608061457_1Dx1D_df0dd0_70mW_mitNetzspannung_auf7V	1.149861e-04	1.728216e-04
202608061613_1Dx1D_779e2a__60mW	9.433776e-05	1.436533e-04
202608061621_1Dx1D_b79228_50mW	7.601069e-05	1.161831e-04
202608061627_1Dx1D_cdfe7d_40mW	5.732784e-05	8.877930e-05
202608061648_1Dx1D_679db4_30mW	4.835075e-05	7.752904e-05
202608061656_1Dx1D_1372a6_20mW	2.878970e-05	4.686671e-05
202608061703_1Dx1D_863bf5_10mW	1.197612e-05	1.872202e-05
202608061712_1Dx1D_89f3ba_8mW	9.925305e-06	1.537281e-05
202608061722_1Dx1D_0fb685_110mW	1.749178e-04	2.613737e-04
