# file	amplitude / V
#202608061240_1Dx1D_57e216_98mW	5.306926e-05
48	2.593466e-04
40	2.367279e-04
34	2.052783e-04
30	1.744040e-04
#202608061324_1Dx1D_df1113_70mW_mit_batterie	5.393600e-05
#202608061333_1Dx1D_c49f7a__70mW_mit_batterie_2	9.386529e-05
#202608061454_1Dx1D_ea600a_70mW_mitFrischenBatterien	1.177804e-04
#202608061457_1Dx1D_df0dd0_70mW_mitNetzspannung_auf7V	1.149861e-04
24	9.433776e-05
18	7.601069e-05
13	5.732784e-05
8	4.835075e-05
7.4	2.878970e-05
3.3	1.197612e-05
2.0	9.925305e-06
55	1.749178e-04
