# power [mW]	amplitude / V
2.0	4.841579e-07
7.4	1.971967e-06
8	2.848287e-06
13	3.807769e-06
18	4.945280e-06
24	1.223450e-05
30	7.466722e-06
34	9.182788e-06
40	1.058508e-05
48	1.203818e-05
55	1.357510e-05
64	1.526820e-05
74	1.800651e-05
83	2.008527e-05
95	2.234653e-05
106	2.524485e-05
119	2.865728e-05
136	3.117521e-05
152	3.412086e-05
165	3.826780e-05
182	4.208078e-05
210	4.685815e-05
230	5.166327e-05
250	5.511626e-05
270	5.944393e-05
290	6.261685e-05
310	6.730129e-05
330	7.124965e-05
350	7.521842e-05
370	7.954793e-05
390	8.258446e-05
410	8.733923e-05
430	8.951887e-05
450	9.522099e-05
470	9.561195e-05
#202608071709_1Dx1D_40e4a3_470mW_naeher_am_Fokus2	2.420262e-04
#202608071724_1Dx1D_756ed8_470mW_naha_am_fokuspunkt_lange_Messung	4.959608e-04
