# file	noise (mean) / V	peak_to_peak / V	SN_ratio
98mW	1.580000e-07	8.120772e-05	5.139729e+02
98mW	1.580000e-07	3.867351e-04	2.447690e+03
80mW	1.580000e-07	3.062070e-04	1.938019e+03
,70mW,mit,batterie,2	1.580000e-07	1.414284e-04	8.951167e+02
70mW,mitNetzspannung,auf7V	1.580000e-07	1.728216e-04	1.093807e+03
30mW	1.580000e-07	7.752904e-05	4.906901e+02
8mW	1.580000e-07	1.537281e-05	9.729625e+01
17,3mW	1.580000e-07	7.191935e-06	4.551857e+01
24,2mW	1.580000e-07	1.120098e-05	7.089230e+01
38mW	1.580000e-07	2.020393e-05	1.278730e+02
74mW	1.580000e-07	5.643673e-05	3.571945e+02
270mW	1.580000e-07	8.845135e-05	5.598187e+02
350mW	1.580000e-07	1.088321e-04	6.888107e+02
470mW	1.580000e-07	1.391741e-04	8.808490e+02
470mW,naha,am,fokuspunkt,lange,Messung	1.580000e-07	6.953238e-04	4.400783e+03
