# file	noise (mean) / V	peak_to_peak / V	SN_ratio
98mW	1.580000e-07	3.867351e-04	2.447690e+03
90mW	1.580000e-07	3.538185e-04	2.239358e+03
80mW	1.580000e-07	3.062070e-04	1.938019e+03
70mW	1.580000e-07	2.612830e-04	1.653690e+03
,60mW	1.580000e-07	1.436533e-04	9.091981e+02
50mW	1.580000e-07	1.161831e-04	7.353358e+02
40mW	1.580000e-07	8.877930e-05	5.618943e+02
30mW	1.580000e-07	7.752904e-05	4.906901e+02
20mW	1.580000e-07	4.686671e-05	2.966248e+02
10mW	1.580000e-07	1.872202e-05	1.184938e+02
8mW	1.580000e-07	1.537281e-05	9.729625e+01
110mW	1.580000e-07	2.613737e-04	1.654264e+03
