#x[mum]	Leistung[mW]
8000	0.01
8150	0.01
8300	0.01
8400	0.02
8500	0.02
8650	0.02
8800	0.02
8900	0.02
9000	0.03
9150	0.04
9300	0.07
9400	0.1
9500	0.15
9650	0.23
9800	0.24
9900	0.2
10000	0.22
10150	0.25
10300	0.27
10400	0.26
10500	0.30
10650	0.28
10800	0.31
10900	0.33
11000	0.35
11150	0.36
11300	0.37
11400	0.40
11500	0.40
11650	0.41
11800	0.44
11900	0.45
12000	0.46
12150	0.50
12300	0.53
12400	0.61
12500	0.68
12650	0.95
12800	1.56
12900	2.35
13000	3.05
13150	4.15
13300	5.4
13400	6.2
13500	7.2
13650	8.5
13800	9.7
13900	10.7
14000	11.5
14150	12.8
14300	14.2
14400	15.0
14500	16.0	
14650	17.2
14800	18.6
14900	19.1
15000	19.9
15150	21.0
15300	22.1
15400	23.0
15500	23.8
15650	24.4
15800	25.6
15900	26.4
16000	26.8
16150	27.6
16300	28.5
16400	29.0
16500	29.5
16650	30.2
16800	31.0
16900	31.2
17000	31.8
17150	32.2
17300	32.6
17400	32.9
17500	33.2
17650	33.4
17800	33.9
17900	34.0
18000	34.1
18150	34.3
18300	34.4
18400	34.5
18500	34.4
18650	34.5
18800	34.4
18900	34.5
19000	34.5
