#y[mum]	Leistung[mW]
 8500	35.5
 8750	35.3
 9000	35.3
 9250	35.3
 9500	35.2
 9750	35.4
10000	35
10250	35
10500	34.9
10750	34.7
11000	34.0
11150	33.2
11250	32.8
11350	32.2
11400	31.9
11500	31.3
11600	30.7
11700	30.0
11800	29.5
11900	29.0
12000	28.4
12150	27.7
12300	26.3
12400	25.8
12500	25.0
12650	23.8
12800	22.8
12900	22.0
13000	21.5
13150	20.4
13300	19.0
13400	18.3
13500	17.6
13650	16.6
13800	15.3
13900	14.8
14000	14.0
14150	13.0
14300	12.0
14400	11.4
14500	10.7
14650	9.8
14800	8.8
14900	8.2
15000	7.7
15150	7.0
15300	6.6
15400	5.6
15500	5.5
15650	4.6
15800	4.4
15900	3.6
16000	3.3
16150	2.9
16300	2.3
16400	2.0
16500	1.6
16650	1.3
16800	0.9
16900	0.6
17000	0.4
17150	0.28
17300	0.22
17400	0.2
17500	0.17
17650	0.16
17800	0.14
17900	0.13
18000	0.12
18150	0.12
18300	0.10
18400	0.10
18500	0.09
18650	0.08
18800	0.07
18900	0.07
19000	0.06
19150	0.06
19300	0.06
19400	0.05
19500	0.05
19650	0.04
19800	0.04
19900	0.03
20000	0.03
20150	0.03
20300	0.02
20400	0.02
20500	0.02
20650	0.02
20800	0.02
20900	0.01
21000	0.01
21150	0.01
21300	0.01
21400	0.01
21500	0.01
