# distance_x[ps] 	  Amplitude [V]
-2.159999999999999432e+01	-1.673385865126733030e-07
-2.129999999999999005e+01	-9.071250940786673794e-08
-2.100000000000000000e+01	5.449719049207620967e-07
-2.069999999999998863e+01	3.640023081455345390e-07
-2.039999999999999858e+01	2.629051211823798118e-08
-2.010000000000000853e+01	-2.310554709133335356e-07
-1.979999999999999005e+01	1.064532315013050393e-07
-1.949999999999998579e+01	1.930409184280185413e-07
-1.919999999999998863e+01	-2.662346255595915930e-07
-1.889999999999999147e+01	-9.090311847810164050e-08
-1.859999999999999432e+01	-4.558018519373423655e-07
-1.829999999999999716e+01	4.848681526005323769e-07
-1.800000000000000000e+01	9.551870656352202220e-08
-1.769999999999999574e+01	4.515184230158276769e-08
-1.739999999999999858e+01	1.454767460207600411e-07
-1.710000000000000142e+01	-2.139488343756289487e-07
-1.680000000000000426e+01	2.333072603537652984e-07
-1.649999999999999289e+01	-1.437621435817743920e-07
-1.619999999999998863e+01	-2.660703922832083698e-07
-1.589999999999999147e+01	1.943962825547441446e-07
-1.559999999999999432e+01	2.252149909614405613e-07
-1.529999999999999716e+01	-1.639612540292769955e-07
-1.500000000000000000e+01	-4.839536159083814790e-08
-1.469999999999999574e+01	-4.183517414404536383e-08
-1.439999999999999147e+01	-1.239092593882316895e-07
-1.409999999999999432e+01	5.927678326366640998e-08
-1.379999999999999716e+01	-2.491264064742559381e-08
-1.350000000000000000e+01	8.424727481894004202e-08
-1.319999999999999574e+01	6.927918764673063044e-08
-1.289999999999999147e+01	-6.998201463356531399e-09
-1.259999999999999432e+01	-1.664822524056218793e-08
-1.229999999999999716e+01	-7.036973880318527097e-08
-1.200000000000000000e+01	3.342797777313144274e-08
-1.169999999999999574e+01	-4.575305214663821959e-07
-1.139999999999999147e+01	1.390693623396813900e-07
-1.110000000000000142e+01	-2.269368027840790091e-07
-1.079999999999999716e+01	2.455598716296301806e-07
-1.050000000000000000e+01	1.513302380309531802e-08
-1.019999999999999574e+01	-4.886643326902935510e-08
-9.899999999999991473e+00	-1.498760525965965539e-07
-9.599999999999994316e+00	8.016711534870901128e-08
-9.299999999999997158e+00	2.891595863823537067e-08
-9.000000000000000000e+00	-1.532132938733383108e-07
-8.699999999999995737e+00	5.084734330660424827e-07
-8.399999999999991473e+00	-5.170290372370285836e-07
-8.099999999999994316e+00	-1.646041200447556010e-07
-7.800000000000004263e+00	-2.038676542882609805e-07
-7.500000000000000000e+00	1.731781872714378827e-07
-7.199999999999995737e+00	1.501885178344262819e-07
-6.899999999999991473e+00	9.500736784005055641e-09
-6.599999999999994316e+00	2.844435944416713531e-08
-6.299999999999997158e+00	1.518568747148586182e-07
-6.000000000000000000e+00	1.108697702624579752e-07
-5.699999999999995737e+00	8.799298922313163836e-08
-5.399999999999991473e+00	-7.523167680318044773e-08
-5.099999999999994316e+00	-2.713991818343785417e-07
-4.800000000000004263e+00	2.866271584953399247e-07
-4.500000000000000000e+00	-3.995820231810870298e-07
-4.199999999999995737e+00	2.224495768954034856e-07
-3.899999999999991473e+00	2.007187361796203319e-07
-3.599999999999994316e+00	-3.985259363952652356e-08
-3.299999999999997158e+00	-1.200937370496459399e-07
-3.000000000000000000e+00	4.384413044241587026e-08
-2.699999999999995737e+00	1.152043682240450208e-07
-2.399999999999991473e+00	-2.109933387552340284e-07
-2.099999999999994316e+00	1.014277635794293524e-07
-1.799999999999997158e+00	-1.394518113505309264e-07
-1.500000000000000000e+00	-8.334346428295541542e-08
-1.199999999999995737e+00	-1.608316781694609224e-07
-8.999999999999914735e-01	-2.751735579345556249e-07
-5.999999999999943157e-01	-9.260576389054118114e-08
-2.999999999999971578e-01	1.215625170899338386e-07
0.000000000000000000e+00	7.252854477835853151e-07
3.000000000000042633e-01	1.272936254166550744e-07
6.000000000000085265e-01	-3.329407665967768924e-07
9.000000000000056843e-01	2.487068555133883452e-07
1.200000000000002842e+00	2.125057267746900296e-07
1.500000000000000000e+00	1.059373209735659321e-07
1.799999999999997158e+00	1.604557351877614849e-07
2.100000000000008527e+00	-2.733891475611758622e-07
2.400000000000005684e+00	6.451079579559612898e-08
2.700000000000002842e+00	-1.916699046636075829e-07
3.000000000000000000e+00	2.496653518619588410e-07
3.300000000000004263e+00	-4.812580097767384904e-08
3.600000000000008527e+00	-3.324155366218768342e-07
3.900000000000005684e+00	-3.960729875670579144e-08
4.200000000000002842e+00	-1.771925830956653436e-07
4.500000000000000000e+00	-8.238725383651874025e-08
4.799999999999997158e+00	-9.973531680727913095e-08
5.100000000000008527e+00	2.834787679025763076e-07
5.400000000000005684e+00	-6.236591623957654954e-08
5.700000000000002842e+00	1.066928995481040671e-07
6.000000000000000000e+00	-7.365985532824529402e-08
6.299999999999997158e+00	1.399942735107473813e-07
6.600000000000008527e+00	3.599179285482871903e-07
6.900000000000005684e+00	1.985059829140890501e-08
7.200000000000002842e+00	1.010240380948727962e-07
7.500000000000003553e+00	3.270914947136000249e-07
7.799999999999997158e+00	1.382524160847816847e-07
8.100000000000008527e+00	2.857882324122304601e-07
8.400000000000005684e+00	9.266097721900405540e-08
8.700000000000002842e+00	-1.189456866625946441e-07
9.000000000000003553e+00	-5.801197602916495495e-08
9.300000000000000711e+00	5.526080489180775541e-09
9.600000000000008527e+00	3.587776150607657512e-08
9.900000000000005684e+00	4.166339739062057210e-07
1.020000000000000284e+01	1.241953488322096852e-07
1.050000000000000355e+01	-1.853792778299791110e-07
1.080000000000000071e+01	-2.009439854591137755e-07
1.110000000000000142e+01	-6.107227147046404523e-09
1.140000000000000568e+01	-4.341074098170744891e-07
1.170000000000000284e+01	-1.451468727589881951e-07
1.200000000000000711e+01	4.976004516472466249e-08
1.230000000000000071e+01	-1.979631690766212387e-07
1.260000000000000142e+01	-1.421453074186656833e-07
1.290000000000000568e+01	-2.378447760893846122e-07
1.320000000000000284e+01	-9.371671232757443362e-08
1.350000000000000711e+01	8.190914861330042252e-09
1.380000000000000071e+01	-1.921450206301894133e-07
1.410000000000000142e+01	5.497981476797448547e-08
1.440000000000000213e+01	2.459776642042409579e-07
1.470000000000000284e+01	2.008587037256600016e-07
1.500000000000000711e+01	-2.925539752124407624e-07
1.530000000000000071e+01	2.907270118916469337e-07
1.560000000000000142e+01	-1.940642992294641859e-08
1.590000000000000213e+01	-1.439047487071992190e-07
1.620000000000000284e+01	-2.037141471680441344e-07
1.650000000000000711e+01	-6.063496080840285874e-08
1.680000000000000071e+01	1.596885512639286179e-07
1.710000000000000142e+01	-8.793900676504850861e-08
1.740000000000000213e+01	5.963004306265342145e-08
1.770000000000000284e+01	8.048309735905227804e-08
1.800000000000000711e+01	-8.578990708201263109e-09
1.830000000000000426e+01	-2.130854667235502358e-07
1.860000000000000142e+01	-6.763456898076483276e-09
1.890000000000000213e+01	3.224528717682158077e-07
1.920000000000000284e+01	-7.617118258017770478e-08
1.950000000000000711e+01	1.420144834811612963e-07
1.980000000000000426e+01	-8.002398270740715279e-08
2.010000000000000142e+01	-1.217119799217600747e-07
2.040000000000000213e+01	1.287189733164005125e-07
2.070000000000000284e+01	1.202759058658483389e-07
2.100000000000000711e+01	-4.530025010165494750e-08
2.130000000000000426e+01	6.614380911226721116e-08
2.160000000000000142e+01	2.801056555461962783e-07
2.190000000000000213e+01	3.037014407259198177e-07
2.220000000000000284e+01	8.292989183536088993e-08
2.250000000000000711e+01	-6.149621839697344576e-08
2.280000000000000426e+01	1.280367194487701357e-07
2.310000000000000142e+01	1.500620898625638151e-07
2.340000000000000213e+01	-1.194148241159034202e-07
2.370000000000000284e+01	-4.681562737774747185e-07
2.400000000000000000e+01	1.093897365501267076e-07
2.430000000000000426e+01	-1.303962979667424367e-07
2.460000000000000142e+01	1.199215910351072446e-07
2.490000000000000213e+01	3.009954601153618680e-07
2.520000000000000284e+01	-6.240864502561630377e-09
