# distance_x[ps] 	  Amplitude [V]
-8.820000000000000284e+01	-4.615962621693076954e-07
-8.790000000000000568e+01	-2.502057039586671700e-07
-8.760000000000000853e+01	8.550241092902922916e-08
-8.729999999999999716e+01	2.398653377370499169e-07
-8.700000000000000000e+01	-3.418469929873648143e-07
-8.670000000000001705e+01	6.536625070951936983e-09
-8.640000000000000568e+01	1.091491893101992984e-07
-8.609999999999999432e+01	-1.204788236398806601e-07
-8.579999999999999716e+01	3.598875084660449275e-07
-8.550000000000000000e+01	-1.691087539573731894e-07
-8.520000000000000284e+01	1.914803506251267698e-07
-8.490000000000000568e+01	-4.611972843276443828e-07
-8.460000000000000853e+01	4.507904511055210056e-08
-8.430000000000001137e+01	5.706315080500677330e-09
-8.400000000000000000e+01	-1.981215996783570893e-07
-8.370000000000001705e+01	1.318552310439923528e-07
-8.340000000000000568e+01	2.778285453436668991e-07
-8.309999999999999432e+01	3.884976837342264003e-07
-8.279999999999999716e+01	1.379805695694838298e-09
-8.250000000000000000e+01	-3.394371246224485509e-08
-8.220000000000000284e+01	5.242435202099688780e-08
-8.190000000000000568e+01	-2.092161377655070380e-07
-8.160000000000000853e+01	2.031681682353141011e-07
-8.130000000000001137e+01	1.352060118949112332e-07
-8.100000000000000000e+01	-2.230143705610810629e-07
-8.070000000000000284e+01	7.195281395016380682e-08
-8.040000000000000568e+01	4.045779502138487294e-07
-8.010000000000000853e+01	-7.971081411507475142e-08
-7.980000000000001137e+01	2.834817571592128942e-08
-7.950000000000000000e+01	1.472458584337058646e-07
-7.920000000000000284e+01	-3.828249538312302275e-07
-7.890000000000000568e+01	3.508747238682961721e-07
-7.860000000000000853e+01	-4.066438782269389523e-07
-7.830000000000001137e+01	2.884245809270199050e-08
-7.800000000000000000e+01	1.038822949552677945e-07
-7.770000000000001705e+01	-2.950433226361634138e-07
-7.740000000000000568e+01	3.106764314906867659e-07
-7.710000000000000853e+01	-4.105784433151086752e-07
-7.680000000000001137e+01	-8.893566009539113717e-09
-7.650000000000000000e+01	-7.314886828202200176e-11
-7.620000000000000284e+01	2.529674254135649460e-07
-7.590000000000000568e+01	1.788013306819928591e-07
-7.560000000000000853e+01	2.883162643336022625e-07
-7.530000000000001137e+01	2.468637150390321299e-07
-7.500000000000000000e+01	-1.217392349087401752e-07
-7.470000000000000284e+01	4.394945777919696580e-08
-7.440000000000000568e+01	1.519134947523269185e-07
-7.410000000000000853e+01	-2.979601337589091832e-07
-7.380000000000001137e+01	-1.854256992271580921e-07
-7.350000000000000000e+01	2.221856431182609175e-07
-7.320000000000000284e+01	1.059415411005822104e-07
-7.290000000000000568e+01	5.158314003575359723e-07
-7.260000000000000853e+01	1.038098494414884838e-07
-7.230000000000001137e+01	8.148080572114894307e-08
-7.200000000000000000e+01	1.164959029296495117e-07
-7.170000000000000284e+01	-5.340869664754203157e-08
-7.140000000000000568e+01	1.063292652702020879e-07
-7.110000000000000853e+01	1.616936391125342092e-07
-7.080000000000001137e+01	-1.251853202947765597e-07
-7.050000000000000000e+01	-1.061247649485386459e-07
-7.020000000000000284e+01	1.604316452960435865e-08
-6.990000000000000568e+01	3.570412086321960244e-07
-6.960000000000000853e+01	7.375023638184376727e-08
-6.930000000000001137e+01	1.753656197748714422e-08
-6.900000000000000000e+01	1.494060359501594228e-07
-6.870000000000000284e+01	9.637662321820468590e-08
-6.840000000000000568e+01	6.534444671993526564e-08
-6.810000000000000853e+01	-2.815962395760682150e-07
-6.780000000000001137e+01	7.170365061757814637e-08
-6.750000000000000000e+01	2.836419461472054678e-07
-6.720000000000000284e+01	2.382409405130370463e-07
-6.690000000000000568e+01	2.756604550890578688e-08
-6.660000000000000853e+01	2.335980974406365575e-08
-6.630000000000001137e+01	-3.098353953440691754e-07
-6.600000000000000000e+01	1.163286803966298077e-07
-6.570000000000000284e+01	2.286090281142762604e-07
-6.540000000000000568e+01	-5.068126372465141362e-08
-6.510000000000000853e+01	2.426307518030869397e-07
-6.480000000000001137e+01	1.787837468194250728e-07
-6.450000000000000000e+01	-3.690425465119671468e-07
-6.420000000000000284e+01	3.410903593810725767e-07
-6.390000000000000568e+01	5.058842093029347121e-08
-6.360000000000000853e+01	-1.861679140661447058e-07
-6.330000000000000426e+01	3.197440777396471118e-07
-6.300000000000000000e+01	1.890808567391255336e-07
-6.270000000000000284e+01	2.058092643929968359e-07
-6.240000000000000568e+01	-7.961357535507484259e-08
-6.210000000000000853e+01	2.151608900224269722e-07
-6.180000000000001137e+01	7.697740267891108588e-08
-6.150000000000000000e+01	9.119641730573243493e-08
-6.120000000000000284e+01	1.692634919479697403e-07
-6.090000000000000568e+01	1.752003314667342090e-08
-6.060000000000000853e+01	2.131781336792824768e-07
-6.030000000000001137e+01	-1.913934863440418749e-07
-6.000000000000000000e+01	3.872323489838478277e-07
-5.970000000000000284e+01	1.478168064512821247e-07
-5.940000000000000568e+01	-1.678560795880435045e-07
-5.910000000000000853e+01	4.381599626230740166e-08
-5.880000000000001137e+01	-1.755433926254318880e-07
-5.850000000000000000e+01	1.049960568103119123e-07
-5.820000000000000284e+01	4.113850150910934988e-08
-5.790000000000000568e+01	-2.795883383094517716e-07
-5.760000000000000853e+01	-1.746649028515448779e-07
-5.730000000000001137e+01	-2.317108214712352016e-07
-5.700000000000000000e+01	8.685091734935339680e-08
-5.670000000000000284e+01	-1.058926579626437402e-07
-5.640000000000000568e+01	-2.439919186044599221e-08
-5.610000000000000853e+01	2.662680348984704292e-07
-5.580000000000001137e+01	2.705562114628784407e-07
-5.550000000000000711e+01	-2.304862812820140118e-07
-5.520000000000000284e+01	5.030092477731003619e-08
-5.490000000000000568e+01	2.211455576473758945e-07
-5.460000000000000142e+01	-1.958713927855564209e-07
-5.430000000000001137e+01	1.779632837920117891e-07
-5.400000000000000711e+01	-2.133520380800779745e-08
-5.370000000000000284e+01	-6.306575396977477878e-08
-5.340000000000000568e+01	-3.197853998166813936e-07
-5.310000000000000142e+01	1.912674100494307977e-07
-5.280000000000001137e+01	-3.343145937791986500e-07
-5.250000000000000711e+01	3.169368140806990139e-08
-5.220000000000000284e+01	-9.229470536171689242e-08
-5.190000000000000568e+01	2.913449088222791800e-07
-5.160000000000000142e+01	2.732957772509408420e-07
-5.130000000000001137e+01	1.517538332802113367e-07
-5.100000000000000711e+01	1.929324259959752768e-07
-5.070000000000000284e+01	3.845814058631271369e-07
-5.040000000000000568e+01	-1.235748143221922286e-07
-5.010000000000000142e+01	-1.490518969580440498e-07
-4.980000000000001137e+01	-2.888070299378694215e-07
-4.950000000000000711e+01	1.994873382839976800e-07
-4.920000000000000284e+01	-2.690364382211440254e-07
-4.890000000000000568e+01	9.364391513654377310e-08
-4.860000000000000142e+01	2.570359795345012977e-07
-4.830000000000000426e+01	5.188076449357609206e-07
-4.800000000000000711e+01	2.076068626633024911e-07
-4.770000000000000284e+01	-1.087983912519717759e-08
-4.740000000000000568e+01	2.531107338934924729e-07
-4.710000000000000142e+01	5.756429088818893643e-09
-4.680000000000000426e+01	-2.026814469194375520e-07
-4.650000000000000711e+01	-8.908881553835659360e-08
-4.620000000000000284e+01	-4.595190804841741632e-09
-4.590000000000000568e+01	-2.918252999476313780e-07
-4.560000000000000142e+01	3.942794335851428690e-07
-4.530000000000000426e+01	-6.679124693201340505e-08
-4.500000000000000711e+01	1.960154046199866475e-07
-4.470000000000000284e+01	-1.955220014363343113e-08
-4.440000000000000568e+01	1.753058346421409662e-08
-4.410000000000000142e+01	-1.191306688968078556e-07
-4.380000000000000426e+01	4.657513288940775258e-07
-4.350000000000000711e+01	-3.545821054520899542e-08
-4.320000000000000284e+01	-1.163195367880945118e-07
-4.290000000000000568e+01	4.289294898067360059e-07
-4.260000000000000853e+01	-2.456840136993588003e-07
-4.230000000000000426e+01	-2.085801294564299211e-07
-4.200000000000000711e+01	1.417523080902751866e-08
-4.170000000000000284e+01	4.542163150496042877e-07
-4.140000000000000568e+01	4.090920794122530299e-08
-4.110000000000000853e+01	7.516626483442825426e-08
-4.080000000000000426e+01	2.558817747955511999e-07
-4.050000000000000711e+01	3.809860334838903698e-08
-4.020000000000000284e+01	1.914682177599550195e-07
-3.990000000000000568e+01	2.127436364352322815e-07
-3.960000000000000853e+01	-9.745996499100652771e-08
-3.930000000000000426e+01	3.332185916253480000e-07
-3.900000000000000711e+01	1.300551710329272350e-07
-3.870000000000000284e+01	-2.357712870153903334e-07
-3.840000000000000568e+01	-3.925727438843127449e-07
-3.810000000000000853e+01	-1.106197277367439334e-07
-3.780000000000000426e+01	2.871488716977264045e-07
-3.750000000000000000e+01	-1.315387215177720414e-07
-3.720000000000000284e+01	-2.240331795582591058e-07
-3.690000000000000568e+01	-1.265964252658420422e-07
-3.660000000000000853e+01	-2.984333155006086090e-08
-3.630000000000001137e+01	-1.053807917232952694e-07
-3.600000000000000000e+01	2.899220226632932574e-07
-3.570000000000000284e+01	-4.669218866252158241e-09
-3.540000000000000568e+01	-3.278855819471616293e-07
-3.510000000000000853e+01	-1.306261190505035216e-07
-3.480000000000000426e+01	2.381213702475760415e-07
-3.450000000000000000e+01	4.637898490246400105e-07
-3.420000000000000284e+01	1.878640534494341475e-07
-3.390000000000000568e+01	-9.371723984345146509e-08
-3.360000000000000853e+01	5.257103660253743721e-07
-3.330000000000001137e+01	4.631817990570456938e-08
-3.300000000000000711e+01	-3.285446251162025420e-07
-3.270000000000000995e+01	1.354562302592510095e-07
-3.240000000000001279e+01	2.228789748193089750e-08
-3.210000000000000142e+01	-3.898729176256535972e-08
-3.180000000000000071e+01	5.662742269057680695e-08
-3.150000000000000355e+01	1.387787010914357529e-07
-3.120000000000000284e+01	-1.618554106481579434e-07
-3.090000000000000568e+01	-2.315137063718502531e-07
-3.060000000000000497e+01	3.138620998720941343e-07
-3.030000000000000782e+01	-1.676909671185318868e-07
-3.000000000000000711e+01	1.372773909053974655e-07
-2.970000000000000995e+01	1.420005922297327304e-07
-2.940000000000000924e+01	-1.317926324932509850e-07
-2.910000000000001208e+01	-2.452896076619631290e-08
-2.880000000000000071e+01	5.227383415741655564e-08
-2.850000000000000000e+01	-1.921606702678747420e-07
-2.820000000000000284e+01	-1.746450330868432974e-07
-2.790000000000000568e+01	1.574596208448349825e-07
-2.760000000000000497e+01	8.512383036794460785e-08
-2.730000000000000782e+01	4.217197544766889682e-07
-2.700000000000000711e+01	-7.082217158705461574e-08
-2.670000000000000995e+01	1.265663568608511161e-07
-2.640000000000000924e+01	-7.339627322835404937e-08
-2.610000000000001208e+01	5.669461062944835911e-07
-2.580000000000000071e+01	-1.018139052014181355e-07
-2.550000000000000000e+01	7.287491170321894595e-08
-2.520000000000000284e+01	1.201769087195916409e-08
-2.490000000000000213e+01	3.229733541002225827e-08
-2.460000000000000497e+01	2.933209832976479611e-07
-2.430000000000000426e+01	3.183813283906430415e-07
-2.400000000000000711e+01	-2.617753580123989227e-07
-2.370000000000000639e+01	8.788344175933428445e-08
-2.340000000000000924e+01	3.152440156312971117e-07
-2.310000000000000853e+01	1.952440005691375287e-07
-2.280000000000001137e+01	-8.552017063022269698e-08
-2.250000000000000000e+01	-2.936561317181901217e-07
-2.220000000000000284e+01	2.493314343117964646e-07
-2.190000000000000213e+01	-1.759685704223211588e-07
-2.160000000000000497e+01	1.447480707559506567e-07
-2.130000000000000426e+01	3.185372972516193766e-07
-2.100000000000000711e+01	-1.267836934021890612e-07
-2.070000000000000639e+01	1.262440446599834320e-07
-2.040000000000000568e+01	-9.035854625437704651e-08
-2.010000000000000853e+01	-2.646255262960126879e-07
-1.980000000000001137e+01	-1.905995749491059389e-07
-1.950000000000001421e+01	-3.977510155719025648e-07
-1.920000000000000284e+01	1.742119425517984752e-07
-1.890000000000000213e+01	2.576814831293650075e-07
-1.860000000000000142e+01	1.681847219794355663e-07
-1.830000000000000426e+01	2.065789100575892449e-07
-1.800000000000000711e+01	-4.021781046505959713e-08
-1.770000000000000639e+01	2.384442099643207571e-08
-1.740000000000000568e+01	1.410331281112526995e-07
-1.710000000000000853e+01	3.771685769204220039e-07
-1.680000000000001137e+01	4.718944271207622192e-07
-1.650000000000001066e+01	1.824677418660037092e-08
-1.620000000000000995e+01	-4.057743562229614506e-07
-1.590000000000000036e+01	1.474670634248087248e-07
-1.560000000000000142e+01	3.748292198444026465e-07
-1.530000000000000426e+01	4.092213208021262033e-07
-1.500000000000000533e+01	7.572349743920165648e-08
-1.470000000000000639e+01	9.971333697906941136e-08
-1.440000000000000746e+01	-6.715980469143437549e-09
-1.410000000000000675e+01	1.296396643604502520e-07
-1.380000000000000959e+01	-2.965087617425634025e-07
-1.350000000000000711e+01	6.272691293809334158e-09
-1.320000000000001172e+01	1.180974411323242152e-07
-1.289999999999999858e+01	-5.046339966743645692e-08
-1.260000000000000142e+01	2.319787995367684060e-07
-1.230000000000000426e+01	1.655865304464182342e-07
-1.200000000000000000e+01	1.970226082678699187e-07
-1.170000000000000639e+01	1.852952269669049624e-08
-1.140000000000000568e+01	-2.340083289543432457e-07
-1.110000000000000853e+01	2.915587285911035731e-07
-1.080000000000001137e+01	4.383088979390233536e-07
-1.050000000000000711e+01	1.320887447388926581e-07
-1.020000000000001350e+01	1.163283287193784446e-07
-9.900000000000012790e+00	4.511632289919581219e-08
-9.600000000000001421e+00	1.931000002062463307e-07
-9.300000000000004263e+00	1.486277741929088420e-07
-9.000000000000000000e+00	-8.119313372953982648e-08
-8.700000000000006395e+00	7.258882225924092377e-08
-8.400000000000005684e+00	2.638534188906608958e-07
-8.100000000000004974e+00	-5.049825088304582114e-07
-7.800000000000011369e+00	-2.208515554652423142e-08
-7.500000000000007105e+00	-3.739120455728664854e-07
-7.200000000000009948e+00	-7.557719970263754299e-09
-6.900000000000012790e+00	-4.521795762483766758e-08
-6.599999999999997868e+00	1.467761934645200702e-07
-6.300000000000004263e+00	-2.957491388796347502e-07
-6.000000000000000000e+00	-9.631279379708362655e-08
-5.700000000000002842e+00	-9.486968619614470743e-08
-5.400000000000005684e+00	1.719749235559236730e-07
-5.100000000000004974e+00	-1.258916640541248482e-07
-4.800000000000011369e+00	2.940120290965622575e-07
-4.500000000000007105e+00	1.247328875109071918e-08
-4.200000000000009948e+00	-6.557198190156252993e-08
-3.900000000000012790e+00	2.944365035389488152e-08
-3.600000000000012079e+00	4.585994444718784535e-08
-3.300000000000004263e+00	-1.997456452251185967e-07
-3.000000000000000000e+00	3.551236884191781998e-09
-2.700000000000002842e+00	-3.016581958955420672e-08
-2.400000000000005684e+00	6.051062531618599065e-07
-2.100000000000004974e+00	-1.831452480907408292e-07
-1.800000000000007816e+00	-2.281710140977124866e-07
-1.500000000000007105e+00	-1.209447959979272077e-07
-1.200000000000009948e+00	1.011974149797912624e-07
-9.000000000000056843e-01	1.286053815642125751e-07
-6.000000000000120792e-01	1.016880047454327399e-07
-3.000000000000113687e-01	-3.416039840066778897e-07
0.000000000000000000e+00	6.101995947932473156e-07
2.999999999999971578e-01	2.268546861458873975e-07
5.999999999999943157e-01	1.301731587507571189e-07
8.999999999999950262e-01	9.228169330341670782e-08
1.199999999999992184e+00	2.905522282977230414e-08
1.499999999999992895e+00	6.199067661237982510e-08
1.799999999999990052e+00	1.505372058291456189e-07
2.099999999999990763e+00	4.029989193552608564e-07
2.399999999999987921e+00	1.247641867862778195e-07
2.699999999999992184e+00	8.080962968693622714e-08
2.999999999999985789e+00	1.041260072904574322e-07
3.299999999999997158e+00	4.120707857312373879e-08
3.599999999999994316e+00	-2.305958287458113657e-07
3.899999999999998579e+00	8.369144892317206588e-08
4.200000000000002842e+00	-3.800509236725349270e-07
4.499999999999992895e+00	-1.581861860461362675e-07
4.799999999999990052e+00	1.140195675642270184e-07
5.099999999999987210e+00	7.774933424563726259e-08
5.399999999999991473e+00	1.179270535040423224e-07
5.699999999999995737e+00	1.671887720035956772e-07
5.999999999999985789e+00	7.376289676289256226e-08
6.299999999999997158e+00	-3.421485562304024704e-07
6.599999999999994316e+00	-5.561142711140964262e-08
6.899999999999998579e+00	1.614587187086284779e-07
7.200000000000002842e+00	-3.667413464177198030e-08
7.499999999999992895e+00	-2.355147384605261795e-08
7.799999999999990052e+00	-1.525178521087820149e-07
8.099999999999987210e+00	1.775549865031876047e-07
8.399999999999991473e+00	4.561137896592949827e-07
8.699999999999995737e+00	-1.429248000462960218e-07
8.999999999999992895e+00	-1.069295783382665876e-07
9.299999999999982947e+00	-3.358582810740253351e-07
9.599999999999994316e+00	2.048433828221478994e-07
9.899999999999998579e+00	-2.618715417406447421e-07
1.020000000000000284e+01	9.120345085075956532e-08
1.050000000000000000e+01	-5.234012531929716357e-08
1.079999999999999005e+01	2.764283423673934621e-07
1.109999999999998721e+01	-2.692317949342721781e-08
1.139999999999999147e+01	1.826047201554068054e-07
1.169999999999999574e+01	2.832327696652528624e-07
1.199999999999999289e+01	-2.460654076784542738e-07
1.229999999999998295e+01	3.127135219691657938e-07
1.259999999999999432e+01	-1.567865105857398488e-08
1.289999999999999858e+01	8.049892283536332802e-09
1.320000000000000284e+01	-3.949159694100970836e-08
1.350000000000000000e+01	2.131726826818864938e-07
1.379999999999999005e+01	1.398254684300965697e-07
1.409999999999998721e+01	1.844360794418426071e-07
1.439999999999999147e+01	-8.788695853184783641e-08
1.469999999999999574e+01	-1.186639931842585817e-07
1.499999999999999289e+01	2.029212908048622614e-07
1.529999999999999005e+01	2.061155752789278017e-07
1.559999999999998010e+01	-2.998416070536632128e-07
1.589999999999999858e+01	4.034154810594918494e-07
1.620000000000000284e+01	2.411479046727448331e-07
1.650000000000000000e+01	-3.001155636324694583e-07
1.679999999999999716e+01	3.730982644132289160e-07
1.709999999999998721e+01	2.575251625911372829e-07
1.739999999999999147e+01	9.519235007426374143e-08
1.769999999999999574e+01	-6.939735120318622238e-08
1.799999999999999289e+01	-1.728829542189246043e-07
1.829999999999999005e+01	2.752162867205953592e-07
1.859999999999999432e+01	-2.080285236876781835e-07
1.889999999999999858e+01	4.127477644400974632e-08
1.920000000000000284e+01	1.835619856335975700e-07
1.950000000000000000e+01	5.304114116828741829e-07
1.979999999999999716e+01	1.930945492088503212e-07
2.009999999999998721e+01	8.988589202855473167e-08
2.039999999999999147e+01	1.043967987740014623e-07
2.069999999999999574e+01	3.508314675663794592e-08
2.099999999999999289e+01	1.863998452134139166e-07
2.129999999999999005e+01	5.694567301919132756e-07
2.159999999999998721e+01	1.678237252809187312e-07
2.189999999999999147e+01	-2.741904441783902388e-07
2.219999999999998863e+01	2.512733960937836302e-07
2.249999999999998579e+01	-3.220871274268057159e-07
2.279999999999998295e+01	3.289084352327302292e-07
2.309999999999998010e+01	-1.661854368054773211e-07
2.339999999999999147e+01	-1.226075260423378661e-07
2.369999999999998153e+01	-2.648778547238605637e-07
2.400000000000000711e+01	2.289399564078021429e-07
2.430000000000000426e+01	-3.025215635476207669e-08
2.459999999999999432e+01	1.581617444771670192e-07
2.489999999999999858e+01	7.447820829215045187e-08
2.520000000000000284e+01	-2.398528531946267770e-07
2.550000000000000000e+01	4.219423661767970825e-09
2.579999999999999716e+01	2.368904998678304211e-07
2.609999999999999432e+01	5.608460885310898232e-08
2.639999999999999147e+01	-2.008550111145207548e-07
2.669999999999999574e+01	-4.289041690446384424e-07
2.699999999999999289e+01	8.798261474421665082e-08
2.729999999999999005e+01	-2.787516981284761012e-07
2.759999999999998721e+01	3.901315762440258638e-07
2.789999999999999147e+01	1.229723911906195898e-07
2.819999999999998863e+01	7.938551265757054683e-08
2.849999999999998579e+01	-2.779954161994353061e-07
2.879999999999998295e+01	-8.448518447948229385e-09
2.909999999999998010e+01	1.145738109123638869e-07
2.939999999999998437e+01	-4.058904097159089035e-07
2.969999999999998863e+01	-8.674611752844933935e-08
2.999999999999997868e+01	-2.558469587476670170e-07
3.030000000000001137e+01	-1.379184985346192553e-07
3.060000000000000142e+01	-6.851534465678564704e-08
3.089999999999999147e+01	3.682166324871578535e-08
3.120000000000000284e+01	-3.742517657976763404e-07
3.149999999999999289e+01	2.570073178385157711e-07
3.179999999999999716e+01	5.971761069824102931e-08
