# distance_x[ps] 	  Amplitude [V]
-5.940000000000000568e+01	-1.924010416691765093e-07
-5.910000000000000142e+01	1.481421079087863558e-07
-5.880000000000001137e+01	2.455901158732467751e-07
-5.850000000000000000e+01	-2.589675668375734493e-07
-5.820000000000000995e+01	1.132411299683507427e-07
-5.790000000000001990e+01	-1.025890018634065143e-07
-5.760000000000000142e+01	7.558810169742964141e-08
-5.729999999999999716e+01	1.066355761561330537e-08
-5.700000000000000000e+01	5.152247570989470552e-08
-5.670000000000000284e+01	1.165741511180761950e-07
-5.640000000000000568e+01	-5.654671276139062144e-08
-5.610000000000000853e+01	-1.531295946875155783e-07
-5.580000000000001137e+01	3.606232172758814688e-07
-5.550000000000000711e+01	3.207349283953422089e-08
-5.520000000000000995e+01	-2.265423967466833642e-07
-5.490000000000001279e+01	1.877659354963058441e-07
-5.460000000000001563e+01	-1.079675537456434980e-07
-5.430000000000000426e+01	-1.219516479685591422e-07
-5.400000000000000000e+01	2.838721189082179689e-08
-5.370000000000000284e+01	-2.332826429461703553e-07
-5.340000000000000568e+01	-2.981122341701206032e-07
-5.310000000000000853e+01	-9.099824717459339698e-08
-5.280000000000001137e+01	-4.219951177645005603e-09
-5.250000000000000711e+01	1.881485603457810753e-07
-5.220000000000000284e+01	2.787337625886569782e-07
-5.190000000000000568e+01	-3.584626880821765474e-07
-5.160000000000000853e+01	-2.895701695733117051e-07
-5.130000000000001137e+01	-3.984443472729507084e-07
-5.100000000000000711e+01	1.378078960390678120e-07
-5.070000000000000284e+01	1.259883752982476991e-08
-5.040000000000000568e+01	-4.687875344436584860e-08
-5.010000000000000853e+01	4.122026647004958510e-08
-4.980000000000001137e+01	2.176759098854986297e-07
-4.950000000000000711e+01	-1.685219804634858528e-07
-4.920000000000000284e+01	-2.889181599492978963e-07
-4.890000000000001279e+01	1.416766974812339651e-08
-4.860000000000000853e+01	1.318714081975547130e-07
-4.830000000000001137e+01	1.126278048419860717e-07
-4.800000000000000711e+01	-3.072730748906901951e-07
-4.770000000000000284e+01	-3.665419454162011396e-07
-4.740000000000000568e+01	-8.666980356490508717e-08
-4.710000000000000853e+01	-2.868970707857555867e-07
-4.680000000000001137e+01	-3.571950674296642865e-07
-4.650000000000000711e+01	-1.026589856364263359e-07
