# distance_x[ps] 	  Amplitude [V]
-6.900000000000000000e+01	9.920059154659250626e-08
-6.870000000000000284e+01	1.064586824987010488e-07
-6.840000000000000568e+01	-2.598731357598149180e-07
-6.809999999999999432e+01	3.289573183706687258e-07
-6.780000000000001137e+01	1.647562204559669944e-07
-6.750000000000001421e+01	2.517536113805101069e-07
-6.720000000000000284e+01	2.176168281072708668e-07
-6.689999999999999147e+01	9.295199014450105562e-08
-6.659999999999999432e+01	7.346309190611168215e-08
-6.629999999999999716e+01	4.691924907985949058e-07
-6.600000000000000000e+01	-5.345072207907905952e-08
-6.570000000000000284e+01	-6.257303655676261389e-07
-6.540000000000000568e+01	6.750884436340510212e-08
-6.510000000000000853e+01	6.481207769683271838e-07
-6.480000000000001137e+01	-1.455203539999281700e-07
-6.450000000000001421e+01	-8.014443216599656542e-08
-6.420000000000001705e+01	2.285930267993395421e-07
-6.389999999999999858e+01	6.459894369864847940e-07
-6.359999999999999432e+01	-1.545276876002809424e-07
-6.329999999999999716e+01	2.900700787861141469e-07
-6.300000000000000000e+01	4.666772950968975800e-07
-6.270000000000000284e+01	1.448896208496213943e-07
-6.240000000000000568e+01	-4.276553631250736461e-08
-6.210000000000000142e+01	2.465338417772602839e-07
-6.179999999999999716e+01	1.581898786572754878e-07
-6.150000000000000000e+01	1.181688316143495224e-08
-6.120000000000000284e+01	4.226886253041744252e-07
-6.090000000000000568e+01	8.765379651419888104e-08
-6.060000000000000142e+01	-8.129723019594118413e-08
-6.029999999999999716e+01	4.228887296601959471e-07
-6.000000000000000000e+01	5.017924444834087905e-08
-5.970000000000000284e+01	8.617007019072836666e-08
-5.940000000000000568e+01	-4.230506770344452702e-07
-5.910000000000000142e+01	3.567046535026484112e-07
-5.879999999999999716e+01	1.066760190400389542e-08
-5.850000000000000711e+01	2.353807494277595772e-07
-5.820000000000000284e+01	-5.007690636819633709e-08
-5.790000000000000568e+01	-1.326465048595431315e-07
-5.760000000000000142e+01	-6.313239680890672999e-08
-5.729999999999999716e+01	1.812658848594949520e-07
-5.700000000000000000e+01	1.494696895326548271e-07
-5.670000000000000284e+01	-2.177007031317192412e-07
-5.640000000000000568e+01	5.909443860883838231e-08
-5.610000000000000142e+01	2.655914078668616773e-07
-5.579999999999999716e+01	3.754101906636425840e-07
-5.550000000000000000e+01	2.229844779947158315e-07
-5.520000000000000995e+01	2.725387919673972678e-07
-5.490000000000000568e+01	-3.611180271685391186e-08
-5.460000000000000142e+01	-3.229592870101683220e-08
-5.429999999999999716e+01	-2.056729894580964394e-07
-5.400000000000000000e+01	4.848248962986155316e-07
-5.370000000000000284e+01	1.094649954819168968e-07
-5.340000000000000568e+01	8.747391360013034239e-08
-5.310000000000000142e+01	-5.252264581275086619e-08
-5.279999999999999716e+01	-1.018079266881450813e-07
-5.250000000000000000e+01	-2.956638571461808969e-07
-5.220000000000000995e+01	-1.768250803679984163e-08
-5.190000000000000568e+01	8.175652068621196448e-08
-5.160000000000000142e+01	-4.380104997912477937e-08
-5.129999999999999716e+01	-1.847386977166343262e-07
-5.100000000000000000e+01	-4.787980274035040388e-08
-5.070000000000000284e+01	7.833681109402729900e-08
-5.040000000000000568e+01	3.106903227421153583e-07
-5.010000000000000142e+01	1.539572670985816475e-08
-4.979999999999999716e+01	-1.110067485518610979e-07
-4.950000000000000000e+01	-8.186096882986465879e-08
-4.920000000000000284e+01	2.637227707917823625e-08
-4.890000000000000568e+01	5.559674458616554004e-07
-4.860000000000000142e+01	-3.259116175353009741e-08
-4.829999999999999716e+01	2.130128453711452172e-07
-4.800000000000000000e+01	2.275190044736986778e-07
-4.770000000000000284e+01	6.347876373376713649e-07
-4.740000000000000568e+01	1.831155313630012398e-07
-4.710000000000000142e+01	1.374396899568982047e-07
-4.679999999999999716e+01	9.460979670739270954e-08
-4.650000000000000000e+01	1.147798937816584630e-07
-4.620000000000000284e+01	-1.676737349332154636e-07
-4.590000000000000568e+01	-5.034963207662278176e-09
-4.560000000000000853e+01	8.600284765770864947e-08
-4.529999999999999716e+01	1.426865387085024069e-07
-4.500000000000000000e+01	1.400765659875646149e-08
-4.470000000000000284e+01	3.678048184258201437e-07
-4.440000000000000568e+01	7.153343882792190869e-08
-4.410000000000000142e+01	1.934217848912369833e-07
-4.379999999999999716e+01	-3.263353886231848849e-08
-4.350000000000000000e+01	-1.725768191716193068e-08
-4.320000000000000284e+01	6.411252130843558230e-08
-4.290000000000000568e+01	2.089965153220353252e-08
-4.260000000000000853e+01	2.591198430874105905e-07
-4.229999999999999716e+01	4.078467902652017724e-07
-4.200000000000000000e+01	3.336887841104108523e-07
-4.170000000000000284e+01	4.783248456618045866e-07
-4.140000000000000568e+01	4.027683949169970187e-07
-4.110000000000000853e+01	2.435331556300661666e-07
-4.079999999999999716e+01	-4.281143019380930766e-09
-4.050000000000000000e+01	-3.992556666918287888e-08
-4.020000000000000284e+01	1.528380542461415466e-07
-3.990000000000000568e+01	1.421834644004378292e-07
-3.960000000000000853e+01	-2.767629632720585119e-07
-3.929999999999999716e+01	1.180839015581470521e-07
-3.900000000000000000e+01	-1.209069906934064778e-07
-3.870000000000000284e+01	1.777419029622832341e-07
-3.840000000000000568e+01	-1.001517026728845218e-07
-3.810000000000000853e+01	-1.483814242783340072e-07
-3.779999999999999716e+01	-4.054346359981517810e-08
-3.750000000000000000e+01	2.357123810757882124e-07
-3.720000000000000284e+01	-1.692093336512609554e-07
-3.690000000000000568e+01	1.550597752815823568e-07
-3.660000000000000853e+01	-1.521642406325436469e-07
-3.630000000000000426e+01	5.933322746250903536e-08
-3.600000000000000000e+01	-1.532224374818735406e-07
-3.570000000000000284e+01	-1.846702964912456387e-07
-3.539999999999999858e+01	4.345204547487920096e-07
-3.510000000000000853e+01	-4.171565663017205425e-07
-3.480000000000000426e+01	1.643018534472151657e-08
-3.450000000000000000e+01	3.851405726927830893e-07
-3.420000000000000284e+01	-3.096359943425503797e-08
-3.389999999999999858e+01	3.174495595131755617e-07
-3.360000000000000853e+01	5.369232435076059121e-09
-3.330000000000000426e+01	1.900069987805712826e-07
-3.300000000000000711e+01	1.668344571728546359e-07
-3.270000000000000284e+01	1.210487166257028838e-07
-3.239999999999999858e+01	3.925053976906780674e-07
-3.210000000000000853e+01	2.590032620785861459e-08
-3.180000000000000426e+01	3.284788614701990648e-08
-3.150000000000000711e+01	-4.442387039127603677e-09
-3.120000000000000284e+01	-2.996026423613668186e-08
-3.089999999999999858e+01	4.917012415943773566e-07
-3.060000000000000853e+01	-2.083511875657976013e-09
-3.030000000000000426e+01	1.213701496334421733e-07
-3.000000000000000711e+01	4.665355691646011211e-07
-2.970000000000000284e+01	3.118585945711196109e-08
-2.939999999999999858e+01	3.236491019387029136e-07
-2.910000000000000142e+01	9.324265139274669270e-08
-2.880000000000000426e+01	-4.845760846432813269e-09
-2.850000000000000711e+01	6.549285452000745207e-08
-2.820000000000000284e+01	-1.942522707203139179e-07
-2.789999999999999858e+01	1.738080412286162904e-07
-2.760000000000000142e+01	-1.857571550365609795e-07
-2.730000000000000426e+01	7.363488624339902748e-08
-2.700000000000000711e+01	3.016916052344209034e-08
-2.670000000000000284e+01	4.656556726817087114e-07
-2.639999999999999858e+01	-1.833258343593120280e-08
-2.610000000000000142e+01	-2.607229638377164479e-08
-2.580000000000000426e+01	-3.194513064278934282e-08
-2.550000000000000711e+01	-6.225179697151156750e-08
-2.520000000000000284e+01	2.492881780098796723e-07
-2.489999999999999858e+01	-2.730474931114835630e-08
-2.460000000000000142e+01	-5.205051910280558281e-08
-2.430000000000000426e+01	3.199418961935347469e-08
-2.400000000000000711e+01	4.762699954821322099e-07
-2.370000000000000639e+01	-9.701104897965073490e-08
-2.340000000000000568e+01	-7.752408496614380575e-08
-2.310000000000000142e+01	1.276402033478663120e-07
-2.280000000000000426e+01	-1.378082477163191685e-08
-2.250000000000000711e+01	-2.500131606635497570e-07
-2.220000000000000284e+01	1.130524551229983110e-07
-2.190000000000000568e+01	4.193842658504344730e-07
-2.160000000000000142e+01	1.974650182500755729e-08
-2.130000000000000426e+01	-2.074649608923803970e-08
-2.100000000000000355e+01	-1.666317152374479301e-07
-2.070000000000000284e+01	1.723851550696303149e-07
-2.040000000000000568e+01	-1.116575273054951754e-07
-2.010000000000000142e+01	2.523393298426433541e-07
-1.980000000000000426e+01	-2.863586529139297152e-07
-1.950000000000000355e+01	2.727216641381023401e-07
-1.920000000000000284e+01	2.566913358281724647e-07
-1.890000000000000568e+01	3.916244461760315947e-07
-1.860000000000000142e+01	2.991655075379315189e-07
-1.830000000000000426e+01	-7.890529737084407012e-08
-1.800000000000000355e+01	1.674854117651143818e-07
-1.770000000000000284e+01	-7.664629854675950864e-09
-1.740000000000000568e+01	-3.680007026548253080e-07
-1.710000000000000853e+01	2.494082757912176556e-07
-1.680000000000000426e+01	8.960437438884433762e-08
-1.650000000000000355e+01	2.706870354003828276e-07
-1.620000000000000284e+01	-7.142899068426920114e-08
-1.590000000000000568e+01	2.930146724117170482e-07
-1.560000000000000142e+01	4.754363445577930600e-07
-1.530000000000000249e+01	-5.001817626721989763e-08
-1.500000000000000355e+01	-1.049352166458273602e-08
-1.470000000000000462e+01	2.504738578628259899e-07
