# distance_x[ps] 	  Amplitude [V]
1.118495297805642608e+01	-3.743255951614397084e-05
1.113479623824451359e+01	-4.008517785145150218e-05
1.108463949843260110e+01	-3.856361545170075523e-05
1.103448275862069039e+01	-3.108395165408443415e-05
1.098432601880877613e+01	-2.049250141457326273e-05
1.093416927899686364e+01	-5.201003050085697392e-06
1.088401253918495115e+01	1.250143981170725383e-05
1.083385579937304044e+01	2.805623682422146497e-05
1.078369905956112795e+01	3.708455025851971782e-05
1.073354231974921724e+01	3.437237080889079719e-05
1.068338557993730475e+01	2.528362181478565799e-05
1.063322884012539049e+01	1.639687553050484312e-05
1.058307210031347800e+01	1.192538034112113497e-05
1.053291536050156552e+01	1.105436722559794555e-05
1.048275862068965480e+01	1.252909201814274420e-05
1.043260188087774054e+01	1.223961557055691573e-05
1.038244514106582983e+01	3.451953120975242321e-06
1.033228840125391912e+01	-1.444660976941997509e-05
1.028213166144200486e+01	-4.064469319326346369e-05
1.023197492163009237e+01	-6.172641032439606806e-05
1.018181818181818166e+01	-6.821195726384519215e-05
1.013166144200626917e+01	-5.557893441928649656e-05
1.008150470219435668e+01	-2.798348060359057496e-05
1.003134796238244419e+01	1.218868690188593600e-06
9.981191222570533483e+00	2.582257546690396504e-05
9.931034482758619220e+00	3.808102564017312757e-05
9.880877742946706732e+00	3.629712097868078983e-05
9.830721003134794245e+00	2.664132143013751264e-05
9.780564263322883534e+00	1.682445792060025948e-05
9.730407523510971046e+00	1.736859582291943173e-05
9.680250783699058559e+00	3.131088740183675661e-05
9.630094043887146071e+00	4.939950599831185996e-05
9.579937304075233584e+00	6.049798779415852174e-05
9.529780564263322873e+00	5.693663632054048759e-05
9.479623824451410385e+00	3.803760563249584286e-05
9.429467084639497898e+00	1.003130293367852627e-05
9.379310344827585411e+00	-1.907157251532975501e-05
9.329153605015672923e+00	-4.269522530380515048e-05
9.278996865203760436e+00	-5.324483386314312678e-05
9.228840125391847948e+00	-5.055926213851316838e-05
9.178683385579937237e+00	-3.578989353811629954e-05
9.128526645768022973e+00	-2.060726847213524747e-05
9.078369905956114039e+00	-1.292864151117807904e-05
9.028213166144201551e+00	-1.020515475872493540e-05
8.978056426332289064e+00	-1.148708656530391962e-05
8.927899686520376576e+00	-1.143251539950201936e-05
8.877742946708462313e+00	-7.543874788555130482e-06
8.827586206896551602e+00	3.048426334065696117e-07
8.777429467084637338e+00	1.189173221338865415e-05
8.727272727272726627e+00	2.130181117379842479e-05
8.677115987460815916e+00	2.570645163850625081e-05
8.626959247648901652e+00	2.196440417301455026e-05
8.576802507836989165e+00	1.343269787796709137e-05
8.526645768025078453e+00	-3.218121158162454076e-07
8.476489028213165966e+00	-1.129261555133326286e-05
8.426332288401251702e+00	-2.019279748916350502e-05
8.376175548589342768e+00	-2.236519491090855309e-05
8.326018808777428504e+00	-2.015584552949316088e-05
8.275862068965517793e+00	-1.184948047754037824e-05
8.225705329153603529e+00	-1.729977768414923523e-07
8.175548589341692818e+00	1.092831660342620943e-05
8.125391849529780330e+00	1.822060799239048798e-05
8.075235109717867843e+00	1.627425182730894175e-05
8.025078369905953579e+00	8.027546710985174747e-06
7.974921630094043756e+00	-4.987533200126415692e-06
7.924764890282132157e+00	-1.542565198220779418e-05
7.874608150470218781e+00	-2.071662866779626000e-05
7.824451410658307182e+00	-1.775873601525611883e-05
7.774294670846395583e+00	-8.775934189087581034e-06
7.724137931034482207e+00	5.811159212738402882e-06
7.673981191222570608e+00	1.924753053543453072e-05
7.623824451410658121e+00	2.724251773561880258e-05
7.573667711598746521e+00	2.483798325957387539e-05
7.523510971786833146e+00	1.229885718609544834e-05
7.473354231974921547e+00	-3.207716083326586905e-06
7.423197492163009947e+00	-1.551153174282752557e-05
7.373040752351096572e+00	-2.161999468373518307e-05
7.322884012539184972e+00	-1.976806069554743562e-05
7.272727272727272485e+00	-1.355408842488111321e-05
7.222570532915360886e+00	-4.929043294712658239e-06
7.172413793103448398e+00	2.267019878833486311e-06
7.122257053291536799e+00	5.066941923482575279e-06
7.072100313479624312e+00	3.536906563714905288e-06
7.021943573667710936e+00	-6.981222485661077560e-07
6.971786833855799337e+00	-5.127570554100454250e-06
6.921630094043886849e+00	-5.862562821537338343e-06
6.871473354231974362e+00	-5.583059237445463314e-06
6.821316614420062763e+00	-3.217626699947047511e-06
6.771159874608151163e+00	1.408157739860521982e-06
6.721003134796237788e+00	5.126595353082443992e-06
6.670846394984326189e+00	8.797790578582099027e-06
6.620689655172413701e+00	1.405770238168791966e-05
6.570532915360501214e+00	1.723165041533931201e-05
6.520376175548588726e+00	1.634758726037281216e-05
6.470219435736677127e+00	1.029810340793554863e-05
6.420062695924765528e+00	-4.372640472413823587e-06
6.369905956112852152e+00	-2.163500602720930894e-05
6.319749216300940553e+00	-3.536947481363099881e-05
6.269592476489028066e+00	-3.984774735116421683e-05
6.219435736677115578e+00	-3.405640796495772854e-05
6.169278996865203091e+00	-1.759053828121837846e-05
6.119122257053291492e+00	7.237902040301328975e-06
6.068965517241379892e+00	2.956263384586199953e-05
6.018808777429467405e+00	4.383944117794630574e-05
5.968652037617554917e+00	4.201124645925683338e-05
5.918495297805642430e+00	2.906742937132823762e-05
5.868338557993729943e+00	1.286208430545684318e-05
5.818181818181817455e+00	-8.187853510856989939e-07
5.768025078369905856e+00	-8.130902896772415134e-06
5.717868338557993368e+00	-1.231359808976328118e-05
5.667711598746081769e+00	-1.368427143059490884e-05
5.617554858934170170e+00	-1.659279334468757833e-05
5.567398119122256794e+00	-2.005026973273398794e-05
5.517241379310345195e+00	-2.252333326884849998e-05
5.467084639498432708e+00	-1.863586620488938837e-05
5.416927899686520220e+00	-7.285055277840378028e-06
5.366771159874607733e+00	5.767075062571935893e-06
5.316614420062696134e+00	1.941219584732102306e-05
5.266457680250783646e+00	2.363986317553802639e-05
5.216300940438871159e+00	2.047153863697444065e-05
5.166144200626959559e+00	6.925374203920879318e-06
5.115987460815047072e+00	-8.240275752814478754e-06
5.065830721003134585e+00	-2.062249170115331443e-05
5.015673981191222097e+00	-2.565887550907245020e-05
4.965517241379310498e+00	-2.086701623495495139e-05
4.915360501567397122e+00	-9.321639868593295785e-06
4.865203761755485523e+00	7.624069158890820864e-07
4.815047021943573036e+00	5.577998601798452332e-06
4.764890282131660548e+00	4.173865104725196165e-06
4.714733542319748949e+00	2.109086724569701201e-06
4.664576802507836462e+00	2.900783432015210033e-06
4.614420062695924862e+00	8.830480034127382514e-06
4.564263322884012375e+00	1.913729044329062705e-05
4.514106583072099887e+00	3.192227724828722524e-05
4.463949843260187400e+00	3.721878001436486778e-05
4.413793103448274913e+00	3.095286483783465183e-05
4.363636363636363313e+00	1.126806074228909049e-05
4.313479623824451714e+00	-1.512121905279905386e-05
4.263322884012538339e+00	-4.043851115098402867e-05
4.213166144200627627e+00	-5.445647294823697864e-05
4.163009404388714252e+00	-5.269793089843517330e-05
4.112852664576801764e+00	-3.763938407276162812e-05
4.062695924764889277e+00	-1.364064393333932682e-05
4.012539184952977678e+00	1.477889676800648170e-05
3.962382445141066079e+00	4.000321559957324528e-05
3.912225705329152703e+00	5.338652673777794075e-05
3.862068965517240215e+00	5.267268434023759450e-05
3.811912225705329504e+00	3.657425109300326124e-05
3.761755485893417017e+00	1.270022467468166957e-05
3.711598746081503641e+00	-1.504608461475587200e-05
3.661442006269592930e+00	-3.398555695583606572e-05
3.611285266457679555e+00	-4.650011731827552886e-05
3.561128526645767955e+00	-4.664313003763465921e-05
3.510971786833854580e+00	-4.031272164917141951e-05
3.460815047021943869e+00	-2.657870547137222629e-05
3.410658307210031381e+00	-9.734372335072962194e-06
3.360501567398118006e+00	4.449860004880293944e-06
3.310344827586207295e+00	1.159878453549332060e-05
3.260188087774294807e+00	1.480420821065694647e-05
3.210031347962382320e+00	1.479551070471503718e-05
3.159874608150469832e+00	1.510325256538178366e-05
3.109717868338558233e+00	1.815180304151721094e-05
3.059561128526645746e+00	2.291316996371726988e-05
