# distance_x[ps] 	  Amplitude [V]
1.118495297805642608e+01	-3.155430731739188803e-05
1.113479623824451359e+01	-3.493236021163758043e-05
1.108463949843260110e+01	-3.342309403114186305e-05
1.103448275862069039e+01	-2.804977106211666417e-05
1.098432601880877613e+01	-1.852216174014237354e-05
1.093416927899686364e+01	-5.736654276975148594e-06
1.088401253918495115e+01	9.927042058162172808e-06
1.083385579937304044e+01	2.340661271106035757e-05
1.078369905956112795e+01	3.152573969507112544e-05
1.073354231974921724e+01	3.074582276883702699e-05
1.068338557993730475e+01	2.252808214261218899e-05
1.063322884012539049e+01	1.469238469168881035e-05
1.058307210031347800e+01	9.835367183955971506e-06
1.053291536050156552e+01	9.392762196714384801e-06
1.048275862068965480e+01	1.060847018760641853e-05
1.043260188087774054e+01	1.007908303591811528e-05
1.038244514106582983e+01	2.859347763228704431e-06
1.033228840125391912e+01	-1.278253069107312484e-05
1.028213166144200486e+01	-3.520548050194009538e-05
1.023197492163009237e+01	-5.482851565338026296e-05
1.018181818181818166e+01	-6.057456358141637782e-05
1.013166144200626917e+01	-4.916152617815795561e-05
1.008150470219435668e+01	-2.528739443249957797e-05
1.003134796238244419e+01	1.382519237366297816e-06
9.981191222570533483e+00	2.292217501141548722e-05
9.931034482758619220e+00	3.435717325231207685e-05
9.880877742946706732e+00	3.353759768244258784e-05
9.830721003134794245e+00	2.482906824125200702e-05
9.780564263322883534e+00	1.580029991242912113e-05
9.730407523510971046e+00	1.518229466520340556e-05
9.680250783699058559e+00	2.677423784728747704e-05
9.630094043887146071e+00	4.176756155489280470e-05
9.579937304075233584e+00	5.015611445968058333e-05
9.529780564263322873e+00	4.893804372517532037e-05
9.479623824451410385e+00	3.268479230493109595e-05
9.429467084639497898e+00	7.669814456554066015e-06
9.379310344827585411e+00	-1.545044927271677318e-05
9.329153605015672923e+00	-3.657717159673714408e-05
9.278996865203760436e+00	-4.602421922148670588e-05
9.228840125391847948e+00	-4.346024096154479894e-05
9.178683385579937237e+00	-3.131211334873498759e-05
9.128526645768022973e+00	-1.851454441087800756e-05
9.078369905956114039e+00	-1.131057078507848690e-05
9.028213166144201551e+00	-9.351302438036161843e-06
8.978056426332289064e+00	-1.050347940595487468e-05
8.927899686520376576e+00	-9.802692323016617485e-06
8.877742946708462313e+00	-6.801365419870513369e-06
8.827586206896551602e+00	5.454408665354453236e-08
8.777429467084637338e+00	9.857457790499890519e-06
8.727272727272726627e+00	1.870145664984664520e-05
8.677115987460815916e+00	2.199350722395050823e-05
8.626959247648901652e+00	1.892018794316346520e-05
8.576802507836989165e+00	1.152376421671820548e-05
8.526645768025078453e+00	2.527149211470915608e-07
8.476489028213165966e+00	-9.886072537572340057e-06
8.426332288401251702e+00	-1.651870338808092461e-05
8.376175548589342768e+00	-2.042050428928942880e-05
8.326018808777428504e+00	-1.745984042000859969e-05
8.275862068965517793e+00	-1.108211561576167972e-05
8.225705329153603529e+00	9.082680451455737509e-08
8.175548589341692818e+00	9.593776517623769245e-06
8.125391849529780330e+00	1.576650144267168494e-05
8.075235109717867843e+00	1.504900881110089785e-05
8.025078369905953579e+00	7.056673960746355574e-06
7.974921630094043756e+00	-3.723794185275949578e-06
7.924764890282132157e+00	-1.347752846309956083e-05
7.874608150470218781e+00	-1.793007510634158613e-05
7.824451410658307182e+00	-1.609709898374267915e-05
7.774294670846395583e+00	-8.288235386290885453e-06
7.724137931034482207e+00	3.681247568052411200e-06
7.673981191222570608e+00	1.629782106085618916e-05
7.623824451410658121e+00	2.330806764591029437e-05
7.573667711598746521e+00	2.112984697639867115e-05
7.523510971786833146e+00	1.081962002273850487e-05
7.473354231974921547e+00	-2.157027015797284701e-06
7.423197492163009947e+00	-1.329652387443782421e-05
7.373040752351096572e+00	-1.922262475249350637e-05
7.322884012539184972e+00	-1.757885327702620484e-05
7.272727272727272485e+00	-1.131279057188904676e-05
7.222570532915360886e+00	-4.135535976938543528e-06
7.172413793103448398e+00	2.623827573770782348e-06
7.122257053291536799e+00	4.679697441633555860e-06
7.072100313479624312e+00	2.931803123971056392e-06
7.021943573667710936e+00	-9.786553678113271522e-07
6.971786833855799337e+00	-4.458517243776922059e-06
6.921630094043886849e+00	-5.886139791984114524e-06
6.871473354231974362e+00	-4.742292299763764967e-06
6.821316614420062763e+00	-2.525947002787154349e-06
6.771159874608151163e+00	6.160922988169665908e-07
6.721003134796237788e+00	3.772838215556913929e-06
6.670846394984326189e+00	8.104222198743798799e-06
6.620689655172413701e+00	1.200696981511295340e-05
6.570532915360501214e+00	1.512994680298457746e-05
6.520376175548588726e+00	1.488900920130814456e-05
6.470219435736677127e+00	8.355805774173276351e-06
6.420062695924765528e+00	-3.141948744711896613e-06
6.369905956112852152e+00	-1.795401993119328016e-05
6.319749216300940553e+00	-3.074585758488491239e-05
6.269592476489028066e+00	-3.521884212742811487e-05
6.219435736677115578e+00	-2.965107258600122654e-05
6.169278996865203091e+00	-1.609315650591635371e-05
6.119122257053291492e+00	5.905526879658237167e-06
6.068965517241379892e+00	2.524928563051090358e-05
6.018808777429467405e+00	3.762187986509126511e-05
5.968652037617554917e+00	3.712612237807974628e-05
5.918495297805642430e+00	2.590050784915893855e-05
5.868338557993729943e+00	1.142016853872279222e-05
5.818181818181817455e+00	-6.731820012544506059e-07
5.768025078369905856e+00	-6.275254845133096271e-06
5.717868338557993368e+00	-1.029780114133800904e-05
5.667711598746081769e+00	-1.155692140300779363e-05
5.617554858934170170e+00	-1.426538239321950246e-05
5.567398119122256794e+00	-1.681763274434456868e-05
5.517241379310345195e+00	-1.863871215304598318e-05
5.467084639498432708e+00	-1.694052372225150031e-05
5.416927899686520220e+00	-8.202361780023050599e-06
5.366771159874607733e+00	5.254526745194433210e-06
5.316614420062696134e+00	1.589975037066280325e-05
5.266457680250783646e+00	2.096603887781235879e-05
5.216300940438871159e+00	1.663282300782315969e-05
5.166144200626959559e+00	6.654253902146826211e-06
5.115987460815047072e+00	-6.368418544982914203e-06
5.065830721003134585e+00	-1.739747081115788183e-05
5.015673981191222097e+00	-2.211986925632832441e-05
4.965517241379310498e+00	-1.755287347175953880e-05
4.915360501567397122e+00	-9.156424005969808526e-06
4.865203761755485523e+00	-2.721693550148478762e-07
4.815047021943573036e+00	4.327372752457919253e-06
4.764890282131660548e+00	3.898361146012991054e-06
4.714733542319748949e+00	1.548557145564831173e-06
4.664576802507836462e+00	2.795142750803162567e-06
4.614420062695924862e+00	7.395553149409527890e-06
4.564263322884012375e+00	1.663323763530250986e-05
4.514106583072099887e+00	2.716387320692983939e-05
4.463949843260187400e+00	3.243485422736071001e-05
4.413793103448274913e+00	2.711284431024222163e-05
4.363636363636363313e+00	1.155594778453741391e-05
4.313479623824451714e+00	-1.186904270048567565e-05
4.263322884012538339e+00	-3.455267520814508936e-05
4.213166144200627627e+00	-4.576365556744385176e-05
4.163009404388714252e+00	-4.549665745057156316e-05
4.112852664576801764e+00	-3.265562560041264487e-05
4.062695924764889277e+00	-1.284445525236224751e-05
4.012539184952977678e+00	1.096509588956613657e-05
3.962382445141066079e+00	3.364484412198431878e-05
3.912225705329152703e+00	4.581303052601834837e-05
3.862068965517240215e+00	4.574284418690174214e-05
3.811912225705329504e+00	3.228293422657923498e-05
3.761755485893417017e+00	1.112649324059440298e-05
3.711598746081503641e+00	-1.209757998644067402e-05
3.661442006269592930e+00	-2.817413169925700765e-05
