# distance_x[ps] 	  Amplitude [V]
1.003134796238244419e+00	3.063064635895446731e-05
9.529780564263319320e-01	3.179825474882404859e-05
9.028213166144194446e-01	3.012002206781913267e-05
8.526645768025087335e-01	2.520879439098291241e-05
8.025078369905944697e-01	1.692576259714171323e-05
7.523510971786819823e-01	5.221102108355190028e-06
7.021943573667694949e-01	-8.059357676756573712e-06
6.520376175548587838e-01	-2.120300797754586672e-05
6.018808777429462964e-01	-2.805940824967419585e-05
5.517241379310355853e-01	-2.723890618608600052e-05
5.015673981191230979e-01	-2.081711710143731571e-05
4.514106583072088341e-01	-1.352788249114182277e-05
4.012539184952963467e-01	-8.935021196413065169e-06
3.510971786833838593e-01	-8.441987098036048259e-06
3.009404388714731482e-01	-1.008171727436939801e-05
2.507836990595588844e-01	-9.348757173929472691e-06
2.006269592476481733e-01	-3.985612975428890644e-06
1.504702194357374623e-01	1.044455500329706743e-05
1.003134796238231985e-01	3.043641870564175035e-05
5.015673981191071107e-02	4.812554143986234341e-05
0.000000000000000000e+00	5.393599747393666385e-05
-5.015673981191248743e-02	4.546484912237955012e-05
-1.003134796238249749e-01	2.227019615916115815e-05
-1.504702194357374623e-01	-2.491814439640930646e-07
-2.006269592476481733e-01	-1.935813127259970032e-05
-2.507836990595624371e-01	-2.995056339499666047e-05
-3.009404388714749246e-01	-2.925610245829441802e-05
-3.510971786833874120e-01	-2.150194612574079833e-05
-4.012539184952981230e-01	-1.382275841540634421e-05
-4.514106583072106105e-01	-1.386977643304224674e-05
-5.015673981191230979e-01	-2.318725894900864224e-05
-5.517241379310355853e-01	-3.572945534073003574e-05
-6.018808777429480728e-01	-4.441045830010247508e-05
-6.520376175548587838e-01	-4.274002423798500577e-05
-7.021943573667712712e-01	-3.059576419574698059e-05
-7.523510971786837587e-01	-1.021462103113830794e-05
-8.025078369905962461e-01	1.278926056279369653e-05
-8.526645768025087335e-01	3.100828635923033306e-05
-9.028213166144212209e-01	3.973147669751405276e-05
-9.529780564263337084e-01	3.743675432239814245e-05
-1.003134796238245308e+00	2.771291296261703347e-05
-1.053291536050158683e+00	1.644756839957878789e-05
-1.103448275862068506e+00	9.980709589266711993e-06
-1.153605015673980994e+00	8.170457092264166442e-06
-1.203761755485892593e+00	8.375955298128339241e-06
-1.253918495297805968e+00	8.288338779402784574e-06
