# distance_x[ps] 	  Amplitude [V]
1.123510971786834034e+01	-1.154666684603550438e-05
1.118495297805642785e+01	-1.347441172345942005e-05
1.113479623824451537e+01	-1.391230669727359738e-05
1.108463949843260465e+01	-1.359697599319983970e-05
1.103448275862069039e+01	-1.160946321523074326e-05
1.098432601880877790e+01	-7.347972624010081812e-06
1.093416927899686542e+01	-1.515997458925297587e-06
1.088401253918495470e+01	4.860432469682129208e-06
1.083385579937304222e+01	1.111831006263260168e-05
1.078369905956113151e+01	1.341562728834765178e-05
1.073354231974921902e+01	1.198680763077684281e-05
1.068338557993730475e+01	8.245445935925286242e-06
1.063322884012539227e+01	5.269822243887654357e-06
1.058307210031347978e+01	3.590672916127075900e-06
1.053291536050156907e+01	4.491204589258697315e-06
1.048275862068965480e+01	5.861915559556218532e-06
1.043260188087774409e+01	5.664875191587153994e-06
1.038244514106583338e+01	1.720525563091604668e-06
1.033228840125391912e+01	-7.481519070955843860e-06
1.028213166144200663e+01	-1.771592124412841915e-05
1.023197492163009592e+01	-2.599318887198126689e-05
1.018181818181818343e+01	-2.677835370199871685e-05
1.013166144200627095e+01	-1.967654812039273493e-05
1.008150470219435846e+01	-8.403328448664876331e-06
1.003134796238244775e+01	3.880956990520640479e-06
9.981191222570533483e+00	1.355659658703778227e-05
9.931034482758620996e+00	1.675190321103439925e-05
9.880877742946708508e+00	1.578515915172649828e-05
9.830721003134797797e+00	9.907371166946207815e-06
9.780564263322885310e+00	5.430390339957224657e-06
9.730407523510972823e+00	6.449027191120700143e-06
9.680250783699060335e+00	1.248582780348781232e-05
9.630094043887147848e+00	1.867645855162714227e-05
9.579937304075237137e+00	2.250138931171839502e-05
9.529780564263324649e+00	2.024611228798493606e-05
9.479623824451412162e+00	1.267117437533341485e-05
9.429467084639499674e+00	1.476545425675065457e-06
9.379310344827587187e+00	-1.002270249065799395e-05
9.329153605015674700e+00	-1.817582558704145069e-05
9.278996865203762212e+00	-2.038228963244808991e-05
9.228840125391849725e+00	-1.716948003165149093e-05
9.178683385579937237e+00	-1.088146791838683551e-05
9.128526645768026526e+00	-5.379927643644291747e-06
9.078369905956114039e+00	-3.330451971565669855e-06
9.028213166144203328e+00	-3.326533231953811393e-06
8.978056426332289064e+00	-3.922796208953076135e-06
8.927899686520376576e+00	-4.413212597709624940e-06
8.877742946708464089e+00	-2.873780070108473406e-06
8.827586206896551602e+00	1.009299292624099584e-06
8.777429467084639114e+00	5.366220143579566499e-06
8.727272727272728403e+00	8.868311538603366556e-06
8.677115987460815916e+00	1.014717320277801332e-05
8.626959247648901652e+00	7.305298347944299647e-06
8.576802507836992717e+00	3.702126470626785089e-06
8.526645768025078453e+00	-1.344190988772773256e-06
8.476489028213165966e+00	-5.344256844200637924e-06
8.426332288401255255e+00	-7.523835867095621180e-06
8.376175548589342768e+00	-8.501223262577185105e-06
8.326018808777430280e+00	-6.754346523041482759e-06
8.275862068965517793e+00	-3.108403658414063688e-06
8.225705329153605305e+00	1.575298683757933305e-06
8.175548589341692818e+00	5.579309478752881809e-06
8.125391849529780330e+00	7.243617498990365465e-06
8.075235109717867843e+00	5.826243177564934171e-06
8.025078369905957132e+00	1.881094186677051602e-06
7.974921630094044644e+00	-2.638062062196663278e-06
7.924764890282131269e+00	-6.598182832867894703e-06
7.874608150470219670e+00	-7.926096088384409398e-06
7.824451410658308070e+00	-6.583085855983062793e-06
7.774294670846394695e+00	-2.826229085598140454e-06
7.724137931034483096e+00	2.848464407330994300e-06
7.673981191222570608e+00	8.715066945454658117e-06
7.623824451410659009e+00	1.122909490283885836e-05
7.573667711598745633e+00	8.733710235742162524e-06
7.523510971786834034e+00	3.231213574714556976e-06
7.473354231974922435e+00	-2.392544391837195668e-06
7.423197492163009059e+00	-6.555932503728623719e-06
7.373040752351097460e+00	-8.759878012499677490e-06
7.322884012539184972e+00	-7.756972563982478719e-06
7.272727272727273373e+00	-4.622388292591225906e-06
7.222570532915360886e+00	-6.853530234080010403e-07
7.172413793103449287e+00	2.187957557569912293e-06
7.122257053291536799e+00	2.664944622967558930e-06
7.072100313479623424e+00	1.223372972423960117e-06
7.021943573667711824e+00	-1.184100646249170659e-06
6.971786833855799337e+00	-2.875102728250822926e-06
6.921630094043886849e+00	-2.716744396190148175e-06
6.871473354231975250e+00	-1.667201444823013684e-06
6.821316614420063651e+00	-6.897256025127345106e-07
6.771159874608150275e+00	1.114845020978280856e-06
6.721003134796238676e+00	2.109189941842973860e-06
6.670846394984326189e+00	3.964698377613504972e-06
6.620689655172413701e+00	5.103236950047386520e-06
6.570532915360501214e+00	6.621852821947653614e-06
6.520376175548589615e+00	6.161282226481925636e-06
6.470219435736678015e+00	2.517931399035625082e-06
6.420062695924764640e+00	-2.328284341921816704e-06
6.369905956112853040e+00	-9.033505773075898039e-06
6.319749216300940553e+00	-1.326559403601969739e-05
6.269592476489028066e+00	-1.536069613885060692e-05
6.219435736677115578e+00	-1.182664519441671037e-05
6.169278996865203979e+00	-3.833779838928499263e-06
6.119122257053292380e+00	5.408624683193557241e-06
6.068965517241379892e+00	1.343465953367515466e-05
6.018808777429467405e+00	1.676233202408473265e-05
5.968652037617554917e+00	1.417842755524237399e-05
5.918495297805642430e+00	7.462041602228123564e-06
5.868338557993729943e+00	1.822107185468502401e-06
5.818181818181818343e+00	-2.244343202150181972e-06
5.768025078369905856e+00	-3.680714425339356014e-06
5.717868338557994257e+00	-3.716712284626770090e-06
5.667711598746082657e+00	-3.257064666107225115e-06
5.617554858934169282e+00	-4.743025898510094124e-06
5.567398119122257683e+00	-6.475678524098829390e-06
5.517241379310345195e+00	-7.406711692756424368e-06
5.467084639498432708e+00	-6.402622674449788253e-06
5.416927899686520220e+00	-1.882641566583017640e-06
5.366771159874608621e+00	3.558768404206818206e-06
5.316614420062696134e+00	7.602524355441003463e-06
5.266457680250783646e+00	8.256549793459597698e-06
5.216300940438872047e+00	6.629466986116760213e-06
5.166144200626959559e+00	1.954152146389601395e-06
5.115987460815047960e+00	-4.127131066469763289e-06
5.065830721003135473e+00	-8.872578614532693203e-06
5.015673981191223874e+00	-9.616247111437778650e-06
4.965517241379309610e+00	-6.086879804637442391e-06
4.915360501567398011e+00	-1.585676503606819819e-06
4.865203761755485523e+00	2.064214993198822918e-06
4.815047021943573924e+00	2.649379739499798438e-06
4.764890282131662325e+00	1.259865993281283748e-06
4.714733542319749837e+00	-3.480403810609934040e-07
4.664576802507837350e+00	-4.071096747463598315e-07
4.614420062695924862e+00	2.589403294344559474e-06
4.564263322884013263e+00	7.427108621657814514e-06
4.514106583072100776e+00	1.184774371943455666e-05
4.463949843260187400e+00	1.403551910818826576e-05
4.413793103448276689e+00	1.109461141185685730e-05
4.363636363636364202e+00	3.047875783328698337e-06
4.313479623824451714e+00	-7.936423442547727142e-06
4.263322884012540115e+00	-1.651144740719232362e-05
4.213166144200627627e+00	-2.102174824703827068e-05
4.163009404388715140e+00	-1.988663659358023066e-05
4.112852664576802653e+00	-1.377760094626873715e-05
4.062695924764891053e+00	-3.739227893128954399e-06
4.012539184952978566e+00	7.594589813295912962e-06
3.962382445141066079e+00	1.682020948356525484e-05
3.912225705329152703e+00	2.065104314632051701e-05
3.862068965517241992e+00	1.861908574900231583e-05
3.811912225705329504e+00	1.185734398088069556e-05
3.761755485893417017e+00	2.217758336172559061e-06
3.711598746081505418e+00	-6.788341404543799104e-06
3.661442006269592930e+00	-1.393462184974250688e-05
3.611285266457680443e+00	-1.728892580336551364e-05
3.561128526645767955e+00	-1.674752447757776956e-05
3.510971786833856356e+00	-1.381877461550298222e-05
3.460815047021943869e+00	-8.565567011678386643e-06
3.410658307210031381e+00	-2.194007109647736192e-06
3.360501567398120670e+00	3.201481900691801621e-06
3.310344827586207295e+00	5.296314794586796999e-06
3.260188087774294807e+00	5.678202001027286388e-06
3.210031347962382320e+00	5.021405697945260524e-06
3.159874608150470721e+00	5.241395468306056285e-06
3.109717868338558677e+00	6.426872579317033409e-06
3.059561128526645746e+00	8.483096586171921685e-06
3.009404388714733258e+00	9.690488640939768752e-06
2.959247648902822103e+00	8.469679044000941255e-06
2.909090909090909172e+00	4.872494471887759452e-06
2.858934169278996684e+00	-1.831087264081874941e-06
2.808777429467085529e+00	-8.441507410265200058e-06
2.758620689655173042e+00	-1.069269214166326015e-05
2.708463949843260110e+00	-8.555595730732067127e-06
2.658307210031347623e+00	-3.154646579387978280e-06
2.608150470219436468e+00	2.487767865348205007e-06
2.557993730407523980e+00	5.999649955049753195e-06
2.507836990595611049e+00	5.342981310809969847e-06
2.457680250783700338e+00	-2.022054517597273800e-07
2.407523510971787406e+00	-8.502471892658123863e-06
2.357366771159874475e+00	-1.548197186314205956e-05
2.307210031347961987e+00	-1.639981203555366374e-05
2.257053291536051276e+00	-9.197898886769839490e-06
2.206896551724138344e+00	4.938537349628888170e-06
2.156739811912225857e+00	1.999398414033173112e-05
2.106583072100312926e+00	3.124814642180861367e-05
2.056426332288402214e+00	3.528320398790776326e-05
2.006269592476489283e+00	3.004115527910731031e-05
1.956112852664576796e+00	1.928091226764911274e-05
1.905956112852665640e+00	2.334193223099098736e-06
1.855799373040752709e+00	-1.591605324884253498e-05
1.805642633228840221e+00	-3.020123348876574418e-05
1.755485893416927512e+00	-3.641744066836442937e-05
1.705329153605016579e+00	-3.408653861682214880e-05
1.655172413793103869e+00	-2.408251440833816858e-05
1.605015673981191160e+00	-9.893830889414502100e-06
1.554858934169280005e+00	5.196357569433911739e-06
1.504702194357367517e+00	1.755649557160987779e-05
1.454545454545454808e+00	2.540102223160579399e-05
1.404388714733542098e+00	2.609722062976836218e-05
1.354231974921630943e+00	2.155652028079933067e-05
1.304075235109718234e+00	1.092177786829174944e-05
1.253918495297805746e+00	-1.113393824800560743e-06
1.203761755485893037e+00	-1.079377737159986796e-05
1.153605015673981882e+00	-1.381262131863601008e-05
1.103448275862069172e+00	-1.017898838867642705e-05
1.053291536050156685e+00	-3.569214976958344691e-06
1.003134796238245530e+00	3.689264226835694584e-06
9.529780564263328202e-01	8.413072897784070673e-06
9.028213166144202217e-01	8.817583150127033918e-06
8.526645768025076233e-01	3.968291815767859335e-06
8.025078369905964681e-01	-3.615819949662530128e-06
7.523510971786837587e-01	-9.320575869069319260e-06
7.021943573667710492e-01	-1.153583800011175535e-05
6.520376175548600051e-01	-7.783296133762343134e-06
6.018808777429472956e-01	-4.140671344001468157e-06
5.517241379310346971e-01	-3.042786310147076266e-06
5.015673981191220987e-01	-6.419367435095847319e-06
4.514106583072109435e-01	-1.505160559592490756e-05
4.012539184952982341e-01	-2.654635696692212964e-05
3.510971786833856356e-01	-3.603115222112322644e-05
3.009404388714730372e-01	-4.017236866486429629e-05
2.507836990595616600e-01	-3.279525905306349918e-05
2.006269592476490615e-01	-1.420803754893616072e-05
1.504702194357365741e-01	1.542439895616121165e-05
1.003134796238254189e-01	4.642823800487089452e-05
5.015673981191293151e-02	6.814130952417481527e-05
0.000000000000000000e+00	7.601069343565107581e-05
-5.015673981191248743e-02	7.223227920143528245e-05
-1.003134796238236426e-01	5.833929224564216736e-05
-1.504702194357361300e-01	3.861951648502864550e-05
-2.006269592476490615e-01	1.489964427306639935e-05
-2.507836990595599946e-01	-4.159580150613745829e-06
-3.009404388714729262e-01	-1.864311374552395304e-05
-3.510971786833854136e-01	-2.713482660019272429e-05
-4.012539184952979010e-01	-2.956782741551002233e-05
-4.514106583072090562e-01	-2.658140054998798889e-05
-5.015673981191217656e-01	-2.173553296950938798e-05
-5.517241379310344751e-01	-1.741760837808639949e-05
-6.018808777429471846e-01	-1.305936803408384498e-05
-6.520376175548583397e-01	-8.952837165966756074e-06
-7.021943573667706051e-01	-5.857650769529024885e-06
-7.523510971786833146e-01	-3.520499413230147633e-06
-8.025078369905946918e-01	-1.705384626550353874e-06
-8.526645768025071792e-01	-1.079051134496652635e-06
-9.028213166144201107e-01	1.796191561300207671e-09
-9.529780564263325981e-01	-6.404992275769424099e-08
-1.003134796238243753e+00	2.082901715626869573e-07
-1.053291536050156685e+00	3.139354245790018528e-07
-1.103448275862069172e+00	4.625660121899214940e-07
-1.153605015673980327e+00	5.708803197054019245e-07
-1.203761755485892815e+00	-5.082949568609793833e-08
-1.253918495297805302e+00	-9.401264873459041187e-08
-1.304075235109718234e+00	3.274292807135273694e-07
-1.354231974921629389e+00	-1.837740470161651739e-07
-1.404388714733541876e+00	-1.810923321359508042e-07
-1.454545454545454364e+00	-7.789491104383604327e-07
-1.504702194357367295e+00	-9.065448266139302476e-08
-1.554858934169278895e+00	-4.049591683543185345e-07
-1.605015673981190938e+00	-1.076522399220778106e-06
-1.655172413793103869e+00	-5.564840597438971279e-07
-1.705329153605014580e+00	-3.494666081538672366e-07
-1.755485893416927512e+00	-2.162843230018834175e-07
-1.805642633228839999e+00	-4.270471373188536876e-07
-1.855799373040752487e+00	1.177549074895036007e-07
-1.905956112852664086e+00	-3.955894313464435276e-08
-1.956112852664576129e+00	-3.778350053117413836e-08
-2.006269592476488839e+00	5.205435238484535762e-07
-2.056426332288402214e+00	-1.689705447975902825e-07
-2.106583072100312926e+00	-3.525810618918749595e-07
-2.156739811912224525e+00	-1.391375877264444125e-08
-2.206896551724137900e+00	9.387443957480754465e-08
-2.257053291536049500e+00	-2.657730491671869654e-07
-2.307210031347963763e+00	-3.056627447567316117e-07
-2.357366771159874475e+00	-3.614651326156275068e-07
