# distance_x[ps] 	  Amplitude [V]
1.118495297805642608e+01	-5.020398845974629331e-06
1.113479623824451359e+01	-6.056440380146333084e-06
1.108463949843260110e+01	-5.631872567449539376e-06
1.103448275862069039e+01	-4.660595036694406183e-06
1.098432601880877613e+01	-3.586870933362667142e-06
1.093416927899686364e+01	-1.089968427249119242e-06
1.088401253918495115e+01	1.156716593717841391e-06
1.083385579937304044e+01	3.668030657753328238e-06
1.078369905956112795e+01	4.591310046373028868e-06
1.073354231974921724e+01	4.215787143150326317e-06
1.068338557993730475e+01	3.310537016337263451e-06
1.063322884012539049e+01	1.933991720439747810e-06
1.058307210031347800e+01	1.935413903244230794e-06
1.053291536050156552e+01	2.504425585874553536e-06
1.048275862068965480e+01	2.813287362748243839e-06
1.043260188087774054e+01	2.699815356664378107e-06
1.038244514106582983e+01	5.069438128612700584e-07
1.033228840125391912e+01	-3.527557927342111381e-06
1.028213166144200486e+01	-7.843612123303766973e-06
1.023197492163009237e+01	-1.068449489661140453e-05
1.018181818181818166e+01	-1.064735109700044794e-05
1.013166144200626917e+01	-7.339245401340432512e-06
1.008150470219435668e+01	-2.491512348882016779e-06
1.003134796238244419e+01	2.368869303437291792e-06
9.981191222570533483e+00	5.929253840452716642e-06
9.931034482758619220e+00	7.488094028847193327e-06
9.880877742946706732e+00	6.146107353085919001e-06
9.830721003134794245e+00	3.622630531312288079e-06
9.780564263322883534e+00	1.952336612579476590e-06
9.730407523510971046e+00	2.172473208192712450e-06
9.680250783699058559e+00	4.501793415458397475e-06
9.630094043887146071e+00	7.545260748602725684e-06
9.579937304075233584e+00	8.783908470762075014e-06
9.529780564263322873e+00	7.791902731134777075e-06
9.479623824451410385e+00	4.675147089678262016e-06
9.429467084639497898e+00	6.053606916532158022e-07
9.379310344827585411e+00	-3.771521887605088258e-06
9.329153605015672923e+00	-6.873381887403173454e-06
9.278996865203760436e+00	-7.279548715438647165e-06
9.228840125391847948e+00	-6.118290385858171109e-06
9.178683385579937237e+00	-4.334344402288799350e-06
9.128526645768022973e+00	-2.513189910494219119e-06
9.078369905956114039e+00	-2.084467734427157619e-06
9.028213166144201551e+00	-1.932234213376096837e-06
8.978056426332289064e+00	-2.716943445514415104e-06
8.927899686520376576e+00	-1.995169143408367242e-06
8.877742946708462313e+00	-1.130052952035915043e-06
8.827586206896551602e+00	-2.900985646434752492e-09
8.777429467084637338e+00	2.120141171450196520e-06
8.727272727272726627e+00	3.023851303579572583e-06
8.677115987460815916e+00	3.860235639354873888e-06
8.626959247648901652e+00	3.075873864340895306e-06
8.576802507836989165e+00	1.625195531373435342e-06
8.526645768025078453e+00	-7.642208671515757173e-07
8.476489028213165966e+00	-1.650894346516266976e-06
8.426332288401251702e+00	-2.996197514596453375e-06
8.376175548589342768e+00	-3.095982066218922484e-06
8.326018808777428504e+00	-2.733389456335447737e-06
8.275862068965517793e+00	-1.301284078205220823e-06
8.225705329153603529e+00	4.879052373432418508e-07
8.175548589341692818e+00	1.534080351512766045e-06
8.125391849529780330e+00	2.679465376676043365e-06
8.075235109717867843e+00	2.084946367166252975e-06
8.025078369905953579e+00	1.345183246137473925e-06
7.974921630094043756e+00	-1.351597487524954171e-06
7.924764890282132157e+00	-2.380028374300065540e-06
7.874608150470218781e+00	-3.213823134635007790e-06
7.824451410658307182e+00	-3.037412154230480805e-06
7.774294670846395583e+00	-1.165966584621629910e-06
7.724137931034482207e+00	6.631586720749307222e-07
7.673981191222570608e+00	3.065594162445137122e-06
7.623824451410658121e+00	4.429026116994093691e-06
7.573667711598746521e+00	3.509123885019163832e-06
7.523510971786833146e+00	1.483245228990646534e-06
7.473354231974921547e+00	-8.096591505743878637e-07
7.423197492163009947e+00	-2.611935255838931521e-06
7.373040752351096572e+00	-3.129596432935272862e-06
7.322884012539184972e+00	-2.575234921241933225e-06
7.272727272727272485e+00	-1.671501402575342268e-06
7.222570532915360886e+00	-2.450824697609145561e-07
7.172413793103448398e+00	7.686614958044464854e-07
7.122257053291536799e+00	1.075327751597922122e-06
7.072100313479624312e+00	-1.650822252679738724e-07
7.021943573667710936e+00	-6.578567858334893405e-07
6.971786833855799337e+00	-8.592229598328559722e-07
6.921630094043886849e+00	-1.805332356417452092e-06
6.871473354231974362e+00	-5.369415307246760540e-07
6.821316614420062763e+00	-2.349951353216479049e-07
6.771159874608151163e+00	-2.459498817013838789e-07
6.721003134796237788e+00	9.032378295808049793e-07
6.670846394984326189e+00	1.366861159426928131e-06
6.620689655172413701e+00	2.021110440016008690e-06
6.570532915360501214e+00	2.729006326913173426e-06
6.520376175548588726e+00	2.979825707675456696e-06
6.470219435736677127e+00	1.313429955435299256e-06
6.420062695924765528e+00	-7.531108552653660287e-07
6.369905956112852152e+00	-3.395782175356925271e-06
6.319749216300940553e+00	-5.490281679217634854e-06
6.269592476489028066e+00	-6.297371475793616527e-06
6.219435736677115578e+00	-5.024532987902943306e-06
6.169278996865203091e+00	-2.044468667212441393e-06
6.119122257053291492e+00	1.749152618867851306e-06
6.068965517241379892e+00	5.422380538880342815e-06
6.018808777429467405e+00	6.674199804973351936e-06
5.968652037617554917e+00	5.112441750424374942e-06
5.918495297805642430e+00	3.175910216875335022e-06
5.868338557993729943e+00	7.691897150359831700e-07
5.818181818181817455e+00	-6.233030891787676914e-07
5.768025078369905856e+00	-6.027521256412835091e-07
5.717868338557993368e+00	-6.781745873533246071e-07
5.667711598746081769e+00	-6.271191390332304460e-07
5.617554858934170170e+00	-1.175166109839848600e-06
5.567398119122256794e+00	-2.605459470932464288e-06
5.517241379310345195e+00	-3.113215834082992450e-06
5.467084639498432708e+00	-2.599487112011312652e-06
5.416927899686520220e+00	-1.290148042202410950e-06
5.366771159874607733e+00	1.185913190802658943e-06
5.316614420062696134e+00	3.508979873184733579e-06
5.266457680250783646e+00	3.890988759954192867e-06
5.216300940438871159e+00	2.516173188617471648e-06
5.166144200626959559e+00	2.945843838231439702e-07
5.115987460815047072e+00	-1.861275063499639258e-06
5.065830721003134585e+00	-3.582113267667699057e-06
5.015673981191222097e+00	-3.509472221336632441e-06
4.965517241379310498e+00	-2.563236748457424662e-06
4.915360501567397122e+00	-5.643948636745222452e-07
4.865203761755485523e+00	6.830799574938622446e-07
4.815047021943573036e+00	5.055397414352314945e-07
4.764890282131660548e+00	-3.755265958338413735e-07
4.714733542319748949e+00	-3.080933620794778105e-07
4.664576802507836462e+00	-4.175857883870004496e-07
4.614420062695924862e+00	9.426080978700969399e-07
4.564263322884012375e+00	2.760451196665909427e-06
4.514106583072099887e+00	5.179781438029878822e-06
4.463949843260187400e+00	6.090114180318161371e-06
4.413793103448274913e+00	4.942422855740493039e-06
4.363636363636363313e+00	1.835255342864945181e-06
4.313479623824451714e+00	-2.191668807603470897e-06
4.263322884012538339e+00	-6.272808226495412930e-06
4.213166144200627627e+00	-8.674648678956326138e-06
4.163009404388714252e+00	-8.037507617452581261e-06
4.112852664576801764e+00	-5.321990223192413527e-06
4.062695924764889277e+00	-2.005669698617976712e-06
4.012539184952977678e+00	1.533248283136057963e-06
3.962382445141066079e+00	6.161918762306880367e-06
3.912225705329152703e+00	7.597428200391606314e-06
3.862068965517240215e+00	7.694832072861022419e-06
3.811912225705329504e+00	5.120154208385235274e-06
3.761755485893417017e+00	2.260529850998339572e-06
3.711598746081503641e+00	-1.785543653322281798e-06
3.661442006269592930e+00	-4.672298855619529968e-06
3.611285266457679555e+00	-6.223407243804323545e-06
3.561128526645767955e+00	-6.697478377272352067e-06
3.510971786833854580e+00	-6.030724508656810616e-06
3.460815047021943869e+00	-3.720754111276603372e-06
3.410658307210031381e+00	-1.410876029174877244e-06
3.360501567398118006e+00	6.656341282472249400e-07
3.310344827586207295e+00	1.638706092177400197e-06
3.260188087774294807e+00	1.781246157310712889e-06
3.210031347962382320e+00	1.251214029543426000e-06
3.159874608150469832e+00	2.161744062769721230e-06
3.109717868338558233e+00	2.259367381843982428e-06
3.059561128526645746e+00	3.625055697637638294e-06
3.009404388714732814e+00	4.374167982555088309e-06
2.959247648902820327e+00	3.723625028518047854e-06
2.909090909090909172e+00	2.233251829158294292e-06
2.858934169278996684e+00	-3.964883184009092291e-07
2.808777429467083753e+00	-2.815741190769579952e-06
2.758620689655172598e+00	-4.257194326079471638e-06
2.708463949843260110e+00	-3.438213266603394101e-06
2.658307210031347623e+00	-8.957820960134344964e-07
2.608150470219434691e+00	1.959656071211946756e-06
2.557993730407523536e+00	2.526442691872939904e-06
2.507836990595611049e+00	2.047507862018658676e-06
2.457680250783698561e+00	-1.136276232675908890e-07
2.407523510971786962e+00	-3.376608204097125564e-06
2.357366771159874475e+00	-6.722468914430953537e-06
