# distance_x[ps] 	  Amplitude [V]
1.123510971786834034e+01	-2.749067052362267846e-05
1.118495297805642785e+01	-3.026520252575562209e-05
1.113479623824451537e+01	-3.060032210876317675e-05
1.108463949843260465e+01	-2.769346943074406711e-05
1.103448275862069039e+01	-2.100281587805015123e-05
1.098432601880877790e+01	-9.599185665426874451e-06
1.093416927899686542e+01	5.692929013443691372e-06
1.088401253918495470e+01	2.019034348530354244e-05
1.083385579937304222e+01	3.016410129450407989e-05
1.078369905956113151e+01	3.121857247503308827e-05
1.073354231974921902e+01	2.470217816548128147e-05
1.068338557993730475e+01	1.580984742228755846e-05
1.063322884012539227e+01	1.085138773220798550e-05
1.058307210031347978e+01	9.425076940148349746e-06
1.053291536050156907e+01	1.173351173881051100e-05
1.048275862068965480e+01	1.361080658030253976e-05
1.043260188087774409e+01	1.028309241613867399e-05
1.038244514106583338e+01	-2.046344689509799493e-06
1.033228840125391912e+01	-2.345399330794240949e-05
1.028213166144200663e+01	-4.470384557456201144e-05
1.023197492163009592e+01	-5.598191276552255300e-05
1.018181818181818343e+01	-5.151435460296777959e-05
1.013166144200627095e+01	-3.256815889619616534e-05
1.008150470219435846e+01	-8.318711912732013161e-06
1.003134796238244775e+01	1.350374828809027658e-05
9.981191222570533483e+00	2.662443125094801882e-05
9.931034482758620996e+00	2.776459298973553544e-05
9.880877742946708508e+00	1.993565723732397673e-05
9.830721003134797797e+00	1.052854045440237334e-05
9.780564263322885310e+00	8.691147617203686792e-06
9.730407523510972823e+00	1.834899269647947292e-05
9.680250783699060335e+00	3.542423711601901755e-05
9.630094043887147848e+00	4.815741148741196779e-05
9.579937304075237137e+00	4.953102397087180030e-05
9.529780564263324649e+00	3.997941074226758854e-05
9.479623824451412162e+00	1.735865812715061830e-05
9.429467084639499674e+00	-6.758291814285818038e-06
9.379310344827587187e+00	-3.054572474300605301e-05
9.329153605015674700e+00	-4.317959407470875927e-05
9.278996865203762212e+00	-4.373592163807580089e-05
9.228840125391849725e+00	-3.259768817996076411e-05
9.178683385579937237e+00	-2.098629812506984634e-05
9.128526645768026526e+00	-1.212572260680317851e-05
9.078369905956114039e+00	-9.667127952002577433e-06
9.028213166144203328e+00	-9.510191626907757510e-06
8.978056426332289064e+00	-1.011373256462383321e-05
8.927899686520376576e+00	-7.856928734103608592e-06
8.877742946708464089e+00	-1.906191809558690540e-06
8.827586206896551602e+00	7.090911499552107560e-06
8.777429467084639114e+00	1.593304471108042053e-05
8.727272727272728403e+00	2.192331402712750300e-05
8.677115987460815916e+00	2.046322393172063329e-05
