# distance_x[ps] 	  Amplitude [V]
1.419999999999999751e+01	6.106910637520171744e-08
1.399999999999999467e+01	1.376417285378021577e-07
1.379999999999999538e+01	6.902140822148678490e-08
1.359999999999999964e+01	-1.474529963347545037e-08
1.339999999999999325e+01	1.213492248369864769e-07
1.319999999999999751e+01	4.659371903214190591e-09
1.299999999999999467e+01	4.634789663344413901e-08
1.279999999999999893e+01	1.909920467616191262e-07
1.259999999999999609e+01	-5.353600381253285993e-08
1.240000000000000036e+01	-3.984643928762779439e-08
1.219999999999999751e+01	8.983841559962167436e-08
1.200000000000000178e+01	1.869866187073012268e-07
1.180000000000000249e+01	-6.592911015031443665e-08
1.159999999999999254e+01	3.534607825361417010e-07
1.140000000000000036e+01	-4.252235149319476499e-08
1.119999999999999751e+01	2.079982794440615890e-07
1.099999999999999822e+01	1.317418151304300970e-08
1.079999999999999893e+01	-7.348718179782954085e-08
1.059999999999999609e+01	2.373946292076491146e-07
1.040000000000000036e+01	1.221633576738753565e-07
1.019999999999999751e+01	1.084753756966014119e-07
9.999999999999998224e+00	7.536285241793619780e-08
9.799999999999998934e+00	-2.195204570688602976e-07
9.599999999999996092e+00	4.711103626888642922e-08
9.400000000000000355e+00	-3.227342135693004722e-09
9.199999999999997513e+00	-9.162774945452042825e-09
9.000000000000001776e+00	-4.205532410339414784e-08
8.799999999999998934e+00	7.100943972340163468e-08
8.599999999999996092e+00	2.259053334058521844e-07
8.400000000000000355e+00	1.002178179961394416e-07
8.199999999999997513e+00	-2.862160477885048684e-08
7.999999999999998224e+00	1.480260544158388765e-07
7.799999999999998934e+00	6.145401712681072963e-08
7.599999999999996092e+00	-1.772898218556652260e-07
7.400000000000000355e+00	-6.053772204840296314e-08
7.199999999999997513e+00	1.207673748246181713e-07
6.999999999999998224e+00	-1.520318341474081391e-07
6.799999999999998934e+00	-1.808060668533471005e-08
6.599999999999996092e+00	-2.754156877221141549e-07
6.400000000000000355e+00	-4.570327223170879065e-08
6.199999999999997513e+00	-2.917584812698737187e-08
5.999999999999998224e+00	7.563469893323430411e-08
5.800000000000002487e+00	2.066583891163956462e-07
5.599999999999996092e+00	1.082882833988800745e-07
5.400000000000000355e+00	1.483109129894371674e-07
5.199999999999997513e+00	9.772231622051801462e-08
4.999999999999998224e+00	-1.679498015755298085e-07
4.799999999999998934e+00	-1.607323293459528480e-08
4.599999999999996092e+00	2.245701907210795247e-07
4.400000000000000355e+00	-3.233654742354844069e-08
4.200000000000001066e+00	-2.160697998785562981e-07
3.999999999999998224e+00	2.062288153538644156e-08
3.799999999999998934e+00	-2.113052764771865728e-09
3.599999999999996092e+00	-3.737942336936623227e-08
3.400000000000000355e+00	-3.024283690760114547e-08
3.199999999999997513e+00	-3.385930992191944267e-08
2.999999999999998224e+00	1.121973518863264134e-08
2.799999999999998934e+00	4.827157119836086488e-08
2.599999999999999645e+00	1.427498406137464744e-07
2.400000000000000355e+00	-1.176311170970263309e-07
2.199999999999997513e+00	1.640134781011033493e-08
1.999999999999998224e+00	5.107830734143221580e-08
1.799999999999998934e+00	-2.151491088345065784e-08
1.599999999999996092e+00	-6.355317864015404097e-08
1.400000000000000355e+00	7.327371370625652410e-08
1.199999999999997513e+00	2.247875272624174963e-07
1.000000000000001776e+00	5.830896746793500937e-08
7.999999999999989342e-01	-6.407454016528914439e-08
5.999999999999960920e-01	-9.775343965726301695e-08
4.000000000000003553e-01	-1.288455771268886476e-07
1.999999999999975131e-01	-3.200948757978746012e-08
0.000000000000000000e+00	4.841579403914190674e-07
-2.000000000000010658e-01	1.264406322434913755e-07
-4.000000000000039080e-01	-3.234727357971478805e-09
-5.999999999999978684e-01	-1.069415353648126961e-07
-8.000000000000024869e-01	1.043136271040557878e-07
-1.000000000000003553e+00	1.484373409612996078e-07
-1.200000000000001066e+00	6.946575242857494957e-08
-1.400000000000003908e+00	1.606623455729330793e-07
-1.600000000000003197e+00	1.118011874626740654e-07
-1.800000000000002487e+00	3.510908295392543595e-07
-2.000000000000000000e+00	1.420617840714686721e-07
-2.200000000000001066e+00	9.031704833871704341e-08
-2.400000000000002132e+00	-8.430407069503401731e-09
-2.600000000000003197e+00	3.915150745508598562e-07
-2.800000000000000711e+00	-5.010169961441692372e-09
-3.000000000000001776e+00	2.404552763261994158e-07
-3.200000000000001066e+00	-6.452152195176249289e-08
-3.400000000000000355e+00	1.468187464119341363e-07
-3.600000000000001421e+00	1.115518482914627234e-07
-3.800000000000000711e+00	-2.702393502594068191e-08
-4.000000000000001776e+00	-1.702297251960700928e-07
-4.200000000000001066e+00	-1.262969720863124855e-07
-4.400000000000000355e+00	-7.687488876014084911e-08
-4.600000000000003197e+00	-4.263066808661237440e-08
-4.800000000000002487e+00	-1.743774066985614759e-08
-5.000000000000000000e+00	1.532873219347487026e-08
-5.200000000000001066e+00	-1.053035985666226359e-07
-5.400000000000000355e+00	7.732855241438994831e-09
-5.600000000000003197e+00	3.715867555869013358e-07
-5.800000000000000711e+00	-1.692235765799408514e-08
-6.000000000000000000e+00	5.136562765578998248e-08
-6.200000000000001066e+00	2.068060935619651195e-07
-6.400000000000002132e+00	-1.495312330516421055e-07
-6.600000000000001421e+00	-1.158296503769557870e-07
-6.800000000000000711e+00	-1.984620232576696176e-08
-6.999999999999998224e+00	-1.457893870972154374e-07
-7.200000000000001066e+00	-1.319018282797969824e-08
-7.400000000000000355e+00	-1.685457186779523749e-07
-7.600000000000001421e+00	2.139597363704209413e-07
-7.800000000000002487e+00	-1.267690987962577822e-08
-8.000000000000001776e+00	-1.810566368949382002e-07
-8.199999999999999289e+00	2.868930264973649768e-08
-8.400000000000000355e+00	7.794996611753578956e-08
-8.599999999999999645e+00	-3.972757237666950926e-08
-8.800000000000002487e+00	2.151454162233673648e-07
-9.000000000000001776e+00	1.407041340426092481e-07
-9.200000000000001066e+00	3.661839379743208118e-08
-9.400000000000002132e+00	-5.098511286982291025e-08
-9.600000000000001421e+00	2.496222713986677700e-08
-9.800000000000000711e+00	1.593780202509813739e-07
-1.000000000000000000e+01	3.662507566520784181e-08
-1.019999999999999929e+01	-8.302431717734995984e-08
-1.040000000000000213e+01	1.897562529003545013e-08
-1.060000000000000142e+01	2.753944112484071219e-07
-1.080000000000000071e+01	-2.357855299440702361e-08
-1.100000000000000178e+01	2.263053662792695070e-07
-1.120000000000000284e+01	-4.608783130606645955e-08
-1.140000000000000036e+01	-2.013651189676124893e-08
-1.160000000000000142e+01	2.613438500249852213e-07
-1.180000000000000071e+01	2.071076568050027756e-07
-1.200000000000000178e+01	-4.477537180400627888e-08
-1.220000000000000107e+01	1.357298351608059447e-08
-1.240000000000000036e+01	2.469055646319435226e-08
-1.260000000000000142e+01	1.527128571446588640e-07
-1.280000000000000249e+01	1.916658603752169267e-08
-1.300000000000000178e+01	1.895565002215843954e-07
-1.319999999999999929e+01	6.380515539075054034e-08
-1.339999999999999858e+01	-6.005416582778857635e-09
-1.359999999999999787e+01	1.831086736565997777e-07
-1.380000000000000426e+01	1.145964940950763460e-07
-1.400000000000000355e+01	1.037356455414523972e-07
-1.420000000000000284e+01	9.351555293979886195e-08
-1.440000000000000213e+01	-4.961286823503222719e-08
-1.460000000000000142e+01	-1.039858639057921206e-07
-1.480000000000000071e+01	1.942229056698257180e-07
-1.500000000000000000e+01	-7.725030422596326836e-08
-1.519999999999999929e+01	-2.971787069063963342e-07
-1.539999999999999858e+01	2.469073230182002588e-07
-1.560000000000000320e+01	8.015814757879944982e-08
-1.580000000000000249e+01	1.470925271521147001e-08
-1.600000000000000000e+01	-1.296670951860559943e-07
-1.619999999999999929e+01	-7.582829726010571393e-08
-1.639999999999999858e+01	2.376022946245747455e-07
-1.659999999999999787e+01	-2.755074754847180476e-08
-1.679999999999999716e+01	1.059564873837648393e-07
-1.700000000000000355e+01	1.796117709077425184e-07
-1.720000000000000284e+01	2.967978404431779716e-07
-1.740000000000000213e+01	-1.101950774557317073e-07
-1.760000000000000142e+01	-8.618202721727447508e-08
-1.780000000000000071e+01	-1.437164255390981372e-08
-1.800000000000000000e+01	-9.851271084294038544e-08
-1.819999999999999929e+01	-2.305429013194823121e-07
-1.839999999999999858e+01	-4.587559408487318068e-08
