# distance_x[ps] 	  Amplitude [V]
3.219999999999999574e+01	-1.243980907676163910e-07
3.199999999999999289e+01	3.750127953696104451e-08
3.179999999999999716e+01	6.690237694344186661e-08
3.160000000000000142e+01	-2.049372806482598982e-07
3.139999999999999147e+01	-1.193029907499722456e-08
3.119999999999999574e+01	-1.786198652202932128e-07
3.099999999999999289e+01	3.962927858491553749e-08
3.079999999999999716e+01	-1.876419692652029192e-07
3.059999999999999432e+01	1.893585059290710258e-07
3.039999999999999858e+01	1.453438120197475283e-07
3.019999999999999574e+01	-1.597267082457007374e-07
3.000000000000000000e+01	1.058063211974359033e-07
2.980000000000000426e+01	6.250254285172832236e-08
2.959999999999999432e+01	6.607646291863256014e-08
2.939999999999999858e+01	-1.052499677857908560e-07
2.919999999999999574e+01	-1.113891975627106343e-07
2.900000000000000000e+01	-1.355024758178042958e-07
2.879999999999999716e+01	-3.491170409660194388e-08
2.859999999999999432e+01	1.002939561210579725e-07
2.839999999999999858e+01	-7.168360501425087110e-08
2.819999999999999574e+01	2.382780424630551028e-07
2.800000000000000000e+01	-5.545704079806440198e-08
2.779999999999999716e+01	2.383896999903605958e-08
2.759999999999999432e+01	-2.104197531582725580e-07
2.739999999999999858e+01	2.335541377842170588e-08
2.719999999999999574e+01	-5.014671430259046389e-08
2.700000000000000000e+01	-9.825370054731676892e-08
2.679999999999999716e+01	-2.839865898535342479e-07
2.659999999999999432e+01	-3.911495060480755122e-08
2.639999999999999858e+01	4.627545111966483501e-09
2.619999999999999574e+01	-1.188556572862475472e-07
2.600000000000000000e+01	-3.406664124545630902e-07
2.579999999999999716e+01	8.668510152533909245e-08
2.559999999999999432e+01	-2.725825757851911180e-07
2.539999999999999858e+01	3.056004978832415674e-08
2.519999999999999574e+01	6.970629966850237199e-08
2.500000000000000000e+01	-7.682706065395644190e-08
2.479999999999999716e+01	-4.009741375805793000e-07
2.459999999999999432e+01	4.308422623768606929e-07
2.439999999999999858e+01	7.020532968817640593e-09
2.419999999999999574e+01	2.073773932567927693e-07
2.400000000000000000e+01	2.522651259426072476e-08
2.380000000000000426e+01	2.658514731942393832e-07
2.359999999999999432e+01	-7.061274778387219564e-08
2.339999999999999858e+01	-5.847882758033989716e-08
2.319999999999999574e+01	-2.797142387654372334e-07
2.300000000000000000e+01	2.050735555831603211e-07
2.279999999999999716e+01	1.390403489664445533e-07
2.259999999999999432e+01	1.707094129669195314e-08
2.239999999999999858e+01	-6.866269742510377053e-08
2.220000000000000284e+01	-1.647273829213557996e-07
2.200000000000000000e+01	-3.641081629981926991e-07
2.179999999999999716e+01	-1.611791352938005546e-07
2.159999999999999432e+01	1.948900374156477976e-07
2.139999999999999858e+01	-1.396473439022848070e-07
2.119999999999999574e+01	9.135660629372506145e-08
2.100000000000000000e+01	-5.763814311097365658e-09
2.079999999999999716e+01	4.437815234859982161e-09
2.060000000000000142e+01	-9.535201154637932324e-08
2.039999999999999858e+01	-1.447725123249198785e-07
2.019999999999999574e+01	7.273019651428599304e-08
2.000000000000000000e+01	-1.800754573636552453e-07
1.979999999999999716e+01	-1.492709918856387577e-07
1.959999999999999432e+01	1.235494935600946386e-08
1.939999999999999858e+01	1.081287977653901743e-07
1.919999999999999574e+01	-5.485004586222415486e-08
1.900000000000000000e+01	2.761352193783883095e-07
1.879999999999999716e+01	1.034829654363531848e-07
1.859999999999999432e+01	-5.850854430807947009e-09
1.839999999999999858e+01	8.979515929770489528e-08
1.819999999999999574e+01	-5.994672842749938802e-08
