# distance_x[ps] 	  Amplitude [V]
7.200000000000001954e+00	3.009583581653437850e-08
7.000000000000001776e+00	-1.176319962901547255e-07
6.800000000000001599e+00	-1.627994882294228153e-07
6.600000000000002309e+00	9.764881567498464106e-08
6.400000000000002132e+00	-1.433705509623896258e-07
6.200000000000001954e+00	-1.070201352304907292e-07
6.000000000000001776e+00	9.600015272062821694e-08
5.800000000000001599e+00	6.631138332253829149e-08
5.600000000000001421e+00	1.447661821343954612e-08
5.400000000000001243e+00	-1.125168506691833049e-07
5.200000000000001066e+00	-2.197833358142488557e-07
5.000000000000001776e+00	-8.344457149272022611e-08
4.800000000000001599e+00	-9.593421323599899200e-08
4.600000000000001421e+00	-1.596192708454114828e-08
4.400000000000002132e+00	-1.561118177790135147e-07
4.200000000000001066e+00	-2.023682783271051241e-07
4.000000000000001776e+00	-2.907301769869091225e-07
3.800000000000001155e+00	2.843147047290493046e-07
3.600000000000000977e+00	-1.286785304324945723e-07
3.400000000000001243e+00	-4.133313728387225581e-07
3.200000000000001066e+00	5.379606913991054932e-09
3.000000000000000888e+00	2.960104350773921345e-07
2.800000000000001155e+00	-1.442703172099836425e-07
2.600000000000000977e+00	-6.090293887393606319e-08
2.400000000000001243e+00	1.935411793180723198e-07
2.200000000000001066e+00	9.436186424518682007e-08
2.000000000000000888e+00	7.792675541894632546e-08
1.800000000000001155e+00	-3.314832402285324023e-07
1.600000000000000977e+00	-4.199944258815369420e-07
1.400000000000001021e+00	-3.531947386954909541e-07
1.200000000000001066e+00	-6.400626202693840621e-07
1.000000000000000888e+00	-9.861926905010121887e-08
8.000000000000011546e-01	1.139824656142089751e-07
6.000000000000009770e-01	1.497900675086400536e-07
4.000000000000003553e-01	7.823957233402737693e-08
2.000000000000010658e-01	7.336251221222388970e-08
0.000000000000000000e+00	9.200480021956166888e-07
-1.999999999999992895e-01	8.846314654046933582e-07
-3.999999999999994671e-01	-3.210512620829369182e-07
-5.999999999999987566e-01	-4.402229013795277189e-07
-7.999999999999993783e-01	-2.490616978600064709e-07
-9.999999999999991118e-01	-1.827589306301263778e-07
-1.199999999999999289e+00	-1.752984494198625058e-07
-1.399999999999998579e+00	-2.637021976725778705e-07
-1.600000000000000089e+00	-1.840654116189135108e-07
-1.799999999999998934e+00	-7.923147802147668256e-08
-2.000000000000000000e+00	-2.145116938164240420e-07
-2.199999999999999289e+00	1.250418359762233381e-07
-2.399999999999999467e+00	1.866537561888928603e-07
-2.599999999999999645e+00	-1.769022735246710432e-07
-2.799999999999999822e+00	4.980945581854017734e-08
