# distance_x[ps] 	  Amplitude [V]
7.250000000000001776e+00	-3.245254816490817978e-07
7.200000000000001066e+00	-1.005269423000812463e-07
7.150000000000000355e+00	3.101206055949188824e-07
7.099999999999999645e+00	5.302677515256952664e-08
7.050000000000000711e+00	4.102295794817635904e-07
7.000000000000001776e+00	4.983314128141898564e-07
6.950000000000001066e+00	2.238504832261797018e-07
6.900000000000000355e+00	-1.365508257040962070e-07
6.850000000000001421e+00	1.080827280454625298e-07
6.800000000000000711e+00	2.229137908671932969e-07
6.750000000000000000e+00	-5.660808044175224471e-08
6.700000000000001066e+00	1.847012440893649594e-07
6.650000000000002132e+00	-8.665485728172249797e-08
6.600000000000001421e+00	-6.658481238546749221e-08
6.550000000000000711e+00	-3.337061921343529702e-07
6.500000000000000000e+00	3.330346644228889176e-07
6.450000000000001066e+00	-1.536831346811497735e-07
6.400000000000002132e+00	-1.111203403040490617e-07
6.349999999999999645e+00	-5.340394900464872187e-08
6.300000000000000711e+00	-1.373505397736795156e-07
6.250000000000001776e+00	1.446923299116107245e-07
6.200000000000001066e+00	-6.070040794488019381e-07
6.150000000000000355e+00	-1.125620411959825283e-07
6.099999999999999645e+00	-2.459822360085086522e-07
6.050000000000001599e+00	2.743553808092761353e-07
6.000000000000001776e+00	-1.870340951362342444e-07
5.950000000000000178e+00	8.002802699579777592e-08
5.900000000000000355e+00	-1.890720648078416405e-07
5.850000000000001421e+00	-3.427200317638558017e-08
5.800000000000000711e+00	-8.842344217879125031e-08
5.750000000000000000e+00	-1.429708697662236398e-07
5.700000000000001066e+00	-3.586476703163897457e-07
5.650000000000000355e+00	-3.221834869936772037e-07
5.600000000000001421e+00	-3.737981021434271584e-07
5.550000000000000711e+00	-3.574779917783800934e-07
5.500000000000000888e+00	-7.866070584252606428e-08
5.450000000000001066e+00	-5.033018432462283771e-07
5.400000000000000355e+00	-3.476874729392577358e-08
5.350000000000001421e+00	-1.365828283339695642e-07
5.300000000000000711e+00	-3.545363874094137126e-07
5.250000000000000888e+00	8.515970144758290664e-08
5.200000000000001066e+00	-6.220801315371775695e-08
5.150000000000000355e+00	-1.769750707157017037e-07
5.100000000000001421e+00	-5.791549337525546760e-07
5.050000000000000711e+00	-2.862918342361720957e-07
5.000000000000000888e+00	-9.824666700228963854e-08
4.950000000000001066e+00	-2.318360185727178842e-07
4.900000000000000355e+00	-2.419694227319121798e-07
4.850000000000001421e+00	2.076773739521993574e-07
4.800000000000000711e+00	3.814817225696763481e-07
4.750000000000000888e+00	-6.186038019075245640e-08
4.700000000000001066e+00	-3.556978015320165296e-07
4.650000000000000355e+00	-3.674628122988764945e-07
4.600000000000001421e+00	2.559700457856415605e-08
4.550000000000000711e+00	-1.767675811374017412e-07
4.500000000000000888e+00	6.906413700752658544e-09
4.450000000000001066e+00	-8.510466395774571395e-08
4.400000000000000355e+00	-1.121194553751511396e-07
