# distance_x[ps] 	  Amplitude [V]
1.230000000000000426e+01	-2.664201353096818491e-07
1.220000000000000284e+01	-1.968495830602028024e-07
1.210000000000000142e+01	-8.179056304414321996e-07
1.200000000000000000e+01	-7.279724378225700260e-07
1.190000000000000213e+01	-1.648381612555329377e-07
1.180000000000000426e+01	1.415413017394619500e-07
1.170000000000000284e+01	1.032018698093444133e-06
1.160000000000000142e+01	4.429957006678432882e-07
1.150000000000000355e+01	5.309215195359659174e-07
1.140000000000000213e+01	-2.900699029474884256e-07
1.130000000000000071e+01	-2.818559532261945843e-07
1.120000000000000284e+01	-4.279354740557786009e-07
1.110000000000000497e+01	-4.322466854801504876e-07
1.100000000000000000e+01	6.450288305744062880e-09
1.090000000000000213e+01	4.950581767971949463e-07
1.080000000000000071e+01	3.393773394897180221e-07
1.070000000000000284e+01	6.186653454265119747e-07
1.060000000000000497e+01	4.318209801673841059e-07
1.050000000000000000e+01	1.774422739441280091e-07
1.040000000000000213e+01	-1.622427831405264181e-08
1.030000000000000426e+01	-4.450162623155085399e-07
1.020000000000000284e+01	-4.044232122232521256e-07
1.010000000000000142e+01	-4.411518568389842936e-07
1.000000000000000000e+01	-1.683479002240646736e-09
9.900000000000003908e+00	-1.789548378022097051e-07
9.800000000000000711e+00	-3.462299465710132457e-07
9.700000000000001066e+00	-5.511114863749333705e-07
9.600000000000001421e+00	-1.730058654182734662e-08
9.500000000000000000e+00	-7.408872573627381156e-08
9.400000000000002132e+00	-5.002990470355259752e-07
9.300000000000000711e+00	-7.777214051538770011e-07
9.200000000000002842e+00	-4.705886494864778124e-07
9.100000000000001421e+00	-1.288395986136156067e-07
9.000000000000001776e+00	-3.676525421759830554e-07
8.900000000000002132e+00	6.104589567661220702e-09
8.800000000000000711e+00	1.877300644166675718e-07
8.700000000000002842e+00	9.968274105820142727e-08
8.600000000000001421e+00	2.219408757513172301e-07
8.500000000000003553e+00	-2.076318317481487444e-07
8.400000000000002132e+00	-7.927712572870266214e-07
8.300000000000002487e+00	-1.586342228643636393e-07
8.200000000000002842e+00	7.361079635168115554e-08
8.100000000000001421e+00	-4.628953579358163350e-07
8.000000000000001776e+00	-1.859528634269405549e-07
7.900000000000002132e+00	-3.191926478095210425e-07
7.800000000000001599e+00	-5.257979336609621785e-08
7.700000000000002842e+00	1.520981253092887536e-07
7.600000000000002309e+00	3.621259341709252087e-07
7.500000000000001776e+00	7.649472565142512016e-08
7.400000000000001243e+00	-2.457005425301725236e-07
7.300000000000001599e+00	-3.417383247166958550e-07
7.200000000000001954e+00	-2.470945911545472513e-07
7.100000000000002309e+00	-2.634678047845490845e-08
7.000000000000001776e+00	2.371702591212840392e-07
6.900000000000001243e+00	-9.494160419404699981e-08
6.800000000000001599e+00	-1.204469968486329447e-07
6.700000000000001954e+00	-1.470698439694022278e-07
6.600000000000002309e+00	-3.774928233461721455e-07
6.500000000000001776e+00	1.278264164524592680e-07
6.400000000000001243e+00	-2.164232355161689713e-07
6.300000000000001599e+00	-3.092797452869269073e-07
6.200000000000001954e+00	9.729151158760707925e-09
6.100000000000001421e+00	-2.451106039410230247e-07
6.000000000000001776e+00	-7.278681655175429338e-08
5.900000000000001243e+00	3.220164402992831813e-07
5.800000000000000711e+00	-4.463679338310949228e-07
5.700000000000001954e+00	-5.362286809361776137e-08
5.600000000000001421e+00	2.268691049131929949e-07
5.500000000000001776e+00	-2.200312682764547319e-07
5.400000000000002132e+00	-6.867001231193197819e-07
5.300000000000000711e+00	-7.986801384643081774e-08
5.200000000000001066e+00	1.876479477784759734e-08
5.100000000000001421e+00	-4.013164953847742329e-07
5.000000000000001776e+00	-2.232987016188022959e-07
4.900000000000000355e+00	-2.926417186866540253e-07
4.800000000000000711e+00	-2.481466336519784357e-07
4.700000000000001954e+00	1.753455741715441867e-07
4.600000000000001421e+00	-1.993074553699291546e-07
4.500000000000000888e+00	4.093382534882021037e-07
4.400000000000001243e+00	2.497210927062987203e-07
4.300000000000001599e+00	-5.043006066400791448e-07
4.200000000000001066e+00	-6.482628545778749264e-07
4.100000000000000533e+00	-2.765830803579900129e-07
4.000000000000001776e+00	3.466644438150634675e-07
3.900000000000001688e+00	5.722559052740805242e-07
3.800000000000000711e+00	1.299487886643920699e-07
3.700000000000001066e+00	1.055110881449225984e-07
3.600000000000001421e+00	-5.715047226651842167e-07
3.500000000000001776e+00	-7.879991728247528865e-07
3.400000000000000355e+00	1.187352078276581611e-07
3.300000000000000711e+00	2.846058934931719996e-07
3.200000000000001066e+00	7.145832056703228852e-07
3.100000000000001421e+00	1.024987087291208858e-06
3.000000000000000444e+00	3.920253582425773650e-07
2.900000000000000799e+00	4.916212350196938709e-07
2.800000000000001155e+00	-8.974029764649337092e-07
2.700000000000000178e+00	-6.419207070269228269e-07
2.600000000000000533e+00	-1.160658016512412265e-08
2.500000000000000888e+00	-7.042758971103330258e-08
2.400000000000001243e+00	-2.238459114219120604e-07
2.300000000000000266e+00	4.521092407981054381e-08
2.200000000000000622e+00	2.917725483599279133e-07
2.100000000000000977e+00	1.870478105490371420e-07
2.000000000000001332e+00	6.270085365376790821e-07
1.900000000000000133e+00	-3.152406746974092546e-07
1.800000000000000488e+00	-1.365410842442336519e-06
1.700000000000000844e+00	-1.274631338518086440e-06
1.600000000000001421e+00	-6.630994144580772645e-07
1.500000000000000222e+00	-4.937851051472866495e-07
1.400000000000000799e+00	-6.914864505102734460e-07
1.300000000000000933e+00	-1.099220528216415570e-06
1.200000000000001066e+00	-9.846781924180481939e-07
1.100000000000000089e+00	-8.184268161279414626e-08
1.000000000000000444e+00	4.120721924402428007e-07
9.000000000000010214e-01	2.171243041167469450e-07
7.999999999999998224e-01	5.414261190339663407e-07
7.000000000000001776e-01	2.252942941816212943e-07
6.000000000000005329e-01	-4.232840148907199204e-08
5.000000000000008882e-01	3.398677534167338974e-07
3.999999999999999112e-01	1.074252674240527115e-07
3.000000000000002665e-01	-1.771574153705297645e-09
2.000000000000006217e-01	1.006611950907863642e-06
1.000000000000005329e-01	2.142210501520409718e-06
0.000000000000000000e+00	2.848286810319059225e-06
-9.999999999999964473e-02	1.262681697194264455e-06
-1.999999999999992895e-01	1.317217695271027821e-07
-2.999999999999989342e-01	-1.169025649192549144e-06
-3.999999999999999112e-01	-1.428310428910845525e-06
-4.999999999999995559e-01	-1.489591420829989482e-06
-5.999999999999992006e-01	-7.321484293437956056e-07
-7.000000000000001776e-01	-4.700226249504204773e-07
-8.000000000000002665e-01	-2.654786953078021346e-07
-8.999999999999994671e-01	-6.416351450988215848e-09
-9.999999999999991118e-01	-2.996501187902999157e-07
-1.100000000000000533e+00	-2.213363425562364389e-07
-1.200000000000000178e+00	-4.697993098958095177e-07
-1.299999999999999822e+00	-9.323370120669968748e-07
-1.399999999999999467e+00	-5.104639263087167553e-07
-1.499999999999999556e+00	-3.460709884534003372e-07
-1.599999999999998757e+00	-7.844922472742320027e-07
-1.700000000000001066e+00	-4.928419067591501457e-07
