# distance_x[ps] 	  Amplitude [V]
1.230000000000000426e+01	-4.358953369629678831e-07
1.220000000000000284e+01	-8.805024227965238176e-07
1.210000000000000142e+01	-1.042952167999473286e-06
1.200000000000000000e+01	-4.172887969482303820e-07
1.190000000000000213e+01	-3.738501503766278439e-07
1.180000000000000426e+01	8.417324675752963699e-08
1.170000000000000284e+01	8.250506571572297436e-07
1.160000000000000142e+01	8.152793047283062930e-07
1.150000000000000355e+01	7.281347368740707387e-07
1.140000000000000213e+01	1.578459383054494340e-07
1.130000000000000071e+01	-7.842634812222248483e-07
1.120000000000000284e+01	-9.751479147449292105e-07
1.110000000000000497e+01	-5.096453975061859291e-07
1.100000000000000000e+01	1.580894748020134365e-08
1.090000000000000213e+01	5.912447184610417876e-07
1.080000000000000071e+01	8.453825257671192180e-07
1.070000000000000284e+01	5.160046014038287569e-07
1.060000000000000497e+01	5.339647586305740477e-07
1.050000000000000000e+01	5.380735797967907241e-07
1.040000000000000213e+01	1.050714915807277302e-07
1.030000000000000426e+01	-7.113957789026586746e-07
1.020000000000000284e+01	-5.414472196690477054e-07
1.010000000000000142e+01	-4.246829869966136658e-07
1.000000000000000000e+01	-1.519729282078060710e-07
9.900000000000003908e+00	-9.591487098717442977e-08
9.800000000000000711e+00	9.314699518037794445e-09
9.700000000000001066e+00	1.662221870782440410e-07
9.600000000000001421e+00	-1.252217188902920753e-08
9.500000000000000000e+00	1.402311281395355966e-07
9.400000000000002132e+00	-6.218420460380096229e-07
9.300000000000000711e+00	-7.698262508609372655e-07
9.200000000000002842e+00	-8.836597811591969962e-07
9.100000000000001421e+00	-9.808922109685761537e-07
9.000000000000001776e+00	-2.695628990664237619e-07
8.900000000000002132e+00	-1.069798681852104706e-07
8.800000000000000711e+00	1.427607426085384935e-07
8.700000000000002842e+00	5.786414849655750843e-07
8.600000000000001421e+00	3.681200970816606710e-07
8.500000000000003553e+00	-3.082697282210327839e-08
8.400000000000002132e+00	-6.670127030725399544e-07
8.300000000000002487e+00	1.726795089290151987e-07
8.200000000000002842e+00	3.237328011245255931e-07
8.100000000000001421e+00	2.438584570875703712e-07
8.000000000000001776e+00	1.123960495333423835e-09
7.900000000000002132e+00	-2.147814302682140092e-07
7.800000000000001599e+00	3.454488713957518392e-07
7.700000000000002842e+00	6.358009953374531866e-07
7.600000000000002309e+00	9.514698370883884971e-08
7.500000000000001776e+00	-1.099107463980104743e-07
7.400000000000001243e+00	-6.164594498673821881e-07
7.300000000000001599e+00	-3.429269938262787461e-07
7.200000000000001954e+00	-1.982487310047222559e-07
7.100000000000002309e+00	1.103867415577206596e-07
7.000000000000001776e+00	1.870915943668309393e-07
6.900000000000001243e+00	6.191742224092238721e-07
6.800000000000001599e+00	1.169833276000288004e-07
6.700000000000001954e+00	2.058992937693439725e-07
6.600000000000002309e+00	4.306643136876746515e-07
6.500000000000001776e+00	2.579186894354045066e-07
6.400000000000001243e+00	-5.226859416637136534e-07
6.300000000000001599e+00	-2.137557635646345307e-07
6.200000000000001954e+00	-2.478621267556312366e-09
6.100000000000001421e+00	2.010844805210304502e-07
6.000000000000001776e+00	3.410260024440745256e-07
5.900000000000001243e+00	4.125719258144195345e-08
5.800000000000000711e+00	3.326979334547156361e-07
5.700000000000001954e+00	-3.736210326473695116e-07
5.600000000000001421e+00	-2.369298877199822983e-07
5.500000000000001776e+00	2.373557688713743152e-08
5.400000000000002132e+00	-5.543884150030673685e-07
5.300000000000000711e+00	-2.532056867513585610e-07
5.200000000000001066e+00	-3.795698291926800028e-07
5.100000000000001421e+00	2.455744662355614133e-08
5.000000000000001776e+00	-1.310194700561450770e-07
4.900000000000000355e+00	1.066165855845598546e-07
4.800000000000000711e+00	-2.255424024824528653e-07
4.700000000000001954e+00	-2.496169962398974023e-07
4.600000000000001421e+00	1.061703071525892192e-07
4.500000000000000888e+00	3.561651805990684768e-07
4.400000000000001243e+00	3.470906766437067483e-07
4.300000000000001599e+00	-7.255467439813427523e-07
4.200000000000001066e+00	-1.128316369768719502e-06
4.100000000000000533e+00	-2.355762819795135108e-07
4.000000000000001776e+00	3.284074709881737774e-07
3.900000000000001688e+00	6.451496317102469877e-07
3.800000000000000711e+00	2.877818907501670274e-07
3.700000000000001066e+00	-8.018802256130211962e-07
3.600000000000001421e+00	-2.798703834650391838e-07
3.500000000000001776e+00	-6.296401374095751445e-07
3.400000000000000355e+00	-5.507888224968142438e-07
3.300000000000000711e+00	6.099500797834102390e-07
3.200000000000001066e+00	5.710178255106820786e-07
3.100000000000001421e+00	1.266761680825870043e-06
3.000000000000000444e+00	6.958558645197445686e-07
2.900000000000000799e+00	-2.118405292537503547e-07
2.800000000000001155e+00	-9.756988171591781160e-07
2.700000000000000178e+00	-8.374300480822083234e-07
2.600000000000000533e+00	-3.510340336631604173e-07
2.500000000000000888e+00	4.106419210589784376e-07
2.400000000000001243e+00	-7.242494066010909020e-08
2.300000000000000266e+00	4.858830931479454782e-07
2.200000000000000622e+00	2.778019937111894984e-07
2.100000000000000977e+00	9.069061749896983928e-07
2.000000000000001332e+00	2.483852466670233873e-07
1.900000000000000133e+00	-7.275367097081400729e-07
1.800000000000000488e+00	-2.028912048160087790e-06
1.700000000000000844e+00	-1.624985755893001638e-06
1.600000000000001421e+00	-7.165735230743715425e-07
1.500000000000000222e+00	-1.081461354538820248e-06
1.400000000000000799e+00	-1.619956771198612227e-06
1.300000000000000933e+00	-1.515985326060125678e-06
1.200000000000001066e+00	-9.468477429738179503e-07
1.100000000000000089e+00	-8.849606353119624249e-08
1.000000000000000444e+00	6.725496855565128681e-07
9.000000000000010214e-01	6.793762685212076431e-07
7.999999999999998224e-01	6.560597150790608226e-07
7.000000000000001776e-01	5.965993562901865280e-08
6.000000000000005329e-01	8.562760803051192502e-08
5.000000000000008882e-01	1.826625710632548371e-07
3.999999999999999112e-01	2.488784740120499229e-08
3.000000000000002665e-01	4.548943487902184392e-07
2.000000000000006217e-01	1.261635457371480590e-06
1.000000000000005329e-01	2.897570332808196445e-06
0.000000000000000000e+00	3.807769437740965978e-06
-9.999999999999964473e-02	2.400318569155669449e-06
-1.999999999999992895e-01	8.316639478689772892e-08
-2.999999999999989342e-01	-1.013831884878200132e-06
-3.999999999999999112e-01	-1.765214422291777508e-06
-4.999999999999995559e-01	-1.571010155516273745e-06
-5.999999999999992006e-01	-4.795857844465411861e-07
-7.000000000000001776e-01	-2.894516543396047897e-07
-8.000000000000002665e-01	-3.712025481897950631e-07
-8.999999999999994671e-01	4.426127241411166938e-07
-9.999999999999991118e-01	1.132224910740288803e-08
-1.100000000000000533e+00	-4.763121967522948863e-07
-1.200000000000000178e+00	-7.783187289653049936e-07
-1.299999999999999822e+00	-5.431143456791003898e-07
-1.399999999999999467e+00	-6.348781942298954800e-07
-1.499999999999999556e+00	-5.521499892981872991e-07
-1.599999999999998757e+00	-3.423924444042177897e-07
-1.700000000000001066e+00	-1.637025954109047421e-07
-1.800000000000000711e+00	-2.729518368991147882e-07
-1.900000000000000355e+00	-1.172036533980032527e-07
-2.000000000000000000e+00	-1.795917253044152166e-07
-2.100000000000000533e+00	-1.912023497579299409e-07
-2.199999999999999289e+00	-2.604231589809355347e-07
-2.299999999999998934e+00	-2.325861461498599965e-07
-2.400000000000002132e+00	2.334164561403112892e-07
-2.500000000000000888e+00	4.991056302830498803e-08
-2.600000000000000533e+00	1.008307914452527363e-07
-2.699999999999999289e+00	1.759147638028637106e-07
