# distance_x[ps] 	  Amplitude [V]
1.230000000000000426e+01	-1.284757884970879195e-07
1.220000000000000284e+01	-1.081463816279579711e-06
1.210000000000000142e+01	-1.186358941718752574e-06
1.200000000000000000e+01	-8.467632106559424641e-07
1.190000000000000213e+01	-4.760287448877020215e-07
1.180000000000000426e+01	-4.177591652719189291e-08
1.170000000000000284e+01	9.136488829299448729e-07
1.160000000000000142e+01	1.097838260779961467e-06
1.150000000000000355e+01	1.117841838675710005e-06
1.140000000000000213e+01	-8.759067044758050826e-08
1.130000000000000071e+01	-9.584986344726127611e-07
1.120000000000000284e+01	-9.407637265253610463e-07
1.110000000000000497e+01	-4.752003691221332393e-07
1.100000000000000000e+01	4.827809481137351210e-07
1.090000000000000213e+01	6.508663212696626790e-07
1.080000000000000071e+01	3.974767073158449827e-07
1.070000000000000284e+01	1.220827356640020369e-06
1.060000000000000497e+01	7.557282132085823737e-07
1.050000000000000000e+01	2.269568483874062579e-07
1.040000000000000213e+01	2.847231778564992234e-08
1.030000000000000426e+01	-7.025669215073691605e-07
1.020000000000000284e+01	-3.995554715486095762e-07
1.010000000000000142e+01	-3.692083623359814908e-07
1.000000000000000000e+01	-1.709503118840983500e-08
9.900000000000003908e+00	-3.229257018326637909e-07
9.800000000000000711e+00	-4.318292445827909941e-07
9.700000000000001066e+00	-5.637280836059515023e-08
9.600000000000001421e+00	3.575337326227199727e-07
9.500000000000000000e+00	-4.875834526582512247e-07
9.400000000000002132e+00	-8.772086136603244948e-07
9.300000000000000711e+00	-8.609331663061995688e-07
9.200000000000002842e+00	-1.110419690285844027e-06
9.100000000000001421e+00	5.766381555032262293e-08
9.000000000000001776e+00	-2.139090948462257084e-07
8.900000000000002132e+00	-1.657908549294560080e-07
8.800000000000000711e+00	5.323268218323840802e-08
8.700000000000002842e+00	3.233169427747972734e-07
8.600000000000001421e+00	6.467145954787805999e-07
8.500000000000003553e+00	-5.990966164520647839e-07
8.400000000000002132e+00	-1.029861861510878512e-06
8.300000000000002487e+00	-5.017370553163203803e-07
8.200000000000002842e+00	-8.191266538581398109e-08
8.100000000000001421e+00	4.004566445052090852e-08
8.000000000000001776e+00	-2.596463039326903800e-07
7.900000000000002132e+00	-4.901554442360424927e-07
7.800000000000001599e+00	2.612970769505549035e-07
7.700000000000002842e+00	4.233202376476095956e-07
7.600000000000002309e+00	4.053532227144628162e-07
7.500000000000001776e+00	-3.032917367280901544e-07
7.400000000000001243e+00	-6.306935866160117814e-07
7.300000000000001599e+00	-9.952169046094299681e-07
7.200000000000001954e+00	5.084373861477794685e-09
7.100000000000002309e+00	1.725662688540786245e-07
7.000000000000001776e+00	4.184289345971261660e-07
6.900000000000001243e+00	-2.270248979355436616e-07
6.800000000000001599e+00	-8.045672156520058542e-08
6.700000000000001954e+00	2.947581123853138127e-07
6.600000000000002309e+00	3.342927897896145591e-07
6.500000000000001776e+00	-9.683608954710118752e-08
6.400000000000001243e+00	-6.346079302622284813e-07
6.300000000000001599e+00	-5.008160125950192511e-07
6.200000000000001954e+00	-3.387344734742394960e-07
6.100000000000001421e+00	3.552052775414925814e-07
6.000000000000001776e+00	1.703398001757444517e-07
5.900000000000001243e+00	-1.220601404006025258e-08
5.800000000000000711e+00	-5.468138145247387395e-07
5.700000000000001954e+00	-2.216180360345724880e-07
5.600000000000001421e+00	-1.038622493519405060e-07
5.500000000000001776e+00	-3.854250795891300171e-07
5.400000000000002132e+00	2.868123165681787913e-07
5.300000000000000711e+00	-2.973116409074089529e-07
5.200000000000001066e+00	-1.921766715828114338e-07
5.100000000000001421e+00	-2.518260568942894307e-07
5.000000000000001776e+00	-2.552851543386259337e-07
4.900000000000000355e+00	-2.630793772604265403e-07
4.800000000000000711e+00	2.765326146724204484e-07
4.700000000000001954e+00	-1.303766040406664980e-07
4.600000000000001421e+00	-1.308942729546623679e-07
4.500000000000000888e+00	2.174905759740340683e-07
4.400000000000001243e+00	1.319686469575546218e-08
4.300000000000001599e+00	-6.287676261489612282e-07
4.200000000000001066e+00	-6.848091545387791859e-07
4.100000000000000533e+00	-5.711361649057633786e-07
4.000000000000001776e+00	6.933798808315735046e-07
3.900000000000001688e+00	7.409227767651250777e-07
3.800000000000000711e+00	4.554916726016464317e-07
3.700000000000001066e+00	-6.737895237061678911e-07
3.600000000000001421e+00	-1.259498666392242323e-06
3.500000000000001776e+00	-1.078597470842403559e-06
3.400000000000000355e+00	-3.417443032299688960e-07
3.300000000000000711e+00	1.805449464942153713e-07
3.200000000000001066e+00	8.486330786014016955e-07
3.100000000000001421e+00	1.652083367303101150e-06
3.000000000000000444e+00	9.274223224792983393e-07
2.900000000000000799e+00	-3.117279464722409453e-07
2.800000000000001155e+00	-1.604116700281665812e-06
2.700000000000000178e+00	-8.688541688771139789e-07
2.600000000000000533e+00	2.156782072591715319e-07
2.500000000000000888e+00	4.034086233530904668e-07
2.400000000000001243e+00	1.486464130872306912e-07
2.300000000000000266e+00	-1.003811720793942304e-07
2.200000000000000622e+00	4.319479356551236836e-07
2.100000000000000977e+00	1.089080793866697002e-06
2.000000000000001332e+00	6.719885845019744581e-07
1.900000000000000133e+00	-8.614341305507560206e-07
1.800000000000000488e+00	-2.246655304239221256e-06
1.700000000000000844e+00	-2.166928312970583879e-06
1.600000000000001421e+00	-1.164742396109659951e-06
1.500000000000000222e+00	-8.171785377242537772e-07
1.400000000000000799e+00	-7.975709484135318200e-07
1.300000000000000933e+00	-1.975695543130411755e-06
1.200000000000001066e+00	-1.423310281751067414e-06
1.100000000000000089e+00	1.293544541096005979e-07
1.000000000000000444e+00	1.186141605177414443e-06
9.000000000000010214e-01	1.268784880052920319e-06
7.999999999999998224e-01	3.729015009910953570e-07
7.000000000000001776e-01	2.040041050617870717e-07
6.000000000000005329e-01	3.671862181406851182e-07
5.000000000000008882e-01	1.408096372180160186e-07
3.999999999999999112e-01	-1.692882851941903517e-07
3.000000000000002665e-01	2.686459006335132692e-07
2.000000000000006217e-01	1.689936324091418105e-06
1.000000000000005329e-01	3.877590032516158365e-06
0.000000000000000000e+00	4.945279530053257168e-06
-9.999999999999964473e-02	3.231221663291338249e-06
-1.999999999999992895e-01	5.540710262837188213e-07
-2.999999999999989342e-01	-1.563829081882212022e-06
-3.999999999999999112e-01	-1.895190641781775320e-06
-4.999999999999995559e-01	-1.966305057164706561e-06
-5.999999999999992006e-01	-1.002025024518428668e-06
-7.000000000000001776e-01	-2.682022597809278176e-07
-8.000000000000002665e-01	2.148306650834038425e-07
-8.999999999999994671e-01	-6.639420331523260288e-08
-9.999999999999991118e-01	-4.869738201430257077e-07
-1.100000000000000533e+00	-6.481473286008045315e-07
-1.200000000000000178e+00	-3.686208854875914544e-07
-1.299999999999999822e+00	-7.320896992428191000e-07
-1.399999999999999467e+00	-6.326330866572394845e-07
-1.499999999999999556e+00	-2.673385404515977415e-07
-1.599999999999998757e+00	-2.180777011451727416e-07
-1.700000000000001066e+00	-5.743151514193949798e-07
-1.800000000000000711e+00	-7.556694831076058681e-07
-1.900000000000000355e+00	-4.251067580844974841e-07
-2.000000000000000000e+00	1.365502981882191755e-07
-2.100000000000000533e+00	-3.367079333133011504e-07
-2.199999999999999289e+00	-1.560216125640407760e-08
-2.299999999999998934e+00	-1.393176464791386294e-07
-2.400000000000002132e+00	1.785929619105645284e-07
-2.500000000000000888e+00	-2.771234324546983419e-08
-2.600000000000000533e+00	-3.638665607265111740e-07
-2.699999999999999289e+00	-3.920111153138973300e-08
