# distance_x[ps] 	  Amplitude [V]
4.225000000000000711e+01	-2.788607180763964501e-07
4.220000000000000995e+01	-2.592462710592730573e-07
4.215000000000000568e+01	8.604416973474298423e-08
4.210000000000000853e+01	-3.522861805166130707e-07
4.205000000000000426e+01	-4.458193173189797057e-07
4.200000000000000711e+01	6.756476104637068942e-08
4.195000000000000995e+01	1.641384993639603900e-07
4.190000000000000568e+01	2.945121141479906323e-09
4.185000000000000853e+01	-1.590477953119582177e-07
4.180000000000000426e+01	4.417776665077721973e-07
4.175000000000000711e+01	2.087598365318727782e-07
4.170000000000000995e+01	2.228756338854212039e-07
4.165000000000000568e+01	-3.566657931663735919e-08
4.160000000000000853e+01	8.355441788218124796e-07
4.155000000000000426e+01	1.702749157228692897e-07
4.150000000000000711e+01	-1.978815799543066851e-07
4.145000000000000284e+01	9.063373370356303645e-08
4.140000000000000568e+01	-1.397120525165343007e-07
4.135000000000000142e+01	-4.335689919452486177e-07
4.129999999999999716e+01	-2.824759602203350623e-07
4.125000000000000000e+01	-4.962765626345174798e-07
4.120000000000000284e+01	-4.820334581159782588e-08
4.115000000000000568e+01	-4.669447456465537265e-07
4.110000000000000142e+01	1.621218061660600005e-07
4.104999999999999716e+01	3.442751485693515506e-07
4.100000000000000000e+01	8.054182746002873073e-08
4.095000000000000284e+01	3.843484196841038896e-07
4.090000000000000568e+01	1.641611825466728227e-07
4.085000000000000142e+01	4.300344597304965615e-08
4.080000000000000426e+01	2.304980624699344254e-07
4.075000000000000711e+01	5.521967623726175110e-07
4.070000000000000995e+01	-3.279678744239789092e-07
4.065000000000000568e+01	-3.496813071158200244e-07
4.060000000000000853e+01	-3.887841248554557326e-07
4.055000000000000426e+01	-4.233914522910091352e-07
4.050000000000000711e+01	-7.503311982706491827e-07
4.045000000000000995e+01	9.211112983650910701e-08
4.040000000000000568e+01	-2.037640853377366940e-07
4.035000000000000853e+01	8.540569968490632533e-08
4.030000000000000426e+01	-3.996926256766383938e-07
4.025000000000000711e+01	-1.626181986063488374e-07
4.020000000000000995e+01	3.341695269130143869e-07
4.015000000000000568e+01	-3.523137871808445343e-07
4.010000000000000853e+01	1.625450497380668402e-07
