# distance_x[ps] 	  Amplitude [V]
1.230000000000000426e+01	-5.218591484457760450e-08
1.220000000000000284e+01	-8.252430246137214883e-07
1.210000000000000142e+01	-1.781313151827096494e-06
1.200000000000000000e+01	-1.328262295188485342e-06
1.190000000000000213e+01	-7.398999234795563190e-07
1.180000000000000426e+01	7.187340522680763580e-07
1.170000000000000284e+01	1.663287101176797302e-06
1.160000000000000142e+01	2.283428611865875774e-06
1.150000000000000355e+01	1.643192263034321552e-06
1.140000000000000213e+01	2.580753616508836209e-07
1.130000000000000071e+01	-8.626294815281147848e-07
1.120000000000000284e+01	-9.233945629195192645e-07
1.110000000000000497e+01	-9.221513838359761725e-07
1.100000000000000000e+01	1.242438802928967922e-07
1.090000000000000213e+01	1.106994881373514755e-06
1.080000000000000071e+01	1.512706287368483448e-06
1.070000000000000284e+01	1.395521448703427726e-06
1.060000000000000497e+01	1.158023250545254192e-06
1.050000000000000000e+01	8.485456868044398221e-07
1.040000000000000213e+01	3.121093404513363658e-07
1.030000000000000426e+01	-1.002822980201755082e-06
1.020000000000000284e+01	-1.304011686966737089e-06
1.010000000000000142e+01	-3.860616154140841126e-07
1.000000000000000000e+01	1.354469108120900584e-07
9.900000000000003908e+00	-9.071356443962081412e-08
9.800000000000000711e+00	-4.928661724894936462e-07
9.700000000000001066e+00	-4.998508343786729880e-07
9.600000000000001421e+00	4.541734104249388850e-07
9.500000000000000000e+00	-7.358389304195241821e-08
9.400000000000002132e+00	-5.374470667735002001e-07
9.300000000000000711e+00	-1.174712094508348082e-06
9.200000000000002842e+00	-1.717153857444230303e-06
9.100000000000001421e+00	-8.378334218895135032e-07
9.000000000000001776e+00	-7.712916899673372011e-07
8.900000000000002132e+00	-2.559018203988785017e-07
8.800000000000000711e+00	7.400560681791584812e-07
8.700000000000002842e+00	9.743191873021088799e-07
8.600000000000001421e+00	7.323462477976832275e-07
8.500000000000003553e+00	-2.215751314099070589e-07
8.400000000000002132e+00	-1.059735261465930272e-06
8.300000000000002487e+00	-8.423540571170679688e-07
8.200000000000002842e+00	3.037401252235688231e-08
8.100000000000001421e+00	3.004315456428127118e-07
8.000000000000001776e+00	4.530833867843612759e-09
7.900000000000002132e+00	-5.346726849375535100e-07
7.800000000000001599e+00	8.029551271317904286e-07
7.700000000000002842e+00	1.241775012117034017e-06
7.600000000000002309e+00	6.154119791742185921e-07
7.500000000000001776e+00	-2.995980705570992302e-07
7.400000000000001243e+00	-8.524927364350325261e-07
7.300000000000001599e+00	-1.139361321363428413e-06
7.200000000000001954e+00	-1.937027750150703062e-07
7.100000000000002309e+00	2.070807534952740912e-07
7.000000000000001776e+00	2.660088487642211708e-07
6.900000000000001243e+00	6.805383859983132393e-07
6.800000000000001599e+00	1.876546296462517274e-07
6.700000000000001954e+00	3.971508783424637731e-07
6.600000000000002309e+00	6.463411142378408368e-07
6.500000000000001776e+00	3.638579446338529492e-07
6.400000000000001243e+00	-5.027597327632633118e-07
6.300000000000001599e+00	-8.367043620740354595e-07
6.200000000000001954e+00	-6.263433390167394071e-07
6.100000000000001421e+00	9.161079861100509299e-07
6.000000000000001776e+00	5.691648380732879602e-07
5.900000000000001243e+00	2.283424567577484820e-07
5.800000000000000711e+00	-5.647233302272901209e-09
5.700000000000001954e+00	-3.111139179913735611e-07
5.600000000000001421e+00	-6.827288077583833656e-07
5.500000000000001776e+00	-2.883858964293706548e-08
5.400000000000002132e+00	-4.101151085364472585e-07
5.300000000000000711e+00	-4.623412904263051348e-07
5.200000000000001066e+00	-4.189399216433462951e-07
5.100000000000001421e+00	-6.713979425583221800e-07
5.000000000000001776e+00	-2.790098292309713496e-07
4.900000000000000355e+00	8.602324493828728788e-08
4.800000000000000711e+00	1.324170354530335552e-08
4.700000000000001954e+00	-4.450804434138809756e-07
4.600000000000001421e+00	2.178837511410499819e-07
4.500000000000000888e+00	4.459334365870447010e-07
4.400000000000001243e+00	2.194017659965276874e-07
4.300000000000001599e+00	-1.025646833814752444e-06
4.200000000000001066e+00	-1.104939855355216445e-06
4.100000000000000533e+00	-7.869568014517339369e-07
4.000000000000001776e+00	9.790385201766794678e-07
3.900000000000001688e+00	1.850079769879975610e-06
3.800000000000000711e+00	7.790591854180347387e-07
3.700000000000001066e+00	-7.669347605002891125e-07
3.600000000000001421e+00	-1.361773972147439484e-06
3.500000000000001776e+00	-1.741390046898672800e-06
3.400000000000000355e+00	-8.562046898230940158e-07
3.300000000000000711e+00	2.513203450068396163e-07
3.200000000000001066e+00	1.453156426719139472e-06
3.100000000000001421e+00	2.174205042817014681e-06
3.000000000000000444e+00	2.019110627326173731e-06
2.900000000000000799e+00	-1.961268863086664325e-08
2.800000000000001155e+00	-1.381784759426841006e-06
2.700000000000000178e+00	-1.228560211881459287e-06
2.600000000000000533e+00	-3.108814593282273188e-07
2.500000000000000888e+00	7.232021117465530802e-07
2.400000000000001243e+00	1.747820113762464201e-07
2.300000000000000266e+00	-2.535733653176511633e-07
2.200000000000000622e+00	1.995172308503629378e-07
2.100000000000000977e+00	1.427184885867881165e-06
2.000000000000001332e+00	6.509403493310731238e-07
1.900000000000000133e+00	-1.418280066186298484e-06
1.800000000000000488e+00	-3.244809768929227021e-06
1.700000000000000844e+00	-3.734261155308054649e-06
1.600000000000001421e+00	-2.580225924793176370e-06
1.500000000000000222e+00	-1.312317951966512152e-06
1.400000000000000799e+00	-1.452752349557331301e-06
1.300000000000000933e+00	-2.694552858275088232e-06
1.200000000000001066e+00	-2.904081988794301924e-06
1.100000000000000089e+00	-5.556194612214387631e-07
1.000000000000000444e+00	1.792329090048568277e-06
9.000000000000010214e-01	1.741681235662795442e-06
7.999999999999998224e-01	1.543147294407223717e-06
7.000000000000001776e-01	6.930303136437257994e-07
6.000000000000005329e-01	5.818250432834742740e-07
5.000000000000008882e-01	4.375163932530928172e-07
