# distance_x[ps] 	  Amplitude [V]
1.230000000000000426e+01	-2.396432535528186886e-07
1.220000000000000284e+01	-1.636455709445973940e-06
1.210000000000000142e+01	-1.830240601099235699e-06
1.200000000000000000e+01	-1.521865018025544967e-06
1.190000000000000213e+01	-8.795136822043367273e-07
1.180000000000000426e+01	6.850825836017083204e-07
1.170000000000000284e+01	1.947044749139698780e-06
1.160000000000000142e+01	2.358684906076651033e-06
1.150000000000000355e+01	1.887991456769269070e-06
1.140000000000000213e+01	2.891393649404007300e-07
1.130000000000000071e+01	-1.013279927432196898e-06
1.120000000000000284e+01	-1.168871966233706656e-06
1.110000000000000497e+01	-9.750364330562494520e-07
1.100000000000000000e+01	2.916420760996748631e-07
1.090000000000000213e+01	1.353958648590557513e-06
1.080000000000000071e+01	1.502656934072362957e-06
1.070000000000000284e+01	1.305758995390098769e-06
1.060000000000000497e+01	1.340899289700081848e-06
1.050000000000000000e+01	8.456675601793429919e-07
1.040000000000000213e+01	2.513841744279607683e-07
1.030000000000000426e+01	-9.745106755654722300e-07
1.020000000000000284e+01	-1.221138415168844539e-06
1.010000000000000142e+01	-7.416521553844371354e-07
1.000000000000000000e+01	1.695842216012063300e-07
9.900000000000003908e+00	-3.761474820211102461e-07
9.800000000000000711e+00	-8.386554674645581196e-07
9.700000000000001066e+00	-1.751968146942206504e-07
9.600000000000001421e+00	3.236596522562435959e-07
9.500000000000000000e+00	1.472571121057492467e-07
9.400000000000002132e+00	-7.124880884453700779e-07
9.300000000000000711e+00	-1.746531392474870258e-06
9.200000000000002842e+00	-1.126520705723296225e-06
9.100000000000001421e+00	-7.643283045518649453e-07
9.000000000000001776e+00	-6.058386210378085906e-07
8.900000000000002132e+00	-3.854783586927103279e-07
8.800000000000000711e+00	5.933672665116002314e-07
8.700000000000002842e+00	1.403578022854739780e-06
8.600000000000001421e+00	7.320724670575026504e-07
8.500000000000003553e+00	-1.630122529664931190e-07
8.400000000000002132e+00	-1.204066946356275604e-06
8.300000000000002487e+00	-8.965264209159292625e-07
8.200000000000002842e+00	2.971162841942807935e-07
8.100000000000001421e+00	3.129538933704675876e-07
8.000000000000001776e+00	-1.305323970630171648e-07
7.900000000000002132e+00	-3.383806861593754862e-07
7.800000000000001599e+00	4.379742770343581450e-07
7.700000000000002842e+00	1.558152659368076973e-06
7.600000000000002309e+00	8.103843090666836696e-07
7.500000000000001776e+00	-5.752490303603704929e-08
7.400000000000001243e+00	-1.234385393872918110e-06
7.300000000000001599e+00	-1.332571748226600122e-06
7.200000000000001954e+00	-5.467811085403625237e-07
7.100000000000002309e+00	8.483492750595573352e-08
7.000000000000001776e+00	4.420254231313523257e-07
6.900000000000001243e+00	1.890128071909881828e-07
6.800000000000001599e+00	-7.714216347117131405e-08
6.700000000000001954e+00	2.296684558339858854e-07
6.600000000000002309e+00	4.305523044831177821e-07
6.500000000000001776e+00	4.965941271924917483e-07
6.400000000000001243e+00	-4.221968046681532032e-07
6.300000000000001599e+00	-8.199181035123163373e-07
6.200000000000001954e+00	-4.029590039872318683e-07
6.100000000000001421e+00	6.300762172012565401e-07
6.000000000000001776e+00	7.743882081655258541e-07
5.900000000000001243e+00	2.310255783469682778e-07
5.800000000000000711e+00	-4.881769080199143020e-07
5.700000000000001954e+00	-3.894936337100662628e-07
5.600000000000001421e+00	-8.747823923032203750e-07
5.500000000000001776e+00	-3.548537761287624187e-07
5.400000000000002132e+00	-3.434087916606362907e-07
5.300000000000000711e+00	-5.535391144410430487e-07
5.200000000000001066e+00	-3.998783112653543712e-07
5.100000000000001421e+00	-4.430303408771018027e-07
5.000000000000001776e+00	-3.688341777405388426e-07
4.900000000000000355e+00	3.362298280900828525e-08
4.800000000000000711e+00	-3.048825487745985469e-07
4.700000000000001954e+00	4.535722181637459774e-08
4.600000000000001421e+00	3.564046728072419290e-07
4.500000000000000888e+00	8.007052719162412293e-07
4.400000000000001243e+00	5.210168814287785644e-07
4.300000000000001599e+00	-1.002478160656800898e-06
4.200000000000001066e+00	-1.285084944814640294e-06
4.100000000000000533e+00	-8.954877421540496126e-07
4.000000000000001776e+00	8.029978559178302160e-07
3.900000000000001688e+00	1.758270730802381270e-06
3.800000000000000711e+00	1.078200778902873988e-06
3.700000000000001066e+00	-6.865903998168967067e-07
3.600000000000001421e+00	-1.474424811849389100e-06
3.500000000000001776e+00	-1.553491001562728775e-06
3.400000000000000355e+00	-1.341496965188761600e-06
3.300000000000000711e+00	1.219713418946350544e-07
3.200000000000001066e+00	1.954602293271336892e-06
3.100000000000001421e+00	2.371941731743762666e-06
3.000000000000000444e+00	2.000161553668615311e-06
2.900000000000000799e+00	3.085503666676147966e-07
2.800000000000001155e+00	-1.527901030529191610e-06
2.700000000000000178e+00	-1.291919088840238966e-06
2.600000000000000533e+00	-1.612837592760789040e-07
2.500000000000000888e+00	8.869875271501520543e-07
2.400000000000001243e+00	3.219216632800427615e-07
2.300000000000000266e+00	-3.182999151069541562e-07
2.200000000000000622e+00	6.118027155435531267e-07
2.100000000000000977e+00	1.460554485217287459e-06
2.000000000000001332e+00	1.120093628116141821e-06
1.900000000000000133e+00	-1.173176847467553953e-06
1.800000000000000488e+00	-3.260505124657240722e-06
1.700000000000000844e+00	-3.830957101470490763e-06
1.600000000000001421e+00	-2.291997052256535928e-06
1.500000000000000222e+00	-1.012593980953427301e-06
1.400000000000000799e+00	-1.386885837957758139e-06
1.300000000000000933e+00	-2.965459340280317634e-06
1.200000000000001066e+00	-2.649905496990575660e-06
1.100000000000000089e+00	-4.833948007559768897e-07
1.000000000000000444e+00	1.726575818523931664e-06
9.000000000000010214e-01	2.057296622471524615e-06
7.999999999999998224e-01	1.778337786441999835e-06
7.000000000000001776e-01	4.156362655441091222e-07
6.000000000000005329e-01	6.981306888201403654e-07
5.000000000000008882e-01	4.072997563007176761e-07
3.999999999999999112e-01	-1.585540404510545117e-07
3.000000000000002665e-01	-1.152358433380413465e-08
2.000000000000006217e-01	2.714210209916877028e-06
1.000000000000005329e-01	7.002772915946915289e-06
0.000000000000000000e+00	9.182788370310830960e-06
-9.999999999999964473e-02	6.601047947434690065e-06
-1.999999999999992895e-01	1.680201546096635786e-06
-2.999999999999989342e-01	-1.921407301677228730e-06
-3.999999999999999112e-01	-3.730599843444188604e-06
-4.999999999999995559e-01	-3.020576309176320778e-06
-5.999999999999992006e-01	-2.143103761738853556e-06
-7.000000000000001776e-01	-5.502597240721492705e-07
-8.000000000000002665e-01	-5.642663256391517584e-07
-8.999999999999994671e-01	-2.154077674528788384e-07
-9.999999999999991118e-01	-7.493027181490588255e-07
-1.100000000000000533e+00	-1.098931801193052602e-06
-1.200000000000000178e+00	-1.938329659335222871e-06
-1.299999999999999822e+00	-1.308659805197908031e-06
-1.399999999999999467e+00	-1.328725981644397884e-06
-1.499999999999999556e+00	-1.030974568334168500e-06
-1.599999999999998757e+00	-6.336119802863886187e-07
-1.700000000000001066e+00	-3.113161324109031561e-07
-1.800000000000000711e+00	-4.624408150884388114e-07
-1.900000000000000355e+00	-4.747892584152982293e-07
-2.000000000000000000e+00	-4.347516825415584677e-07
-2.100000000000000533e+00	-1.931302444498629252e-07
-2.199999999999999289e+00	4.776102374870495159e-07
-2.299999999999998934e+00	2.935912472653149597e-07
-2.400000000000002132e+00	-7.422183557591201918e-08
-2.500000000000000888e+00	1.550613578292134512e-07
-2.600000000000000533e+00	2.284922712668261078e-07
-2.699999999999999289e+00	4.537920164458434380e-08
