# distance_x[ps] 	  Amplitude [V]
1.230000000000000426e+01	-5.325241127703946706e-07
1.220000000000000284e+01	-1.527185543161308251e-06
1.210000000000000142e+01	-2.272811475647441371e-06
1.200000000000000000e+01	-1.951421900048700050e-06
1.190000000000000213e+01	-1.088007826572810069e-06
1.180000000000000426e+01	6.751804072352804300e-07
1.170000000000000284e+01	2.369869121862896676e-06
1.160000000000000142e+01	2.647177184874556509e-06
1.150000000000000355e+01	2.286851486553322642e-06
1.140000000000000213e+01	1.710260983317654913e-07
1.130000000000000071e+01	-1.343767217684889385e-06
1.120000000000000284e+01	-1.474148041852572214e-06
1.110000000000000497e+01	-8.258013122502487814e-07
1.100000000000000000e+01	1.475094405335970960e-07
1.090000000000000213e+01	1.299791735789092097e-06
1.080000000000000071e+01	1.811359401151189597e-06
1.070000000000000284e+01	1.958476194033647758e-06
1.060000000000000497e+01	1.839887108103927751e-06
1.050000000000000000e+01	1.671860816726228247e-06
1.040000000000000213e+01	-5.849992821542124861e-08
1.030000000000000426e+01	-1.053092254026443084e-06
1.020000000000000284e+01	-1.595438888265833708e-06
1.010000000000000142e+01	-5.764672403590672918e-07
1.000000000000000000e+01	-4.515850658549596149e-07
9.900000000000003908e+00	-1.988704963851194702e-07
9.800000000000000711e+00	-7.409976840196638112e-07
9.700000000000001066e+00	9.667291130247205375e-08
9.600000000000001421e+00	5.858900806318969413e-07
9.500000000000000000e+00	4.427222716049140477e-07
9.400000000000002132e+00	-1.028674247433049472e-06
9.300000000000000711e+00	-1.912402957333512584e-06
9.200000000000002842e+00	-1.854993756113171684e-06
9.100000000000001421e+00	-9.839936526482839435e-07
9.000000000000001776e+00	-3.277519445916463902e-07
8.900000000000002132e+00	-1.196344465593751595e-07
8.800000000000000711e+00	3.071972884430230141e-07
8.700000000000002842e+00	1.322520284866972034e-06
8.600000000000001421e+00	7.721172523148951842e-07
8.500000000000003553e+00	-2.678512858840746598e-07
8.400000000000002132e+00	-1.342792192505505378e-06
8.300000000000002487e+00	-7.937123456116549994e-07
8.200000000000002842e+00	2.758821875960377605e-07
8.100000000000001421e+00	4.351237570734930431e-07
8.000000000000001776e+00	-9.119835153061489248e-08
7.900000000000002132e+00	-3.678213472566338670e-07
7.800000000000001599e+00	2.591252940848066265e-07
7.700000000000002842e+00	1.431512274445815068e-06
7.600000000000002309e+00	1.121373381633825726e-06
7.500000000000001776e+00	-4.542059405706893266e-07
7.400000000000001243e+00	-1.454655275164418085e-06
7.300000000000001599e+00	-1.155755635628511486e-06
7.200000000000001954e+00	-1.575610797318511431e-07
7.100000000000002309e+00	2.430705242059074762e-07
7.000000000000001776e+00	5.913350995146401814e-07
6.900000000000001243e+00	3.540220594293057263e-07
6.800000000000001599e+00	3.659585128562016337e-07
6.700000000000001954e+00	4.670345991842751683e-07
6.600000000000002309e+00	7.229726423400433584e-07
6.500000000000001776e+00	1.373106244056506070e-07
6.400000000000001243e+00	-4.664490565607675894e-07
6.300000000000001599e+00	-1.175152218588420114e-06
6.200000000000001954e+00	-4.974471203656555795e-07
6.100000000000001421e+00	4.543353577991882610e-07
6.000000000000001776e+00	6.410884628115891296e-07
5.900000000000001243e+00	3.520363138295246575e-07
5.800000000000000711e+00	-4.861500161817246198e-07
5.700000000000001954e+00	-3.932455024661565288e-07
5.600000000000001421e+00	-9.479891114930933068e-07
5.500000000000001776e+00	-5.465688713191692514e-07
5.400000000000002132e+00	-3.695129148356556674e-07
5.300000000000000711e+00	-5.039374998780541839e-07
5.200000000000001066e+00	-7.956033141921954895e-07
5.100000000000001421e+00	-9.307512993406332345e-07
5.000000000000001776e+00	6.732438964506893533e-08
4.900000000000000355e+00	-2.592935716495804331e-07
4.800000000000000711e+00	-2.632793057778223939e-07
4.700000000000001954e+00	-4.054944211308822172e-07
4.600000000000001421e+00	2.423226825308991847e-07
4.500000000000000888e+00	7.489290610694932352e-07
4.400000000000001243e+00	1.940924334095726678e-07
4.300000000000001599e+00	-1.210320822917137436e-06
4.200000000000001066e+00	-1.601602383773097040e-06
4.100000000000000533e+00	-2.867871716447068432e-07
4.000000000000001776e+00	1.094887688641085472e-06
3.900000000000001688e+00	2.493618192263135514e-06
3.800000000000000711e+00	1.244082014885928548e-06
3.700000000000001066e+00	-5.728912102286548884e-07
3.600000000000001421e+00	-2.531677583597998845e-06
3.500000000000001776e+00	-1.974361631316019039e-06
3.400000000000000355e+00	-1.032815247067765200e-06
3.300000000000000711e+00	1.807454025274882300e-07
3.200000000000001066e+00	2.266875163644553596e-06
3.100000000000001421e+00	2.974389480723997826e-06
3.000000000000000444e+00	2.788096193717744478e-06
2.900000000000000799e+00	1.574040558391207451e-07
2.800000000000001155e+00	-2.114513632073999491e-06
2.700000000000000178e+00	-2.095446570698611637e-06
2.600000000000000533e+00	-1.604430748067126767e-07
2.500000000000000888e+00	1.407912269139075647e-06
2.400000000000001243e+00	8.164714906104029544e-09
2.300000000000000266e+00	-1.584590875931884236e-07
2.200000000000000622e+00	1.729423876744037038e-07
2.100000000000000977e+00	1.718127651753234791e-06
2.000000000000001332e+00	1.380615432566082743e-06
1.900000000000000133e+00	-1.409934237495746193e-06
1.800000000000000488e+00	-4.163730293856996734e-06
1.700000000000000844e+00	-4.531809420538874142e-06
1.600000000000001421e+00	-2.646844849872025253e-06
1.500000000000000222e+00	-1.441670823528481470e-06
1.400000000000000799e+00	-1.531496754585680243e-06
1.300000000000000933e+00	-3.069343921137719050e-06
1.200000000000001066e+00	-3.645739946853386908e-06
1.100000000000000089e+00	-8.951958500354242972e-07
1.000000000000000444e+00	1.746532095829372931e-06
9.000000000000010214e-01	2.354699171948408966e-06
7.999999999999998224e-01	1.649767748441548500e-06
7.000000000000001776e-01	7.096734395641432748e-07
6.000000000000005329e-01	1.076917332774050889e-06
5.000000000000008882e-01	7.668473687033271333e-07
3.999999999999999112e-01	-5.537211074186197133e-08
3.000000000000002665e-01	1.868375075527263273e-07
2.000000000000006217e-01	3.327744232568855751e-06
1.000000000000005329e-01	8.501791924692626883e-06
0.000000000000000000e+00	1.058508470542300528e-05
-9.999999999999964473e-02	7.466365122356292234e-06
-1.999999999999992895e-01	2.450396354716994313e-06
-2.999999999999989342e-01	-2.420866719275143044e-06
-3.999999999999999112e-01	-4.544308381729314495e-06
-4.999999999999995559e-01	-3.571891944195665936e-06
-5.999999999999992006e-01	-1.929133650889517336e-06
-7.000000000000001776e-01	-1.133369796032077923e-06
-8.000000000000002665e-01	1.227160184743811571e-07
-8.999999999999994671e-01	-1.612352278153917970e-07
