# distance_x[ps] 	  Amplitude [V]
1.230000000000000426e+01	-3.765849685217969355e-07
1.220000000000000284e+01	-1.801161640054996985e-06
1.210000000000000142e+01	-2.244762753111049380e-06
1.200000000000000000e+01	-2.492431809055686205e-06
1.190000000000000213e+01	-1.398005169291128620e-06
1.180000000000000426e+01	7.769253836954326745e-08
1.170000000000000284e+01	2.116242301603039374e-06
1.160000000000000142e+01	3.185989286899194891e-06
1.150000000000000355e+01	2.565048765495035889e-06
1.140000000000000213e+01	2.753490448829822037e-07
1.130000000000000071e+01	-1.459184878161881900e-06
1.120000000000000284e+01	-1.926116787588760832e-06
1.110000000000000497e+01	-1.408393011941679023e-06
1.100000000000000000e+01	1.798764080393878127e-07
1.090000000000000213e+01	1.752375916715153763e-06
1.080000000000000071e+01	2.134200172927650606e-06
1.070000000000000284e+01	1.914318015805770853e-06
1.060000000000000497e+01	1.642103997780000785e-06
1.050000000000000000e+01	1.488215483584059228e-06
1.040000000000000213e+01	2.945532603863989811e-07
1.030000000000000426e+01	-1.471486900091562284e-06
1.020000000000000284e+01	-1.450637714244928197e-06
1.010000000000000142e+01	-4.982594948162875376e-07
1.000000000000000000e+01	3.443593752710512880e-07
9.900000000000003908e+00	-2.328564101175270216e-07
9.800000000000000711e+00	-1.175333859888745402e-06
9.700000000000001066e+00	-3.104993619946291191e-07
9.600000000000001421e+00	4.704318014323730827e-07
9.500000000000000000e+00	2.812477274199745728e-07
9.400000000000002132e+00	-1.026959820832689729e-06
9.300000000000000711e+00	-2.549856132397835747e-06
9.200000000000002842e+00	-2.137975955736833354e-06
9.100000000000001421e+00	-1.235356550602537520e-06
9.000000000000001776e+00	-5.488002634790224817e-07
8.900000000000002132e+00	-8.254111263398694942e-08
8.800000000000000711e+00	5.184967622455623664e-07
8.700000000000002842e+00	1.480856285422186007e-06
8.600000000000001421e+00	1.123215291237802581e-06
8.500000000000003553e+00	-6.178658071955542814e-07
8.400000000000002132e+00	-1.691754495480927988e-06
8.300000000000002487e+00	-1.129901027463329133e-06
8.200000000000002842e+00	2.000549453676860830e-07
8.100000000000001421e+00	1.836824350921869430e-07
8.000000000000001776e+00	3.420263483855563083e-07
7.900000000000002132e+00	-3.699171678360892948e-07
7.800000000000001599e+00	2.644294662283818023e-07
7.700000000000002842e+00	1.666887045360301763e-06
7.600000000000002309e+00	1.542733370282377908e-06
7.500000000000001776e+00	2.689275941118493514e-08
7.400000000000001243e+00	-1.480890573954193291e-06
7.300000000000001599e+00	-1.175335090759124921e-06
7.200000000000001954e+00	-5.265276639575254670e-07
7.100000000000002309e+00	1.258297688578862067e-07
7.000000000000001776e+00	8.382805795146126921e-07
6.900000000000001243e+00	7.802093458685942530e-07
6.800000000000001599e+00	4.698606775761711013e-07
6.700000000000001954e+00	4.991344678176610222e-07
6.600000000000002309e+00	7.418744154072940850e-07
6.500000000000001776e+00	5.085488678364582741e-07
6.400000000000001243e+00	-8.735576762753732521e-07
6.300000000000001599e+00	-1.118023479976035293e-06
6.200000000000001954e+00	-4.273293583130667153e-07
6.100000000000001421e+00	5.457932471413038280e-07
6.000000000000001776e+00	1.139181262610734087e-06
5.900000000000001243e+00	5.064590257702759403e-07
5.800000000000000711e+00	-2.583385920735234164e-08
5.700000000000001954e+00	-8.507914977315984910e-07
5.600000000000001421e+00	-5.941859711527567788e-07
5.500000000000001776e+00	-8.924086319798030246e-07
5.400000000000002132e+00	-4.428302365210803205e-08
5.300000000000000711e+00	-2.582928740308472078e-07
5.200000000000001066e+00	-7.833767270329310030e-07
5.100000000000001421e+00	-1.170656552445711928e-06
5.000000000000001776e+00	1.491204740220584586e-07
4.900000000000000355e+00	1.948569797540203510e-07
4.800000000000000711e+00	4.652950276604432659e-07
4.700000000000001954e+00	-8.324270875044194140e-08
4.600000000000001421e+00	2.360710918721712003e-07
4.500000000000000888e+00	1.172026862855620160e-06
4.400000000000001243e+00	3.744889721037158394e-07
4.300000000000001599e+00	-1.324609423578651589e-06
4.200000000000001066e+00	-2.293580127403514597e-06
4.100000000000000533e+00	-1.136353601671207086e-06
4.000000000000001776e+00	9.250907023028087591e-07
3.900000000000001688e+00	2.736344248601339984e-06
3.800000000000000711e+00	1.298506707112637400e-06
3.700000000000001066e+00	-6.767787803426930373e-07
3.600000000000001421e+00	-2.463315394384178495e-06
3.500000000000001776e+00	-2.382426988992938090e-06
3.400000000000000355e+00	-1.449315935295706966e-06
3.300000000000000711e+00	8.732416942650300516e-07
3.200000000000001066e+00	2.132989348151232288e-06
3.100000000000001421e+00	3.598210942171263928e-06
3.000000000000000444e+00	3.168167338832232216e-06
2.900000000000000799e+00	3.413558757058463186e-07
2.800000000000001155e+00	-2.338577935069003586e-06
2.700000000000000178e+00	-2.007277391172550429e-06
2.600000000000000533e+00	-2.832672340358857616e-07
2.500000000000000888e+00	1.021341600903653704e-06
2.400000000000001243e+00	3.871820591369039315e-07
2.300000000000000266e+00	-8.676458058414552022e-08
2.200000000000000622e+00	7.855265300704695737e-07
2.100000000000000977e+00	2.202790776516226668e-06
2.000000000000001332e+00	1.545106488374527121e-06
1.900000000000000133e+00	-1.551139159944286224e-06
1.800000000000000488e+00	-4.889247145271973752e-06
1.700000000000000844e+00	-5.605490619245948627e-06
1.600000000000001421e+00	-3.545431571965023193e-06
1.500000000000000222e+00	-1.540506725765417776e-06
1.400000000000000799e+00	-1.431497679839883908e-06
1.300000000000000933e+00	-3.329331879520101267e-06
1.200000000000001066e+00	-3.739234223319478671e-06
1.100000000000000089e+00	-4.266411259321632181e-07
1.000000000000000444e+00	1.756859274154064212e-06
9.000000000000010214e-01	2.931246418882159426e-06
7.999999999999998224e-01	1.703066545948041762e-06
7.000000000000001776e-01	5.510093241334144042e-07
6.000000000000005329e-01	1.354324568770593379e-06
5.000000000000008882e-01	5.808414020114318300e-07
3.999999999999999112e-01	-3.910644001532473007e-07
3.000000000000002665e-01	-3.092869546705797325e-07
2.000000000000006217e-01	4.006828608971437443e-06
1.000000000000005329e-01	9.626048004755815863e-06
0.000000000000000000e+00	1.203817800607552595e-05
-9.999999999999964473e-02	8.231595127380633627e-06
-1.999999999999992895e-01	2.892979010453119816e-06
-2.999999999999989342e-01	-3.009538918642516082e-06
-3.999999999999999112e-01	-4.872294015854486753e-06
-4.999999999999995559e-01	-4.190345579916862120e-06
-5.999999999999992006e-01	-2.306842228229396385e-06
-7.000000000000001776e-01	-6.907590061158437929e-07
-8.000000000000002665e-01	-2.160771851008347916e-07
-8.999999999999994671e-01	-4.777062453766696140e-07
-9.999999999999991118e-01	-1.413433601985362862e-06
-1.100000000000000533e+00	-1.620036777773295607e-06
-1.200000000000000178e+00	-1.724441137608201417e-06
-1.299999999999999822e+00	-1.733396774652604734e-06
-1.399999999999999467e+00	-1.785142917094361802e-06
-1.499999999999999556e+00	-1.233545940273931852e-06
-1.599999999999998757e+00	-9.275301115568389040e-07
-1.700000000000001066e+00	-4.812316339828867845e-07
-1.800000000000000711e+00	-6.015114082984998797e-07
-1.900000000000000355e+00	-3.344142942799580479e-07
-2.000000000000000000e+00	-2.789618252861612475e-07
-2.100000000000000533e+00	-9.325267419441033033e-08
-2.199999999999999289e+00	-2.688855686803122838e-07
-2.299999999999998934e+00	-2.638852456819085582e-07
-2.400000000000002132e+00	-2.784427496631600045e-07
-2.500000000000000888e+00	-3.107970567879018601e-07
-2.600000000000000533e+00	7.580492830675311127e-07
-2.699999999999999289e+00	1.325863680495612527e-07
