# distance_x[ps] 	  Amplitude [V]
1.230000000000000426e+01	-5.643324409624066516e-07
1.220000000000000284e+01	-2.310057085822666550e-06
1.210000000000000142e+01	-2.675434627859628511e-06
1.200000000000000000e+01	-2.226817893844738346e-06
1.190000000000000213e+01	-1.196382095059646630e-06
1.180000000000000426e+01	7.136018503004141826e-07
1.170000000000000284e+01	2.628505232891067052e-06
1.160000000000000142e+01	3.838592893790555678e-06
1.150000000000000355e+01	2.782928472347695181e-06
1.140000000000000213e+01	2.177629500052092458e-07
1.130000000000000071e+01	-1.530961501809116402e-06
1.120000000000000284e+01	-2.291752636566843710e-06
1.110000000000000497e+01	-1.313270293963183727e-06
1.100000000000000000e+01	1.701680058384570931e-07
1.090000000000000213e+01	1.975483305909218589e-06
1.080000000000000071e+01	2.589393271542896432e-06
1.070000000000000284e+01	2.427736558541754134e-06
1.060000000000000497e+01	2.125565089697858078e-06
1.050000000000000000e+01	2.316468513792135679e-06
1.040000000000000213e+01	6.981989142069033845e-07
1.030000000000000426e+01	-1.414173003406338809e-06
1.020000000000000284e+01	-2.147747132327130977e-06
1.010000000000000142e+01	-6.869471763883972900e-07
1.000000000000000000e+01	4.592641144769410838e-08
9.900000000000003908e+00	-2.615777153971369162e-07
9.800000000000000711e+00	-8.928320513904356650e-07
9.700000000000001066e+00	-5.302644105918075151e-07
9.600000000000001421e+00	7.315387968285700887e-07
9.500000000000000000e+00	3.797908583451571681e-07
9.400000000000002132e+00	-1.125562209374725782e-06
9.300000000000000711e+00	-2.779476760125637225e-06
9.200000000000002842e+00	-2.685227784278135682e-06
9.100000000000001421e+00	-1.183589659202950424e-06
9.000000000000001776e+00	-7.277695200485376519e-07
8.900000000000002132e+00	-2.318550091442911495e-07
8.800000000000000711e+00	7.858699429064186225e-07
8.700000000000002842e+00	1.197413036921996662e-06
8.600000000000001421e+00	1.250851274458652482e-06
8.500000000000003553e+00	-8.616465436105749082e-07
8.400000000000002132e+00	-1.487879104293137336e-06
8.300000000000002487e+00	-1.631991166740010690e-06
8.200000000000002842e+00	7.978238043572568066e-08
8.100000000000001421e+00	6.462224231655080942e-07
8.000000000000001776e+00	2.200251139245560491e-08
7.900000000000002132e+00	-3.941361251052153951e-07
7.800000000000001599e+00	4.731871926967464281e-07
7.700000000000002842e+00	1.661262143563490024e-06
7.600000000000002309e+00	1.476769092406927859e-06
7.500000000000001776e+00	-1.820898646594218142e-07
7.400000000000001243e+00	-1.447605552983737860e-06
7.300000000000001599e+00	-1.419443062856532475e-06
7.200000000000001954e+00	-2.519002607943254909e-07
7.100000000000002309e+00	5.173861654857803977e-07
7.000000000000001776e+00	1.153907923349887629e-06
6.900000000000001243e+00	1.132827509710487137e-06
6.800000000000001599e+00	1.656524699310474592e-07
6.700000000000001954e+00	5.014977389467727023e-07
6.600000000000002309e+00	6.938521833801444828e-07
6.500000000000001776e+00	2.706666381198041892e-07
6.400000000000001243e+00	-6.336858325091733422e-07
6.300000000000001599e+00	-1.330104908146964658e-06
6.200000000000001954e+00	-4.080737979309519787e-07
6.100000000000001421e+00	7.087218009219743734e-07
6.000000000000001776e+00	9.459713632634390131e-07
5.900000000000001243e+00	2.901798020885370633e-07
5.800000000000000711e+00	-3.085725223344502242e-07
5.700000000000001954e+00	-6.737297385734374814e-07
5.600000000000001421e+00	-1.335442489629418353e-06
5.500000000000001776e+00	-5.047889105035867354e-07
5.400000000000002132e+00	-2.689214397599505826e-07
5.300000000000000711e+00	-5.345423885159262339e-07
5.200000000000001066e+00	-8.983459990144444918e-07
5.100000000000001421e+00	-1.227026723226921947e-06
5.000000000000001776e+00	-4.154064444603479048e-07
4.900000000000000355e+00	6.149393249483962508e-08
4.800000000000000711e+00	1.114663907193832281e-07
4.700000000000001954e+00	-1.192581519004243589e-07
4.600000000000001421e+00	6.829879938926325710e-07
4.500000000000000888e+00	1.427710291681406733e-06
4.400000000000001243e+00	8.978518924762895814e-07
4.300000000000001599e+00	-1.421233803420436827e-06
4.200000000000001066e+00	-2.108749817762902251e-06
4.100000000000000533e+00	-1.026888957866541526e-06
4.000000000000001776e+00	1.525211402910822033e-06
3.900000000000001688e+00	3.025041203559534623e-06
3.800000000000000711e+00	2.207125550316439382e-06
3.700000000000001066e+00	-8.199675141661316272e-07
3.600000000000001421e+00	-2.776091514904085181e-06
3.500000000000001776e+00	-2.881343592753384559e-06
3.400000000000000355e+00	-1.027134428587987861e-06
3.300000000000000711e+00	6.812079794848948873e-07
3.200000000000001066e+00	2.567783231962953273e-06
3.100000000000001421e+00	3.937002211521597207e-06
3.000000000000000444e+00	3.828874468787960884e-06
2.900000000000000799e+00	3.035310530976378323e-07
2.800000000000001155e+00	-2.731679425700729862e-06
2.700000000000000178e+00	-2.333000158023873078e-06
2.600000000000000533e+00	-3.187730968486534760e-07
2.500000000000000888e+00	1.003870450894918889e-06
2.400000000000001243e+00	4.918195809894585508e-07
2.300000000000000266e+00	-3.883737175031233960e-07
2.200000000000000622e+00	9.684679811940496607e-07
2.100000000000000977e+00	2.252940480075453639e-06
2.000000000000001332e+00	1.714191855794685284e-06
1.900000000000000133e+00	-1.770308115600416465e-06
1.800000000000000488e+00	-5.992579132233992135e-06
1.700000000000000844e+00	-6.628830801969058407e-06
1.600000000000001421e+00	-3.849274386945988186e-06
1.500000000000000222e+00	-1.572069407397357807e-06
1.400000000000000799e+00	-1.866917900836270120e-06
1.300000000000000933e+00	-3.710868112063738239e-06
1.200000000000001066e+00	-4.164386347769400703e-06
1.100000000000000089e+00	-1.325510069019374450e-06
1.000000000000000444e+00	1.835430302297494755e-06
9.000000000000010214e-01	2.869255390592528304e-06
7.999999999999998224e-01	1.011197294749667231e-06
7.000000000000001776e-01	1.077894995532819974e-06
6.000000000000005329e-01	1.350984514075840797e-06
5.000000000000008882e-01	8.615352377605209769e-07
3.999999999999999112e-01	-9.682518755230912881e-08
3.000000000000002665e-01	-5.629628339070010928e-07
2.000000000000006217e-01	3.970392735667459144e-06
1.000000000000005329e-01	1.090944015112105600e-05
0.000000000000000000e+00	1.357510377822901123e-05
-9.999999999999964473e-02	1.009576256043404901e-05
-1.999999999999992895e-01	3.100423398226295820e-06
-2.999999999999989342e-01	-3.035828551567625715e-06
-3.999999999999999112e-01	-5.642191833036073730e-06
-4.999999999999995559e-01	-4.665941058430892592e-06
-5.999999999999992006e-01	-2.779567141179235301e-06
-7.000000000000001776e-01	-1.221654325696583699e-06
-8.000000000000002665e-01	-3.993064840546496635e-07
-8.999999999999994671e-01	-1.300966689485872116e-07
-9.999999999999991118e-01	-1.394514420894170070e-06
-1.100000000000000533e+00	-2.066433549139002201e-06
-1.200000000000000178e+00	-2.124625935598112104e-06
-1.299999999999999822e+00	-2.063571247990216262e-06
-1.399999999999999467e+00	-1.675243248529769174e-06
-1.499999999999999556e+00	-1.144248931802772437e-06
-1.599999999999998757e+00	-3.933770297581636420e-07
-1.700000000000001066e+00	-6.536494950368931035e-07
-1.800000000000000711e+00	-7.556228858718011657e-07
-1.900000000000000355e+00	-5.658003418095661557e-07
-2.000000000000000000e+00	-2.869914961277446169e-07
-2.100000000000000533e+00	-5.299675949916630629e-07
-2.199999999999999289e+00	-7.266865299529871467e-08
-2.299999999999998934e+00	-1.026647883110736953e-07
-2.400000000000002132e+00	3.218444701233699426e-08
-2.500000000000000888e+00	-3.147720647599775232e-07
-2.600000000000000533e+00	-1.487352115931980700e-07
-2.699999999999999289e+00	1.937775064309834507e-07
