# distance_x[ps] 	  Amplitude [V]
1.230000000000000426e+01	-2.124095430464442102e-07
1.220000000000000284e+01	-2.186754118015772362e-06
1.210000000000000142e+01	-3.322517956936455776e-06
1.200000000000000000e+01	-3.042750790744689251e-06
1.190000000000000213e+01	-1.348311239449658957e-06
1.180000000000000426e+01	4.619883823045695195e-07
1.170000000000000284e+01	3.246088994931033869e-06
1.160000000000000142e+01	4.141863354044938429e-06
1.150000000000000355e+01	3.601576669305365040e-06
1.140000000000000213e+01	4.622101148115493583e-07
1.130000000000000071e+01	-1.558357159689740309e-06
1.120000000000000284e+01	-2.484908905133307031e-06
1.110000000000000497e+01	-1.728327347074309383e-06
1.100000000000000000e+01	2.752776544009569428e-07
1.090000000000000213e+01	2.360328645549488188e-06
1.080000000000000071e+01	3.427748054957544761e-06
1.070000000000000284e+01	2.937718862854739119e-06
1.060000000000000497e+01	2.409018185161085697e-06
1.050000000000000000e+01	2.206617200849604436e-06
1.040000000000000213e+01	6.217910528365631592e-07
1.030000000000000426e+01	-1.777437668517154243e-06
1.020000000000000284e+01	-1.734473082880379419e-06
1.010000000000000142e+01	-7.831504227216835229e-07
1.000000000000000000e+01	6.653673810520715198e-07
9.900000000000003908e+00	-3.162016327867392130e-07
9.800000000000000711e+00	-9.073561460328081692e-07
9.700000000000001066e+00	7.757437481308771521e-08
9.600000000000001421e+00	1.304576480632414693e-06
9.500000000000000000e+00	7.053293463167695569e-07
9.400000000000002132e+00	-1.590016904243054343e-06
9.300000000000000711e+00	-3.120958360448842755e-06
9.200000000000002842e+00	-3.026157075478087171e-06
9.100000000000001421e+00	-1.334671085578569393e-06
9.000000000000001776e+00	-1.087523566997693114e-06
8.900000000000002132e+00	9.342024840468142390e-08
8.800000000000000711e+00	5.797687863947963389e-07
8.700000000000002842e+00	1.556202784847933938e-06
8.600000000000001421e+00	1.091507894416929623e-06
8.500000000000003553e+00	-8.136058485277294427e-07
8.400000000000002132e+00	-1.672995503377727783e-06
8.300000000000002487e+00	-1.516542382826273451e-06
8.200000000000002842e+00	-5.575016378706954793e-08
8.100000000000001421e+00	6.831592607140429510e-07
