# distance_x[ps] 	  Amplitude [V]
1.230000000000000426e+01	-7.617118258017773125e-08
1.220000000000000284e+01	-2.736985004553310331e-06
1.210000000000000142e+01	-3.953490423612791934e-06
1.200000000000000000e+01	-3.337224396233655712e-06
1.190000000000000213e+01	-1.473654286991668641e-06
1.180000000000000426e+01	8.392077765878124776e-07
1.170000000000000284e+01	3.143264545147844591e-06
1.160000000000000142e+01	5.241524533857302877e-06
1.150000000000000355e+01	3.931530816845002129e-06
1.140000000000000213e+01	2.541079147397121197e-07
1.130000000000000071e+01	-2.555375882696491999e-06
1.120000000000000284e+01	-2.899113140909894789e-06
1.110000000000000497e+01	-2.056978178720421634e-06
1.100000000000000000e+01	8.894937550819398187e-08
1.090000000000000213e+01	2.441971046967635488e-06
1.080000000000000071e+01	3.375391049130182550e-06
1.070000000000000284e+01	2.840450034449843917e-06
1.060000000000000497e+01	3.210022734418230417e-06
1.050000000000000000e+01	2.110818031678126162e-06
1.040000000000000213e+01	7.207350958282914718e-07
1.030000000000000426e+01	-2.051984889267045489e-06
1.020000000000000284e+01	-2.120034964920286706e-06
1.010000000000000142e+01	-1.141058515778471918e-06
1.000000000000000000e+01	8.463004033931579995e-07
9.900000000000003908e+00	-2.494884582045268096e-07
9.800000000000000711e+00	-1.129499763719532079e-06
9.700000000000001066e+00	-1.006630413963559611e-07
9.600000000000001421e+00	1.479180015803598146e-06
9.500000000000000000e+00	8.969433342974115922e-07
9.400000000000002132e+00	-2.063682905517521424e-06
9.300000000000000711e+00	-3.571699576739174086e-06
9.200000000000002842e+00	-3.683112336677725256e-06
9.100000000000001421e+00	-1.785322800008430301e-06
9.000000000000001776e+00	-8.268943251474629639e-07
8.900000000000002132e+00	1.036932684326639731e-07
8.800000000000000711e+00	6.020401550459136222e-07
8.700000000000002842e+00	1.785615395481558502e-06
8.600000000000001421e+00	1.140492667081040198e-06
8.500000000000003553e+00	-1.344723955647203462e-06
8.400000000000002132e+00	-2.167610215160963052e-06
8.300000000000002487e+00	-1.211491732325526872e-06
8.200000000000002842e+00	1.626032523231662349e-07
8.100000000000001421e+00	9.140974472640493026e-07
8.000000000000001776e+00	2.519535398979059605e-07
7.900000000000002132e+00	-1.956909823556108640e-07
7.800000000000001599e+00	1.348906804874830054e-06
7.700000000000002842e+00	2.928853782702559917e-06
7.600000000000002309e+00	1.010271856062724341e-06
7.500000000000001776e+00	5.173168850672632626e-07
7.400000000000001243e+00	-2.624026095579172854e-06
7.300000000000001599e+00	-1.516773962296291299e-06
7.200000000000001954e+00	-2.033050058538166998e-06
7.100000000000002309e+00	2.228406244150486746e-06
7.000000000000001776e+00	2.748518611688778276e-06
6.900000000000001243e+00	-5.324936926881524077e-07
6.800000000000001599e+00	-1.368413286975787267e-06
6.700000000000001954e+00	-1.090485744485863749e-06
6.600000000000002309e+00	-3.349576356333028973e-07
6.500000000000001776e+00	-1.115549430512746634e-06
6.400000000000001243e+00	-2.614243665316831611e-06
6.300000000000001599e+00	-2.581048322045472218e-06
6.200000000000001954e+00	7.930882943291239379e-07
6.100000000000001421e+00	2.904026775465839632e-06
6.000000000000001776e+00	4.685904193442736566e-07
5.900000000000001243e+00	-2.735180372737977916e-07
5.800000000000000711e+00	1.530682621748791072e-06
5.700000000000001954e+00	-3.013608879472457992e-06
5.600000000000001421e+00	-2.626114706774975351e-07
5.500000000000001776e+00	-2.238579563677710348e-06
5.400000000000002132e+00	1.128152488169587722e-06
5.300000000000000711e+00	-1.385242450162172215e-06
5.200000000000001066e+00	-1.731215496501069891e-06
5.100000000000001421e+00	-1.948766736800962631e-07
5.000000000000001776e+00	1.731124236254342732e-07
4.900000000000000355e+00	-1.495285954722568952e-07
4.800000000000000711e+00	-6.033337998150262258e-07
4.700000000000001954e+00	-1.273251181145140146e-06
4.600000000000001421e+00	-5.453596290903821066e-07
4.500000000000000888e+00	6.801583987282231655e-07
4.400000000000001243e+00	-2.289960489293934382e-07
4.300000000000001599e+00	-2.501161845143344928e-06
4.200000000000001066e+00	-3.179459695373270289e-06
4.100000000000000533e+00	-1.480901651787610872e-06
4.000000000000001776e+00	2.398049899207172414e-06
3.900000000000001688e+00	4.785993121726253178e-06
3.800000000000000711e+00	2.831274071607467007e-06
3.700000000000001066e+00	-1.259278516432893500e-06
3.600000000000001421e+00	-3.439375208241873129e-06
3.500000000000001776e+00	-2.974998761561972006e-06
3.400000000000000355e+00	-2.354449129422694938e-06
3.300000000000000711e+00	6.311426784659932690e-07
3.200000000000001066e+00	3.105041799729726961e-06
3.100000000000001421e+00	5.200197533341466975e-06
3.000000000000000444e+00	4.646287399400243838e-06
2.900000000000000799e+00	1.432349793819919345e-06
2.800000000000001155e+00	-3.655956698521152759e-06
2.700000000000000178e+00	-2.827383642014341942e-06
2.600000000000000533e+00	-2.095497036384180514e-07
2.500000000000000888e+00	1.382366785277835059e-06
2.400000000000001243e+00	4.458868393512400515e-07
2.300000000000000266e+00	-8.623711745869938680e-07
2.200000000000000622e+00	1.284282944842923033e-06
2.100000000000000977e+00	3.206722419252881102e-06
2.000000000000001332e+00	2.786292792772791370e-06
1.900000000000000133e+00	-2.159664067666576853e-06
1.800000000000000488e+00	-7.835669492581893929e-06
1.700000000000000844e+00	-8.252818146145459661e-06
1.600000000000001421e+00	-4.995826628906515961e-06
1.500000000000000222e+00	-1.511850480777308817e-06
1.400000000000000799e+00	-1.953640455988878486e-06
1.300000000000000933e+00	-5.020187663785189856e-06
1.200000000000001066e+00	-5.694009893475733752e-06
1.100000000000000089e+00	-1.799125956285523569e-06
