# distance_x[ps] 	  Amplitude [V]
1.230000000000000426e+01	2.428560010825803833e-08
1.220000000000000284e+01	-2.827477188163202365e-06
1.210000000000000142e+01	-4.045020055114184946e-06
1.200000000000000000e+01	-3.684900967178122012e-06
1.190000000000000213e+01	-2.422099172202519255e-06
1.180000000000000426e+01	7.367687650721091515e-07
1.170000000000000284e+01	3.512026453213230096e-06
1.160000000000000142e+01	5.349609371966273797e-06
1.150000000000000355e+01	4.327545250149709788e-06
1.140000000000000213e+01	2.904597371806164556e-07
1.130000000000000071e+01	-1.966479489081379289e-06
1.120000000000000284e+01	-2.802807732335089801e-06
1.110000000000000497e+01	-1.908350404527512951e-06
1.100000000000000000e+01	3.836665174937248230e-07
1.090000000000000213e+01	2.745472207498907798e-06
1.080000000000000071e+01	3.793009015985682211e-06
1.070000000000000284e+01	3.280539298473856714e-06
1.060000000000000497e+01	3.148295288228490792e-06
1.050000000000000000e+01	2.900354209929929967e-06
1.040000000000000213e+01	8.600655785271045777e-07
1.030000000000000426e+01	-1.812518705210284394e-06
1.020000000000000284e+01	-2.474323419867495257e-06
1.010000000000000142e+01	-1.146754808057308918e-06
1.000000000000000000e+01	3.361737355684915836e-07
9.900000000000003908e+00	-4.349145091089362913e-07
9.800000000000000711e+00	-1.359811964762124752e-06
9.700000000000001066e+00	-4.063757243227800795e-07
9.600000000000001421e+00	8.359765660023545755e-07
9.500000000000000000e+00	1.080183183568767305e-06
9.400000000000002132e+00	-1.506541560990840385e-06
9.300000000000000711e+00	-4.037388307082510032e-06
9.200000000000002842e+00	-3.388758301454220038e-06
9.100000000000001421e+00	-1.793354053397644844e-06
9.000000000000001776e+00	-7.517969890543005609e-07
8.900000000000002132e+00	-7.205105499033006750e-07
8.800000000000000711e+00	1.041897839599908148e-06
8.700000000000002842e+00	2.374952089015368859e-06
8.600000000000001421e+00	1.464740323701550783e-06
8.500000000000003553e+00	-4.951225337341930504e-07
8.400000000000002132e+00	-2.404036325218377940e-06
8.300000000000002487e+00	-2.011755825129942165e-06
8.200000000000002842e+00	4.283006908813117671e-08
8.100000000000001421e+00	8.323636097605498104e-07
8.000000000000001776e+00	1.760498078673843758e-07
7.900000000000002132e+00	-4.165421861436018217e-07
7.800000000000001599e+00	7.077842293698594680e-07
7.700000000000002842e+00	2.455720396625270328e-06
7.600000000000002309e+00	2.325768091188365103e-06
7.500000000000001776e+00	-2.857154352211998525e-07
7.400000000000001243e+00	-1.822309399888031890e-06
7.300000000000001599e+00	-1.992609988050250239e-06
7.200000000000001954e+00	-5.969332738403490633e-07
7.100000000000002309e+00	4.983235000760344109e-07
7.000000000000001776e+00	1.051991328391073774e-06
6.900000000000001243e+00	1.171758533112835566e-06
6.800000000000001599e+00	3.364710786845129880e-07
6.700000000000001954e+00	9.762472578326675589e-07
6.600000000000002309e+00	1.099545302158042822e-06
6.500000000000001776e+00	9.067146867263350427e-07
6.400000000000001243e+00	-9.038571332204428369e-07
6.300000000000001599e+00	-1.986237244578430473e-06
6.200000000000001954e+00	-9.813363793370388221e-07
6.100000000000001421e+00	8.164894261502219383e-07
6.000000000000001776e+00	1.713801142368428753e-06
5.900000000000001243e+00	8.561733905477232525e-07
5.800000000000000711e+00	-3.412851885783237840e-07
5.700000000000001954e+00	-1.056451826808645963e-06
5.600000000000001421e+00	-1.483014352875131148e-06
5.500000000000001776e+00	-1.102595047281801052e-06
5.400000000000002132e+00	-9.939981670948562038e-08
5.300000000000000711e+00	-4.699809511961348059e-07
5.200000000000001066e+00	-1.016033560310313561e-06
5.100000000000001421e+00	-1.327937345408232474e-06
5.000000000000001776e+00	-6.513609553236947532e-07
4.900000000000000355e+00	1.824765337972875891e-08
4.800000000000000711e+00	-2.125146945445996176e-07
4.700000000000001954e+00	-2.023835762875391427e-07
4.600000000000001421e+00	6.910672512266571632e-07
4.500000000000000888e+00	1.647275763438440506e-06
4.400000000000001243e+00	1.219282262636188179e-06
4.300000000000001599e+00	-1.469767901686934635e-06
4.200000000000001066e+00	-3.018337531794189372e-06
4.100000000000000533e+00	-1.837024103600639562e-06
4.000000000000001776e+00	2.336632104837251188e-06
3.900000000000001688e+00	4.701860142014004290e-06
3.800000000000000711e+00	3.239243597233391364e-06
3.700000000000001066e+00	-8.792066679639029823e-07
3.600000000000001421e+00	-3.303979818147106645e-06
3.500000000000001776e+00	-3.886921085026384380e-06
3.400000000000000355e+00	-2.546393869858237055e-06
3.300000000000000711e+00	5.808417536886832725e-07
3.200000000000001066e+00	3.064240205027416627e-06
3.100000000000001421e+00	5.579505011304635584e-06
3.000000000000000444e+00	5.245960414867280441e-06
2.900000000000000799e+00	1.381780363461198927e-06
2.800000000000001155e+00	-3.417906718755601608e-06
2.700000000000000178e+00	-3.100416892197145509e-06
2.600000000000000533e+00	-1.021407892065534478e-07
2.500000000000000888e+00	2.003068517828323230e-06
2.400000000000001243e+00	6.844754128272424777e-07
2.300000000000000266e+00	-6.845021402983454408e-07
2.200000000000000622e+00	1.495080399369151817e-06
2.100000000000000977e+00	3.736755426213296702e-06
2.000000000000001332e+00	2.900395883684215215e-06
1.900000000000000133e+00	-1.594623700397190633e-06
1.800000000000000488e+00	-8.108366890989653086e-06
1.700000000000000844e+00	-9.539154710297676504e-06
1.600000000000001421e+00	-5.596427368962629725e-06
1.500000000000000222e+00	-1.655069634682989776e-06
1.400000000000000799e+00	-1.866244263061298047e-06
1.300000000000000933e+00	-5.021990888891517772e-06
1.200000000000001066e+00	-6.216377215549719656e-06
1.100000000000000089e+00	-1.873609088059192866e-06
1.000000000000000444e+00	2.789572358980310870e-06
9.000000000000010214e-01	3.670006380551445841e-06
7.999999999999998224e-01	2.554433387662858063e-06
7.000000000000001776e-01	8.957363779707584004e-07
6.000000000000005329e-01	1.651052601279377370e-06
5.000000000000008882e-01	9.904432375995251651e-07
3.999999999999999112e-01	-6.107404744058325437e-07
3.000000000000002665e-01	-1.085006085393861783e-06
2.000000000000006217e-01	5.390631995821061879e-06
1.000000000000005329e-01	1.545394934056089443e-05
0.000000000000000000e+00	2.008526759775717364e-05
-9.999999999999964473e-02	1.548791942881698884e-05
-1.999999999999992895e-01	5.884650087147371511e-06
-2.999999999999989342e-01	-4.213910417498465756e-06
-3.999999999999999112e-01	-8.172559770550024100e-06
-4.999999999999995559e-01	-6.667661949032020023e-06
-5.999999999999992006e-01	-4.206242095032650982e-06
-7.000000000000001776e-01	-1.572717724410232158e-06
-8.000000000000002665e-01	-1.337815431882942691e-08
-8.999999999999994671e-01	-1.211974761030264201e-07
-9.999999999999991118e-01	-1.411383851125835343e-06
-1.100000000000000533e+00	-2.678867877025990075e-06
-1.200000000000000178e+00	-3.212396907542133958e-06
-1.299999999999999822e+00	-3.019497363369160592e-06
-1.399999999999999467e+00	-2.230068622517646333e-06
-1.499999999999999556e+00	-1.600216423725503532e-06
-1.599999999999998757e+00	-1.474179165289317151e-06
-1.700000000000001066e+00	-1.345256043328504745e-06
-1.800000000000000711e+00	-6.006007400561138705e-07
-1.900000000000000355e+00	-5.918132047378586911e-07
-2.000000000000000000e+00	-2.847224745019964045e-07
-2.100000000000000533e+00	-1.520182945732309892e-07
-2.199999999999999289e+00	-3.685681338998880956e-07
-2.299999999999998934e+00	-4.490011172506221061e-07
-2.400000000000002132e+00	8.684933480172227592e-08
-2.500000000000000888e+00	2.930030670624222500e-07
-2.600000000000000533e+00	2.954393112211902060e-07
-2.699999999999999289e+00	2.453073673631566895e-07
