# distance_x[ps] 	  Amplitude [V]
1.230000000000000426e+01	2.602404626488561307e-07
1.220000000000000284e+01	-3.480290922212248934e-06
1.210000000000000142e+01	-4.984819482616328547e-06
1.200000000000000000e+01	-4.656513470515169845e-06
1.190000000000000213e+01	-2.176924387163124060e-06
1.180000000000000426e+01	8.676860728867354475e-07
1.170000000000000284e+01	4.409779700220514184e-06
1.160000000000000142e+01	6.785578628057148324e-06
1.150000000000000355e+01	5.648200238875489650e-06
1.140000000000000213e+01	1.233313657449411331e-06
1.130000000000000071e+01	-2.802939611304348357e-06
1.120000000000000284e+01	-4.260764026019360299e-06
1.110000000000000497e+01	-3.079295683996587634e-06
1.100000000000000000e+01	8.790665245792374854e-08
1.090000000000000213e+01	3.154011626110654934e-06
1.080000000000000071e+01	4.715762119598727925e-06
1.070000000000000284e+01	4.622268722325765086e-06
1.060000000000000497e+01	4.111139950173359463e-06
1.050000000000000000e+01	3.541511073966907307e-06
1.040000000000000213e+01	1.237685357361016195e-06
1.030000000000000426e+01	-2.824245801739118848e-06
1.020000000000000284e+01	-3.701557456834091233e-06
1.010000000000000142e+01	-1.328699957527797700e-06
1.000000000000000000e+01	6.518225317160993807e-07
9.900000000000003908e+00	-2.608085972484215916e-07
9.800000000000000711e+00	-1.653616680119012874e-06
9.700000000000001066e+00	-4.829045626675866827e-07
9.600000000000001421e+00	1.142305387473154098e-06
9.500000000000000000e+00	1.010184464265762573e-06
9.400000000000002132e+00	-1.821806853095844371e-06
9.300000000000000711e+00	-4.152129164689267915e-06
9.200000000000002842e+00	-4.273367435353452617e-06
9.100000000000001421e+00	-2.739069043944845557e-06
9.000000000000001776e+00	-8.862440814407857887e-07
8.900000000000002132e+00	-1.029774293875290917e-07
8.800000000000000711e+00	1.324674132192901347e-06
8.700000000000002842e+00	2.514003867492482463e-06
8.600000000000001421e+00	1.986504519289460740e-06
8.500000000000003553e+00	-4.203112870850085372e-07
8.400000000000002132e+00	-2.816091637150555946e-06
8.300000000000002487e+00	-2.605013895854996485e-06
8.200000000000002842e+00	9.251397612793720241e-09
8.100000000000001421e+00	1.192824176307679071e-06
8.000000000000001776e+00	5.738845226251096466e-08
7.900000000000002132e+00	-2.257384625500838303e-07
7.800000000000001599e+00	1.292691020406965408e-06
7.700000000000002842e+00	3.182792364845743849e-06
7.600000000000002309e+00	3.517185910167871657e-06
7.500000000000001776e+00	-7.827952286978141135e-07
7.400000000000001243e+00	-2.868092218083668698e-06
