# distance_x[ps] 	  Amplitude [V]
1.230000000000000426e+01	1.709467951115847319e-07
1.220000000000000284e+01	-3.907885445172837843e-06
1.210000000000000142e+01	-6.245826316901009852e-06
1.200000000000000000e+01	-5.661857624931895876e-06
1.190000000000000213e+01	-2.972971342207904842e-06
1.180000000000000426e+01	5.654748645134362299e-07
1.170000000000000284e+01	5.149817832859853330e-06
1.160000000000000142e+01	8.287881950653273151e-06
1.150000000000000355e+01	7.087634922601223946e-06
1.140000000000000213e+01	1.942571766179703238e-06
1.130000000000000071e+01	-3.157211713259368324e-06
1.120000000000000284e+01	-5.108977377821268018e-06
1.110000000000000497e+01	-3.538975129307380853e-06
1.100000000000000000e+01	-4.329103004534589887e-07
1.090000000000000213e+01	3.546653826252110324e-06
1.080000000000000071e+01	5.300868487475978382e-06
1.070000000000000284e+01	5.504020302719105037e-06
1.060000000000000497e+01	4.950876825185836914e-06
1.050000000000000000e+01	4.522293385794435512e-06
1.040000000000000213e+01	1.897486742555878097e-06
1.030000000000000426e+01	-2.540303523219255561e-06
1.020000000000000284e+01	-4.204619104517643220e-06
1.010000000000000142e+01	-1.592246362178024745e-06
1.000000000000000000e+01	8.719197394771833110e-07
9.900000000000003908e+00	-1.059902483998950982e-08
9.800000000000000711e+00	-2.221860651309625215e-06
9.700000000000001066e+00	-1.120388685330029484e-06
9.600000000000001421e+00	1.634541881844095190e-06
9.500000000000000000e+00	1.581868014813261173e-06
9.400000000000002132e+00	-1.510532746116478435e-06
9.300000000000000711e+00	-5.506024335535956036e-06
9.200000000000002842e+00	-5.572639743842291764e-06
9.100000000000001421e+00	-3.222315612739375836e-06
9.000000000000001776e+00	-1.295361481615136342e-06
8.900000000000002132e+00	-4.417147162797794399e-07
8.800000000000000711e+00	1.017930331565501688e-06
8.700000000000002842e+00	3.229698197438463951e-06
8.600000000000001421e+00	2.587254546338775337e-06
8.500000000000003553e+00	-6.816604122687641262e-07
8.400000000000002132e+00	-3.288012791742421022e-06
8.300000000000002487e+00	-3.622740957969214357e-06
8.200000000000002842e+00	-3.285885847726220605e-07
8.100000000000001421e+00	1.710825249467455247e-06
8.000000000000001776e+00	-1.009544059991043245e-07
7.900000000000002132e+00	-4.979385893244253060e-07
7.800000000000001599e+00	8.072454137597067778e-07
7.700000000000002842e+00	3.965147996979362777e-06
7.600000000000002309e+00	4.109347451223198322e-06
7.500000000000001776e+00	3.338465113576440295e-07
7.400000000000001243e+00	-3.134112672197184614e-06
7.300000000000001599e+00	-3.562891995817591869e-06
7.200000000000001954e+00	-1.554747544381823189e-06
7.100000000000002309e+00	1.104664667906030521e-06
7.000000000000001776e+00	2.008482413274321322e-06
6.900000000000001243e+00	1.008338862050646736e-06
6.800000000000001599e+00	7.531690578504654764e-07
6.700000000000001954e+00	7.839824910983914990e-07
6.600000000000002309e+00	1.880789985854628762e-06
6.500000000000001776e+00	1.362010650937601873e-06
6.400000000000001243e+00	-1.425083790129655317e-06
6.300000000000001599e+00	-2.677540822917998900e-06
6.200000000000001954e+00	-1.613716082534676421e-06
6.100000000000001421e+00	1.620531411827327893e-06
6.000000000000001776e+00	2.713221996840566995e-06
5.900000000000001243e+00	2.007666873728427016e-06
5.800000000000000711e+00	2.157974258473811471e-07
5.700000000000001954e+00	-1.593743452237046992e-06
5.600000000000001421e+00	-2.501588605487865531e-06
5.500000000000001776e+00	-2.055305074197096120e-06
5.400000000000002132e+00	-5.270868307871813665e-07
5.300000000000000711e+00	1.311829999780255739e-07
5.200000000000001066e+00	-1.615697608007441026e-06
5.100000000000001421e+00	-2.300154030263110371e-06
5.000000000000001776e+00	-1.613470787651855490e-06
4.900000000000000355e+00	7.802258746994078175e-08
4.800000000000000711e+00	-2.176755582082472930e-07
4.700000000000001954e+00	-3.291206724539235014e-07
4.600000000000001421e+00	8.131734613471872409e-07
4.500000000000000888e+00	3.238761623560408469e-06
4.400000000000001243e+00	2.326635854806085816e-06
4.300000000000001599e+00	-1.773488684661678923e-06
4.200000000000001066e+00	-5.360695645638016937e-06
4.100000000000000533e+00	-3.201736866699034151e-06
4.000000000000001776e+00	2.473109781673065398e-06
