# distance_x[ps] 	  Amplitude [V]
1.230000000000000426e+01	7.082505534051572993e-07
1.220000000000000284e+01	-4.203593261975437941e-06
1.210000000000000142e+01	-6.397112595275543388e-06
1.200000000000000000e+01	-6.079967939939293551e-06
1.190000000000000213e+01	-3.524626521613434452e-06
1.180000000000000426e+01	4.819756072081301080e-07
1.170000000000000284e+01	5.534837604416794810e-06
1.160000000000000142e+01	9.070912275593618902e-06
1.150000000000000355e+01	8.464563370864091479e-06
1.140000000000000213e+01	2.009629232790993191e-06
1.130000000000000071e+01	-4.010404463263223490e-06
1.120000000000000284e+01	-5.840063214350092234e-06
1.110000000000000497e+01	-4.019918036266904353e-06
1.100000000000000000e+01	-1.351541395003362690e-07
1.090000000000000213e+01	3.806580241115505976e-06
1.080000000000000071e+01	6.385070286995988844e-06
1.070000000000000284e+01	5.884015485547301091e-06
1.060000000000000497e+01	5.390130328222001589e-06
1.050000000000000000e+01	4.481629296897405120e-06
1.040000000000000213e+01	1.882933810378894186e-06
1.030000000000000426e+01	-2.708366389031096408e-06
1.020000000000000284e+01	-4.729222390555749837e-06
1.010000000000000142e+01	-1.810016521566886895e-06
1.000000000000000000e+01	6.854903533746554732e-07
9.900000000000003908e+00	-3.401784602683067833e-07
9.800000000000000711e+00	-2.035843958461563984e-06
9.700000000000001066e+00	-8.399681028052438561e-07
9.600000000000001421e+00	2.095967756385120741e-06
9.500000000000000000e+00	1.951052990612027240e-06
9.400000000000002132e+00	-1.697556994289674802e-06
9.300000000000000711e+00	-6.378007376918383865e-06
9.200000000000002842e+00	-6.279835793009258204e-06
9.100000000000001421e+00	-3.609797652571686356e-06
9.000000000000001776e+00	-1.544542222224726787e-06
8.900000000000002132e+00	-7.424348131073296099e-07
8.800000000000000711e+00	1.421167688097181510e-06
8.700000000000002842e+00	3.590443798397817727e-06
8.600000000000001421e+00	3.003192375125921903e-06
8.500000000000003553e+00	-7.744147597980032018e-07
8.400000000000002132e+00	-3.838082961776089771e-06
8.300000000000002487e+00	-3.904376057881557285e-06
