# distance_x[ps] 	  Amplitude [V]
1.230000000000000426e+01	1.007079857490792647e-06
1.220000000000000284e+01	-4.349304928400103740e-06
1.210000000000000142e+01	-7.128914095010877213e-06
1.200000000000000000e+01	-6.400493796208705431e-06
1.190000000000000213e+01	-3.827378082083441945e-06
1.180000000000000426e+01	2.264555324655984430e-07
1.170000000000000284e+01	6.061528798296202309e-06
1.160000000000000142e+01	1.044636227269178450e-05
1.150000000000000355e+01	8.915718335440643639e-06
1.140000000000000213e+01	3.009604682288519109e-06
1.130000000000000071e+01	-4.265022661694654019e-06
1.120000000000000284e+01	-6.235418252808505844e-06
1.110000000000000497e+01	-4.643424219058329398e-06
1.100000000000000000e+01	1.610048792157535217e-08
1.090000000000000213e+01	4.409606499174221187e-06
1.080000000000000071e+01	6.961219611119831907e-06
1.070000000000000284e+01	7.102100990497124206e-06
1.060000000000000497e+01	6.007065949087720094e-06
1.050000000000000000e+01	5.301760692662668528e-06
1.040000000000000213e+01	2.107846886420045755e-06
1.030000000000000426e+01	-3.223297143947910366e-06
1.020000000000000284e+01	-4.837009885548698400e-06
1.010000000000000142e+01	-1.939601851792002562e-06
1.000000000000000000e+01	9.356672197987113955e-07
9.900000000000003908e+00	1.455467297937799024e-07
9.800000000000000711e+00	-2.521189864608063111e-06
9.700000000000001066e+00	-6.374690005406343715e-07
9.600000000000001421e+00	2.297532979708754726e-06
9.500000000000000000e+00	2.329803587647674114e-06
9.400000000000002132e+00	-1.758464856645129698e-06
9.300000000000000711e+00	-6.659981493701034398e-06
9.200000000000002842e+00	-7.064547662726962820e-06
9.100000000000001421e+00	-4.018635469331209119e-06
9.000000000000001776e+00	-1.774235119627681815e-06
8.900000000000002132e+00	-6.567692239336712470e-07
8.800000000000000711e+00	1.319025668020248463e-06
8.700000000000002842e+00	4.028352135947546912e-06
8.600000000000001421e+00	3.225627005738142733e-06
8.500000000000003553e+00	-4.512180906431696859e-07
8.400000000000002132e+00	-4.182381848559907605e-06
8.300000000000002487e+00	-4.225687561130497419e-06
8.200000000000002842e+00	-1.045875133474117712e-06
8.100000000000001421e+00	1.765454793693079090e-06
8.000000000000001776e+00	5.877986330750054295e-07
7.900000000000002132e+00	-4.560283320872155139e-07
7.800000000000001599e+00	8.523497796323563889e-07
7.700000000000002842e+00	4.602718456407013759e-06
7.600000000000002309e+00	5.361272044652990028e-06
7.500000000000001776e+00	7.891859077094533199e-07
7.400000000000001243e+00	-3.016400669332346323e-06
7.300000000000001599e+00	-3.806521335175904067e-06
7.200000000000001954e+00	-1.673327135025756577e-06
7.100000000000002309e+00	8.621341441195800373e-07
7.000000000000001776e+00	1.767823867496838090e-06
6.900000000000001243e+00	1.909679744537638396e-06
6.800000000000001599e+00	8.467053597480943531e-07
6.700000000000001954e+00	1.422289538529007099e-06
6.600000000000002309e+00	2.087366961687335496e-06
6.500000000000001776e+00	1.649580304466575575e-06
6.400000000000001243e+00	-1.304965787349665876e-06
6.300000000000001599e+00	-3.682215559686768263e-06
6.200000000000001954e+00	-2.460966366183746427e-06
6.100000000000001421e+00	1.791365494379853082e-06
6.000000000000001776e+00	3.643214552511399919e-06
5.900000000000001243e+00	2.525289893842995841e-06
5.800000000000000711e+00	2.409548338617504680e-07
5.700000000000001954e+00	-1.813787908410427352e-06
5.600000000000001421e+00	-3.250501841081047769e-06
5.500000000000001776e+00	-2.347909690933732062e-06
5.400000000000002132e+00	-7.764747092978204366e-07
5.300000000000000711e+00	1.492465503166695094e-07
5.200000000000001066e+00	-1.206468022789907829e-06
5.100000000000001421e+00	-3.102668505798952345e-06
5.000000000000001776e+00	-1.848596922749633292e-06
4.900000000000000355e+00	-2.370304674138697996e-09
4.800000000000000711e+00	-2.068421404802290867e-07
4.700000000000001954e+00	-6.239825296283872954e-07
4.600000000000001421e+00	1.348334274309622832e-06
4.500000000000000888e+00	3.823789567410606508e-06
4.400000000000001243e+00	3.253011234108096981e-06
4.300000000000001599e+00	-2.425770155190797535e-06
4.200000000000001066e+00	-6.309843709512954022e-06
4.100000000000000533e+00	-4.261028838989631103e-06
4.000000000000001776e+00	2.625907744712552341e-06
3.900000000000001688e+00	8.810281802873008914e-06
3.800000000000000711e+00	6.571035986642605093e-06
3.700000000000001066e+00	-1.016457507236823047e-06
3.600000000000001421e+00	-4.860612880112074130e-06
3.500000000000001776e+00	-6.981838096689575376e-06
3.400000000000000355e+00	-4.120102269085538707e-06
3.300000000000000711e+00	8.999878042623995597e-08
3.200000000000001066e+00	5.668967659761182721e-06
3.100000000000001421e+00	9.799048067499444180e-06
3.000000000000000444e+00	1.011035892475157347e-05
2.900000000000000799e+00	3.741015468597596192e-06
2.800000000000001155e+00	-5.247619100623300834e-06
2.700000000000000178e+00	-6.571730725052658848e-06
2.600000000000000533e+00	-1.113268276021826883e-06
2.500000000000000888e+00	3.009653037910581130e-06
2.400000000000001243e+00	1.426598991567122091e-06
2.300000000000000266e+00	-1.285969413101800187e-06
2.200000000000000622e+00	1.600782975777437713e-06
2.100000000000000977e+00	7.691708827191728792e-06
2.000000000000001332e+00	7.404209509113027081e-06
1.900000000000000133e+00	-2.129476444087438575e-06
1.800000000000000488e+00	-1.465720043772240458e-05
1.700000000000000844e+00	-1.816892708607885455e-05
1.600000000000001421e+00	-1.087956270687761339e-05
1.500000000000000222e+00	-2.831465911548081588e-06
1.400000000000000799e+00	-9.224109216474768205e-07
1.300000000000000933e+00	-6.948706407000711626e-06
1.200000000000001066e+00	-1.149363004808127292e-05
1.100000000000000089e+00	-5.899179984464391335e-06
1.000000000000000444e+00	2.220572281699282979e-06
9.000000000000010214e-01	6.456216880847420408e-06
7.999999999999998224e-01	4.279952240207839934e-06
7.000000000000001776e-01	9.598300845462464387e-07
6.000000000000005329e-01	1.675103105145103730e-06
5.000000000000008882e-01	1.226986456181641834e-06
3.999999999999999112e-01	-2.047347497192040685e-06
3.000000000000002665e-01	-3.089895588029705800e-06
2.000000000000006217e-01	7.034178222008873003e-06
1.000000000000005329e-01	2.752122406738184942e-05
0.000000000000000000e+00	3.826780476930212693e-05
-9.999999999999964473e-02	3.178416726148923803e-05
-1.999999999999992895e-01	1.485122411822933823e-05
-2.999999999999989342e-01	-5.273507118127361758e-06
-3.999999999999999112e-01	-1.450817175146295346e-05
-4.999999999999995559e-01	-1.318806151079952236e-05
-5.999999999999992006e-01	-8.299981406486173026e-06
-7.000000000000001776e-01	-3.462389495086479726e-06
-8.000000000000002665e-01	-5.679480347835966006e-07
-8.999999999999994671e-01	-3.653859822909943056e-07
-9.999999999999991118e-01	-2.728362757543192385e-06
-1.100000000000000533e+00	-4.936000701614857560e-06
-1.200000000000000178e+00	-5.883115543461080479e-06
-1.299999999999999822e+00	-5.300583628902380647e-06
-1.399999999999999467e+00	-4.290607005892168738e-06
-1.499999999999999556e+00	-3.506406650736563109e-06
-1.599999999999998757e+00	-2.193718382624373224e-06
-1.700000000000001066e+00	-2.045975428395875452e-06
-1.800000000000000711e+00	-1.532558644046149172e-06
-1.900000000000000355e+00	-1.257424122286493929e-06
-2.000000000000000000e+00	-9.394125825256516684e-07
-2.100000000000000533e+00	-6.984992465795612035e-07
-2.199999999999999289e+00	-7.255163238991004895e-07
-2.299999999999998934e+00	-8.784811577943557337e-07
-2.400000000000002132e+00	-3.321116874767053839e-07
-2.500000000000000888e+00	9.367644528229420150e-08
-2.600000000000000533e+00	7.123532202194751076e-07
-2.699999999999999289e+00	6.283241611350014449e-07
