# distance_x[ps] 	  Amplitude [V]
1.230000000000000426e+01	8.550399347666032357e-07
1.220000000000000284e+01	-4.617470965424142292e-06
1.210000000000000142e+01	-7.856819714155688085e-06
1.200000000000000000e+01	-6.815676749775816179e-06
1.190000000000000213e+01	-4.606487557348420580e-06
1.180000000000000426e+01	6.264075201151117899e-07
1.170000000000000284e+01	6.426115242356238551e-06
1.160000000000000142e+01	1.104113150056591750e-05
1.150000000000000355e+01	1.020133659880696410e-05
1.140000000000000213e+01	2.894014875796988137e-06
1.130000000000000071e+01	-4.504008102948811102e-06
1.120000000000000284e+01	-6.989611394814920657e-06
1.110000000000000497e+01	-5.211053458413571787e-06
1.100000000000000000e+01	-1.092830376720653315e-06
1.090000000000000213e+01	4.571413905877569240e-06
1.080000000000000071e+01	7.526051961295040577e-06
1.070000000000000284e+01	7.150344603354002257e-06
1.060000000000000497e+01	6.947154631129103509e-06
1.050000000000000000e+01	6.109046725144907285e-06
1.040000000000000213e+01	2.660750695906514545e-06
1.030000000000000426e+01	-3.111632231420136512e-06
1.020000000000000284e+01	-5.228902133951638166e-06
1.010000000000000142e+01	-1.877348472272860098e-06
1.000000000000000000e+01	8.205259776412848533e-07
9.900000000000003908e+00	-8.358225313662604863e-08
9.800000000000000711e+00	-2.803290057685324351e-06
9.700000000000001066e+00	-1.457589845988357150e-06
9.600000000000001421e+00	2.334405460320291479e-06
9.500000000000000000e+00	2.981923989995671851e-06
9.400000000000002132e+00	-1.513265454198139453e-06
9.300000000000000711e+00	-6.590569372053290567e-06
9.200000000000002842e+00	-7.437052471778527864e-06
9.100000000000001421e+00	-4.994031140699719358e-06
9.000000000000001776e+00	-1.917080264776545634e-06
8.900000000000002132e+00	-6.030445452757859883e-07
8.800000000000000711e+00	1.278236733698986885e-06
8.700000000000002842e+00	4.374560278528975166e-06
8.600000000000001421e+00	3.676158798225291591e-06
8.500000000000003553e+00	-3.473489835848277179e-07
8.400000000000002132e+00	-4.839454218284247894e-06
8.300000000000002487e+00	-4.363667427345477569e-06
8.200000000000002842e+00	-9.971272154387953513e-07
8.100000000000001421e+00	2.099422282025189815e-06
8.000000000000001776e+00	9.672793120844667167e-07
7.900000000000002132e+00	-3.779558064475821726e-07
7.800000000000001599e+00	1.328810384184723554e-06
7.700000000000002842e+00	5.239567625792133744e-06
7.600000000000002309e+00	6.038200991182012080e-06
7.500000000000001776e+00	1.140235415171673398e-06
7.400000000000001243e+00	-3.440610474587260457e-06
7.300000000000001599e+00	-4.155936598451073292e-06
7.200000000000001954e+00	-2.383081284519086329e-06
7.100000000000002309e+00	1.053362869671361737e-06
7.000000000000001776e+00	2.608240358797561078e-06
6.900000000000001243e+00	1.887332941116105004e-06
6.800000000000001599e+00	8.335468278727366655e-07
6.700000000000001954e+00	1.460508943013236766e-06
6.600000000000002309e+00	3.194410022844285598e-06
6.500000000000001776e+00	1.871843844096011852e-06
6.400000000000001243e+00	-1.425030159348823564e-06
6.300000000000001599e+00	-3.754903027415014707e-06
6.200000000000001954e+00	-2.607528388202191085e-06
6.100000000000001421e+00	1.769403601709929006e-06
6.000000000000001776e+00	3.788355446757115285e-06
5.900000000000001243e+00	2.731012469793533080e-06
5.800000000000000711e+00	2.149752044337111006e-07
5.700000000000001954e+00	-1.915277039670218566e-06
5.600000000000001421e+00	-3.065305083744522500e-06
5.500000000000001776e+00	-2.760723043181207388e-06
5.400000000000002132e+00	-7.784286281063535783e-07
5.300000000000000711e+00	1.023526747504953569e-07
5.200000000000001066e+00	-1.472242654504726180e-06
5.100000000000001421e+00	-2.865176110315425390e-06
5.000000000000001776e+00	-2.362094241189920433e-06
4.900000000000000355e+00	-5.334812024099597668e-07
4.800000000000000711e+00	3.563090165948730616e-07
4.700000000000001954e+00	-3.070743772436741257e-07
4.600000000000001421e+00	9.328873869653689341e-07
4.500000000000000888e+00	3.875176647378729040e-06
4.400000000000001243e+00	4.003521963615564279e-06
4.300000000000001599e+00	-2.438602330576897220e-06
4.200000000000001066e+00	-7.661174625681380600e-06
4.100000000000000533e+00	-5.202385669199403360e-06
4.000000000000001776e+00	2.983892679248761874e-06
3.900000000000001688e+00	9.817097374909406333e-06
3.800000000000000711e+00	7.060799310743385391e-06
3.700000000000001066e+00	-6.643304606764485532e-07
3.600000000000001421e+00	-7.177969027286632684e-06
3.500000000000001776e+00	-8.431235445268971492e-06
3.400000000000000355e+00	-4.687021647908920182e-06
3.300000000000000711e+00	1.633593584135815469e-08
3.200000000000001066e+00	5.801608713623330929e-06
3.100000000000001421e+00	1.060214562391803432e-05
3.000000000000000444e+00	1.104368731499014527e-05
2.900000000000000799e+00	3.792208950238847142e-06
2.800000000000001155e+00	-5.652171378397800557e-06
2.700000000000000178e+00	-7.215456943088042273e-06
2.600000000000000533e+00	-1.311519644605934084e-06
2.500000000000000888e+00	2.932866947656407302e-06
2.400000000000001243e+00	1.448436390490065999e-06
2.300000000000000266e+00	-1.508718619015358977e-06
2.200000000000000622e+00	1.458371097002244384e-06
