# distance_x[ps] 	  Amplitude [V]
1.230000000000000426e+01	2.128105254484401842e-06
1.220000000000000284e+01	-4.832207556842808759e-06
1.210000000000000142e+01	-8.280202022838162678e-06
1.200000000000000000e+01	-8.097570047695776222e-06
1.190000000000000213e+01	-4.823671998275148848e-06
1.180000000000000426e+01	3.558481435569711736e-08
1.170000000000000284e+01	7.222587726875160205e-06
1.160000000000000142e+01	1.179612998347793542e-05
1.150000000000000355e+01	1.130978672064659003e-05
1.140000000000000213e+01	4.146848379082908533e-06
1.130000000000000071e+01	-4.102540738023205604e-06
1.120000000000000284e+01	-7.526656318651495832e-06
1.110000000000000497e+01	-6.080285504497267608e-06
1.100000000000000000e+01	-1.195834006063408630e-06
1.090000000000000213e+01	4.895673871201876926e-06
1.080000000000000071e+01	8.083441589961178644e-06
1.070000000000000284e+01	7.901143884046205637e-06
1.060000000000000497e+01	7.059589540998720341e-06
1.050000000000000000e+01	6.257195690760094573e-06
1.040000000000000213e+01	3.263204950915899168e-06
1.030000000000000426e+01	-3.110747411455724753e-06
1.020000000000000284e+01	-6.029255025262020150e-06
1.010000000000000142e+01	-2.912949179009989358e-06
1.000000000000000000e+01	8.341265678215968717e-07
9.900000000000003908e+00	-2.596345227447700722e-08
9.800000000000000711e+00	-3.123202237151119972e-06
9.700000000000001066e+00	-2.028682402914952347e-06
9.600000000000001421e+00	2.474316034645216022e-06
9.500000000000000000e+00	3.356430897639206549e-06
9.400000000000002132e+00	-2.017741899463896461e-06
9.300000000000000711e+00	-6.866675402219816239e-06
9.200000000000002842e+00	-8.292032269735148824e-06
9.100000000000001421e+00	-4.928134209017903086e-06
9.000000000000001776e+00	-2.726643055784062275e-06
8.900000000000002132e+00	-5.824292248013037020e-07
8.800000000000000711e+00	1.657838741360166098e-06
8.700000000000002842e+00	4.946964064087251494e-06
8.600000000000001421e+00	4.210620125134779906e-06
8.500000000000003553e+00	2.326985070316682025e-07
8.400000000000002132e+00	-4.992805017962866147e-06
8.300000000000002487e+00	-5.230485033259990372e-06
8.200000000000002842e+00	-1.046888843151151082e-06
8.100000000000001421e+00	2.173221401544971920e-06
8.000000000000001776e+00	5.850121183738870420e-07
7.900000000000002132e+00	-5.090679434594595701e-07
7.800000000000001599e+00	9.367255924866670634e-07
7.700000000000002842e+00	5.126278316040346781e-06
7.600000000000002309e+00	6.354707000629798954e-06
7.500000000000001776e+00	1.549223925633402340e-06
7.400000000000001243e+00	-3.940552920889911782e-06
7.300000000000001599e+00	-4.868185194688269864e-06
7.200000000000001954e+00	-2.455673096034963270e-06
7.100000000000002309e+00	9.159354884182608186e-07
7.000000000000001776e+00	2.365290987404745859e-06
6.900000000000001243e+00	1.793942409439163381e-06
6.800000000000001599e+00	9.879881787078097445e-07
6.700000000000001954e+00	1.212521794994748191e-06
6.600000000000002309e+00	2.448847919779273736e-06
6.500000000000001776e+00	2.418528768908128556e-06
6.400000000000001243e+00	-1.707739105748181714e-06
6.300000000000001599e+00	-4.419056418595405560e-06
6.200000000000001954e+00	-3.332012891045813360e-06
6.100000000000001421e+00	1.508876522101217716e-06
6.000000000000001776e+00	4.129474995350050817e-06
5.900000000000001243e+00	3.229215520410978594e-06
5.800000000000000711e+00	4.119985160560836927e-07
5.700000000000001954e+00	-2.008276330405026812e-06
5.600000000000001421e+00	-4.123856775421014369e-06
5.500000000000001776e+00	-2.910838939663228968e-06
5.400000000000002132e+00	-1.273040526471577942e-06
5.300000000000000711e+00	-4.622639214310067800e-07
5.200000000000001066e+00	-1.619550232296044806e-06
5.100000000000001421e+00	-3.013675346472963904e-06
5.000000000000001776e+00	-2.601735208840605486e-06
4.900000000000000355e+00	-5.775526921953772595e-07
4.800000000000000711e+00	-4.171294871533662427e-07
4.700000000000001954e+00	-9.295417054345945413e-07
4.600000000000001421e+00	1.343683694337692427e-06
4.500000000000000888e+00	5.104782044051218710e-06
4.400000000000001243e+00	4.001527250245873437e-06
4.300000000000001599e+00	-2.668877781346723359e-06
4.200000000000001066e+00	-7.550310130577693045e-06
4.100000000000000533e+00	-5.657459373387813558e-06
4.000000000000001776e+00	2.462642635802334288e-06
3.900000000000001688e+00	9.932119222639999260e-06
3.800000000000000711e+00	8.077421578772468719e-06
3.700000000000001066e+00	-7.607237885640926837e-07
3.600000000000001421e+00	-7.594283502409982526e-06
3.500000000000001776e+00	-9.032531627089641473e-06
3.400000000000000355e+00	-5.706278154389284545e-06
3.300000000000000711e+00	-5.436474883921558936e-07
3.200000000000001066e+00	5.642006674963234651e-06
3.100000000000001421e+00	1.144290658308645751e-05
3.000000000000000444e+00	1.192935992089747711e-05
2.900000000000000799e+00	4.639464860723938958e-06
2.800000000000001155e+00	-5.560600600657999991e-06
2.700000000000000178e+00	-7.647308870853545594e-06
2.600000000000000533e+00	-1.944115629313155698e-06
2.500000000000000888e+00	3.626565623916334701e-06
2.400000000000001243e+00	1.822267374456495200e-06
2.300000000000000266e+00	-1.267546448612270643e-06
2.200000000000000622e+00	1.712470219810672345e-06
2.100000000000000977e+00	8.702483230046640652e-06
2.000000000000001332e+00	9.414331090055918288e-06
1.900000000000000133e+00	-1.256510288948845678e-06
1.800000000000000488e+00	-1.708786365434994487e-05
1.700000000000000844e+00	-2.227805245311782355e-05
1.600000000000001421e+00	-1.425017323129149151e-05
1.500000000000000222e+00	-3.385384837420588460e-06
1.400000000000000799e+00	-4.621051391520196457e-07
1.300000000000000933e+00	-7.105749290302689206e-06
1.200000000000001066e+00	-1.334547330353817402e-05
1.100000000000000089e+00	-8.109158692321082114e-06
1.000000000000000444e+00	2.172150720153219045e-06
9.000000000000010214e-01	7.035876295617044797e-06
7.999999999999998224e-01	2.828939286335714868e-06
7.000000000000001776e-01	1.517506857688117147e-06
6.000000000000005329e-01	1.840538766050690276e-06
5.000000000000008882e-01	1.474884805694162660e-06
3.999999999999999112e-01	-2.467177865635819702e-06
3.000000000000002665e-01	-4.675291980705820770e-06
2.000000000000006217e-01	6.658576894759118035e-06
1.000000000000005329e-01	3.067784127024780500e-05
0.000000000000000000e+00	4.685814638830678819e-05
-9.999999999999964473e-02	4.130350021103012240e-05
-1.999999999999992895e-01	2.044255937643095996e-05
-2.999999999999989342e-01	-4.590839853887965592e-06
-3.999999999999999112e-01	-1.687248120765916606e-05
-4.999999999999995559e-01	-1.632064772788719849e-05
-5.999999999999992006e-01	-1.032611766610130814e-05
-7.000000000000001776e-01	-4.123242571101521263e-06
-8.000000000000002665e-01	-6.399687224432720899e-07
-8.999999999999994671e-01	-5.047911964057205826e-07
-9.999999999999991118e-01	-3.157115705369748014e-06
-1.100000000000000533e+00	-5.398962526551178854e-06
-1.200000000000000178e+00	-6.988304913826133259e-06
-1.299999999999999822e+00	-6.624151736139767508e-06
-1.399999999999999467e+00	-5.205190119440341082e-06
-1.499999999999999556e+00	-3.893950937442362654e-06
-1.599999999999998757e+00	-3.126938280430898817e-06
-1.700000000000001066e+00	-2.663450522165173838e-06
-1.800000000000000711e+00	-2.235400928841330083e-06
-1.900000000000000355e+00	-1.400902286487798689e-06
-2.000000000000000000e+00	-7.545136958210247554e-07
-2.100000000000000533e+00	-1.020583912265607616e-06
-2.199999999999999289e+00	-8.815827753126890331e-07
-2.299999999999998934e+00	-8.016646474579399609e-07
-2.400000000000002132e+00	-2.385238648617528796e-07
-2.500000000000000888e+00	5.968683893874736366e-08
-2.600000000000000533e+00	8.377340730660055479e-07
-2.699999999999999289e+00	9.533448043539923749e-07
