# distance_x[ps] 	  Amplitude [V]
1.230000000000000426e+01	1.952131760580561811e-06
1.220000000000000284e+01	-4.844422538652778606e-06
1.210000000000000142e+01	-9.128019561893671233e-06
1.200000000000000000e+01	-9.313101672446253337e-06
1.190000000000000213e+01	-6.041985390083850829e-06
1.180000000000000426e+01	-1.145532377931595669e-07
1.170000000000000284e+01	6.961573046757444210e-06
1.160000000000000142e+01	1.275718742163141353e-05
1.150000000000000355e+01	1.277245619285353351e-05
1.140000000000000213e+01	4.703182096801850924e-06
1.130000000000000071e+01	-4.275984089942165336e-06
1.120000000000000284e+01	-8.571939403472955178e-06
1.110000000000000497e+01	-7.079557247814831692e-06
1.100000000000000000e+01	-2.341876491848095901e-06
1.090000000000000213e+01	3.570485938544745074e-06
1.080000000000000071e+01	8.860511513006918418e-06
1.070000000000000284e+01	9.084570189165901973e-06
1.060000000000000497e+01	7.783696166635762151e-06
1.050000000000000000e+01	7.096987427423783509e-06
1.040000000000000213e+01	3.753467305036354255e-06
1.030000000000000426e+01	-3.444712086369824573e-06
1.020000000000000284e+01	-6.280227385628642600e-06
1.010000000000000142e+01	-3.640389177474006766e-06
1.000000000000000000e+01	1.270688860691761219e-06
9.900000000000003908e+00	5.038914301581265394e-07
9.800000000000000711e+00	-3.147117345275074410e-06
9.700000000000001066e+00	-2.351003044036658368e-06
9.600000000000001421e+00	2.944371013902761696e-06
9.500000000000000000e+00	3.744407571525549354e-06
9.400000000000002132e+00	-1.557672268242724616e-06
9.300000000000000711e+00	-8.164798429451224901e-06
9.200000000000002842e+00	-9.429675999402955148e-06
9.100000000000001421e+00	-6.143272131085486727e-06
9.000000000000001776e+00	-2.930756004955143604e-06
8.900000000000002132e+00	-1.390592867864300704e-06
8.800000000000000711e+00	1.647292468107879898e-06
8.700000000000002842e+00	5.070831649721197459e-06
8.600000000000001421e+00	4.665994161695847923e-06
8.500000000000003553e+00	9.874042186319355630e-09
8.400000000000002132e+00	-5.061978702434189954e-06
8.300000000000002487e+00	-5.715904439952023838e-06
8.200000000000002842e+00	-1.699114572835929921e-06
8.100000000000001421e+00	2.164632036357855911e-06
8.000000000000001776e+00	9.637590227983941926e-07
7.900000000000002132e+00	-7.648507211087540984e-07
7.800000000000001599e+00	6.788297620726006048e-07
7.700000000000002842e+00	6.073919794570474999e-06
7.600000000000002309e+00	7.383260095249756009e-06
