# distance_x[ps] 	  Amplitude [V]
1.230000000000000426e+01	2.723189761014372933e-06
1.220000000000000284e+01	-4.632815874771179152e-06
1.210000000000000142e+01	-9.601713521509619209e-06
1.200000000000000000e+01	-9.864717991515507969e-06
1.190000000000000213e+01	-7.099455498373798704e-06
1.180000000000000426e+01	-1.534566545312765721e-07
1.170000000000000284e+01	7.573972734435172722e-06
1.160000000000000142e+01	1.422489836307516830e-05
1.150000000000000355e+01	1.377033793183511155e-05
1.140000000000000213e+01	5.731250052653563160e-06
1.130000000000000071e+01	-5.215375571832735534e-06
1.120000000000000284e+01	-9.393970032234165541e-06
1.110000000000000497e+01	-7.877484621122612653e-06
1.100000000000000000e+01	-1.852251904422975277e-06
1.090000000000000213e+01	5.148323028702964930e-06
1.080000000000000071e+01	9.789602368205277118e-06
1.070000000000000284e+01	9.586823506687212003e-06
1.060000000000000497e+01	8.670497129004069463e-06
1.050000000000000000e+01	7.567429251657821116e-06
1.040000000000000213e+01	3.476108600500498553e-06
1.030000000000000426e+01	-3.245840534952951226e-06
1.020000000000000284e+01	-6.820556974992881392e-06
1.010000000000000142e+01	-3.565706820537444711e-06
1.000000000000000000e+01	1.021569311923906531e-06
9.900000000000003908e+00	8.623006632980971076e-07
9.800000000000000711e+00	-3.156067003806204687e-06
9.700000000000001066e+00	-2.486379971075728883e-06
9.600000000000001421e+00	2.947295210247785430e-06
9.500000000000000000e+00	3.681897643451542552e-06
9.400000000000002132e+00	-1.189120487335024470e-06
9.300000000000000711e+00	-8.348145188606992043e-06
9.200000000000002842e+00	-1.013355520457375850e-05
9.100000000000001421e+00	-6.719639143427918727e-06
9.000000000000001776e+00	-3.158550900232531196e-06
8.900000000000002132e+00	-1.071979784165014093e-06
8.800000000000000711e+00	1.644786416014717802e-06
8.700000000000002842e+00	5.064427958651257526e-06
8.600000000000001421e+00	5.279411251661750481e-06
8.500000000000003553e+00	-2.293111517466090912e-09
8.400000000000002132e+00	-5.650081888008869984e-06
8.300000000000002487e+00	-6.441574798487217305e-06
8.200000000000002842e+00	-1.977877876313700715e-06
8.100000000000001421e+00	2.335677125261194323e-06
8.000000000000001776e+00	1.384085959521088323e-06
7.900000000000002132e+00	-4.315095699613085467e-07
7.800000000000001599e+00	8.514380563582162638e-07
7.700000000000002842e+00	6.068544935299377500e-06
7.600000000000002309e+00	8.045503175600783174e-06
7.500000000000001776e+00	2.997267316795078172e-06
7.400000000000001243e+00	-3.793558687529550750e-06
7.300000000000001599e+00	-6.011304187482435652e-06
7.200000000000001954e+00	-3.299879788912174338e-06
7.100000000000002309e+00	5.795831008060804143e-07
7.000000000000001776e+00	2.878829100406189960e-06
6.900000000000001243e+00	2.109489043345251947e-06
6.800000000000001599e+00	1.170375210644627136e-06
6.700000000000001954e+00	1.196564439714474803e-06
6.600000000000002309e+00	3.720220968563548186e-06
6.500000000000001776e+00	3.023627285170458527e-06
6.400000000000001243e+00	-1.541525886439847129e-06
6.300000000000001599e+00	-4.974630513451418399e-06
6.200000000000001954e+00	-4.233769456043906983e-06
6.100000000000001421e+00	1.485805791057768673e-06
6.000000000000001776e+00	5.627575247276595023e-06
5.900000000000001243e+00	4.721317213461145577e-06
5.800000000000000711e+00	1.313667161741338702e-06
5.700000000000001954e+00	-1.976820031141622422e-06
5.600000000000001421e+00	-4.062204060647187967e-06
5.500000000000001776e+00	-4.074162493902293475e-06
5.400000000000002132e+00	-1.386986945167523201e-06
5.300000000000000711e+00	4.462174159675146237e-07
5.200000000000001066e+00	-1.758930125648673625e-06
5.100000000000001421e+00	-3.621469117189685897e-06
5.000000000000001776e+00	-2.988949270607382854e-06
4.900000000000000355e+00	-7.539072284010614802e-07
4.800000000000000711e+00	-2.306703843230988154e-07
4.700000000000001954e+00	-7.273905878102016939e-07
4.600000000000001421e+00	1.415829051582973488e-06
4.500000000000000888e+00	5.523201835039808746e-06
4.400000000000001243e+00	5.492210628941322668e-06
