# distance_x[ps] 	  Amplitude [V]
1.230000000000000426e+01	3.287439381984085511e-06
1.220000000000000284e+01	-4.993975575694004564e-06
1.210000000000000142e+01	-1.055346153530383301e-05
1.200000000000000000e+01	-1.104602104523014287e-05
1.190000000000000213e+01	-7.282514409699333496e-06
1.180000000000000426e+01	-8.618028641488025800e-07
1.170000000000000284e+01	7.911374702804024954e-06
1.160000000000000142e+01	1.544677828972849617e-05
1.150000000000000355e+01	1.508779054751004290e-05
1.140000000000000213e+01	6.635596193092016261e-06
1.130000000000000071e+01	-4.988274359933648851e-06
1.120000000000000284e+01	-9.687017938146137133e-06
1.110000000000000497e+01	-8.591062205692683864e-06
1.100000000000000000e+01	-2.882206960405463193e-06
1.090000000000000213e+01	5.373499511005382803e-06
1.080000000000000071e+01	1.043668218050959080e-05
1.070000000000000284e+01	1.019658473578664471e-05
1.060000000000000497e+01	9.387111798316850571e-06
1.050000000000000000e+01	8.026857775249769688e-06
1.040000000000000213e+01	3.018320475447498326e-06
1.030000000000000426e+01	-3.564526415843268444e-06
1.020000000000000284e+01	-7.005584575571504936e-06
1.010000000000000142e+01	-4.133185717867732152e-06
1.000000000000000000e+01	8.024895064509952707e-07
9.900000000000003908e+00	6.549934296529497091e-07
9.800000000000000711e+00	-3.694620447212470921e-06
9.700000000000001066e+00	-2.631532470670738676e-06
9.600000000000001421e+00	3.271436484499760796e-06
9.500000000000000000e+00	4.191878716894148229e-06
9.400000000000002132e+00	-1.509141510910114347e-06
9.300000000000000711e+00	-9.171220298804730540e-06
9.200000000000002842e+00	-1.082133638356374828e-05
9.100000000000001421e+00	-7.415720960581659863e-06
9.000000000000001776e+00	-3.572082377427275170e-06
8.900000000000002132e+00	-1.457831096582787232e-06
8.800000000000000711e+00	1.766926738828629442e-06
8.700000000000002842e+00	5.617485099419317997e-06
8.600000000000001421e+00	5.697501169388569995e-06
8.500000000000003553e+00	1.137403358266504318e-07
8.400000000000002132e+00	-5.732946016198227568e-06
8.300000000000002487e+00	-6.842148551517127734e-06
8.200000000000002842e+00	-2.042835126379893319e-06
8.100000000000001421e+00	2.098455169583960829e-06
8.000000000000001776e+00	1.436102893446389448e-06
7.900000000000002132e+00	-8.214677693204157987e-07
7.800000000000001599e+00	7.298052038180111743e-07
7.700000000000002842e+00	6.116941000244717461e-06
7.600000000000002309e+00	8.490079313836219787e-06
7.500000000000001776e+00	3.115414168581217916e-06
7.400000000000001243e+00	-4.270658993002134782e-06
7.300000000000001599e+00	-7.052688754133990353e-06
7.200000000000001954e+00	-3.787568217229954799e-06
7.100000000000002309e+00	5.355302499149848238e-07
7.000000000000001776e+00	2.391681200023742649e-06
6.900000000000001243e+00	2.274261440954781328e-06
6.800000000000001599e+00	9.355094925514784830e-07
6.700000000000001954e+00	1.459973690236672925e-06
6.600000000000002309e+00	3.469157875466075159e-06
6.500000000000001776e+00	3.364531607285563313e-06
6.400000000000001243e+00	-1.449487729632994404e-06
6.300000000000001599e+00	-5.323223379474293047e-06
6.200000000000001954e+00	-2.357716562765041893e-06
6.100000000000001421e+00	1.397204400189791090e-06
6.000000000000001776e+00	6.338490635053901341e-06
5.900000000000001243e+00	4.777473916150783122e-06
5.800000000000000711e+00	1.111000836943709580e-06
5.700000000000001954e+00	-2.589323639447127748e-06
5.600000000000001421e+00	-4.708024692553021737e-06
5.500000000000001776e+00	-4.033935891505950037e-06
5.400000000000002132e+00	-1.682843521447446862e-06
5.300000000000000711e+00	-1.455968438020980773e-07
5.200000000000001066e+00	-2.008308508873525864e-06
5.100000000000001421e+00	-3.861019527948145988e-06
5.000000000000001776e+00	-3.279270095273713756e-06
4.900000000000000355e+00	-9.453772045472732624e-07
4.800000000000000711e+00	-3.634577359218099582e-07
4.700000000000001954e+00	-9.094136337918658356e-07
4.600000000000001421e+00	1.326212896006208843e-06
4.500000000000000888e+00	6.404915434290003066e-06
4.400000000000001243e+00	5.961313617879447787e-06
4.300000000000001599e+00	-2.271472288674277651e-06
4.200000000000001066e+00	-9.492523537638263362e-06
4.100000000000000533e+00	-9.029850088048052957e-06
4.000000000000001776e+00	1.844319999857269006e-06
3.900000000000001688e+00	1.261913862667516589e-05
3.800000000000000711e+00	1.115319169832421325e-05
3.700000000000001066e+00	3.997409812986998854e-07
3.600000000000001421e+00	-8.593654067035176342e-06
3.500000000000001776e+00	-1.105054730729371639e-05
3.400000000000000355e+00	-7.910269205364387949e-06
3.300000000000000711e+00	-8.241021836103228721e-07
3.200000000000001066e+00	6.703147766241461229e-06
3.100000000000001421e+00	1.347878289585514828e-05
3.000000000000000444e+00	1.481310300753686399e-05
2.900000000000000799e+00	6.641961551341557639e-06
2.800000000000001155e+00	-6.372241628382403585e-06
2.700000000000000178e+00	-1.006304549822453374e-05
2.600000000000000533e+00	-3.023598799313098669e-06
2.500000000000000888e+00	3.803694025913627873e-06
2.400000000000001243e+00	2.378397119369651313e-06
2.300000000000000266e+00	-2.408419630479277867e-06
2.200000000000000622e+00	1.501162129915474980e-06
2.100000000000000977e+00	1.060972163110536713e-05
2.000000000000001332e+00	1.268926271891828056e-05
1.900000000000000133e+00	1.020991682038554557e-06
1.800000000000000488e+00	-2.015626279455189529e-05
1.700000000000000844e+00	-2.900741951683412199e-05
1.600000000000001421e+00	-1.813646727577870947e-05
1.500000000000000222e+00	-4.776579776739210360e-06
1.400000000000000799e+00	3.894405304451115145e-07
1.300000000000000933e+00	-6.812303109903559833e-06
1.200000000000001066e+00	-1.583794959976615448e-05
1.100000000000000089e+00	-1.110460590350176821e-05
1.000000000000000444e+00	6.893591548168215866e-07
9.000000000000010214e-01	8.080246250455358988e-06
7.999999999999998224e-01	5.596961566707439874e-06
7.000000000000001776e-01	7.426941750802046425e-07
6.000000000000005329e-01	1.702057759752527317e-06
5.000000000000008882e-01	1.293461369426060464e-06
3.999999999999999112e-01	-4.171782296204040670e-06
3.000000000000002665e-01	-7.448844737532367533e-06
2.000000000000006217e-01	5.317529724774842184e-06
1.000000000000005329e-01	3.625266774323902314e-05
0.000000000000000000e+00	5.944393106527023115e-05
-9.999999999999964473e-02	5.495058476155076669e-05
-1.999999999999992895e-01	2.944479664589567903e-05
-2.999999999999989342e-01	-3.142252418018442395e-06
-3.999999999999999112e-01	-2.151651752097347864e-05
-4.999999999999995559e-01	-2.022682454913431914e-05
-5.999999999999992006e-01	-1.311047781653927462e-05
-7.000000000000001776e-01	-5.633261165076517962e-06
-8.000000000000002665e-01	-9.948974058265732949e-07
-8.999999999999994671e-01	5.285357410627676847e-08
-9.999999999999991118e-01	-3.282445916692082904e-06
-1.100000000000000533e+00	-6.618049959990115932e-06
-1.200000000000000178e+00	-8.927532405184068087e-06
-1.299999999999999822e+00	-8.385323452588584503e-06
-1.399999999999999467e+00	-7.010623231390305523e-06
-1.499999999999999556e+00	-4.660491291905256678e-06
-1.599999999999998757e+00	-3.860964314619683273e-06
-1.700000000000001066e+00	-3.438719154329468737e-06
-1.800000000000000711e+00	-2.513785651758016255e-06
-1.900000000000000355e+00	-2.302523279905494986e-06
-2.000000000000000000e+00	-1.852331735159033041e-06
-2.100000000000000533e+00	-1.057259805293636266e-06
-2.199999999999999289e+00	-1.288683130611887966e-06
-2.299999999999998934e+00	-1.471161950311309416e-06
-2.400000000000002132e+00	-7.289335717505256527e-07
-2.500000000000000888e+00	7.814585034654103330e-08
-2.600000000000000533e+00	4.520292342234220186e-07
-2.699999999999999289e+00	1.092482216241811169e-06
