# distance_x[ps] 	  Amplitude [V]
5.367088607594936889e+00	-6.755596911508676982e-08
5.265822784810127111e+00	-1.683090750555150197e-06
5.164556962025317333e+00	-4.039644316649958523e-06
5.063291139240506666e+00	-3.514898249647802231e-06
4.962025316455696000e+00	-1.200632290480908270e-06
4.860759493670886222e+00	-3.230521298045263107e-07
4.759493670886076444e+00	-6.521007084219218249e-07
4.658227848101265778e+00	1.970156978098807879e-06
4.556962025316456888e+00	6.918927256549022751e-06
4.455696202531646222e+00	6.192844908113865032e-06
4.354430379746836444e+00	-3.645956755878847769e-06
4.253164556962025777e+00	-1.116636007716260858e-05
4.151898734177215999e+00	-8.100265302150167821e-06
4.050632911392405333e+00	4.255425213666525814e-06
3.949367088607595555e+00	1.354793090788712123e-05
3.848101265822785333e+00	9.393442164679880087e-06
3.746835443037975111e+00	-1.864475678164229070e-06
3.645569620253165333e+00	-1.088604728371536351e-05
3.544303797468355111e+00	-1.188581629866634581e-05
3.443037974683544888e+00	-6.344965013251364921e-06
3.341772151898734666e+00	8.600861516463088844e-07
3.240506329113924444e+00	8.875751974210304159e-06
3.139240506329114666e+00	1.552782389485109137e-05
3.037974683544304000e+00	1.381164242500686190e-05
2.936708860759494222e+00	2.698170913837038067e-06
2.835443037974684000e+00	-9.408031143775128706e-06
2.734177215189873777e+00	-8.770439407873772332e-06
2.632911392405063999e+00	1.386294140982351586e-07
2.531645569620253777e+00	4.800769720635099491e-06
2.430379746835443555e+00	7.328567073280262987e-07
2.329113924050633333e+00	-2.027138715620125926e-06
2.227848101265823555e+00	5.093889896222223575e-06
2.126582278481013333e+00	1.406777459400537799e-05
2.025316455696203555e+00	1.047758734416242291e-05
1.924050632911393333e+00	-8.482366504198107378e-06
1.822784810126583110e+00	-2.744570718032782194e-05
1.721518987341772888e+00	-2.683708714390903972e-05
1.620253164556962666e+00	-1.231087944877167426e-05
1.518987341772152444e+00	-1.388861384917244516e-08
1.417721518987342444e+00	-1.662970591650576937e-06
1.316455696202532222e+00	-1.241058399381946042e-05
1.215189873417722222e+00	-1.542866603209053829e-05
1.113924050632912000e+00	-5.305484778915902562e-06
1.012658227848101777e+00	5.780631165579952076e-06
9.113924050632915552e-01	7.693270450026374758e-06
8.101265822784815551e-01	2.759245998725512918e-06
7.088607594936713330e-01	5.558141145800642491e-07
6.075949367088611108e-01	1.928433988997944656e-06
5.063291139240511107e-01	-1.218290356948739164e-06
4.050632911392406665e-01	-7.929487663796485291e-06
3.037974683544306664e-01	-1.802359276934489491e-06
2.025316455696204443e-01	2.527913019293134256e-05
1.012658227848102221e-01	5.478384297133365372e-05
0.000000000000000000e+00	6.261684692618888675e-05
-1.012658227848093340e-01	4.117599557926265082e-05
-2.025316455696191120e-01	7.495775363371309570e-06
-3.037974683544293342e-01	-1.828895453196661966e-05
-4.050632911392395563e-01	-2.352378207592635702e-05
-5.063291139240497785e-01	-1.667381028811418806e-05
-6.075949367088600006e-01	-8.124850179599328888e-06
-7.088607594936702228e-01	-1.928665040952085870e-06
-8.101265822784804449e-01	-3.767766326237859539e-07
-9.113924050632902230e-01	-2.878414648765466669e-06
-1.012658227848100445e+00	-6.606864161656239751e-06
-1.113924050632910667e+00	-9.315278554632146102e-06
-1.215189873417720889e+00	-9.014354660837435110e-06
-1.316455696202530667e+00	-7.710988653304187929e-06
-1.417721518987340446e+00	-5.771186521317537859e-06
-1.518987341772150224e+00	-4.390789656163173401e-06
-1.620253164556960446e+00	-3.401440310653989966e-06
-1.721518987341771112e+00	-2.841470953510530694e-06
-1.822784810126580890e+00	-1.825850438131934654e-06
-1.924050632911391556e+00	-1.670892121737368299e-06
-2.025316455696201334e+00	-1.151010806153217772e-06
-2.126582278481012001e+00	-1.552885765013145231e-06
-2.227848101265821779e+00	-1.167889731670669241e-06
-2.329113924050631557e+00	-9.098483068745417787e-07
-2.430379746835442223e+00	-1.827246420981191734e-07
-2.531645569620252001e+00	7.741348247059238625e-07
-2.632911392405063555e+00	1.633721594655307575e-06
