# distance_x[ps] 	  Amplitude [V]
5.367088607594936889e+00	1.041933534840920832e-07
5.265822784810127111e+00	-1.876614346010654519e-06
5.164556962025317333e+00	-4.071511374942947433e-06
5.063291139240506666e+00	-4.003776753784171618e-06
4.962025316455696000e+00	-1.426727529602492684e-06
4.860759493670886222e+00	-8.489879209480197683e-07
4.759493670886076444e+00	-8.512622177325382954e-07
4.658227848101265778e+00	2.377765858703467585e-06
4.556962025316456888e+00	7.083824851260035185e-06
4.455696202531646222e+00	6.168532756373130003e-06
4.354430379746836444e+00	-3.532943336930749615e-06
4.253164556962025777e+00	-1.147431487840505323e-05
4.151898734177215999e+00	-8.523653413507289417e-06
4.050632911392405333e+00	4.102288233756732113e-06
3.949367088607595555e+00	1.450691714286873870e-05
3.848101265822785333e+00	1.061607221891035089e-05
3.746835443037975111e+00	-1.629960758129307853e-06
3.645569620253165333e+00	-1.126255031143759525e-05
3.544303797468355111e+00	-1.263967692983160163e-05
3.443037974683544888e+00	-6.775675220820340067e-06
3.341772151898734666e+00	7.077710414729335489e-07
3.240506329113924444e+00	9.627349913940336413e-06
3.139240506329114666e+00	1.578330299919383811e-05
3.037974683544304000e+00	1.490157005769482355e-05
2.936708860759494222e+00	2.957769741340794927e-06
2.835443037974684000e+00	-9.423273011687519369e-06
2.734177215189873777e+00	-9.064381453197313299e-06
2.632911392405063999e+00	-5.007875267376593929e-07
2.531645569620253777e+00	4.803163236007828348e-06
2.430379746835443555e+00	6.652170390271167832e-07
2.329113924050633333e+00	-2.688472182760519397e-06
2.227848101265823555e+00	5.480706914372220352e-06
2.126582278481013333e+00	1.506167763240374196e-05
2.025316455696203555e+00	1.212309346767204032e-05
1.924050632911393333e+00	-8.240140357072705773e-06
1.822784810126583110e+00	-2.918411746587575156e-05
1.721518987341772888e+00	-2.954501587060082271e-05
1.620253164556962666e+00	-1.376144876179121203e-05
1.518987341772152444e+00	6.764160252579181425e-09
1.417721518987342444e+00	-1.109955124636802773e-06
1.316455696202532222e+00	-1.265782435519469614e-05
1.215189873417722222e+00	-1.622812953163224421e-05
1.113924050632912000e+00	-6.010884460682942629e-06
1.012658227848101777e+00	5.509629906555482943e-06
9.113924050632915552e-01	7.665215748976710150e-06
8.101265822784815551e-01	2.753585225849062298e-06
7.088607594936713330e-01	2.380371435458763570e-07
6.075949367088611108e-01	1.397842870239627802e-06
5.063291139240511107e-01	-1.754931731139382591e-06
4.050632911392406665e-01	-8.468167711013239925e-06
3.037974683544306664e-01	-2.214236112661603921e-06
2.025316455696204443e-01	2.673425073709930139e-05
1.012658227848102221e-01	5.929504568749070401e-05
0.000000000000000000e+00	6.730129025232949361e-05
-1.012658227848093340e-01	4.453581400802554199e-05
-2.025316455696191120e-01	9.473550198250361970e-06
-3.037974683544293342e-01	-1.926782969806004314e-05
-4.050632911392395563e-01	-2.503820120734756989e-05
-5.063291139240497785e-01	-1.772974321513845898e-05
-6.075949367088600006e-01	-8.328967700574678334e-06
-7.088607594936702228e-01	-1.664025623404644536e-06
-8.101265822784804449e-01	-2.920060620548282715e-07
-9.113924050632902230e-01	-3.352008907880657259e-06
-1.012658227848100445e+00	-7.073059483080154488e-06
-1.113924050632910667e+00	-9.591542839561782380e-06
-1.215189873417720889e+00	-1.007191427098785341e-05
-1.316455696202530667e+00	-8.113943613003029055e-06
-1.417721518987340446e+00	-5.551881642403758850e-06
-1.518987341772150224e+00	-4.568312288359235624e-06
-1.620253164556960446e+00	-3.176319393357287310e-06
-1.721518987341771112e+00	-3.015942961389706823e-06
-1.822784810126580890e+00	-2.564633962177061791e-06
-1.924050632911391556e+00	-2.142680342328220916e-06
-2.025316455696201334e+00	-1.877809345310761947e-06
-2.126582278481012001e+00	-1.770885042131265766e-06
-2.227848101265821779e+00	-1.460022573374611580e-06
-2.329113924050631557e+00	-7.852249668274319176e-07
-2.430379746835442223e+00	-4.662162462203700104e-07
-2.531645569620252001e+00	4.989929177239903376e-07
-2.632911392405063555e+00	1.309058079685068565e-06
