# distance_x[ps] 	  Amplitude [V]
5.367088607594936889e+00	1.008548813369706082e-07
5.265822784810127111e+00	-1.939928208281261200e-06
5.164556962025317333e+00	-4.797117376541143643e-06
5.063291139240506666e+00	-4.620221609045622222e-06
4.962025316455696000e+00	-1.219387238295718050e-06
4.860759493670886222e+00	-8.127190943384354121e-08
4.759493670886076444e+00	-7.017802194960860496e-07
4.658227848101265778e+00	2.255047378488326913e-06
4.556962025316456888e+00	7.606376276375104781e-06
4.455696202531646222e+00	7.176713363660667616e-06
4.354430379746836444e+00	-3.381461526004462304e-06
4.253164556962025777e+00	-1.228045743230450766e-05
4.151898734177215999e+00	-9.302538518685902341e-06
4.050632911392405333e+00	3.880264713851345340e-06
3.949367088607595555e+00	1.559191091955880465e-05
3.848101265822785333e+00	1.163119018749676089e-05
3.746835443037975111e+00	-1.681856715080142176e-06
3.645569620253165333e+00	-1.188958891638026578e-05
3.544303797468355111e+00	-1.358798554010755182e-05
3.443037974683544888e+00	-7.233160903437175514e-06
3.341772151898734666e+00	1.110517984077597972e-06
3.240506329113924444e+00	1.041660686045456472e-05
3.139240506329114666e+00	1.667808598013617325e-05
3.037974683544304000e+00	1.630386270019585656e-05
2.936708860759494222e+00	3.417457626905619802e-06
2.835443037974684000e+00	-9.725239804371124569e-06
2.734177215189873777e+00	-9.741023255250603769e-06
2.632911392405063999e+00	4.715517176393157643e-08
2.531645569620253777e+00	4.808973295877478107e-06
2.430379746835443555e+00	6.922787793575782611e-07
2.329113924050633333e+00	-2.853799702911314359e-06
2.227848101265823555e+00	5.595910051725885430e-06
2.126582278481013333e+00	1.607259147528881596e-05
2.025316455696203555e+00	1.287383630416540168e-05
1.924050632911393333e+00	-5.282388727110354737e-06
1.822784810126583110e+00	-3.000879815856455850e-05
1.721518987341772888e+00	-3.106005852578868460e-05
1.620253164556962666e+00	-1.479608622453687796e-05
1.518987341772152444e+00	-2.562744224466900291e-07
1.417721518987342444e+00	-8.648334428623621668e-07
1.316455696202532222e+00	-1.311948532597825227e-05
1.215189873417722222e+00	-1.765675963516457033e-05
1.113924050632912000e+00	-6.592274127529238286e-06
1.012658227848101777e+00	6.077561060831013689e-06
9.113924050632915552e-01	8.572528111191723887e-06
8.101265822784815551e-01	2.960154992298116048e-06
7.088607594936713330e-01	-7.058514111964071881e-09
6.075949367088611108e-01	1.597454878109231424e-06
5.063291139240511107e-01	-2.454403365318942618e-06
4.050632911392406665e-01	-9.427433353571058509e-06
3.037974683544306664e-01	-4.229441891627347465e-06
2.025316455696204443e-01	2.746089066981648627e-05
1.012658227848102221e-01	6.198006017951588394e-05
0.000000000000000000e+00	7.124964988068363200e-05
-1.012658227848093340e-01	4.930468449189915649e-05
-2.025316455696191120e-01	1.062693113323909540e-05
-3.037974683544293342e-01	-1.981343884216026454e-05
-4.050632911392395563e-01	-2.644592867009105811e-05
-5.063291139240497785e-01	-1.929582391062247741e-05
-6.075949367088600006e-01	-8.483944304186315043e-06
-7.088607594936702228e-01	-1.774824179023702813e-06
-8.101265822784804449e-01	-5.359200841481128537e-07
-9.113924050632902230e-01	-3.190823969912209623e-06
-1.012658227848100445e+00	-7.139858818588949139e-06
-1.113924050632910667e+00	-1.025022536358145627e-05
-1.215189873417720889e+00	-1.029738352460202340e-05
-1.316455696202530667e+00	-8.082345939484579490e-06
-1.417721518987340446e+00	-6.496103059664450470e-06
-1.518987341772150224e+00	-4.421123049962998509e-06
-1.620253164556960446e+00	-3.481806123649715497e-06
-1.721518987341771112e+00	-3.193841184890217781e-06
-1.822784810126580890e+00	-2.629576090121445542e-06
-1.924050632911391556e+00	-2.006682001586004947e-06
-2.025316455696201334e+00	-1.862416432018914720e-06
-2.126582278481012001e+00	-1.266663211195490270e-06
-2.227848101265821779e+00	-1.663424606982077456e-06
-2.329113924050631557e+00	-8.868183703922499060e-07
-2.430379746835442223e+00	-4.846005262122505620e-07
-2.531645569620252001e+00	5.578112896905143420e-07
-2.632911392405063555e+00	1.458894920268138777e-06
