# distance_x[ps] 	  Amplitude [V]
5.367088607594936889e+00	4.012326203603258321e-07
5.265822784810127111e+00	-1.422582837356637761e-06
5.164556962025317333e+00	-4.780291026772769388e-06
5.063291139240506666e+00	-4.570625972995906293e-06
4.962025316455696000e+00	-1.678024839749368636e-06
4.860759493670886222e+00	-6.326362517525016204e-07
4.759493670886076444e+00	-6.453585279975524028e-07
4.658227848101265778e+00	2.395992411448114854e-06
4.556962025316456888e+00	9.351025140523466417e-06
4.455696202531646222e+00	7.222616388571145679e-06
4.354430379746836444e+00	-3.274444555869233989e-06
4.253164556962025777e+00	-1.286607408387347610e-05
4.151898734177215999e+00	-1.072209781087400894e-05
4.050632911392405333e+00	4.047969396382680574e-06
3.949367088607595555e+00	1.597320713237838894e-05
3.848101265822785333e+00	1.260727532211655388e-05
3.746835443037975111e+00	-1.181225684719336176e-06
3.645569620253165333e+00	-1.247616388845917863e-05
3.544303797468355111e+00	-1.404187127854088345e-05
3.443037974683544888e+00	-7.872954138932019278e-06
3.341772151898734666e+00	5.052441567054668794e-07
3.240506329113924444e+00	1.000663295033453516e-05
3.139240506329114666e+00	1.832558787204723689e-05
3.037974683544304000e+00	1.674812303225957442e-05
2.936708860759494222e+00	4.313213171286577586e-06
2.835443037974684000e+00	-1.073043414427877377e-05
2.734177215189873777e+00	-9.880252454901025986e-06
2.632911392405063999e+00	-2.752948865862734453e-07
2.531645569620253777e+00	5.552403531444770839e-06
2.430379746835443555e+00	1.041676458770179593e-06
2.329113924050633333e+00	-3.177935702004519146e-06
2.227848101265823555e+00	5.697547239108496475e-06
2.126582278481013333e+00	1.677064637766129216e-05
2.025316455696203555e+00	1.322374409143109665e-05
1.924050632911393333e+00	-7.966599284938944106e-06
1.822784810126583110e+00	-3.243880655215006990e-05
1.721518987341772888e+00	-3.361367320881039194e-05
1.620253164556962666e+00	-1.542699820272598675e-05
1.518987341772152444e+00	-2.000264595103262513e-07
1.417721518987342444e+00	-1.459147600373238149e-07
1.316455696202532222e+00	-1.295380700776922881e-05
1.215189873417722222e+00	-1.833936236662834363e-05
1.113924050632912000e+00	-7.836219515803015393e-06
1.012658227848101777e+00	5.196828641112102245e-06
9.113924050632915552e-01	8.638287361229634177e-06
8.101265822784815551e-01	2.918649691415843034e-06
7.088607594936713330e-01	1.934956371140217068e-07
6.075949367088611108e-01	1.623156858347325193e-06
5.063291139240511107e-01	-2.440550798388033849e-06
4.050632911392406665e-01	-9.943813018763457038e-06
3.037974683544306664e-01	-4.669008211578593734e-06
2.025316455696204443e-01	2.763226528030434482e-05
1.012658227848102221e-01	6.635358599941000037e-05
0.000000000000000000e+00	7.521841663657945470e-05
-1.012658227848093340e-01	5.207661214814718217e-05
-2.025316455696191120e-01	1.097369052991202358e-05
-3.037974683544293342e-01	-1.979455887308259881e-05
-4.050632911392395563e-01	-2.783388747534269514e-05
-5.063291139240497785e-01	-2.025860913911186733e-05
-6.075949367088600006e-01	-9.158536355380078419e-06
-7.088607594936702228e-01	-2.387475843452029029e-06
-8.101265822784804449e-01	3.324141299128714346e-07
-9.113924050632902230e-01	-3.256520973076629617e-06
-1.012658227848100445e+00	-7.971329519808306025e-06
-1.113924050632910667e+00	-1.042953856050279702e-05
-1.215189873417720889e+00	-1.083797845445241069e-05
-1.316455696202530667e+00	-8.666706927427581171e-06
-1.417721518987340446e+00	-6.692879142179119356e-06
-1.518987341772150224e+00	-5.489144706664002529e-06
-1.620253164556960446e+00	-4.171682068187404320e-06
-1.721518987341771112e+00	-3.483251341314162568e-06
-1.822784810126580890e+00	-2.824255297024905467e-06
-1.924050632911391556e+00	-1.931881656931612188e-06
-2.025316455696201334e+00	-2.031721246043918398e-06
-2.126582278481012001e+00	-2.030068362962545854e-06
-2.227848101265821779e+00	-1.703961564552742389e-06
-2.329113924050631557e+00	-1.004952561797340788e-06
-2.430379746835442223e+00	-3.257605721558436700e-07
-2.531645569620252001e+00	7.051965881543828183e-07
-2.632911392405063555e+00	1.219125590420709170e-06
