# distance_x[ps] 	  Amplitude [V]
5.367088607594936889e+00	3.579453708454320936e-07
5.265822784810127111e+00	-1.843721972691338023e-06
5.164556962025317333e+00	-4.898914752911747063e-06
5.063291139240506666e+00	-5.072871905294937935e-06
4.962025316455696000e+00	-1.957541260060918248e-06
4.860759493670886222e+00	-2.745779925093844216e-07
4.759493670886076444e+00	-7.662210315186623306e-07
4.658227848101265778e+00	1.947899852376370949e-06
4.556962025316456888e+00	9.231247737161416179e-06
4.455696202531646222e+00	8.310210466857734495e-06
4.354430379746836444e+00	-3.180006905176379366e-06
4.253164556962025777e+00	-1.392001036330317102e-05
4.151898734177215999e+00	-1.165196938957037443e-05
4.050632911392405333e+00	4.260657819489449637e-06
3.949367088607595555e+00	1.749914861726302697e-05
3.848101265822785333e+00	1.383208331356466945e-05
3.746835443037975111e+00	-1.210295853832291156e-06
3.645569620253165333e+00	-1.290737330188645460e-05
3.544303797468355111e+00	-1.422235749493412123e-05
3.443037974683544888e+00	-8.591285696585918957e-06
3.341772151898734666e+00	7.720952724866854249e-07
3.240506329113924444e+00	1.041586130468168778e-05
3.139240506329114666e+00	1.874134599375894142e-05
3.037974683544304000e+00	1.858844076915778758e-05
2.936708860759494222e+00	4.681355248196448175e-06
2.835443037974684000e+00	-1.058178737951429312e-05
2.734177215189873777e+00	-1.108643544327870962e-05
2.632911392405063999e+00	-4.670502488219605499e-07
2.531645569620253777e+00	6.144898638373008491e-06
2.430379746835443555e+00	8.987354815703212909e-07
2.329113924050633333e+00	-3.551678063303606637e-06
2.227848101265823555e+00	5.848997926598039696e-06
2.126582278481013333e+00	1.840074745501388853e-05
2.025316455696203555e+00	1.597872055248652134e-05
1.924050632911393333e+00	-7.209203242365806480e-06
1.822784810126583110e+00	-3.404261676570718157e-05
1.721518987341772888e+00	-3.636274254707479414e-05
1.620253164556962666e+00	-1.771649148879148977e-05
1.518987341772152444e+00	-1.255718135940166266e-07
1.417721518987342444e+00	1.068781982918434975e-06
1.316455696202532222e+00	-1.363548482806193479e-05
1.215189873417722222e+00	-1.984251938575213358e-05
1.113924050632912000e+00	-8.756373548689915857e-06
1.012658227848101777e+00	4.978931702074127138e-06
9.113924050632915552e-01	8.651082082988464654e-06
8.101265822784815551e-01	2.953684834227670626e-06
7.088607594936713330e-01	-7.646166798979768676e-08
6.075949367088611108e-01	1.211509492026720380e-06
5.063291139240511107e-01	-2.523968114893774822e-06
4.050632911392406665e-01	-1.153178491978987717e-05
3.037974683544306664e-01	-7.315466392312753093e-06
2.025316455696204443e-01	2.914809112073098228e-05
1.012658227848102221e-01	7.018179667738603275e-05
0.000000000000000000e+00	8.258446459211608805e-05
-1.012658227848093340e-01	5.865898919863013266e-05
-2.025316455696191120e-01	1.458147219264031116e-05
-3.037974683544293342e-01	-2.050288996057831326e-05
-4.050632911392395563e-01	-2.977821639690880320e-05
-5.063291139240497785e-01	-2.215789312826079607e-05
-6.075949367088600006e-01	-1.102093028005490674e-05
-7.088607594936702228e-01	-2.917562657031901574e-06
-8.101265822784804449e-01	-4.828398540533372420e-07
-9.113924050632902230e-01	-3.310560578713103537e-06
-1.012658227848100445e+00	-8.360334673816239187e-06
-1.113924050632910667e+00	-1.127689434732727522e-05
-1.215189873417720889e+00	-1.162907766224786369e-05
-1.316455696202530667e+00	-9.689033576312282983e-06
-1.417721518987340446e+00	-7.123953335703250504e-06
-1.518987341772150224e+00	-5.326609855566224399e-06
-1.620253164556960446e+00	-4.122884915336891650e-06
-1.721518987341771112e+00	-3.853980707762257941e-06
-1.822784810126580890e+00	-2.796706483701316765e-06
-1.924050632911391556e+00	-2.445144406645245173e-06
-2.025316455696201334e+00	-2.212846460002871219e-06
-2.126582278481012001e+00	-2.213336522252635810e-06
-2.227848101265821779e+00	-2.197174490812072836e-06
-2.329113924050631557e+00	-1.229115158584098828e-06
-2.430379746835442223e+00	-5.006389430989615514e-07
-2.531645569620252001e+00	1.219929172940057394e-06
-2.632911392405063555e+00	1.401014119853729467e-06
