# distance_x[ps] 	  Amplitude [V]
5.367088607594936889e+00	6.605179275944994829e-07
5.265822784810127111e+00	-1.672406619820332612e-06
5.164556962025317333e+00	-5.195555745300820940e-06
5.063291139240506666e+00	-5.793454900712018410e-06
4.962025316455696000e+00	-1.604435495710020023e-06
4.860759493670886222e+00	-8.581684555946652194e-07
4.759493670886076444e+00	-1.259563902522368928e-06
4.658227848101265778e+00	2.533859213426784496e-06
4.556962025316456888e+00	9.142432702363241777e-06
4.455696202531646222e+00	9.265501804797982789e-06
4.354430379746836444e+00	-3.538364265921774864e-06
4.253164556962025777e+00	-1.445745549585179167e-05
4.151898734177215999e+00	-1.283814967924543654e-05
4.050632911392405333e+00	3.535443586349264709e-06
3.949367088607595555e+00	1.834721109952410417e-05
3.848101265822785333e+00	1.492703606249725506e-05
3.746835443037975111e+00	-9.554596155050210943e-07
3.645569620253165333e+00	-1.380013519366524474e-05
3.544303797468355111e+00	-1.657587432796347004e-05
3.443037974683544888e+00	-9.859073044115369510e-06
3.341772151898734666e+00	3.446517949055537143e-07
3.240506329113924444e+00	1.163659195007758686e-05
3.139240506329114666e+00	1.954159074431453097e-05
3.037974683544304000e+00	1.905106269803067743e-05
2.936708860759494222e+00	5.492665171788699398e-06
2.835443037974684000e+00	-1.089686927193271354e-05
2.734177215189873777e+00	-1.217040794923083714e-05
2.632911392405063999e+00	-1.041072804768227435e-06
2.531645569620253777e+00	5.786211404365842047e-06
2.430379746835443555e+00	1.630050259989777429e-06
2.329113924050633333e+00	-4.095047550828565596e-06
2.227848101265823555e+00	5.967012547737669653e-06
2.126582278481013333e+00	1.892614412493105302e-05
2.025316455696203555e+00	1.733293188118218114e-05
1.924050632911393333e+00	-7.505528956099038454e-06
1.822784810126583110e+00	-3.542857083478747276e-05
1.721518987341772888e+00	-3.838889006036198050e-05
1.620253164556962666e+00	-1.938816028973847761e-05
1.518987341772152444e+00	-1.265376951648656160e-07
1.417721518987342444e+00	1.315892399549293064e-06
1.316455696202532222e+00	-1.306113486059465695e-05
1.215189873417722222e+00	-2.073752234081519151e-05
1.113924050632912000e+00	-9.596589759795991125e-06
1.012658227848101777e+00	4.968977829151750322e-06
9.113924050632915552e-01	8.760635876976349194e-06
8.101265822784815551e-01	3.085692693198751642e-06
7.088607594936713330e-01	-4.708501215228608650e-08
6.075949367088611108e-01	1.654053287426571328e-06
5.063291139240511107e-01	-2.935014464791812132e-06
4.050632911392406665e-01	-1.200279188936684425e-05
3.037974683544306664e-01	-7.998093565345494550e-06
2.025316455696204443e-01	2.838746035079987021e-05
1.012658227848102221e-01	7.383617100411470676e-05
0.000000000000000000e+00	8.733923352156484953e-05
-1.012658227848093340e-01	6.261730973345168265e-05
-2.025316455696191120e-01	1.717386790871665601e-05
-3.037974683544293342e-01	-2.167686704963132853e-05
-4.050632911392395563e-01	-3.196141857468588591e-05
-5.063291139240497785e-01	-2.366255444682726443e-05
-6.075949367088600006e-01	-1.196304462306409778e-05
-7.088607594936702228e-01	-3.395599479024846502e-06
-8.101265822784804449e-01	-7.412394621299709516e-07
-9.113924050632902230e-01	-3.714177570837622943e-06
-1.012658227848100445e+00	-8.751621861508220390e-06
-1.113924050632910667e+00	-1.206562747057560723e-05
-1.215189873417720889e+00	-1.221120901641726935e-05
-1.316455696202530667e+00	-9.647734358299304478e-06
-1.417721518987340446e+00	-7.841446670628542597e-06
-1.518987341772150224e+00	-5.939504353136611659e-06
-1.620253164556960446e+00	-4.550865579919470030e-06
-1.721518987341771112e+00	-4.067113475076115499e-06
-1.822784810126580890e+00	-3.231491575581753169e-06
-1.924050632911391556e+00	-2.454593095196049391e-06
-2.025316455696201334e+00	-2.204352926866749481e-06
-2.126582278481012001e+00	-2.266604196322384136e-06
-2.227848101265821779e+00	-2.489590081026104891e-06
-2.329113924050631557e+00	-1.346402335329299344e-06
-2.430379746835442223e+00	-3.241057548495885101e-07
-2.531645569620252001e+00	4.541584641417562826e-07
-2.632911392405063555e+00	8.196474878673977903e-07
