# distance_x[ps] 	  Amplitude [V]
5.367088607594936889e+00	-6.112238547878213416e-08
5.265822784810127111e+00	-1.427192974444662014e-06
5.164556962025317333e+00	-5.562073249148052381e-06
5.063291139240506666e+00	-5.288481711328721309e-06
4.962025316455696000e+00	-2.595988978392075715e-06
4.860759493670886222e+00	-9.514216573049526209e-07
4.759493670886076444e+00	-1.162072638255991690e-06
4.658227848101265778e+00	3.118200859120962130e-06
4.556962025316456888e+00	9.345889949299169945e-06
4.455696202531646222e+00	9.731099099055966119e-06
4.354430379746836444e+00	-3.015729844975384732e-06
4.253164556962025777e+00	-1.550553634904641197e-05
4.151898734177215999e+00	-1.351809795081597626e-05
4.050632911392405333e+00	2.866657374898136746e-06
3.949367088607595555e+00	1.955146548985535037e-05
3.848101265822785333e+00	1.624770037067020017e-05
3.746835443037975111e+00	-3.911651556857607615e-07
3.645569620253165333e+00	-1.407646717646576497e-05
3.544303797468355111e+00	-1.677842459926815383e-05
3.443037974683544888e+00	-1.027474711496399939e-05
3.341772151898734666e+00	2.106715540702433758e-07
3.240506329113924444e+00	1.144786997997346845e-05
3.139240506329114666e+00	2.011110550125291724e-05
3.037974683544304000e+00	2.010007848519802342e-05
2.936708860759494222e+00	6.053031572548939260e-06
2.835443037974684000e+00	-1.163602258460764093e-05
2.734177215189873777e+00	-1.196104252447212940e-05
2.632911392405063999e+00	-8.915107999570914920e-07
2.531645569620253777e+00	6.145709957791886757e-06
2.430379746835443555e+00	1.172171929721804529e-06
2.329113924050633333e+00	-4.204746939198510504e-06
2.227848101265823555e+00	6.092760024118738103e-06
2.126582278481013333e+00	1.942805860142068360e-05
2.025316455696203555e+00	1.794393804775141129e-05
1.924050632911393333e+00	-6.276724504366513200e-06
1.822784810126583110e+00	-2.921961348172548184e-05
1.721518987341772888e+00	-3.948634991641946962e-05
1.620253164556962666e+00	-1.924298563447663350e-05
1.518987341772152444e+00	-1.063027136377248461e-07
1.417721518987342444e+00	1.540426895029359800e-06
1.316455696202532222e+00	-1.317285375558051294e-05
1.215189873417722222e+00	-2.120851278156134058e-05
1.113924050632912000e+00	-1.018462049985689220e-05
1.012658227848101777e+00	4.927099222867163266e-06
9.113924050632915552e-01	8.891645500069455865e-06
8.101265822784815551e-01	3.153527366535538192e-06
7.088607594936713330e-01	-1.383797232497724535e-08
6.075949367088611108e-01	1.426164142645820426e-06
5.063291139240511107e-01	-2.600550935696663986e-06
4.050632911392406665e-01	-1.289552424025651745e-05
3.037974683544306664e-01	-8.264066367191452177e-06
2.025316455696204443e-01	2.900129083737474449e-05
1.012658227848102221e-01	7.523898448062499213e-05
0.000000000000000000e+00	8.951886617524064209e-05
-1.012658227848093340e-01	6.441087619990913823e-05
-2.025316455696191120e-01	1.770509960758832204e-05
-3.037974683544293342e-01	-2.252676247372647450e-05
-4.050632911392395563e-01	-3.254301661030360357e-05
-5.063291139240497785e-01	-2.425982322076540964e-05
-6.075949367088600006e-01	-1.238028172345637855e-05
-7.088607594936702228e-01	-3.048009420684213893e-06
-8.101265822784804449e-01	-4.008638867622792198e-07
-9.113924050632902230e-01	-3.178558170739419563e-06
-1.012658227848100445e+00	-9.116439533361023884e-06
-1.113924050632910667e+00	-1.275403322836400143e-05
-1.215189873417720889e+00	-1.246701975240804869e-05
-1.316455696202530667e+00	-1.058051307699400435e-05
-1.417721518987340446e+00	-7.480968696057472013e-06
-1.518987341772150224e+00	-6.181251867522917909e-06
-1.620253164556960446e+00	-4.717257802948744402e-06
-1.721518987341771112e+00	-4.063397653238288777e-06
-1.822784810126580890e+00	-3.226830796969533895e-06
-1.924050632911391556e+00	-2.514517843795339218e-06
-2.025316455696201334e+00	-2.343998864060028835e-06
-2.126582278481012001e+00	-1.980481518844114083e-06
-2.227848101265821779e+00	-2.416561838041295111e-06
-2.329113924050631557e+00	-2.098085205115534751e-06
-2.430379746835442223e+00	-3.596223438185226282e-07
-2.531645569620252001e+00	7.147296792455126009e-07
-2.632911392405063555e+00	1.598281143811292080e-06
