# distance_x[ps] 	  Amplitude [V]
5.367088607594936889e+00	-2.167007088674887952e-07
5.265822784810127111e+00	-1.720263036023467923e-06
5.164556962025317333e+00	-5.575156346252993748e-06
5.063291139240506666e+00	-5.577748910949990382e-06
4.962025316455696000e+00	-3.137370258576494142e-06
4.860759493670886222e+00	-6.116330312697738146e-07
4.759493670886076444e+00	-1.305328366595813779e-06
4.658227848101265778e+00	2.768439897107709798e-06
4.556962025316456888e+00	1.051462405805034416e-05
4.455696202531646222e+00	1.039272692005574479e-05
4.354430379746836444e+00	-2.767723003030820880e-06
4.253164556962025777e+00	-1.581638844332414976e-05
4.151898734177215999e+00	-1.445238044143747430e-05
4.050632911392405333e+00	3.215461774787701252e-06
3.949367088607595555e+00	2.010681204952973812e-05
3.848101265822785333e+00	1.664746403515161079e-05
3.746835443037975111e+00	5.015955052226496956e-07
3.645569620253165333e+00	-1.428333797864198111e-05
3.544303797468355111e+00	-1.733681035374875885e-05
3.443037974683544888e+00	-1.066242539070256614e-05
3.341772151898734666e+00	6.091020100917655447e-07
3.240506329113924444e+00	1.171663967099946234e-05
3.139240506329114666e+00	2.081298313534762735e-05
3.037974683544304000e+00	2.056961298212356203e-05
2.936708860759494222e+00	6.386402792101376638e-06
2.835443037974684000e+00	-1.220776117264497790e-05
2.734177215189873777e+00	-1.309703372273581272e-05
2.632911392405063999e+00	-1.465420819182924609e-06
2.531645569620253777e+00	6.444666217365261841e-06
2.430379746835443555e+00	1.341088843738563005e-06
2.329113924050633333e+00	-4.453030199462641282e-06
2.227848101265823555e+00	5.952957590548605568e-06
2.126582278481013333e+00	2.068377146220208183e-05
2.025316455696203555e+00	1.880520108731938329e-05
1.924050632911393333e+00	-7.261948675717290739e-06
1.822784810126583110e+00	-3.814613077052350973e-05
1.721518987341772888e+00	-4.167482039526048879e-05
1.620253164556962666e+00	-2.039063194436612565e-05
1.518987341772152444e+00	5.219664100074395518e-08
1.417721518987342444e+00	2.390539479827215745e-06
1.316455696202532222e+00	-1.257013222586009636e-05
1.215189873417722222e+00	-2.232581919162186240e-05
1.113924050632912000e+00	-1.113130488874745363e-05
1.012658227848101777e+00	4.384150693012077061e-06
9.113924050632915552e-01	9.147698717525043537e-06
8.101265822784815551e-01	3.131150143031762748e-06
7.088607594936713330e-01	-8.366030790256449937e-07
6.075949367088611108e-01	1.217282625784978624e-06
5.063291139240511107e-01	-3.509991648636884121e-06
4.050632911392406665e-01	-1.286342718504114398e-05
3.037974683544306664e-01	-9.326913620654629704e-06
2.025316455696204443e-01	3.063130575380076221e-05
1.012658227848102221e-01	7.998035749605371880e-05
0.000000000000000000e+00	9.522099066961417274e-05
-1.012658227848093340e-01	7.028491512935134626e-05
-2.025316455696191120e-01	2.006277836504883884e-05
-3.037974683544293342e-01	-2.180453380461167510e-05
-4.050632911392395563e-01	-3.396752294638653380e-05
-5.063291139240497785e-01	-2.534710448213691771e-05
-6.075949367088600006e-01	-1.287647353187332156e-05
-7.088607594936702228e-01	-3.413038098887830399e-06
-8.101265822784804449e-01	-5.381942050940056595e-07
-9.113924050632902230e-01	-3.332758798495939406e-06
-1.012658227848100445e+00	-8.774821130587039179e-06
-1.113924050632910667e+00	-1.272541478868041397e-05
-1.215189873417720889e+00	-1.330623368334775877e-05
-1.316455696202530667e+00	-1.102442331435399660e-05
-1.417721518987340446e+00	-7.903555334958752346e-06
-1.518987341772150224e+00	-6.339846526696505299e-06
-1.620253164556960446e+00	-5.368084033011752901e-06
-1.721518987341771112e+00	-4.350872881425274402e-06
-1.822784810126580890e+00	-3.303978235599475683e-06
-1.924050632911391556e+00	-2.861367621521867591e-06
-2.025316455696201334e+00	-2.315405217622661192e-06
-2.126582278481012001e+00	-2.420974508352682973e-06
-2.227848101265821779e+00	-2.485700003110232326e-06
-2.329113924050631557e+00	-2.072544644735813088e-06
-2.430379746835442223e+00	-3.187119050069175608e-07
-2.531645569620252001e+00	8.384732986483556676e-07
-2.632911392405063555e+00	1.649826302703898967e-06
