# distance_x[ps] 	  Amplitude [V]
-2.600000000000000533e+00	-1.143573377386780479e-05
-2.550000000000000711e+00	-1.122379143404978527e-05
-2.500000000000000000e+00	-1.143322631506563650e-05
-2.449999999999999289e+00	-1.048294549876408271e-05
-2.400000000000000355e+00	-1.063622965560356986e-05
-2.350000000000000533e+00	-1.009993661773039293e-05
-2.299999999999999822e+00	-9.815351473195051059e-06
-2.250000000000000000e+00	-9.226751895180082590e-06
-2.200000000000000178e+00	-7.742265948846652744e-06
-2.150000000000000355e+00	-6.943284247139305798e-06
-2.099999999999999645e+00	-5.943631109842647247e-06
-2.049999999999999822e+00	-4.774139839969302945e-06
-2.000000000000000888e+00	-4.362756231587215032e-06
-1.950000000000000178e+00	-3.723210928554576217e-06
-1.900000000000000355e+00	-2.949445364962575760e-06
-1.849999999999999645e+00	-3.243892594657690595e-06
-1.800000000000000711e+00	-3.259891096176373232e-06
-1.750000000000000888e+00	-4.186046677196287229e-06
-1.699999999999999289e+00	-5.894779271179549555e-06
-1.650000000000000355e+00	-7.636829943794893171e-06
-1.600000000000000533e+00	-9.023102632464912956e-06
-1.550000000000000266e+00	-1.227170576806589019e-05
-1.500000000000000000e+00	-1.445762307006206243e-05
-1.449999999999999289e+00	-1.737148871998908279e-05
-1.400000000000000799e+00	-2.046137586776476159e-05
-1.350000000000000533e+00	-2.375409462864619690e-05
-1.299999999999999378e+00	-2.738500223574639455e-05
-1.250000000000000000e+00	-3.085676902890165959e-05
-1.200000000000000178e+00	-3.401757207025187023e-05
-1.149999999999999467e+00	-3.544168294526564914e-05
-1.099999999999999645e+00	-3.532195600758916915e-05
-1.050000000000000266e+00	-3.244774495700915529e-05
-1.000000000000000000e+00	-2.897573462735733839e-05
-9.500000000000006217e-01	-2.280639565088547212e-05
-8.999999999999994671e-01	-1.826129933627449722e-05
-8.500000000000000888e-01	-1.574583512899575884e-05
-7.999999999999998224e-01	-1.731969562863427286e-05
-7.500000000000000000e-01	-2.438706040198322195e-05
-7.000000000000001776e-01	-3.481822230467827796e-05
-6.499999999999999112e-01	-4.565416138275007286e-05
-6.000000000000000888e-01	-6.361034676661857571e-05
-5.500000000000002665e-01	-7.390671148222341760e-05
-5.000000000000000000e-01	-8.363582712158173734e-05
-4.500000000000001776e-01	-8.589307670301806808e-05
-3.999999999999999112e-01	-7.846008311423606539e-05
-3.500000000000000888e-01	-5.852882518348791874e-05
-3.000000000000002665e-01	-2.360283982538566208e-05
-2.500000000000000000e-01	2.777238580594832996e-05
-2.000000000000001776e-01	9.019666077532389060e-05
-1.499999999999999112e-01	1.449911449727676990e-04
-1.000000000000000888e-01	2.007850276931781911e-04
-5.000000000000026645e-02	2.344311971108842068e-04
0.000000000000000000e+00	2.420261635705163472e-04
4.999999999999982236e-02	2.335419548050369880e-04
1.000000000000000888e-01	2.008610583806964226e-04
1.499999999999999112e-01	1.481469097099763629e-04
1.999999999999997335e-01	8.364784340574469234e-05
2.500000000000000000e-01	2.264040662582487615e-05
2.999999999999998224e-01	-2.393813718124377149e-05
3.500000000000000888e-01	-4.813731981436475947e-05
3.999999999999999112e-01	-5.241120017098931176e-05
4.499999999999999556e-01	-4.521363076377561127e-05
4.999999999999997780e-01	-3.194494724310274688e-05
5.499999999999998224e-01	-1.948476585484731861e-05
6.000000000000000888e-01	-9.407646233023519389e-06
6.500000000000003553e-01	-4.706335410876133255e-06
7.000000000000001776e-01	-4.028375346646135767e-06
7.500000000000000000e-01	-4.002472207020266836e-06
8.000000000000002665e-01	-2.781018161518330222e-06
8.500000000000000888e-01	1.182025750466170822e-06
9.000000000000001332e-01	6.341606847178166118e-06
9.499999999999999556e-01	9.450096490680187921e-06
1.000000000000000444e+00	9.428162028835867893e-06
1.050000000000000044e+00	5.905583499695704806e-06
1.100000000000000089e+00	1.202468924926114228e-07
1.149999999999999911e+00	-6.191996838422221291e-06
1.200000000000000178e+00	-1.034517593554541226e-05
1.250000000000000222e+00	-9.930490605288970111e-06
1.299999999999999822e+00	-3.172539566259714985e-06
1.349999999999999867e+00	7.330699468293859598e-06
1.400000000000000355e+00	1.630869755904749860e-05
1.450000000000000178e+00	1.663801534660080657e-05
1.500000000000000000e+00	7.809761429474504379e-06
1.549999999999999822e+00	-9.999273928011287983e-06
1.600000000000000311e+00	-3.335595849218076810e-05
1.650000000000000355e+00	-6.103378901139567116e-05
1.700000000000000178e+00	-8.322144827804984785e-05
1.749999999999999778e+00	-9.750575899596908400e-05
1.800000000000000266e+00	-9.573696977441728388e-05
1.850000000000000089e+00	-7.731746596487957450e-05
1.899999999999999911e+00	-4.476416472919869297e-05
1.949999999999999956e+00	-9.992801308200083098e-06
2.000000000000000444e+00	1.919707329011899528e-05
2.050000000000000266e+00	2.878597239594371000e-05
2.100000000000000089e+00	4.552386162018882287e-05
2.149999999999999911e+00	3.989676025800843582e-05
