# distance_x[ps] 	  Amplitude [V]
-1.760000000000000142e+01	-9.342130343643549743e-07
-1.755000000000000426e+01	-5.679139220902149322e-07
-1.750000000000000000e+01	-6.362611650208525733e-07
-1.745000000000000284e+01	-1.355803547451170465e-06
-1.740000000000000568e+01	-2.011153753675620757e-06
-1.735000000000000142e+01	-5.318070428548800314e-07
-1.730000000000000426e+01	-1.607152729992621594e-07
-1.725000000000000000e+01	-8.763310030795658264e-07
-1.720000000000000284e+01	-9.470568150997489808e-07
-1.714999999999999858e+01	-8.613460353992914739e-07
-1.710000000000000142e+01	-6.426247648841372682e-07
-1.705000000000000426e+01	7.692990866611546968e-07
-1.700000000000000000e+01	1.412284672405183185e-06
-1.695000000000000284e+01	5.012993929770079167e-07
-1.689999999999999858e+01	9.428071471943642931e-07
-1.685000000000000142e+01	-3.946743671384155982e-07
-1.680000000000000426e+01	2.042664562912986777e-08
-1.675000000000000000e+01	-1.280875368115910634e-07
-1.670000000000000284e+01	-4.817763820452370336e-07
-1.665000000000000568e+01	-6.413399120463086107e-07
-1.660000000000000142e+01	3.238374251068039690e-07
-1.655000000000000426e+01	-8.637866755237012442e-07
-1.650000000000000000e+01	-6.437230529401218184e-07
-1.645000000000000284e+01	-1.486520399232523426e-07
-1.639999999999999858e+01	-2.983142727510245827e-07
-1.635000000000000142e+01	-1.363278974944617177e-06
-1.630000000000000426e+01	-1.112024745261032243e-06
-1.625000000000000000e+01	-6.626091763696871634e-07
-1.620000000000000284e+01	-2.333607152959718334e-08
-1.614999999999999858e+01	-1.909486146210766920e-07
-1.610000000000000142e+01	9.919255572139902137e-07
-1.605000000000000426e+01	9.203293439967013748e-07
-1.600000000000000000e+01	1.383604161686730832e-06
-1.595000000000000462e+01	5.971112225295350517e-07
-1.590000000000000391e+01	2.710939259802018374e-08
-1.585000000000000320e+01	9.368001480639545660e-07
-1.580000000000000249e+01	8.569412778260589516e-07
-1.575000000000000178e+01	3.493869532564351405e-07
-1.570000000000000462e+01	1.184182411210110828e-06
-1.565000000000000036e+01	-2.922135516331283400e-07
-1.559999999999999964e+01	-2.847905240501338612e-07
-1.555000000000000249e+01	2.464355479855062857e-07
-1.549999999999999822e+01	2.891718950861511187e-08
-1.545000000000000107e+01	-8.139569982632311387e-10
-1.540000000000000036e+01	-1.705527407514404767e-07
-1.534999999999999964e+01	-1.473807618273259686e-06
-1.530000000000000249e+01	2.201300895840857616e-07
-1.525000000000000178e+01	5.201179943743129159e-07
-1.520000000000000462e+01	1.395734916795000835e-06
-1.515000000000000391e+01	1.619413957361144436e-07
-1.510000000000000320e+01	1.944675499497314165e-06
-1.505000000000000249e+01	6.229225743928006655e-07
-1.499999999999999822e+01	1.501206968765022787e-06
-1.495000000000000107e+01	1.743677707418743073e-06
-1.490000000000000036e+01	6.227421639628550027e-07
-1.484999999999999964e+01	-5.510782528746802026e-08
-1.480000000000000249e+01	3.340511875179330869e-07
-1.474999999999999822e+01	-5.938174133933358348e-07
-1.470000000000000107e+01	-1.084797189106556368e-06
-1.465000000000000036e+01	4.654276099842044421e-07
-1.459999999999999964e+01	-6.156959585546885678e-07
-1.455000000000000249e+01	3.610010944824633638e-07
-1.450000000000000178e+01	3.066055914676167259e-07
-1.445000000000000462e+01	4.722573580441615118e-07
-1.440000000000000391e+01	-2.506011650278168513e-07
-1.435000000000000320e+01	-4.817120251082388237e-07
-1.430000000000000249e+01	1.709800989472881354e-06
-1.425000000000000178e+01	7.722435044481320356e-07
-1.420000000000000462e+01	4.346975242448496564e-07
-1.415000000000000391e+01	5.519723922862525414e-07
-1.409999999999999964e+01	-5.363763853817480135e-08
-1.405000000000000249e+01	1.502576224143178148e-08
-1.399999999999999822e+01	1.250782697394637703e-06
-1.395000000000000107e+01	7.044102378203511500e-07
-1.390000000000000036e+01	-1.808253211828588497e-06
-1.384999999999999964e+01	-1.253620732813079824e-06
-1.380000000000000249e+01	-6.573581074910667359e-07
-1.374999999999999822e+01	-9.203379600893595996e-07
-1.370000000000000462e+01	-1.017835378707635494e-06
-1.365000000000000391e+01	-2.046739623063071851e-06
-1.360000000000000320e+01	-8.756454082780476718e-07
-1.355000000000000071e+01	1.433079524116483110e-07
-1.349999999999999822e+01	-7.097154649956803888e-07
-1.345000000000000107e+01	1.993083345630575227e-07
-1.340000000000000213e+01	-1.168447315952694072e-06
-1.334999999999999964e+01	-8.985476859180973464e-07
-1.330000000000000071e+01	-1.109871249612354372e-06
-1.324999999999999822e+01	-1.352472812203578886e-06
-1.320000000000000107e+01	-1.375211208244496886e-06
-1.315000000000000213e+01	-1.106995057212140370e-06
-1.309999999999999964e+01	-3.992597109802193457e-07
-1.305000000000000071e+01	-2.939394077441572653e-07
-1.299999999999999822e+01	-1.025850806620538934e-06
-1.295000000000000107e+01	-1.073423770959081434e-06
-1.290000000000000391e+01	3.153743120529244937e-07
-1.285000000000000320e+01	-7.667330735966364697e-07
-1.280000000000000426e+01	-4.209996953045377557e-07
-1.275000000000000178e+01	-9.305592835613928265e-07
-1.270000000000000284e+01	-4.858438811344192958e-08
