# distance_x[ps] 	  Amplitude [V]
1.133542319749216354e+01	-1.830818055145962058e-06
1.128526645768025105e+01	-7.823824475240351008e-06
1.123510971786833856e+01	-9.725233122503349490e-06
1.118495297805642785e+01	-1.004219965331178825e-05
1.113479623824451359e+01	-1.003582268971295033e-05
1.108463949843260110e+01	-9.007202248899358861e-06
1.103448275862068861e+01	-6.600098946371906665e-06
1.098432601880877790e+01	-2.994991437462927942e-06
1.093416927899686542e+01	2.534636771829532324e-06
1.088401253918495470e+01	6.734021687976620335e-06
1.083385579937304222e+01	9.757521490143463656e-06
1.078369905956112795e+01	1.012512532502013240e-05
1.073354231974921547e+01	8.279427981207929276e-06
1.068338557993730298e+01	5.513589968244374998e-06
1.063322884012539227e+01	3.135959856959931201e-06
1.058307210031347800e+01	2.507553579186738356e-06
1.053291536050156729e+01	3.104749204256599184e-06
1.048275862068965658e+01	3.867493026952479797e-06
1.043260188087774232e+01	3.160724089807284767e-06
1.038244514106582983e+01	-8.095483722402107785e-07
1.033228840125391912e+01	-7.904606322424429944e-06
1.028213166144200663e+01	-1.455147254055202350e-05
1.023197492163009414e+01	-1.790530577417409015e-05
1.018181818181818166e+01	-1.716088644633735930e-05
1.013166144200627095e+01	-1.235097628226226780e-05
1.008150470219435668e+01	-4.925169393950347374e-06
1.003134796238244419e+01	3.049859067187719943e-06
9.981191222570531707e+00	8.185482502828348323e-06
9.931034482758620996e+00	9.023631730889577717e-06
9.880877742946708508e+00	6.566948617788720059e-06
9.830721003134796021e+00	2.842500312825249552e-06
9.780564263322883534e+00	2.194631688446143993e-06
9.730407523510971046e+00	5.194409101622775533e-06
9.680250783699060335e+00	9.955974545631221171e-06
9.630094043887147848e+00	1.427499513920806513e-05
9.579937304075235360e+00	1.623852071521668237e-05
9.529780564263322873e+00	1.412374912787881107e-05
9.479623824451410385e+00	7.772039296623693770e-06
9.429467084639497898e+00	-1.163150704870023164e-06
9.379310344827585411e+00	-9.169172130492833983e-06
9.329153605015672923e+00	-1.385911621636052217e-05
9.278996865203760436e+00	-1.348950237015372557e-05
9.228840125391849725e+00	-1.014008673032456656e-05
9.178683385579937237e+00	-6.287996991142848263e-06
9.128526645768026526e+00	-3.554714796369064457e-06
9.078369905956112262e+00	-2.371705404630851297e-06
9.028213166144199775e+00	-2.310847304606463345e-06
8.978056426332287288e+00	-2.884601882487196549e-06
8.927899686520374800e+00	-2.411901235267701452e-06
8.877742946708462313e+00	-7.445032028611792423e-07
8.827586206896551602e+00	2.183841175342791401e-06
8.777429467084639114e+00	4.995871116078812749e-06
8.727272727272724850e+00	6.665660026278677255e-06
8.677115987460815916e+00	6.535365890553453732e-06
8.626959247648901652e+00	4.300245424320079728e-06
8.576802507836989165e+00	1.809882005018243262e-06
8.526645768025078453e+00	-1.536431665615331749e-06
8.476489028213165966e+00	-4.283237081574129166e-06
8.426332288401253479e+00	-6.273278418980476206e-06
8.376175548589340991e+00	-6.182991087369498951e-06
8.326018808777428504e+00	-4.568076137084951140e-06
8.275862068965516016e+00	-1.500274320694427125e-06
8.225705329153603529e+00	2.193083429347049879e-06
8.175548589341691041e+00	4.871751026178393293e-06
8.125391849529780330e+00	5.103783104818741904e-06
8.075235109717867843e+00	3.510387813060537058e-06
8.025078369905955356e+00	4.897427509815763089e-07
7.974921630094043756e+00	-2.849562871225604148e-06
7.924764890282132157e+00	-5.278172644382475189e-06
7.874608150470218781e+00	-5.766009304661702367e-06
7.824451410658307182e+00	-4.160996530743581811e-06
7.774294670846394695e+00	-6.294388021831739442e-07
7.724137931034483096e+00	3.945313751680142638e-06
7.673981191222569720e+00	7.201038879136952803e-06
7.623824451410658121e+00	7.487325965730231695e-06
7.573667711598746521e+00	5.196428784077312232e-06
7.523510971786833146e+00	1.633482102447134282e-06
7.473354231974921547e+00	-2.713220590131562072e-06
7.423197492163009059e+00	-5.413506315119628224e-06
7.373040752351097460e+00	-6.047349874876034478e-06
7.322884012539184972e+00	-4.772735592704639507e-06
7.272727272727273373e+00	-2.205331996334524548e-06
7.222570532915360886e+00	3.832856510305064075e-07
7.172413793103447510e+00	1.672614988591760757e-06
7.122257053291535911e+00	1.344310031522357442e-06
7.072100313479623424e+00	2.337779803547051292e-07
7.021943573667710936e+00	-9.008935490232667497e-07
6.971786833855799337e+00	-1.432707273745922707e-06
6.921630094043887738e+00	-1.550832673219729537e-06
6.871473354231974362e+00	-1.144124965571669539e-06
6.821316614420062763e+00	-2.904840029109600091e-07
6.771159874608150275e+00	6.761591250258039489e-07
6.721003134796237788e+00	1.769233214081646915e-06
6.670846394984325300e+00	3.131348664840153255e-06
6.620689655172413701e+00	4.439347844321389200e-06
6.570532915360502102e+00	4.962381243109441692e-06
6.520376175548588726e+00	4.014198357450851400e-06
6.470219435736677127e+00	1.037908061183275657e-06
6.420062695924764640e+00	-2.862345811796513735e-06
6.369905956112852152e+00	-7.158488393463650463e-06
6.319749216300939665e+00	-1.061112869178804296e-05
6.269592476489028066e+00	-1.112933830955787311e-05
6.219435736677116466e+00	-7.417748204097100564e-06
6.169278996865203979e+00	-1.173344597516450543e-06
6.119122257053291492e+00	5.865958617076431546e-06
6.068965517241379004e+00	1.104775129730681499e-05
6.018808777429466517e+00	1.200658859697248200e-05
5.968652037617554029e+00	9.505474052419444982e-06
5.918495297805642430e+00	5.627367757698295167e-06
5.868338557993729943e+00	1.514147812421791114e-06
5.818181818181818343e+00	-1.320491107126648505e-06
5.768025078369906744e+00	-2.706204101451134803e-06
5.717868338557993368e+00	-3.334597015488776219e-06
5.667711598746081769e+00	-3.854074078072492749e-06
5.617554858934169282e+00	-4.787423217268892244e-06
5.567398119122256794e+00	-5.788160048015603868e-06
5.517241379310344307e+00	-5.637480940415537127e-06
5.467084639498432708e+00	-3.730330634508276145e-06
5.416927899686520220e+00	-1.008657833317626537e-07
5.366771159874607733e+00	3.695617100542813034e-06
5.316614420062696134e+00	6.401156707827510941e-06
5.266457680250783646e+00	6.806357830130761861e-06
5.216300940438871159e+00	4.434390425947650877e-06
5.166144200626958671e+00	3.263506865836188902e-07
5.115987460815047072e+00	-4.088618714835154190e-06
5.065830721003133696e+00	-6.523491156484170798e-06
5.015673981191222097e+00	-6.119657531172816146e-06
4.965517241379309610e+00	-3.456417487842579744e-06
4.915360501567397122e+00	-3.810718427332210694e-07
4.865203761755485523e+00	1.133667314986725049e-06
4.815047021943573036e+00	1.294887772357560123e-06
4.764890282131661436e+00	5.478226007202529728e-07
4.714733542319748949e+00	3.556758217038067439e-08
4.664576802507836462e+00	1.066904202234820298e-06
4.614420062695923974e+00	3.169460983601345031e-06
4.564263322884011487e+00	7.008222858311176819e-06
4.514106583072099887e+00	9.621737145008695736e-06
4.463949843260188288e+00	9.766248009458607953e-06
4.413793103448274913e+00	5.795291535157225109e-06
4.363636363636364202e+00	-3.122857065928913393e-07
4.313479623824450826e+00	-7.911861424119902853e-06
4.263322884012538339e+00	-1.336268421238090382e-05
4.213166144200625851e+00	-1.535833708784851054e-05
4.163009404388714252e+00	-1.343554101270567803e-05
4.112852664576802653e+00	-8.207162526181309702e-06
4.062695924764889277e+00	-4.837329384331555709e-07
4.012539184952976790e+00	8.091527529162979057e-06
3.962382445141066079e+00	1.383649246710354416e-05
3.912225705329153591e+00	1.458894427919987139e-05
3.862068965517240215e+00	1.144749913631191514e-05
3.811912225705329504e+00	6.454556788382394245e-06
3.761755485893416129e+00	1.129939008606475531e-07
3.711598746081504530e+00	-6.540358124975076608e-06
3.661442006269591154e+00	-1.065137744985122071e-05
3.611285266457680443e+00	-1.301980997014232844e-05
3.561128526645767955e+00	-1.186601563854462922e-05
3.510971786833854580e+00	-8.750623273952994814e-06
3.460815047021943869e+00	-3.941904768244124045e-06
3.410658307210031381e+00	6.631915538979325534e-07
3.360501567398118894e+00	3.114889993638071656e-06
3.310344827586206407e+00	4.147999770403847249e-06
3.260188087774294807e+00	3.880794691469139872e-06
3.210031347962382320e+00	3.688504076456888609e-06
3.159874608150469388e+00	3.772943894570945627e-06
3.109717868338556901e+00	4.881086122977009309e-06
3.059561128526645746e+00	6.024613237221374115e-06
3.009404388714733258e+00	6.834749965503102689e-06
2.959247648902820327e+00	5.487320205083967528e-06
2.909090909090909172e+00	1.697182985532857664e-06
2.858934169278996684e+00	-3.412837467015932084e-06
2.808777429467084197e+00	-7.077797806526298103e-06
2.758620689655171265e+00	-7.771958059178630659e-06
2.708463949843260110e+00	-5.626277734057718246e-06
2.658307210031347623e+00	-1.415928400406481761e-06
2.608150470219435135e+00	2.250345981153575236e-06
2.557993730407523536e+00	3.923320208057596356e-06
