# distance_x[ps] 	  Amplitude [V]
1.118495297805642608e+01	-4.671925761223567257e-05
1.113479623824451359e+01	-5.042937964101065957e-05
1.108463949843260110e+01	-4.730104098176486340e-05
1.103448275862069039e+01	-3.912523540602344600e-05
1.098432601880877613e+01	-2.510696975962532760e-05
1.093416927899686364e+01	-5.362747858238304342e-06
1.088401253918495115e+01	1.742104514402527209e-05
1.083385579937304044e+01	3.773910690502648335e-05
1.078369905956112795e+01	4.854832994150590306e-05
1.073354231974921724e+01	4.516468590647952576e-05
1.068338557993730475e+01	3.312701835993434426e-05
1.063322884012539049e+01	2.084112487651700377e-05
1.058307210031347800e+01	1.317098898695520101e-05
1.053291536050156552e+01	1.265924812054680882e-05
1.048275862068965480e+01	1.622774022491499282e-05
1.043260188087774054e+01	1.638417804750601353e-05
1.038244514106582983e+01	7.317422948700671842e-06
1.033228840125391912e+01	-1.602085570732597359e-05
1.028213166144200486e+01	-4.792701224624967241e-05
1.023197492163009237e+01	-7.704331578774645749e-05
1.018181818181818166e+01	-8.663950252541240430e-05
1.013166144200626917e+01	-4.648010916857551496e-05
1.008150470219435668e+01	-3.711923829588445738e-05
1.003134796238244419e+01	-9.752555279838436304e-08
9.981191222570533483e+00	3.074004770085388740e-05
9.931034482758619220e+00	4.572321989292157539e-05
9.880877742946706732e+00	4.055334995070529160e-05
9.830721003134794245e+00	2.788094417747625169e-05
9.780564263322883534e+00	1.696926823822970313e-05
9.730407523510971046e+00	1.883938341279667002e-05
9.680250783699058559e+00	3.769765312486153471e-05
9.630094043887146071e+00	6.192248516247153881e-05
9.579937304075233584e+00	7.741377524190414514e-05
9.529780564263322873e+00	7.173582398675707101e-05
9.479623824451410385e+00	5.009772882657185307e-05
9.429467084639497898e+00	1.569618955477635204e-05
9.379310344827585411e+00	-2.455437700866768170e-05
9.329153605015672923e+00	-5.525414342131264404e-05
9.278996865203760436e+00	-6.891123283795711732e-05
9.228840125391847948e+00	-6.314399406962467251e-05
9.178683385579937237e+00	-4.466915349290887595e-05
9.128526645768022973e+00	-2.624223052423794707e-05
9.078369905956114039e+00	-1.533258727950423075e-05
9.028213166144201551e+00	-1.321299454872752388e-05
8.978056426332289064e+00	-1.421985531129072309e-05
8.927899686520376576e+00	-1.379299596962409473e-05
8.877742946708462313e+00	-8.818897895531227781e-06
8.827586206896551602e+00	1.442870570471481996e-06
8.777429467084637338e+00	1.580508395391794338e-05
8.727272727272726627e+00	2.711299975158731985e-05
8.677115987460815916e+00	3.289341164640104652e-05
8.626959247648901652e+00	2.840220459540159482e-05
8.576802507836989165e+00	1.611376426532993295e-05
8.526645768025078453e+00	-7.983611671973284034e-07
8.476489028213165966e+00	-1.591117706791385977e-05
8.426332288401251702e+00	-2.549816691794096153e-05
8.376175548589342768e+00	-2.862900600244389968e-05
8.326018808777428504e+00	-2.581103992554361872e-05
8.275862068965517793e+00	-1.439368867328143753e-05
8.225705329153603529e+00	-8.445599526761972260e-08
8.175548589341692818e+00	1.457946798398483370e-05
8.125391849529780330e+00	2.333310917627033786e-05
8.075235109717867843e+00	2.249168108535609439e-05
8.025078369905953579e+00	1.044573153954147847e-05
7.974921630094043756e+00	-5.797541038695523289e-06
7.924764890282132157e+00	-1.941245978109816663e-05
7.874608150470218781e+00	-2.645697907268315877e-05
7.824451410658307182e+00	-2.403531105679080135e-05
7.774294670846395583e+00	-1.218740503830474577e-05
7.724137931034482207e+00	7.053889556108744783e-06
7.673981191222570608e+00	2.552776354789919810e-05
7.623824451410658121e+00	3.480392926199004169e-05
7.573667711598746521e+00	3.086197736899423747e-05
7.523510971786833146e+00	1.618420557045376960e-05
7.473354231974921547e+00	-4.536483035370768423e-06
7.423197492163009947e+00	-2.073841331513149981e-05
7.373040752351096572e+00	-2.804284284442632548e-05
7.322884012539184972e+00	-2.632289332867244542e-05
7.272727272727272485e+00	-1.720977890372298770e-05
7.222570532915360886e+00	-6.383353398654870274e-06
7.172413793103448398e+00	3.600020497468115691e-06
7.122257053291536799e+00	7.249270183290033542e-06
7.072100313479624312e+00	4.490117906552007933e-06
7.021943573667710936e+00	-1.397835309178723799e-06
6.971786833855799337e+00	-6.822388158440691472e-06
6.921630094043886849e+00	-8.092765081410500656e-06
6.871473354231974362e+00	-6.569675874872986366e-06
6.821316614420062763e+00	-3.189823623970728317e-06
6.771159874608151163e+00	1.848798433814660531e-06
6.721003134796237788e+00	6.340939012077841683e-06
6.670846394984326189e+00	1.179534205059627332e-05
6.620689655172413701e+00	1.738586036254299286e-05
6.570532915360501214e+00	2.190772927389504204e-05
6.520376175548588726e+00	2.166997698892276532e-05
6.470219435736677127e+00	1.252117523569884339e-05
6.420062695924765528e+00	-4.831508774144363309e-06
6.369905956112852152e+00	-2.763673544984633179e-05
6.319749216300940553e+00	-4.484630651231376417e-05
6.269592476489028066e+00	-5.125713768548744912e-05
6.219435736677115578e+00	-4.400779945264927701e-05
6.169278996865203091e+00	-2.231199335216205564e-05
6.119122257053291492e+00	9.382222957007125969e-06
6.068965517241379892e+00	3.956512280730518287e-05
6.018808777429467405e+00	5.693451904764869369e-05
5.968652037617554917e+00	5.418806478142538553e-05
5.918495297805642430e+00	3.642990200008897278e-05
5.868338557993729943e+00	1.487615856286634975e-05
5.818181818181817455e+00	-1.762512837646861637e-06
5.768025078369905856e+00	-1.108075339392855276e-05
5.717868338557993368e+00	-1.291801329712622494e-05
5.667711598746081769e+00	-1.739411334843918888e-05
5.617554858934170170e+00	-2.026504729455243974e-05
5.567398119122256794e+00	-2.514386087913118509e-05
5.517241379310345195e+00	-2.839610246757469540e-05
5.467084639498432708e+00	-2.496226617604167315e-05
5.416927899686520220e+00	-1.173966485983885921e-05
5.366771159874607733e+00	7.936235471056874829e-06
5.316614420062696134e+00	2.433924935214551108e-05
5.266457680250783646e+00	3.084991905939974685e-05
5.216300940438871159e+00	2.558879836574239178e-05
5.166144200626959559e+00	9.415435884141052831e-06
5.115987460815047072e+00	-9.579082387030367045e-06
5.065830721003134585e+00	-2.619743123838084732e-05
5.015673981191222097e+00	-3.175024992482084857e-05
4.965517241379310498e+00	-2.587462317258876093e-05
4.915360501567397122e+00	-1.021264302243805733e-05
4.865203761755485523e+00	8.151402163753950709e-07
4.815047021943573036e+00	6.555425385132167658e-06
4.764890282131660548e+00	5.760413416238127544e-06
4.714733542319748949e+00	2.365730583968940198e-06
4.664576802507836462e+00	3.448676368185733515e-06
4.614420062695924862e+00	1.127518836098094650e-05
4.564263322884012375e+00	2.430341414358684672e-05
4.514106583072099887e+00	3.996806352407534407e-05
4.463949843260187400e+00	4.775561706264260669e-05
4.413793103448274913e+00	4.092826779321703643e-05
4.363636363636363313e+00	1.537910978389297800e-05
4.313479623824451714e+00	-1.975624346070874841e-05
4.263322884012538339e+00	-5.144475310312017344e-05
4.213166144200627627e+00	-6.892686770519790577e-05
4.163009404388714252e+00	-6.856944439923212187e-05
4.112852664576801764e+00	-4.739045615379247828e-05
4.062695924764889277e+00	-1.627210220011003123e-05
4.012539184952977678e+00	1.921057963079594367e-05
3.962382445141066079e+00	5.054109484338537256e-05
3.912225705329152703e+00	6.843227567659737913e-05
3.862068965517240215e+00	6.588403198439701845e-05
3.811912225705329504e+00	4.628373786657715501e-05
3.761755485893417017e+00	1.406060037807771696e-05
3.711598746081503641e+00	-1.938620689844582163e-05
3.661442006269592930e+00	-4.439213099182531504e-05
3.611285266457679555e+00	-6.013875387786411206e-05
3.561128526645767955e+00	-6.101773283480776592e-05
3.510971786833854580e+00	-5.182258441582076973e-05
3.460815047021943869e+00	-3.280014613598696254e-05
3.410658307210031381e+00	-1.179260125393783039e-05
3.360501567398118006e+00	6.325123031052613470e-06
3.310344827586207295e+00	1.735202742841492589e-05
3.260188087774294807e+00	1.984333387026627547e-05
3.210031347962382320e+00	1.874438659527416363e-05
3.159874608150469832e+00	1.854172677650568079e-05
3.109717868338558233e+00	2.227186926368448155e-05
3.059561128526645746e+00	2.852081021016212903e-05
3.009404388714732814e+00	3.157228980612409431e-05
2.959247648902820327e+00	3.050607805639719413e-05
2.909090909090909172e+00	1.836418796715605687e-05
2.858934169278996684e+00	4.597768599094179227e-07
2.808777429467083753e+00	-2.142923474395945718e-05
2.758620689655172598e+00	-3.553136416113391498e-05
2.708463949843260110e+00	-3.205258808868188223e-05
2.658307210031347623e+00	-1.712941994843366456e-05
2.608150470219434691e+00	1.392219023474570178e-06
2.557993730407523536e+00	1.420189163729146443e-05
2.507836990595611049e+00	1.376869700578028424e-05
2.457680250783698561e+00	6.311887481859208076e-07
2.407523510971786962e+00	-2.363397768089796306e-05
2.357366771159874475e+00	-4.581733698979981965e-05
2.307210031347961987e+00	-5.260770581369769608e-05
2.257053291536049500e+00	-3.499880751821777278e-05
2.206896551724137900e+00	6.342401110250353761e-06
2.156739811912225413e+00	5.621624885767516767e-05
2.106583072100312926e+00	1.003794242434550047e-04
2.056426332288400438e+00	1.164178161610812169e-04
2.006269592476488839e+00	1.080894092098838208e-04
1.956112852664576351e+00	7.458875012337602358e-05
1.905956112852663864e+00	2.124065238972413160e-05
1.855799373040752709e+00	-4.142969431752040134e-05
1.805642633228839777e+00	-9.631737878924817012e-05
1.755485893416927290e+00	-1.273884319767846184e-04
1.705329153605014580e+00	-1.270486236568233623e-04
1.655172413793103647e+00	-9.795927213235461632e-05
1.605015673981190938e+00	-4.419932288373769937e-05
1.554858934169278228e+00	6.770284711911557716e-06
1.504702194357367073e+00	5.161753125751819890e-05
1.454545454545454586e+00	8.112904318805960302e-05
1.404388714733541876e+00	8.899910653998547184e-05
1.354231974921629167e+00	7.686292470004972338e-05
1.304075235109718012e+00	4.650403007937411174e-05
1.253918495297805302e+00	8.810094534736660757e-06
1.203761755485892815e+00	-2.693155855561802435e-05
1.153605015673980105e+00	-4.462866172586500794e-05
1.103448275862068950e+00	-3.889019982781789612e-05
1.053291536050156241e+00	-1.762792438645552286e-05
1.003134796238243753e+00	6.838396506922411535e-06
9.529780564263324871e-01	2.250342675387412565e-05
9.028213166144198887e-01	2.576510894229165510e-05
8.526645768025072902e-01	1.602210134815028027e-05
8.025078369905946918e-01	-3.611945521384342416e-06
7.523510971786835366e-01	-2.364847592726236026e-05
7.021943573667708272e-01	-3.373152095909425613e-05
6.520376175548581177e-01	-3.105196555304186296e-05
6.018808777429470735e-01	-2.083242860144547887e-05
5.517241379310343641e-01	-1.477878300041566619e-05
5.015673981191217656e-01	-2.340963906964690493e-05
4.514106583072091672e-01	-4.828240584695925276e-05
4.012539184952980120e-01	-8.038505097224463766e-05
3.510971786833853026e-01	-1.092478991361416323e-04
3.009404388714727041e-01	-1.200694544387943260e-04
2.507836990595601057e-01	-1.005680359627408047e-04
2.006269592476487285e-01	-4.661953038400517017e-05
1.504702194357361300e-01	3.913965769010155024e-05
1.003134796238236426e-01	1.411095931201763933e-04
5.015673981191248743e-02	2.165583514986875468e-04
0.000000000000000000e+00	2.593466446702915218e-04
-5.015673981191293151e-02	2.487764380226643954e-04
-1.003134796238254189e-01	2.057937654490137297e-04
-1.504702194357365741e-01	1.400263608948383641e-04
-2.006269592476490615e-01	6.783555077152845884e-05
-2.507836990595619930e-01	-2.657440533778127379e-06
-3.009404388714729262e-01	-5.940673803084408700e-05
-3.510971786833858577e-01	-9.418637483501947783e-05
-4.012539184952983451e-01	-1.080744977427490852e-04
-4.514106583072108325e-01	-1.050839284708833033e-04
-5.015673981191219877e-01	-9.078875795944222509e-05
-5.517241379310346971e-01	-7.117442418239372526e-05
-6.018808777429474066e-01	-5.408526653159741930e-05
-6.520376175548601161e-01	-3.940155138750902676e-05
-7.021943573667712712e-01	-2.667325565878551712e-05
-7.523510971786835366e-01	-1.715008854801172705e-05
-8.025078369905962461e-01	-1.017516583279281367e-05
-8.526645768025076233e-01	-5.181340423285138864e-06
-9.028213166144201107e-01	-2.180541915209196202e-06
-9.529780564263330422e-01	-8.787280352248076264e-07
-1.003134796238245530e+00	6.509880015986318362e-08
-1.053291536050156685e+00	3.347301004516756331e-07
-1.103448275862069616e+00	6.915107162406170524e-07
-1.153605015673982104e+00	3.476551186321330154e-07
-1.203761755485893259e+00	-7.245536074235137948e-08
-1.253918495297805746e+00	-3.882924800580601790e-07
-1.304075235109718234e+00	-7.863406629073584269e-07
-1.354231974921631165e+00	-1.329703996080418835e-06
-1.404388714733542320e+00	-1.842732528744648683e-06
-1.454545454545454808e+00	-1.601310315815845897e-06
-1.504702194357367295e+00	-2.012736652983973386e-06
-1.554858934169280227e+00	-1.955220014363343576e-06
-1.605015673981191826e+00	-2.470419626538818763e-06
-1.655172413793103869e+00	-1.856749504790566079e-06
-1.705329153605016801e+00	-1.658919093876331420e-06
-1.755485893416927512e+00	-1.222288048103526890e-06
-1.805642633228840443e+00	-6.960679259023123313e-07
-1.855799373040752931e+00	-1.144660218348233222e-07
-1.905956112852665418e+00	1.700658435969382327e-07
-1.956112852664577018e+00	8.812521986964142491e-08
-2.006269592476488839e+00	6.290971477334816846e-07
-2.056426332288402214e+00	-2.913980120872339813e-08
-2.106583072100314702e+00	1.698376050608082686e-07
-2.156739811912226301e+00	4.206956703207405841e-07
-2.206896551724137012e+00	-5.156319993560171766e-07
-2.257053291536051276e+00	-5.007979012165744069e-07
-2.307210031347961987e+00	-5.455027617316839651e-07
-2.357366771159876251e+00	-3.680531025652774360e-08
-2.407523510971787850e+00	-3.431033599678334813e-08
-2.457680250783698561e+00	2.000236460923153991e-07
-2.507836990595611937e+00	1.541946492432469076e-07
-2.557993730407523536e+00	5.707851910089101150e-07
-2.608150470219435135e+00	7.141158266032709645e-08
-2.658307210031349399e+00	2.463820930433002006e-07
-2.708463949843260110e+00	-1.210415072420500850e-07
-2.758620689655171709e+00	2.428681339477521600e-07
-2.808777429467085973e+00	-1.472272195393839624e-07
