# distance_x[ps] 	  Amplitude [V]
1.118495297805642608e+01	-4.271743143632614963e-05
1.113479623824451359e+01	-4.615123783529280032e-05
1.108463949843260110e+01	-4.303809972188235317e-05
1.103448275862069039e+01	-3.580896851222984051e-05
1.098432601880877613e+01	-2.260948856859467572e-05
1.093416927899686364e+01	-3.907740554145279089e-06
1.088401253918495115e+01	1.696166321766912684e-05
1.083385579937304044e+01	3.488502498112096100e-05
1.078369905956112795e+01	4.345241332928411902e-05
1.073354231974921724e+01	4.024395133850740226e-05
1.068338557993730475e+01	2.965487140367036999e-05
1.063322884012539049e+01	1.870216774124888796e-05
1.058307210031347800e+01	1.227613180211282906e-05
1.053291536050156552e+01	1.259795605079424664e-05
1.048275862068965480e+01	1.552671294641406029e-05
1.043260188087774054e+01	1.453780847262784050e-05
1.038244514106582983e+01	4.367298670804353641e-06
1.033228840125391912e+01	-1.722394200166684676e-05
1.028213166144200486e+01	-4.623083892610545346e-05
1.023197492163009237e+01	-7.087337913578592799e-05
1.018181818181818166e+01	-7.817310586103698943e-05
1.013166144200626917e+01	-6.167710464624009102e-05
1.008150470219435668e+01	-3.251760493963650416e-05
1.003134796238244419e+01	3.347061863985834903e-06
9.981191222570533483e+00	2.926076640200190091e-05
9.931034482758619220e+00	4.175488429333592427e-05
9.880877742946706732e+00	3.880519486436089947e-05
9.830721003134794245e+00	2.736380172432566253e-05
9.780564263322883534e+00	1.693395984219356885e-05
9.730407523510971046e+00	1.925721748532312850e-05
9.680250783699058559e+00	3.667667041059289755e-05
9.630094043887146071e+00	5.788124089016653492e-05
9.579937304075233584e+00	7.055464155833964554e-05
9.529780564263322873e+00	6.538555480136213054e-05
9.479623824451410385e+00	4.503324002775611483e-05
9.429467084639497898e+00	9.903234035761256684e-06
9.379310344827585411e+00	-2.248435635156485407e-05
9.329153605015672923e+00	-4.980491162093677866e-05
9.278996865203760436e+00	-6.280829984598841024e-05
9.228840125391847948e+00	-5.689177285358501112e-05
9.178683385579937237e+00	-4.036448308957361528e-05
9.128526645768022973e+00	-2.502774584266475162e-05
9.078369905956114039e+00	-1.491969866832496705e-05
9.028213166144201551e+00	-1.162017126001865217e-05
8.978056426332289064e+00	-1.338853846886883473e-05
8.927899686520376576e+00	-1.246657241894432389e-05
8.877742946708462313e+00	-8.131057810601638201e-06
8.827586206896551602e+00	2.059465416080636106e-06
8.777429467084637338e+00	1.425981762823267511e-05
8.727272727272726627e+00	2.505338698273836722e-05
8.677115987460815916e+00	2.941565367959169281e-05
8.626959247648901652e+00	2.547801897653353257e-05
8.576802507836989165e+00	1.405940766467974254e-05
8.526645768025078453e+00	-9.900103229031061171e-07
8.476489028213165966e+00	-1.390612667293551816e-05
8.426332288401251702e+00	-2.334756117707618465e-05
8.376175548589342768e+00	-2.646928935902824774e-05
8.326018808777428504e+00	-2.290090135112646193e-05
8.275862068965517793e+00	-1.260285790416227017e-05
8.225705329153603529e+00	7.478719192519174044e-07
8.175548589341692818e+00	1.365877254396947370e-05
8.125391849529780330e+00	2.188466416968762031e-05
8.075235109717867843e+00	1.882422840916536894e-05
8.025078369905953579e+00	7.565461441597858747e-06
7.974921630094043756e+00	-6.878673047488447532e-06
7.924764890282132157e+00	-1.802022862475842434e-05
7.874608150470218781e+00	-2.371725696408254344e-05
7.824451410658307182e+00	-2.034801288162881044e-05
7.774294670846395583e+00	-9.833791318192645610e-06
7.724137931034482207e+00	7.340574213834681535e-06
7.673981191222570608e+00	2.270602414993049131e-05
7.623824451410658121e+00	3.151586512536892488e-05
7.573667711598746521e+00	2.872050732392655761e-05
7.523510971786833146e+00	1.424474298285330229e-05
7.473354231974921547e+00	-4.779495181152950359e-06
7.423197492163009947e+00	-2.020698379780595208e-05
7.373040752351096572e+00	-2.600869801460468952e-05
7.322884012539184972e+00	-2.362250878237674191e-05
7.272727272727272485e+00	-1.513199198203983686e-05
7.222570532915360886e+00	-5.437899880144051979e-06
7.172413793103448398e+00	3.304909125283814768e-06
7.122257053291536799e+00	6.542706801498256599e-06
7.072100313479624312e+00	3.951208565767370357e-06
7.021943573667710936e+00	-1.046758370890897873e-06
6.971786833855799337e+00	-6.197473859934837756e-06
6.921630094043886849e+00	-7.292505032894475788e-06
6.871473354231974362e+00	-6.199713516510096392e-06
6.821316614420062763e+00	-2.774205469805063615e-06
6.771159874608151163e+00	1.282334828709036999e-06
6.721003134796237788e+00	5.654686222422246388e-06
6.670846394984326189e+00	1.094390962107407770e-05
6.620689655172413701e+00	1.612235380635567542e-05
6.570532915360501214e+00	2.048390571919562033e-05
6.520376175548588726e+00	1.990725226573196259e-05
6.470219435736677127e+00	1.105745424851034885e-05
6.420062695924765528e+00	-6.006171809676148179e-06
6.369905956112852152e+00	-2.575905200499154901e-05
6.319749216300940553e+00	-4.131703662011205103e-05
6.269592476489028066e+00	-4.814556295329791764e-05
6.219435736677115578e+00	-3.861371750299242222e-05
6.169278996865203091e+00	-1.877056580154234868e-05
6.119122257053291492e+00	1.027748843913831747e-05
6.068965517241379892e+00	3.646121692509733285e-05
6.018808777429467405e+00	5.148000962676173764e-05
5.968652037617554917e+00	4.860226967080298805e-05
5.918495297805642430e+00	3.303181756960604608e-05
5.868338557993729943e+00	1.319918769983929375e-05
5.818181818181817455e+00	-1.291585874644579422e-06
5.768025078369905856e+00	-9.414046583159572630e-06
5.717868338557993368e+00	-1.330103905866798227e-05
5.667711598746081769e+00	-1.590390508571032100e-05
5.617554858934170170e+00	-1.944999851426239601e-05
5.567398119122256794e+00	-2.282877850122526895e-05
5.517241379310345195e+00	-2.605732284560203642e-05
5.467084639498432708e+00	-2.244325653455339119e-05
5.416927899686520220e+00	-1.025312740425964442e-05
5.366771159874607733e+00	8.502227301129804758e-06
5.316614420062696134e+00	2.294179508526863242e-05
5.266457680250783646e+00	2.803834401318835642e-05
5.216300940438871159e+00	2.264237144662820391e-05
5.166144200626959559e+00	8.378902353494701869e-06
5.115987460815047072e+00	-8.819738580000594828e-06
5.065830721003134585e+00	-2.464204557562644224e-05
5.015673981191222097e+00	-3.062654615388090388e-05
4.965517241379310498e+00	-2.388577120764650332e-05
4.915360501567397122e+00	-1.110755911322002907e-05
4.865203761755485523e+00	1.009224737046812187e-06
4.815047021943573036e+00	6.369296683079549188e-06
4.764890282131660548e+00	4.839337988952674614e-06
4.714733542319748949e+00	2.434573867662615366e-06
4.664576802507836462e+00	3.491642712208765340e-06
