# distance_x[ps] 	  Amplitude [V]
-4.815047021943573924e+00	1.457451636828574322e-06
-4.764890282131661436e+00	1.445200080584462947e-08
-4.714733542319748949e+00	9.727605537240996453e-07
-4.664576802507836462e+00	-1.871939324469754945e-07
-4.614420062695924862e+00	1.341342754714042160e-07
-4.564263322884013263e+00	-6.385351101281196578e-08
-4.514106583072099887e+00	-6.366112597245774423e-07
-4.463949843260188288e+00	1.586243759013257097e-07
-4.413793103448275801e+00	-1.537283252079489969e-07
-4.363636363636363313e+00	1.049434810612341822e-07
-4.313479623824451714e+00	-2.065630845812781949e-07
-4.263322884012539227e+00	1.490260486800693754e-07
-4.213166144200627627e+00	4.077280991928691357e-07
-4.163009404388714252e+00	7.733294838003188495e-08
-4.112852664576802653e+00	-2.896501761479949261e-08
-4.062695924764890165e+00	-5.956769068598800522e-07
-4.012539184952977678e+00	-2.544861436235453514e-07
-3.962382445141066079e+00	-4.205949147882271763e-07
-3.912225705329153591e+00	1.332295857422911684e-07
-3.862068965517241104e+00	1.159690904071182664e-08
-3.811912225705329504e+00	5.867242590721132021e-08
-3.761755485893417905e+00	3.331862373182233326e-07
-3.711598746081505418e+00	3.183765807477497318e-07
-3.661442006269592042e+00	-6.066800088616775707e-07
-3.611285266457679555e+00	-2.665484975064267338e-08
-3.561128526645767955e+00	2.056787921327438121e-07
-3.510971786833855468e+00	-3.784187895489922791e-08
-3.460815047021943869e+00	-5.162789096598863920e-07
-3.410658307210032270e+00	-2.279211474106241528e-07
-3.360501567398118894e+00	-2.955513204257469695e-07
-3.310344827586207295e+00	-5.221359184425931426e-07
-3.260188087774294807e+00	1.212393256959377599e-07
-3.210031347962382320e+00	-1.625148054944502192e-07
-3.159874608150469832e+00	-1.113716137001428216e-07
-3.109717868338558233e+00	3.647473364025318460e-08
-3.059561128526646634e+00	-1.315480409649329660e-07
-3.009404388714733258e+00	-1.586403772162623751e-07
-2.959247648902820771e+00	-1.344673138284382244e-08
-2.909090909090909172e+00	-4.583585455546996945e-07
-2.858934169278996684e+00	3.078090310217566702e-08
-2.808777429467084641e+00	1.934460506215805104e-07
-2.758620689655172153e+00	-2.307284110695725418e-07
-2.708463949843260554e+00	-2.498049677307470682e-07
-2.658307210031348511e+00	4.563416765181736366e-08
-2.608150470219436023e+00	-1.749137145068791487e-07
-2.557993730407523536e+00	4.550339646590067722e-07
-2.507836990595611049e+00	-4.862043503170590465e-07
-2.457680250783699005e+00	5.762724111618161110e-08
-2.407523510971786518e+00	-2.380039100456232155e-07
-2.357366771159874475e+00	3.196157155429021874e-07
-2.307210031347962431e+00	-1.864119780785856934e-07
-2.257053291536049944e+00	-7.548987824112594756e-07
-2.206896551724137900e+00	-1.132699675029619376e-07
-2.156739811912225857e+00	-3.166132710094512809e-07
-2.106583072100313814e+00	-2.051185702713338761e-07
-2.056426332288401326e+00	-1.597142237032775975e-07
-2.006269592476488839e+00	2.014249041003429520e-07
-1.956112852664576796e+00	9.662332481002995736e-10
-1.905956112852664308e+00	-6.045402286258025714e-08
-1.855799373040752265e+00	3.370954816442954390e-07
-1.805642633228840221e+00	-3.673432420334155162e-07
-1.755485893416927734e+00	-2.385352943724219566e-07
-1.705329153605016135e+00	-1.139648817516411888e-07
-1.655172413793103203e+00	-7.973249501762083219e-07
-1.605015673981191160e+00	-1.069122054820496060e-06
-1.554858934169279117e+00	-1.252692129030874797e-06
-1.504702194357366629e+00	-5.640176898224430765e-07
-1.454545454545454586e+00	-9.074873216475640516e-07
-1.404388714733542098e+00	-9.735194732325256771e-07
-1.354231974921630055e+00	-1.647694083528928606e-07
-1.304075235109718012e+00	8.578340105286259173e-08
-1.253918495297805080e+00	-8.254213249801588134e-07
-1.203761755485893481e+00	3.459865859130749843e-07
-1.153605015673980994e+00	6.838997171667728020e-07
-1.103448275862068950e+00	2.554451674879928522e-07
-1.053291536050156907e+00	3.259629624139989332e-07
-1.003134796238244419e+00	-9.769980887643123709e-08
-9.529780564263328202e-01	-4.970659022251856420e-08
-9.028213166144198887e-01	-5.953324389921769934e-07
-8.526645768025078453e-01	-1.804187471125663051e-06
-8.025078369905951359e-01	-3.439524143557822730e-06
-7.523510971786833146e-01	-6.265130057066561153e-06
-7.021943573667708272e-01	-9.351989439546685133e-06
-6.520376175548590059e-01	-1.366064276359218310e-05
-6.018808777429469625e-01	-1.755775738958774109e-05
-5.517241379310344751e-01	-2.494600286155272182e-05
-5.015673981191224318e-01	-3.186111037563614019e-05
-4.514106583072097223e-01	-3.593732437878422115e-05
-4.012539184952979010e-01	-3.715424583203205531e-05
-3.510971786833851915e-01	-3.133336151242328848e-05
-3.009404388714735923e-01	-1.839345173459588491e-05
-2.507836990595608828e-01	1.162442602724418192e-06
-2.006269592476488395e-01	2.736642330239589079e-05
-1.504702194357367961e-01	5.399214608804951546e-05
-1.003134796238243087e-01	7.934610880410374305e-05
-5.015673981191248743e-02	9.330089776166388283e-05
0.000000000000000000e+00	9.386528963608177078e-05
5.015673981191226538e-02	7.764314283784959586e-05
1.003134796238247528e-01	4.774133914207618013e-05
1.504702194357365741e-01	1.076475010711157732e-05
2.006269592476492836e-01	-2.006282003880312663e-05
2.507836990595612159e-01	-4.045413283032787564e-05
3.009404388714730372e-01	-4.686001854215437936e-05
3.510971786833857466e-01	-4.216220075430607631e-05
4.012539184952975679e-01	-3.084946398903649835e-05
4.514106583072102774e-01	-1.145187470467328376e-05
5.015673981191222097e-01	-9.844402124220555318e-06
5.517241379310348082e-01	-6.630509357489779268e-06
6.018808777429466295e-01	-8.888760691576583109e-06
6.520376175548592279e-01	-1.210531073161860597e-05
7.021943573667711602e-01	-1.274099110165884200e-05
7.523510971786830925e-01	-8.583288204212835275e-06
8.025078369905958020e-01	-1.304965259833788819e-06
8.526645768025076233e-01	6.171356021347015349e-06
9.028213166144203328e-01	9.124440190829370337e-06
9.529780564263321541e-01	7.797631729397990185e-06
1.003134796238244864e+00	2.216233815287931495e-06
1.053291536050156685e+00	-6.249874297902741791e-06
1.103448275862069394e+00	-1.364831049741888544e-05
1.153605015673981216e+00	-1.640918950946107001e-05
1.203761755485893037e+00	-9.751207652611245375e-06
1.253918495297805746e+00	3.354357056887961251e-06
1.304075235109717568e+00	1.762525005679758627e-05
1.354231974921630277e+00	2.865411663738384390e-05
1.404388714733542098e+00	3.304566116876705355e-05
1.454545454545454808e+00	2.979871425718132877e-05
1.504702194357366629e+00	1.865953760067815220e-05
1.554858934169279339e+00	2.999541789418221785e-06
1.605015673981191160e+00	-1.649969206754987674e-05
1.655172413793103203e+00	-3.617635237298579156e-05
1.705329153605015691e+00	-4.756314586136178532e-05
1.755485893416927734e+00	-4.542367826656332506e-05
1.805642633228840221e+00	-3.409833826779827109e-05
1.855799373040752265e+00	-1.599586165339485981e-05
1.905956112852664752e+00	7.509868125864893670e-06
1.956112852664577462e+00	2.702941996019145435e-05
2.006269592476488839e+00	4.089893333864968051e-05
2.056426332288401326e+00	4.414418463836799296e-05
2.106583072100313814e+00	3.728876818335033093e-05
2.156739811912224969e+00	2.189361435573462192e-05
2.206896551724137900e+00	2.531277902401832753e-06
2.257053291536050388e+00	-1.241151980698531758e-05
2.307210031347962875e+00	-1.984088672411271867e-05
2.357366771159874030e+00	-1.714531523267907412e-05
2.407523510971786962e+00	-8.718519536869844574e-06
2.457680250783699449e+00	-3.074538369978870886e-07
2.507836990595611937e+00	4.539235085701254123e-06
2.557993730407523536e+00	5.828056777150175089e-06
2.608150470219436023e+00	8.634191727960344161e-07
2.658307210031348511e+00	-5.738902901320317850e-06
2.708463949843259666e+00	-1.173888448801810026e-05
2.758620689655172598e+00	-1.294747769643795130e-05
2.808777429467085085e+00	-8.370912246343895728e-06
2.858934169278997572e+00	-4.969248796473920418e-07
2.909090909090908728e+00	7.426494065661070178e-06
2.959247648902821659e+00	1.167968454623385374e-05
3.009404388714734147e+00	1.253205472314678999e-05
3.059561128526645302e+00	1.084299741634513642e-05
3.109717868338557345e+00	8.496208520811475835e-06
3.159874608150470721e+00	7.534785689993837647e-06
3.210031347962383208e+00	7.394695408593471067e-06
3.260188087774294363e+00	7.412198737070704299e-06
3.310344827586206851e+00	5.688063031155306089e-06
3.360501567398119338e+00	2.377108925597934693e-06
3.410658307210032270e+00	-5.376633658669466279e-06
3.460815047021943425e+00	-1.309139914981459065e-05
3.510971786833855912e+00	-2.028824744282438491e-05
3.561128526645768844e+00	-2.366077583912853453e-05
3.611285266457679555e+00	-2.204098716965607012e-05
3.661442006269592042e+00	-1.717290923652946207e-05
3.711598746081504974e+00	-7.607135195883531025e-06
3.761755485893417905e+00	5.275567595143057322e-06
3.811912225705329060e+00	1.787675415316825856e-05
3.862068965517241104e+00	2.682562791651223080e-05
3.912225705329154035e+00	2.638549785792706337e-05
3.962382445141065190e+00	1.934529540460246737e-05
4.012539184952977678e+00	6.370028523439620497e-06
4.062695924764890165e+00	-7.229403759522313928e-06
4.112852664576802653e+00	-1.950473707843593973e-05
4.163009404388714252e+00	-2.649024510308204181e-05
4.213166144200627627e+00	-2.602106615185762628e-05
4.263322884012540115e+00	-1.913594562948143940e-05
4.313479623824452602e+00	2.598435948707010498e-07
4.363636363636363313e+00	7.313505791636443496e-06
4.413793103448275801e+00	1.653859302254723308e-05
4.463949843260188288e+00	1.886121518488359508e-05
4.514106583072099887e+00	1.505779880815991302e-05
4.564263322884013263e+00	9.276162724834211519e-06
4.614420062695924862e+00	3.881188042474780422e-06
4.664576802507838238e+00	9.258606996446523724e-07
4.714733542319748949e+00	1.291037785648341422e-06
4.764890282131661436e+00	1.767438077552101119e-06
4.815047021943573924e+00	2.759201511553216554e-06
4.865203761755485523e+00	2.008165024554972722e-07
4.915360501567398011e+00	-5.164255766575643269e-06
4.965517241379311386e+00	-1.067018567676961165e-05
5.015673981191223874e+00	-1.326439745417195773e-05
5.065830721003134585e+00	-1.023601953685156082e-05
5.115987460815047072e+00	-2.837991810462866996e-06
