# distance_x[ps] 	  Amplitude [V]
-1.779661016949152463e+00	-1.151220933310903130e-06
-1.728813559322033955e+00	-6.595112514624931638e-07
-1.677966101694915002e+00	-1.313572912237975605e-06
-1.627118644067796494e+00	-7.386087404512031779e-07
-1.576271186440677985e+00	-1.616579438715215840e-06
-1.525423728813559476e+00	-1.013841907679863809e-06
-1.474576271186440524e+00	-4.301069052442755413e-07
-1.423728813559321571e+00	-9.195433453399209373e-07
-1.372881355932203062e+00	-7.409809793502243136e-07
-1.322033898305084554e+00	-3.764119433141298721e-07
-1.271186440677965601e+00	2.571996852950074629e-07
-1.220338983050847093e+00	1.476487047251340659e-07
-1.169491525423728584e+00	-9.293053783216835427e-08
-1.118644067796610075e+00	-3.169420892394690110e-07
-1.067796610169491567e+00	4.294293990195384477e-07
-1.016949152542372614e+00	6.120182936986342561e-07
-9.661016949152541056e-01	-2.711765701342701231e-08
-9.152542372881355970e-01	2.086854567932110232e-07
-8.644067796610166443e-01	-1.382605749970131295e-06
-8.135593220338981357e-01	-3.634502276124935128e-06
-7.627118644067791831e-01	-4.990125061468908169e-06
-7.118644067796606745e-01	-9.482667079314511355e-06
-6.610169491525423879e-01	-1.396134967252280677e-05
-6.101694915254236573e-01	-1.999179881789180712e-05
-5.593220338983051487e-01	-2.742941450078837930e-05
-5.084745762711866401e-01	-3.549284477595427957e-05
-4.576271186440676875e-01	-4.368106895463420229e-05
-4.067796610169491789e-01	-4.785998273797985742e-05
-3.559322033898302262e-01	-4.545318222956582844e-05
-3.050847457627117176e-01	-3.270073699983032037e-05
-2.542372881355932090e-01	-8.958667974794236072e-06
-2.033898305084747005e-01	2.457312158200357615e-05
-1.525423728813559698e-01	5.921866015762582478e-05
-1.016949152542370172e-01	9.135193478895666343e-05
-5.084745762711850858e-02	1.127203314784950753e-04
0.000000000000000000e+00	1.177803907264913505e-04
5.084745762711873063e-02	1.024037221102386855e-04
1.016949152542374613e-01	6.618132903069848868e-05
1.525423728813559698e-01	1.827880037884959576e-05
2.033898305084744784e-01	-2.612134938182251429e-05
2.542372881355934311e-01	-5.233007614183966837e-05
3.050847457627119397e-01	-5.966766584668071257e-05
3.559322033898304483e-01	-5.079730297467018838e-05
4.067796610169489568e-01	-3.441075726006941993e-05
4.576271186440679095e-01	-1.744827481024325958e-05
5.084745762711864181e-01	-5.869913227767928677e-06
5.593220338983050377e-01	-3.298892806706243613e-06
6.101694915254235463e-01	-8.206621646568723627e-06
6.610169491525424990e-01	-1.561559743746937479e-05
7.118644067796610075e-01	-1.730884691294581743e-05
7.627118644067796271e-01	-1.123765578216861366e-05
8.135593220338983578e-01	-3.782369724100412432e-07
8.644067796610169774e-01	1.036154774246640725e-05
9.152542372881355970e-01	1.431908755378993859e-05
9.661016949152541056e-01	1.149560348497725583e-05
1.016949152542373058e+00	2.344649818652288687e-06
1.067796610169491567e+00	-1.061924012759056438e-05
1.118644067796610075e+00	-1.997826012290773533e-05
1.169491525423728584e+00	-2.130910460831430219e-05
1.220338983050847537e+00	-1.178270892453443929e-05
