# distance_x[ps] 	  Amplitude [V]
-1.779661016949152463e+00	-9.040855475951985488e-07
-1.728813559322033955e+00	-5.281506544725328057e-07
-1.677966101694915002e+00	-1.268733886851473856e-06
-1.627118644067796494e+00	-6.946719430530550402e-07
-1.576271186440677985e+00	-9.176476291164870316e-07
-1.525423728813559476e+00	-9.955668234745291158e-07
-1.474576271186440524e+00	-1.065304598257027853e-06
-1.423728813559321571e+00	-9.793390283879629022e-07
-1.372881355932203062e+00	-7.589006936930637702e-07
-1.322033898305084554e+00	-3.767782151714169954e-08
-1.271186440677965601e+00	-3.317308210134869683e-07
-1.220338983050847093e+00	-3.161263738549490899e-07
-1.169491525423728584e+00	2.711194225809249236e-07
-1.118644067796610075e+00	6.990364335810073436e-07
-1.067796610169491567e+00	4.131245866149253218e-07
-1.016949152542372614e+00	5.408511267279995501e-07
-9.661016949152541056e-01	-2.347470270208162810e-07
-9.152542372881355970e-01	-3.994332637037634670e-08
-8.644067796610166443e-01	-1.308472537061561145e-06
-8.135593220338981357e-01	-2.857787547103063810e-06
-7.627118644067791831e-01	-5.237165494326746345e-06
-7.118644067796606745e-01	-8.806153463619341941e-06
-6.610169491525423879e-01	-1.321678105769287594e-05
-6.101694915254236573e-01	-1.961151121542910509e-05
-5.593220338983051487e-01	-2.667397044279889442e-05
-5.084745762711866401e-01	-3.453693712363103079e-05
-4.576271186440676875e-01	-4.217379713583091944e-05
-4.067796610169491789e-01	-4.597800267630664461e-05
-3.559322033898302262e-01	-4.338064795930893089e-05
-3.050847457627117176e-01	-3.137523660193535392e-05
-2.542372881355932090e-01	-7.814304396207521529e-06
-2.033898305084747005e-01	2.199791883923014494e-05
-1.525423728813559698e-01	5.670960843334830201e-05
-1.016949152542370172e-01	8.709522700835444831e-05
-5.084745762711850858e-02	1.101614797936848215e-04
0.000000000000000000e+00	1.149860775823241505e-04
5.084745762711873063e-02	9.952764242258356562e-05
1.016949152542374613e-01	6.485364805800649323e-05
1.525423728813559698e-01	1.833367803137605207e-05
2.033898305084744784e-01	-2.372332955102033608e-05
2.542372881355934311e-01	-5.061911074898754726e-05
3.050847457627119397e-01	-5.783550280188693576e-05
3.559322033898304483e-01	-4.971649767404377019e-05
4.067796610169489568e-01	-3.531593335882107499e-05
4.576271186440679095e-01	-1.794418545269774024e-05
5.084745762711864181e-01	-6.416078197763915161e-06
5.593220338983050377e-01	-3.454308303527573046e-06
6.101694915254235463e-01	-7.670320168441515458e-06
6.610169491525424990e-01	-1.477692157272424095e-05
7.118644067796610075e-01	-1.726043994600568932e-05
7.627118644067796271e-01	-1.063568561089572271e-05
8.135593220338983578e-01	-8.977639731634505443e-07
8.644067796610169774e-01	9.185989336652672002e-06
9.152542372881355970e-01	1.362593186720610676e-05
9.661016949152541056e-01	1.135133861876466764e-05
1.016949152542373058e+00	2.616156437886956457e-06
1.067796610169491567e+00	-9.340143191334761210e-06
1.118644067796610075e+00	-1.916171759349255690e-05
1.169491525423728584e+00	-2.111636929741770823e-05
1.220338983050847537e+00	-1.241815542920252723e-05
