# distance_x[ps] 	  Amplitude [V]
1.123510971786834034e+01	-1.419642288019425528e-05
1.118495297805642785e+01	-1.630919236894015650e-05
1.113479623824451537e+01	-1.694660404608882003e-05
1.108463949843260465e+01	-1.647700220296964362e-05
1.103448275862069039e+01	-1.389164583459506536e-05
1.098432601880877790e+01	-8.746230473406309115e-06
1.093416927899686542e+01	-1.821440053722680428e-06
1.088401253918495470e+01	7.247403128762586063e-06
1.083385579937304222e+01	1.456569507195135750e-05
1.078369905956113151e+01	1.618268773143691881e-05
1.073354231974921902e+01	1.447654647128027042e-05
1.068338557993730475e+01	1.015210160777851494e-05
1.063322884012539227e+01	6.140954226321801288e-06
1.058307210031347978e+01	4.190046830091834840e-06
1.053291536050156907e+01	5.422714808107756263e-06
1.048275862068965480e+01	6.855257848577295959e-06
1.043260188087774409e+01	6.995094746518061817e-06
1.038244514106583338e+01	1.303843936917840499e-06
1.033228840125391912e+01	-9.368835483241134241e-06
1.028213166144200663e+01	-2.275648385698678875e-05
1.023197492163009592e+01	-3.213747946038668390e-05
1.018181818181818343e+01	-3.252720291518051006e-05
1.013166144200627095e+01	-2.376859181997884380e-05
1.008150470219435846e+01	-9.546272130349240043e-06
1.003134796238244775e+01	5.863288859222763496e-06
9.981191222570533483e+00	1.716986810749836302e-05
9.931034482758620996e+00	2.203719011037317944e-05
9.880877742946708508e+00	1.824596497724500067e-05
9.830721003134797797e+00	1.101033459614880504e-05
9.780564263322885310e+00	5.543870258779245622e-06
9.730407523510972823e+00	7.445314249606006351e-06
9.680250783699060335e+00	1.537981911690896122e-05
9.630094043887147848e+00	2.426602575244757271e-05
9.579937304075237137e+00	2.861491798759320889e-05
9.529780564263324649e+00	2.555262519534517605e-05
9.479623824451412162e+00	1.513952807385914312e-05
9.429467084639499674e+00	9.252865865318138705e-07
9.379310344827587187e+00	-1.256905890688896053e-05
9.329153605015674700e+00	-2.257294666459941238e-05
9.278996865203762212e+00	-2.542027638527890481e-05
9.228840125391849725e+00	-2.033010389344213850e-05
9.178683385579937237e+00	-1.134455353371563408e-05
9.128526645768026526e+00	-6.481805972687829284e-06
9.078369905956114039e+00	-4.113322107518023231e-06
9.028213166144203328e+00	-4.566327070275331401e-06
8.978056426332289064e+00	-5.278250716732276376e-06
8.927899686520376576e+00	-5.412885604770984808e-06
8.877742946708464089e+00	-3.223114799293081981e-06
8.827586206896551602e+00	1.786866838980508376e-06
8.777429467084639114e+00	6.942167320189000405e-06
8.727272727272728403e+00	1.161482347989590875e-05
8.677115987460815916e+00	1.220783098057937093e-05
8.626959247648901652e+00	8.882768287052104965e-06
8.576802507836992717e+00	3.760557118423688977e-06
8.526645768025078453e+00	-1.843799165848010921e-06
8.476489028213165966e+00	-6.625535410285226322e-06
8.426332288401255255e+00	-9.976654574719953745e-06
8.376175548589342768e+00	-1.088626919206096976e-05
8.326018808777430280e+00	-8.562694511889310352e-06
8.275862068965517793e+00	-3.749075735360047440e-06
8.225705329153605305e+00	2.083269745870413883e-06
8.175548589341692818e+00	7.356851067897811172e-06
8.125391849529780330e+00	9.572372912590373521e-06
8.075235109717867843e+00	6.946971407281147047e-06
8.025078369905957132e+00	2.337379594835008619e-06
7.974921630094044644e+00	-3.516522119355938070e-06
7.924764890282131269e+00	-8.459143321066194731e-06
7.874608150470219670e+00	-1.048057818334657902e-05
7.824451410658308070e+00	-8.317980424049192236e-06
7.774294670846394695e+00	-2.926634523407878596e-06
7.724137931034483096e+00	4.051565296277795246e-06
7.673981191222570608e+00	1.116054034616854743e-05
7.623824451410659009e+00	1.345167526164338361e-05
7.573667711598745633e+00	1.083345570916134778e-05
7.523510971786834034e+00	3.657428643656702687e-06
7.473354231974922435e+00	-3.041265130196336663e-06
7.423197492163009059e+00	-8.652634562214575232e-06
7.373040752351097460e+00	-1.067961220965357986e-05
7.322884012539184972e+00	-9.377118889219571892e-06
7.272727272727273373e+00	-5.150919461849725949e-06
7.222570532915360886e+00	-4.835119092806783526e-07
7.172413793103449287e+00	2.898008698502011476e-06
7.122257053291536799e+00	3.519997569792462152e-06
7.072100313479623424e+00	1.814424620074007275e-06
7.021943573667711824e+00	-1.694847848583854293e-06
6.971786833855799337e+00	-2.967866746904473919e-06
6.921630094043886849e+00	-3.399076863686253200e-06
6.871473354231975250e+00	-2.403335256617799914e-06
6.821316614420063651e+00	-5.069267565145791183e-07
6.771159874608150275e+00	1.221204178814848202e-06
6.721003134796238676e+00	2.715973167977924618e-06
6.670846394984326189e+00	4.778312842233892322e-06
6.620689655172413701e+00	6.372519980926851009e-06
6.570532915360501214e+00	7.523825140939454406e-06
6.520376175548589615e+00	7.552078715474762022e-06
6.470219435736678015e+00	3.535803879693278977e-06
6.420062695924764640e+00	-3.517641859724255004e-06
6.369905956112853040e+00	-1.155580377270298408e-05
6.319749216300940553e+00	-1.692108282795792157e-05
6.269592476489028066e+00	-1.856082337877018262e-05
6.219435736677115578e+00	-1.450876591017911624e-05
6.169278996865203979e+00	-4.570632127347804525e-06
6.119122257053292380e+00	7.547444488495019143e-06
6.068965517241379892e+00	1.712289686293689281e-05
6.018808777429467405e+00	2.126040662844866879e-05
5.968652037617554917e+00	1.708875673872976394e-05
5.918495297805642430e+00	8.885110985062012338e-06
5.868338557993729943e+00	1.965327394405937264e-06
5.818181818181818343e+00	-2.731558976242140965e-06
5.768025078369905856e+00	-4.609411577854819122e-06
5.717868338557994257e+00	-4.790015078611385569e-06
5.667711598746082657e+00	-4.379528774736131494e-06
5.617554858934169282e+00	-5.586458901434321750e-06
5.567398119122257683e+00	-7.771330842800836932e-06
5.517241379310345195e+00	-9.884980228029629289e-06
5.467084639498432708e+00	-8.198688686971262817e-06
5.416927899686520220e+00	-3.393467963204378179e-06
5.366771159874608621e+00	4.531231263137645745e-06
5.316614420062696134e+00	9.355174580412217402e-06
5.266457680250783646e+00	1.121084267765486150e-05
5.216300940438872047e+00	8.618409332112619711e-06
5.166144200626959559e+00	1.863001798803796525e-06
5.115987460815047960e+00	-5.788075469636653217e-06
5.065830721003135473e+00	-1.099397351538397260e-05
5.015673981191223874e+00	-1.175999215664448025e-05
4.965517241379309610e+00	-7.907696686270719941e-06
4.915360501567398011e+00	-1.810530849546994882e-06
4.865203761755485523e+00	2.672238760837931162e-06
4.815047021943573924e+00	3.089142998711804252e-06
4.764890282131662325e+00	1.337947662529452160e-06
4.714733542319749837e+00	-6.962187954431439141e-07
4.664576802507837350e+00	-2.748153746540496420e-07
4.614420062695924862e+00	2.563269278603174945e-06
4.564263322884013263e+00	8.845255578004475135e-06
4.514106583072100776e+00	1.516787290864117647e-05
4.463949843260187400e+00	1.769252609082059196e-05
4.413793103448276689e+00	1.401733686677729094e-05
4.363636363636364202e+00	2.899140220058249300e-06
4.313479623824451714e+00	-1.074372895108903230e-05
4.263322884012540115e+00	-2.159017807965622711e-05
4.213166144200627627e+00	-2.658493367549373939e-05
4.163009404388715140e+00	-2.460629670383298554e-05
4.112852664576802653e+00	-1.670363040896565972e-05
4.062695924764891053e+00	-4.234808486483038499e-06
4.012539184952978566e+00	9.873726380147615386e-06
3.962382445141066079e+00	2.113056738724807492e-05
3.912225705329152703e+00	2.552873470462881751e-05
3.862068965517241992e+00	2.256705026796455073e-05
3.811912225705329504e+00	1.443954316673122965e-05
3.761755485893417017e+00	2.396182668841098473e-06
3.711598746081505418e+00	-8.294256804188600301e-06
3.661442006269592930e+00	-1.731689821193836145e-05
3.611285266457680443e+00	-2.213958023875094665e-05
3.561128526645767955e+00	-2.180916978997767160e-05
3.510971786833856356e+00	-1.740657292177747614e-05
3.460815047021943869e+00	-9.838438733069313879e-06
3.410658307210031381e+00	-2.318159378016655123e-06
3.360501567398120670e+00	4.194554453261089743e-06
3.310344827586207295e+00	7.217569292498310471e-06
3.260188087774294807e+00	6.904387336430340308e-06
3.210031347962382320e+00	6.451339644886991504e-06
3.159874608150470721e+00	6.444918897470360948e-06
3.109717868338558677e+00	7.931260644659195500e-06
3.059561128526645746e+00	1.024332492839397667e-05
3.009404388714733258e+00	1.172882634279069456e-05
2.959247648902822103e+00	1.065222393699523646e-05
2.909090909090909172e+00	5.685137955617153008e-06
2.858934169278996684e+00	-3.117775153808194796e-06
2.808777429467085529e+00	-1.059170309545489784e-05
2.758620689655173042e+00	-1.352548616235108745e-05
2.708463949843260110e+00	-1.067732736255151859e-05
2.658307210031347623e+00	-3.897598533893426040e-06
2.608150470219436468e+00	4.146825344222944446e-06
2.557993730407523980e+00	8.306547748284864798e-06
2.507836990595611049e+00	6.303306732764751033e-06
2.457680250783700338e+00	-5.384375657519439738e-07
2.407523510971787406e+00	-1.070421889109232570e-05
2.357366771159874475e+00	-1.939482527700617519e-05
2.307210031347961987e+00	-1.996353996819772681e-05
2.257053291536051276e+00	-1.140933635186515481e-05
2.206896551724138344e+00	6.630695570594372039e-06
2.156739811912225857e+00	2.573843510196944116e-05
2.106583072100312926e+00	3.887873954538934029e-05
