# distance_x[ps] 	  Amplitude [V]
1.123510971786834034e+01	-8.656267915736958688e-06
1.118495297805642785e+01	-1.043933540953244338e-05
1.113479623824451537e+01	-1.061292769676735272e-05
1.108463949843260465e+01	-1.063370074448906802e-05
1.103448275862069039e+01	-9.131784970223937590e-06
1.098432601880877790e+01	-6.334268573812749176e-06
1.093416927899686542e+01	-1.879113892074666728e-06
1.088401253918495470e+01	3.347739194371945958e-06
1.083385579937304222e+01	8.093145772035093509e-06
1.078369905956113151e+01	9.911823752625624771e-06
1.073354231974921902e+01	9.255555844613760360e-06
1.068338557993730475e+01	6.755951753855296590e-06
1.063322884012539227e+01	3.822218273451548306e-06
1.058307210031347978e+01	3.224459085586389817e-06
1.053291536050156907e+01	3.430946032042749495e-06
1.048275862068965480e+01	3.948704975414967300e-06
1.043260188087774409e+01	4.581904789962766899e-06
1.038244514106583338e+01	1.175170681644116083e-06
1.033228840125391912e+01	-4.779416405448646711e-06
1.028213166144200663e+01	-1.388280642688223363e-05
1.023197492163009592e+01	-1.981071545352576093e-05
1.018181818181818343e+01	-2.081618040907833047e-05
1.013166144200627095e+01	-1.635911822992889588e-05
1.008150470219435846e+01	-5.937683895844968353e-06
1.003134796238244775e+01	2.725643940712960276e-06
9.981191222570533483e+00	1.029686814159016172e-05
9.931034482758620996e+00	1.333232250856234363e-05
9.880877742946708508e+00	1.256291141269663370e-05
9.830721003134797797e+00	8.325815089854900160e-06
9.780564263322885310e+00	5.092583239394809714e-06
9.730407523510972823e+00	5.326385485479858688e-06
9.680250783699060335e+00	9.079417765756286722e-06
9.630094043887147848e+00	1.423572720899891902e-05
9.579937304075237137e+00	1.728517727554331314e-05
9.529780564263324649e+00	1.618807226183242769e-05
9.479623824451412162e+00	1.011631704074404645e-05
9.429467084639499674e+00	2.160868562252470899e-06
9.379310344827587187e+00	-7.626060883003873704e-06
9.329153605015674700e+00	-1.414790742082208012e-05
9.278996865203762212e+00	-1.610499378635836786e-05
9.228840125391849725e+00	-1.340375062005348454e-05
9.178683385579937237e+00	-8.901303612423442556e-06
9.128526645768026526e+00	-4.308146557126293140e-06
9.078369905956114039e+00	-2.418528768908128556e-06
9.028213166144203328e+00	-2.249126012768621952e-06
8.978056426332289064e+00	-3.319807052844378478e-06
8.927899686520376576e+00	-3.340719716434881957e-06
8.877742946708464089e+00	-2.573760162688372603e-06
8.827586206896551602e+00	1.342640443771545400e-07
8.777429467084639114e+00	3.455085686091695259e-06
8.727272727272728403e+00	6.886928143448151787e-06
8.677115987460815916e+00	7.501237086923490719e-06
8.626959247648901652e+00	6.290675189250549240e-06
8.576802507836992717e+00	3.003684019923317880e-06
8.526645768025078453e+00	-5.273839980645770496e-07
8.476489028213165966e+00	-4.052161037541591959e-06
8.426332288401255255e+00	-5.876971038525389963e-06
8.376175548589342768e+00	-6.541268617378836685e-06
8.326018808777430280e+00	-5.270111498426895865e-06
8.275862068965517793e+00	-2.887064326601190781e-06
8.225705329153605305e+00	4.957557286252592887e-07
8.175548589341692818e+00	4.506105681914524219e-06
8.125391849529780330e+00	5.486952526517675296e-06
8.075235109717867843e+00	4.698915372549775508e-06
8.025078369905957132e+00	1.848721064819362017e-06
7.974921630094044644e+00	-1.314236878888535231e-06
7.924764890282131269e+00	-4.708973693615805137e-06
7.874608150470219670e+00	-6.439922442921721608e-06
7.824451410658308070e+00	-5.765615953656060123e-06
7.774294670846394695e+00	-2.333248442163330953e-06
7.724137931034483096e+00	2.138068622692565277e-06
7.673981191222570608e+00	6.311302466751578561e-06
7.623824451410659009e+00	8.239481138065038186e-06
7.573667711598745633e+00	7.341814755338839443e-06
7.523510971786834034e+00	3.245946213966983770e-06
7.473354231974922435e+00	-1.671591256113063498e-06
7.423197492163009059e+00	-4.702616423943045455e-06
7.373040752351097460e+00	-6.487357198100481703e-06
7.322884012539184972e+00	-5.702654647829938939e-06
7.272727272727273373e+00	-3.516639755396516697e-06
7.222570532915360886e+00	-6.103546844610951501e-07
7.172413793103449287e+00	1.496938661965316197e-06
7.122257053291536799e+00	1.992095308392891022e-06
7.072100313479623424e+00	1.176438829812505349e-06
7.021943573667711824e+00	-6.733988102799115725e-07
6.971786833855799337e+00	-1.639320296496893091e-06
6.921630094043886849e+00	-2.370625755469188649e-06
6.871473354231975250e+00	-1.521472897890283090e-06
6.821316614420063651e+00	-4.092037369395584700e-07
6.771159874608150275e+00	3.772190426059916743e-07
6.721003134796238676e+00	1.858603898936965438e-06
6.670846394984326189e+00	2.761307882450212558e-06
6.620689655172413701e+00	3.819793634642075360e-06
6.570532915360501214e+00	5.015006051163712285e-06
6.520376175548589615e+00	4.814909959557617536e-06
6.470219435736678015e+00	2.285330834118459461e-06
6.420062695924764640e+00	-1.600758006692591433e-06
6.369905956112853040e+00	-6.944662821964621766e-06
6.319749216300940553e+00	-1.099631656507113459e-05
6.269592476489028066e+00	-1.186099702832915472e-05
6.219435736677115578e+00	-9.777815025932954680e-06
6.169278996865203979e+00	-4.322003695861468757e-06
6.119122257053292380e+00	3.548332030095580802e-06
6.068965517241379892e+00	1.036622803916607915e-05
6.018808777429467405e+00	1.278346474585272585e-05
5.968652037617554917e+00	1.134074838585596340e-05
5.918495297805642430e+00	7.177991007114843078e-06
5.868338557993729943e+00	1.342674204787675309e-06
5.818181818181818343e+00	-1.715729212898987432e-06
5.768025078369905856e+00	-2.772308346872624469e-06
5.717868338557994257e+00	-2.698291011618376156e-06
5.667711598746082657e+00	-2.576404599779943142e-06
5.617554858934169282e+00	-3.116060023853332803e-06
5.567398119122257683e+00	-4.768771662565981373e-06
5.517241379310345195e+00	-5.626745288963394750e-06
5.467084639498432708e+00	-4.865562561586282834e-06
5.416927899686520220e+00	-2.331946181301559595e-06
5.366771159874608621e+00	1.525425398518271989e-06
5.316614420062696134e+00	5.608931781150465849e-06
5.266457680250783646e+00	7.395381530910866280e-06
5.216300940438872047e+00	5.589715608620503201e-06
5.166144200626959559e+00	1.843035498696691580e-06
5.115987460815047960e+00	-2.769616785029372064e-06
5.065830721003135473e+00	-6.834710753489576904e-06
5.015673981191223874e+00	-7.576751688075386894e-06
4.965517241379309610e+00	-5.115049437243178735e-06
4.915360501567398011e+00	-1.471659397783352395e-06
4.865203761755485523e+00	1.857146020891469611e-06
4.815047021943573924e+00	1.803288584071197402e-06
4.764890282131662325e+00	1.086038258126591334e-06
4.714733542319749837e+00	-3.045226071078357880e-08
4.664576802507837350e+00	-1.464886973115366220e-07
4.614420062695924862e+00	1.929903824069987200e-06
4.564263322884013263e+00	5.266893299899736043e-06
4.514106583072100776e+00	8.861078416736104042e-06
4.463949843260187400e+00	1.143592930641955857e-05
4.413793103448276689e+00	9.258430102789092804e-06
4.363636363636364202e+00	2.652073235567933036e-06
4.313479623824451714e+00	-5.418230043959840679e-06
4.263322884012540115e+00	-1.259616777197110112e-05
4.213166144200627627e+00	-1.583402470580239736e-05
4.163009404388715140e+00	-1.560431211447336727e-05
4.112852664576802653e+00	-1.111259741736157758e-05
4.062695924764891053e+00	-3.716948435901055843e-06
4.012539184952978566e+00	5.552386299259454601e-06
3.962382445141066079e+00	1.226733230976802896e-05
3.912225705329152703e+00	1.630546511759165885e-05
3.862068965517241992e+00	1.516629739455510350e-05
3.811912225705329504e+00	9.908579178304614170e-06
3.761755485893417017e+00	3.000402343652289726e-06
3.711598746081505418e+00	-4.274934685024119971e-06
3.661442006269592930e+00	-9.925847586377943921e-06
3.611285266457680443e+00	-1.331189885218985147e-05
3.561128526645767955e+00	-1.379062689582033488e-05
3.510971786833856356e+00	-1.146856917547239988e-05
3.460815047021943869e+00	-6.676310571835991289e-06
3.410658307210031381e+00	-1.996889021006123391e-06
3.360501567398120670e+00	2.263866916436455211e-06
3.310344827586207295e+00	3.892070167502112092e-06
3.260188087774294807e+00	4.547144834600124383e-06
3.210031347962382320e+00	3.484504543199369020e-06
3.159874608150470721e+00	3.807949320655034054e-06
3.109717868338558677e+00	4.421096322491895652e-06
3.059561128526645746e+00	5.738518869761838304e-06
3.009404388714733258e+00	7.501295465347216206e-06
2.959247648902822103e+00	6.928343063276825879e-06
2.909090909090909172e+00	4.490542029317142188e-06
2.858934169278996684e+00	-6.867933175909289750e-07
2.808777429467085529e+00	-6.304704825677515391e-06
2.758620689655173042e+00	-8.177523519114286271e-06
2.708463949843260110e+00	-6.977550095963793721e-06
2.658307210031347623e+00	-2.662103422453854461e-06
2.608150470219436468e+00	1.430126138559595945e-06
2.557993730407523980e+00	4.494505783617175554e-06
2.507836990595611049e+00	3.993821649991414647e-06
2.457680250783700338e+00	5.590729318297536148e-07
2.407523510971787406e+00	-6.351500055774684447e-06
2.357366771159874475e+00	-1.150220095021269338e-05
2.307210031347961987e+00	-1.286092130878660792e-05
2.257053291536051276e+00	-7.484954606024339695e-06
2.206896551724138344e+00	2.938948150686853831e-06
2.156739811912225857e+00	1.451211387761202766e-05
2.106583072100312926e+00	2.380628529113366893e-05
2.056426332288402214e+00	2.740241799658804591e-05
2.006269592476489283e+00	2.495446333702721177e-05
1.956112852664576796e+00	1.574708921007409506e-05
1.905956112852665640e+00	2.918974817034721517e-06
