# distance_x[ps] 	  Amplitude [V]
1.118495297805642608e+01	-8.800147343682059020e-06
1.113479623824451359e+01	-9.178326465184254694e-06
1.108463949843260110e+01	-9.531994385621444174e-06
1.103448275862069039e+01	-7.801047570540409472e-06
1.098432601880877613e+01	-5.009217443606394381e-06
1.093416927899686364e+01	-1.623508359760055515e-06
1.088401253918495115e+01	2.536619528172677084e-06
1.083385579937304044e+01	6.558137344255997802e-06
1.078369905956112795e+01	7.444568693833132807e-06
1.073354231974921724e+01	6.588291734334884606e-06
1.068338557993730475e+01	5.464087350827643493e-06
1.063322884012539049e+01	3.487971025865984175e-06
1.058307210031347800e+01	2.532101882201759139e-06
1.053291536050156552e+01	3.688047951061880070e-06
1.048275862068965480e+01	4.578545041341938404e-06
1.043260188087774054e+01	4.399169421708481322e-06
1.038244514106582983e+01	9.551661408387643933e-07
1.033228840125391912e+01	-5.343079604601722733e-06
1.028213166144200486e+01	-1.298060921028819113e-05
1.023197492163009237e+01	-1.841319964312989655e-05
1.018181818181818166e+01	-1.802817617896181800e-05
1.013166144200626917e+01	-1.254136678508544191e-05
1.008150470219435668e+01	-3.451491017066960742e-06
1.003134796238244419e+01	4.979389058339515408e-06
9.981191222570533483e+00	1.087193201387769387e-05
9.931034482758619220e+00	1.235257061108129009e-05
9.880877742946706732e+00	9.767294952635894703e-06
9.830721003134794245e+00	5.708570210874996050e-06
9.780564263322883534e+00	2.228791858256598525e-06
9.730407523510971046e+00	3.343766296463378897e-06
9.680250783699058559e+00	7.049411297989979509e-06
9.630094043887146071e+00	1.192670809858362776e-05
9.579937304075233584e+00	1.446380379775464073e-05
9.529780564263322873e+00	1.364815945203942760e-05
9.479623824451410385e+00	8.205351212498201784e-06
9.429467084639497898e+00	7.483259345834179230e-07
9.379310344827585411e+00	-6.178647345799376887e-06
9.329153605015672923e+00	-1.169321638351152653e-05
9.278996865203760436e+00	-1.261966543919769934e-05
9.228840125391847948e+00	-1.007253164040260759e-05
9.178683385579937237e+00	-6.627668332814699991e-06
9.128526645768022973e+00	-3.625708234777529532e-06
9.078369905956114039e+00	-1.896658894306186478e-06
9.028213166144201551e+00	-2.649274412163017548e-06
8.978056426332289064e+00	-3.347869666632199167e-06
8.927899686520376576e+00	-2.945040783227968748e-06
8.877742946708462313e+00	-1.876425847003927901e-06
8.827586206896551602e+00	9.231772263781812400e-07
8.777429467084637338e+00	3.041104941208343441e-06
8.727272727272726627e+00	5.772960381373377839e-06
8.677115987460815916e+00	6.719927518774031311e-06
8.626959247648901652e+00	5.730139631732407230e-06
8.576802507836989165e+00	2.680800167683565006e-06
8.526645768025078453e+00	-5.495161025241572836e-07
8.476489028213165966e+00	-3.112561714395470250e-06
8.426332288401251702e+00	-5.282242429373791061e-06
8.376175548589342768e+00	-5.328439808143654325e-06
8.326018808777428504e+00	-4.473520850351517467e-06
8.275862068965517793e+00	-1.865130677044879346e-06
8.225705329153603529e+00	7.231790768865892050e-07
8.175548589341692818e+00	3.497593091301706581e-06
8.125391849529780330e+00	4.737981088339393610e-06
8.075235109717867843e+00	4.072994046234663289e-06
8.025078369905953579e+00	1.456252065724199412e-06
7.974921630094043756e+00	-2.431407189852781607e-06
7.924764890282132157e+00	-4.496424358861946979e-06
7.874608150470218781e+00	-4.952175393436468231e-06
7.824451410658307182e+00	-4.258003359596216056e-06
7.774294670846395583e+00	-1.883691674855566102e-06
7.724137931034482207e+00	1.730839377680744732e-06
7.673981191222570608e+00	5.322422786211580709e-06
7.623824451410658121e+00	6.949990556484038245e-06
7.573667711598746521e+00	5.633151090096842915e-06
7.523510971786833146e+00	2.786418869067402077e-06
7.473354231974921547e+00	-1.560808701808942151e-06
7.423197492163009947e+00	-4.196902426429766425e-06
7.373040752351096572e+00	-5.504700622361853247e-06
7.322884012539184972e+00	-4.870817147237417052e-06
7.272727272727272485e+00	-2.624549391329190190e-06
7.222570532915360886e+00	-4.103644477076585608e-07
7.172413793103448398e+00	1.600176508357474438e-06
7.122257053291536799e+00	1.561656947339212567e-06
7.072100313479624312e+00	7.013858134586904313e-07
7.021943573667710936e+00	-4.893683905475080452e-07
6.971786833855799337e+00	-2.192324861515875289e-06
6.921630094043886849e+00	-2.148047816377040027e-06
6.871473354231974362e+00	-5.636688259890980446e-07
6.821316614420062763e+00	-3.358644354259240444e-07
6.771159874608151163e+00	8.481291251002086173e-07
6.721003134796237788e+00	1.116021029706815045e-06
6.670846394984326189e+00	2.455694020831419549e-06
6.620689655172413701e+00	3.762309702005820601e-06
6.570532915360501214e+00	5.028363984040588769e-06
6.520376175548588726e+00	4.558532143999028650e-06
6.470219435736677127e+00	2.699577095326584122e-06
6.420062695924765528e+00	-1.397291791986753492e-06
6.369905956112852152e+00	-6.167371518089152590e-06
6.319749216300940553e+00	-9.359163479635720546e-06
6.269592476489028066e+00	-1.085399911163792807e-05
6.219435736677115578e+00	-7.861358812438940002e-06
6.169278996865203091e+00	-2.729283624425868005e-06
6.119122257053291492e+00	3.610179398228032901e-06
6.068965517241379892e+00	8.823690728951330802e-06
