# distance_x[ps] 	  Amplitude [V]
1.123510971786834034e+01	-2.008814396599601347e-06
1.118495297805642785e+01	-2.454680486993011582e-06
1.113479623824451537e+01	-2.248957207687971035e-06
1.108463949843260465e+01	-2.277887936770763243e-06
1.103448275862069039e+01	-1.381941783319571457e-06
1.098432601880877790e+01	-8.322287415346547342e-07
1.093416927899686542e+01	-1.114289370921138614e-07
1.088401253918495470e+01	6.481163810026853167e-07
1.083385579937304222e+01	1.492217043188612186e-06
1.078369905956113151e+01	1.613214063258365747e-06
1.073354231974921902e+01	1.897196081307632513e-06
1.068338557993730475e+01	1.364299894005303108e-06
1.063322884012539227e+01	1.309786403272626507e-06
1.058307210031347978e+01	8.521486202445806981e-07
1.053291536050156907e+01	1.007585393539616688e-06
1.048275862068965480e+01	9.344004783393275821e-07
1.043260188087774409e+01	7.748121550920353406e-07
1.038244514106583338e+01	-2.977798991675893476e-07
1.033228840125391912e+01	-2.153781913960398101e-06
1.028213166144200663e+01	-3.325634696576596976e-06
1.023197492163009592e+01	-4.015840690214683631e-06
1.018181818181818343e+01	-3.962942804774736616e-06
1.013166144200627095e+01	-2.065810025372348092e-06
1.008150470219435846e+01	-4.097101521815109578e-07
1.003134796238244775e+01	1.372115745078062137e-06
9.981191222570533483e+00	2.309744444746210995e-06
9.931034482758620996e+00	2.293457567881417045e-06
9.880877742946708508e+00	1.842529786809241712e-06
9.830721003134797797e+00	1.437135593694996057e-06
9.780564263322885310e+00	1.428665447096089425e-06
9.730407523510972823e+00	1.062023273663251776e-06
9.680250783699060335e+00	2.333522926258013991e-06
9.630094043887147848e+00	2.262700754670959296e-06
9.579937304075237137e+00	2.967942885029392489e-06
9.529780564263324649e+00	2.656341718206265453e-06
9.479623824451412162e+00	1.920771996722654154e-06
9.429467084639499674e+00	6.549109613375076873e-09
9.379310344827587187e+00	-1.977851676358474703e-06
9.329153605015674700e+00	-2.458398243055720074e-06
9.278996865203762212e+00	-3.060440859842393370e-06
9.228840125391849725e+00	-2.259793790511251800e-06
9.178683385579937237e+00	-1.278349094580795144e-06
9.128526645768026526e+00	-1.337909153870428625e-06
9.078369905956114039e+00	-1.123835122393317073e-06
9.028213166144203328e+00	-7.073418193876536947e-07
8.978056426332289064e+00	-5.869982156509194475e-07
8.927899686520376576e+00	-4.739591242634726578e-07
8.877742946708464089e+00	-3.228715435359550325e-07
8.827586206896551602e+00	3.255500933209071870e-07
8.777429467084639114e+00	1.045872144217481191e-06
8.727272727272728403e+00	1.228324939800302245e-06
8.677115987460815916e+00	1.414984146986591247e-06
8.626959247648901652e+00	1.475868974482082479e-06
8.576802507836992717e+00	3.457317957444676460e-07
8.526645768025078453e+00	-2.189211990325498476e-07
8.476489028213165966e+00	-6.072451542046065111e-07
8.426332288401255255e+00	-6.052061295012449197e-07
8.376175548589342768e+00	-9.078989598702760137e-07
8.326018808777430280e+00	-9.667795787102901021e-07
8.275862068965517793e+00	-4.964909099192187720e-07
8.225705329153605305e+00	4.417753806056384030e-07
8.175548589341692818e+00	7.327556001182615542e-07
8.125391849529780330e+00	1.110009634610763027e-06
8.075235109717867843e+00	4.399742655628191429e-07
8.025078369905957132e+00	1.837040632431453391e-07
7.974921630094044644e+00	-6.033809245667078803e-07
7.924764890282131269e+00	-9.982838819185048587e-07
7.874608150470219670e+00	-1.215474125519880976e-06
7.824451410658308070e+00	-5.676455923474304440e-07
7.774294670846394695e+00	-3.687394007212983698e-07
7.724137931034483096e+00	5.308110928790401688e-07
7.673981191222570608e+00	1.236424066899028259e-06
7.623824451410659009e+00	9.819066240001124089e-07
7.573667711598745633e+00	8.758038388797834694e-07
7.523510971786834034e+00	6.105498653355976941e-07
7.473354231974922435e+00	-3.195939115533181494e-07
7.423197492163009059e+00	-1.051146072117439667e-06
7.373040752351097460e+00	-7.952548020361020061e-07
7.322884012539184972e+00	-7.207987494107870084e-07
7.272727272727273373e+00	-6.166141878579786860e-07
7.222570532915360886e+00	2.069019256129596023e-07
7.172413793103449287e+00	4.409786557926915222e-08
7.122257053291536799e+00	4.714451594321551162e-07
7.072100313479623424e+00	3.075486140171275085e-07
7.021943573667711824e+00	-4.880983081542361630e-07
6.971786833855799337e+00	-3.300418910138502989e-07
