# distance_x[ps] 	  Amplitude [V]
1.128526645768025283e+01	-1.157304246404857043e-06
1.123510971786834034e+01	-1.528814512189588630e-06
1.118495297805642785e+01	-1.682461248275223259e-06
1.113479623824451714e+01	-2.467492792614409104e-06
1.108463949843260288e+01	-1.632827455243735236e-06
1.103448275862069039e+01	-1.322306992614024752e-06
1.098432601880877790e+01	-8.390623580443767719e-07
1.093416927899686719e+01	3.826213327026950742e-08
1.088401253918495470e+01	1.072824337084145315e-06
1.083385579937304399e+01	1.821284260700329708e-06
1.078369905956113151e+01	1.665121098042618075e-06
1.073354231974921724e+01	1.159198028403408650e-06
1.068338557993730475e+01	1.248933754245634327e-06
1.063322884012539227e+01	9.479608014743593816e-07
1.058307210031348156e+01	1.013792672864673711e-06
1.053291536050156729e+01	3.560892183127756275e-07
1.048275862068965658e+01	3.433764373535115703e-07
1.043260188087774587e+01	5.413684439647438451e-08
1.038244514106583161e+01	-9.585341538749997762e-07
1.033228840125391912e+01	-1.829889803041008263e-06
1.028213166144200841e+01	-2.725953944210029907e-06
1.023197492163009592e+01	-3.120898926993363999e-06
1.018181818181818343e+01	-2.796461892172998508e-06
1.013166144200627095e+01	-1.579466938379628736e-06
1.008150470219436023e+01	-4.431863097380781378e-07
1.003134796238244597e+01	1.863946403900938269e-06
9.981191222570533483e+00	2.035192828030678517e-06
9.931034482758620996e+00	2.394393510824825294e-06
9.880877742946710285e+00	1.812673970716757844e-06
9.830721003134797797e+00	9.365131794268481757e-07
9.780564263322885310e+00	8.077347726549683784e-07
9.730407523510972823e+00	1.176967400721293476e-06
9.680250783699060335e+00	2.197091670819378763e-06
9.630094043887149624e+00	2.756601737472567995e-06
9.579937304075237137e+00	2.469298479461496482e-06
9.529780564263324649e+00	1.714122047860291197e-06
9.479623824451412162e+00	8.621053065849688424e-07
9.429467084639499674e+00	-4.290634788395025817e-07
9.379310344827587187e+00	-1.399119986177927052e-06
9.329153605015674700e+00	-2.413728198588495069e-06
9.278996865203762212e+00	-1.663964255724282953e-06
9.228840125391849725e+00	-1.903836099490482757e-06
9.178683385579939014e+00	-9.310741390573777648e-07
9.128526645768026526e+00	-7.111176021968362304e-07
9.078369905956115815e+00	-6.023392565481918158e-07
9.028213166144201551e+00	-4.702239601768216776e-07
8.978056426332289064e+00	-6.536514292617756139e-07
8.927899686520376576e+00	-5.638116069531485665e-07
8.877742946708464089e+00	8.031763321228932359e-08
8.827586206896551602e+00	3.339453326652749798e-07
8.777429467084640891e+00	4.444959558221275656e-07
8.727272727272728403e+00	1.188046465009383632e-06
8.677115987460814139e+00	7.501544804518428196e-07
8.626959247648905205e+00	2.803532363311508444e-07
